Ladekurvenmessung
Zeit: 2018_05_02 15.27.31
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.204048	0.003134	-0.008743	0.002673	0.002443
1	0.206449	0.00514	-0.007559	0.001883	0.000699
2	0.203916	0.005502	-0.009763	0.000436	0.000502
3	0.206976	0.005667	-0.012625	8e-06	-0.001143
4	0.206548	0.004088	-0.01177	-0.000913	0.002673
5	0.205199	0.006851	-0.012724	0.002936	-0.004992
6	0.20816	0.005239	-0.011934	-0.000255	0.000436
7	0.203883	0.006292	-0.013842	-0.003446	0.003298
8	0.207371	0.007937	-0.011145	-0.001637	0.002936
9	0.203488	0.009088	-0.011079	-0.000321	0.00389
10	0.20668	0.006391	-0.0145	-0.002755	0.005634
11	0.203719	0.008694	-0.011243	-0.001439	0.004811
12	0.206384	0.006259	-0.011112	-0.003907	0.001489
13	0.207568	0.008332	-0.01404	-0.001571	0.005108
14	0.212338	0.005173	-0.012099	-0.004696	0.003857
15	0.207042	0.007509	-0.011572	-0.000288	-0.000321
16	0.209147	0.007575	-0.013809	-0.006177	0.000239
17	0.207667	0.004877	-0.013974	-0.002689	0.000239
18	0.208818	0.00797	-0.016507	-0.003051	-0.00213
19	0.209213	0.005437	-0.014434	-0.000781	0.005996
20	0.206285	0.006621	-0.014698	-0.001867	0.003167
21	0.206943	0.00491	-0.018349	-0.001703	0.001653
22	0.208029	0.008036	-0.015454	-0.005124	0.003561
23	0.209542	0.006391	-0.020751	-0.001275	0.001916
24	0.208456	0.010536	-0.01756	-0.003644	0.002114
25	0.210496	0.007805	-0.019863	-0.002657	0.004055
26	0.208917	0.008529	-0.018481	-0.008249	0.002541
27	0.209904	0.007476	-0.020718	-0.003709	0.002805
28	0.209048	0.008299	-0.01802	-0.00315	0.00241
29	0.211845	0.007082	-0.019534	-0.008776	-0.000123
30	0.21066	0.006785	-0.019731	-0.001077	0.003134
31	0.213852	0.010207	-0.02233	-0.003676	0.003035
32	0.212272	0.008858	-0.024304	-0.001275	0.001357
33	0.213621	0.009878	-0.020192	-0.004927	0.001456
34	0.214444	0.009319	-0.019665	-0.001637	-0.002328
35	0.213292	0.0107	-0.024534	-0.005881	4.1e-05
36	0.214148	0.007937	-0.02233	-0.003282	0.000995
37	0.215398	0.00695	-0.022659	-0.003413	-0.000288
38	0.215299	0.006391	-0.023778	-0.005387	0.00014
39	0.211253	0.007575	-0.023021	-0.004696	-0.00065
40	0.213029	0.007871	-0.024502	-0.004894	-0.001571
41	0.212009	0.007345	-0.026245	-0.006539	0.000995
42	0.21474	0.010339	-0.025554	-0.008677	0.003265
43	0.209213	0.009615	-0.024732	-0.005157	0.000699
44	0.214148	0.008891	-0.03095	-0.004269	0.010042
45	0.214444	0.009648	-0.024271	-0.002887	0.004877
46	0.214839	0.009253	-0.029996	-0.006703	0.000568
47	0.214806	0.008496	-0.02914	-0.003808	0.001028
48	0.216418	0.008463	-0.026969	-0.002689	-0.001176
49	0.214378	0.006358	-0.026311	-0.000683	-0.000913
50	0.212108	0.006424	-0.02868	-0.003183	-0.004367
51	0.217372	0.008299	-0.02664	0.000107	-0.002393
52	0.214082	0.006818	-0.025291	-0.000452	-0.004269
53	0.214246	0.009779	-0.029535	0.000403	-0.003545
54	0.214411	0.009977	-0.024962	-0.000452	-0.004334
55	0.213358	0.006621	-0.03039	0.001686	-0.013415
56	0.215036	0.009121	-0.027759	0.000403	-0.006078
57	0.215168	0.012247	-0.029173	-0.003578	-0.002755
58	0.212404	0.009319	-0.028877	-0.000551	-0.002262
59	0.214214	0.008101	-0.029469	0.001587	0.00037
60	0.212437	0.010503	-0.029042	0.00445	-0.001834
61	0.212207	0.009154	-0.028745	-0.001834	-0.0044
62	0.214641	0.010108	-0.026837	0.003857	0.00037
63	0.216648	0.010273	-0.031246	0.003331	-0.003907
64	0.212799	0.011885	-0.023679	0.00162	-0.004269
65	0.215332	0.008365	-0.028055	0.003265	4.1e-05
66	0.211812	0.01001	-0.029371	0.003167	0.000403
67	0.213062	0.011194	-0.028219	0.004515	-0.006012
68	0.218161	0.009154	-0.028351	0.003167	-0.005354
69	0.213621	0.006917	-0.030917	0.006391	-0.005683
70	0.211845	0.009055	-0.029864	0.005502	-0.004927
71	0.212799	0.008562	-0.028318	0.005733	-0.006933
72	0.211286	0.006226	-0.029732	0.004055	-0.007361
73	0.213588	0.008661	-0.02789	0.007016	-0.006966
74	0.212338	0.007575	-0.029798	0.003298	-0.005716
75	0.209377	0.007641	-0.027101	0.005831	-0.003676
76	0.212141	0.008167	-0.027627	0.002903	-0.004894
77	0.207206	0.008101	-0.024666	0.006917	-0.003578
78	0.211384	0.008496	-0.029864	0.009286	-0.004466
79	0.210167	0.012148	-0.024732	0.006259	-0.00394
80	0.002574	0.006029	-0.029239	0.004614	-0.005914
81	0.014319	0.006687	-0.027693	0.007476	-0.004499
82	0.021162	0.008134	-0.030719	0.0082	-0.006572
83	0.027282	0.005798	-0.027759	0.006851	-0.004269
84	0.034519	0.0082	-0.026772	0.011293	-0.00871
85	0.041987	0.009253	-0.029831	0.008792	-0.003413
86	0.048041	0.008134	-0.026475	0.010536	-0.007197
87	0.055673	0.009483	-0.023745	0.011556	-0.005716
88	0.061398	0.006029	-0.025488	0.011293	-0.006637
89	0.068668	0.006391	-0.027199	0.012016	-0.003347
90	0.070708	0.001061	-0.022528	0.007443	-0.006736
91	0.077551	0.003594	-0.025554	0.009088	-0.006604
92	0.081071	0.007082	-0.025094	0.011358	-0.004828
93	0.091138	0.006358	-0.023284	0.008529	-0.005256
94	0.091336	0.004351	-0.026772	0.007937	-0.007888
95	0.096304	0.010371	-0.025258	0.00695	-0.010618
96	0.102522	0.003792	-0.023482	0.007904	-0.005157
97	0.105943	0.004548	-0.024896	0.009549	-0.006473
98	0.10999	0.004581	-0.023745	0.013727	-0.006473
99	0.113148	0.005009	-0.021705	0.01047	-0.006933
100	0.119399	0.004515	-0.024699	0.004943	-0.000452
101	0.118313	0.002048	-0.022955	0.011753	-0.009039
102	0.124498	0.001357	-0.019961	0.012378	-0.005585
