Ladekurvenmessung
Zeit: 2018_05_03 11.58.28
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
0	-0.001169	0.003268	-0.003142	-1.9e-05	-0.001827	-0.001827	-0.022207	0.001132	-0.015633	0.000803	-0.001005	0.001625	-0.017934	-0.0061	0.005569
1	0.000803	0.005898	-0.000512	-1.9e-05	0.00146	-0.001334	-0.021221	0.002447	-0.023686	0.003104	-0.000841	0.001954	-0.014647	-0.007086	0.003433
2	0.000803	0.005405	-0.000676	-0.000183	0.002282	-0.001169	-0.020235	-0.002484	-0.017112	0.002447	-0.000512	0.007542	-0.013989	-0.008072	0.001625
3	0.001625	-0.001005	0.00409	0.001296	-0.000841	0.001296	-0.025494	0.000639	-0.014975	0.002775	0.00294	0.003761	-0.013825	-0.008072	0.001625
4	0.000639	0.000639	0.003433	0.002282	-0.001005	-0.00232	-0.023193	0.001296	-0.014482	0.002447	0.001132	0.002775	-0.013496	-0.008401	0.001296
5	0.00294	0.004255	0.000803	0.00146	0.001296	-0.002977	-0.023851	0.002775	-0.015797	-0.000183	0.002775	0.004255	-0.005443	-0.007086	-1.9e-05
6	0.003761	0.001625	-1.9e-05	-0.005443	0.001132	-0.001169	-0.024508	0.005241	-0.008565	-0.001334	0.003433	-1.9e-05	-0.000841	-0.006593	0.001132
7	-0.000841	0.000474	0.005405	-0.002648	0.001296	-0.001827	-0.025165	0.004748	-0.015633	0.000639	0.00294	-0.001827	-0.002648	-0.005114	0.002447
8	0.001132	0.001954	-0.001334	0.001296	0.004583	-1.9e-05	-0.024508	0.006391	-0.015468	0.00031	0.001789	0.001625	0.002447	-0.007744	0.002282
9	0.002611	0.002775	0.00146	-0.000183	0.00031	-0.001991	-0.030096	0.004255	-0.013003	0.002118	-1.9e-05	-0.000512	0.008035	-0.007744	0.000146
10	0.00031	0.002775	-1.9e-05	-0.000841	0.000639	-1.9e-05	-0.031247	0.00787	-0.017276	0.003268	0.001625	-0.000841	0.009843	-0.003799	0.003268
11	0.001625	0.002282	0.003268	-0.000676	-0.000676	-0.000347	-0.029439	0.008528	-0.015468	0.001296	0.002118	-0.000183	0.007213	-0.004456	0.002447
12	0.003926	0.004419	0.00294	-0.001498	0.00031	-0.001498	-0.030918	0.00409	-0.014811	0.001789	-0.000841	0.001625	0.004419	-0.001005	-1.9e-05
13	-0.003635	0.002611	0.004748	-0.001662	-0.000347	-0.000512	-0.034862	0.005405	-0.018427	-0.001827	-0.002155	-0.003306	0.005898	0.000146	0.002775
14	0.00294	0.003104	0.003761	0.00031	0.002282	0.000967	-0.037492	0.005405	-0.017605	0.003597	0.003597	-0.001169	0.007377	-0.000512	0.000146
15	-0.001005	0.001625	0.005734	0.000146	-0.002484	-0.000841	-0.035027	0.004255	-0.01514	0.00294	-0.002648	0.000146	0.007706	-0.00232	0.002282
16	0.001296	-0.000183	0.001296	0.00294	-0.000183	-0.000183	-0.036177	0.005569	-0.015633	-0.000183	-0.000841	-0.002155	0.00672	0.000474	0.001132
17	0.004255	-0.001827	0.001296	0.001132	-0.000347	-1.9e-05	-0.036835	0.006884	-0.011688	0.003433	0.00294	-0.000183	0.010664	-0.001169	0.002118
18	-0.000841	0.005569	0.003926	-0.002155	0.000967	-0.002155	-0.029274	0.008363	-0.013825	0.003268	0.002118	-0.002155	0.008692	-0.001169	0.00031
19	-0.005278	-0.001991	0.006884	-1.9e-05	-0.000347	-0.001334	-0.036835	0.007706	-0.013332	-0.001005	0.000967	0.001789	0.011486	-0.003142	0.001954
20	-0.000676	0.00409	0.005405	-0.003306	-0.000841	-1.9e-05	-0.039464	0.009843	-0.010702	0.00146	0.001296	-0.001827	0.011158	0.00409	0.000967
