Ladekurvenmessung
Zeit: 2018_05_03 13.52.35
Info: FVA3, v = 1.47, T = 40, F = 20, h = 552.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14
0	0.004748	0.001132	-0.000183	-0.006429	-0.000841	-1.9e-05	-0.001169	0.013294	0.004583	0.000639	-0.004785	-0.000676	0.002447	-0.010702
1	0.007213	0.00031	0.000639	-0.002813	-0.001662	0.002775	-0.001169	0.014116	0.006556	0.001625	-0.001169	0.000474	0.004255	-0.007908
2	0.004748	0.004419	0.000474	-0.003963	-0.000841	-0.002813	0.002447	0.012308	0.009514	-0.001005	-0.005607	-0.000347	0.005898	-0.006593
3	0.005898	0.000474	-0.000183	-0.003142	0.000639	0.000146	-0.002977	0.012637	0.0105	0.001296	-0.004456	0.000639	0.001954	-0.010538
4	0.006556	0.001954	-0.000841	-0.00347	-1.9e-05	-0.000183	0.001132	0.013952	0.011815	0.003104	-0.005114	0.000967	0.001789	-0.00873
5	0.006556	0.001132	0.000803	-0.001662	-0.001991	0.000639	0.000967	0.010829	0.02447	-0.000347	-0.003963	-0.001498	0.003597	-0.009551
6	0.003104	0.000146	0.000474	-0.004949	-0.003142	-0.001005	-0.000841	0.012144	-0.000183	0.000146	-0.0061	-0.002155	0.005241	-0.008237
7	0.008692	0.000146	0.00146	-0.002155	-0.001662	-0.000347	-0.002484	0.011815	-0.000347	-0.001005	-0.00347	0.001296	0.000803	-0.008237
8	0.00409	0.000803	-0.00232	-0.004292	-0.001662	0.000639	0.000639	0.008363	0.00031	0.001789	-0.005278	-0.001662	0.00294	-0.005278
9	0.005241	-0.002484	0.002775	-0.003142	-0.007579	-0.000676	-0.000347	0.011815	0.00146	-0.000676	-0.008072	-0.000512	0.00031	-0.006757
10	0.007213	-0.001662	-0.001005	-0.002977	-0.000512	-0.000676	-0.000841	0.010993	0.003597	0.001296	-0.004785	-0.000347	0.003104	-0.009551
11	0.002611	-0.002484	-0.00232	-0.004128	-0.004949	0.001296	-0.001991	0.010336	0.005898	-0.000841	-0.004621	0.002775	0.002118	-0.00725
12	0.008363	-0.002484	0.001625	-0.003306	-0.008401	0.000639	-0.001169	0.008363	0.004255	0.000967	-0.006757	0.000803	0.002447	-0.010538
13	0.005405	-0.002484	-0.001334	-0.004785	-0.0061	-0.001169	0.000474	0.010993	0.008692	0.001954	-0.007744	0.000803	0.004255	-0.0061
14	0.007542	-0.003142	-0.000841	-0.004949	-0.005443	-0.001005	-0.004128	0.009678	0.010829	-0.000347	-0.004785	-0.001169	0.005405	-0.008565
