Ladekurvenmessung
Zeit: 2018_05_03 14.57.53
Info: SHC320, v = 1.06, T = 40, F = 20, h = 576.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	-0.005443	-0.005936	-0.003142	-0.003963	-0.003799	-0.006757	-0.003635
1	-0.003142	-0.001498	-0.001169	-0.002813	-0.004128	-0.002813	-0.001498
2	-0.001662	-1.9e-05	-0.001827	0.002282	-0.012839	-0.004621	0.000639
3	-0.001991	-0.001334	-0.001662	0.00031	-0.003963	-0.002977	-0.001005
4	-0.001827	-0.003963	-0.008401	0.001625	-0.001005	-0.002155	-0.005114
5	-0.000676	-0.000347	-0.00232	-0.003142	-0.001991	-0.002484	-0.00347
6	-0.005443	-0.000183	-0.003306	0.005241	0.000803	-0.007415	0.002611
7	-0.001662	-0.002155	-0.001827	-0.000347	-0.001662	-0.002977	-0.003963
8	-0.001334	-0.000512	-0.001827	0.003104	0.002611	-0.003142	0.002447
9	-0.002648	0.001296	-0.000676	0.00146	-0.002155	-0.003963	-0.001662
10	-0.002977	-0.001827	-0.001991	0.003926	0.00146	-0.005443	-0.000183
11	-0.00725	-0.001827	0.003104	-0.001005	-0.000676	-0.0061	-0.003306
12	-0.002813	-0.007415	-0.002484	0.001132	0.00146	0.000474	0.000146
13	-0.00232	0.000146	-0.003799	-0.001169	-0.002813	-0.001991	-0.002813
14	-0.005114	0.000146	-0.001498	0.001132	-0.003142	-0.003142	-0.004621
15	-0.00725	-0.003142	-0.001827	-0.001662	-0.002484	-0.001991	-0.003142
16	-0.004949	-0.002155	-0.001991	-0.002648	-0.006593	-0.00347	-0.001827
17	-0.010373	-0.001991	-0.005443	0.001954	-0.001827	-0.005278	-0.001334
18	-0.005607	-0.001827	-0.002155	0.000474	-0.002977	0.00294	-0.001991
19	-0.002977	-0.005114	-0.002813	-0.001005	-0.003635	-0.006264	0.002282
20	-0.003799	-0.004292	-0.001169	-0.003142	-0.002977	-0.005771	-0.001005
21	-0.00232	-0.003635	-0.004785	0.001296	0.002447	-0.002484	-0.000676
22	0.001789	-0.007415	0.000639	-0.004785	-0.001991	0.000803	-0.005114
23	-0.000347	-0.002813	-0.001827	0.00031	0.000474	-0.003635	-0.003306
24	0.005569	-0.000512	-0.001334	0.003104	-0.002155	-0.001662	-0.001827
25	-0.005114	0.000639	-0.002484	0.00031	-0.001334	-0.004949	0.000639
26	-0.004128	-0.003635	-1.9e-05	-0.000676	-0.002484	-0.001005	-0.003799
27	-0.003142	0.000474	-0.003142	-0.001827	-0.003635	-0.002155	-1.9e-05
28	-0.001991	-0.002484	-0.00347	0.001954	-0.003142	-0.002977	-0.003963
29	-0.002977	-0.00232	-0.002977	-0.000512	-0.001334	0.001954	-0.002977
30	-0.002813	-0.005278	-0.007579	-0.002648	-0.004949	-0.0061	-0.004785
31	-0.004621	-0.002977	-0.006757	0.001296	-0.005771	-0.002977	-0.004292
32	-0.002813	-0.001991	-0.009223	-0.003799	-0.007086	-0.002977	-0.003306
33	-0.004949	-0.006757	-0.002813	-0.005114	-0.002648	-0.001662	-0.003799
34	-0.005278	-0.006593	-0.004456	-0.006757	-0.001498	-0.00347	-0.001991
35	-0.009058	-0.008072	-0.002155	-0.001827	-0.001334	-0.001991	-0.004456
36	-0.008072	-0.003963	-0.004292	-0.000676	0.002447	-0.005771	-0.003142
37	-0.004128	-0.007086	0.002118	-0.003142	-0.004785	0.001954	-0.001169
38	-0.004456	-0.005114	0.002775	0.000474	-0.003142	-0.006264	0.002282
39	-0.001991	-0.004949	0.000474	-0.002155	-0.00347	-0.001827	-0.001662
40	-0.003799	-0.005114	-0.001498	-0.000512	0.000146	-0.010538	0.001954
41	-0.001827	-0.001662	0.000803	-0.003142	-0.001498	-0.001827	-0.007744
42	-0.003142	-0.003142	-0.002484	0.004912	-0.001498	-0.007579	0.000803
43	-0.003142	-0.003799	-0.004785	-0.002484	-0.001169	-0.008237	-0.002977
44	-0.000512	-0.002484	0.00294	-0.005607	0.002775	-0.009058	-0.002813
45	-0.00232	-0.004621	-0.003306	-0.009387	-0.001169	-0.005278	-0.001169
46	-0.001334	-0.003799	-0.003306	-0.003799	-0.002977	-0.004456	0.00031
47	-0.006429	-0.005607	-0.000841	-0.005278	0.001296	-0.005114	-0.003963
48	-0.001334	-0.003306	-0.001005	-0.005936	-0.002977	-0.004128	-0.001498
49	-0.006429	-0.002813	-0.003306	-0.002484	-0.003963	-0.003799	-0.001498
50	-0.00232	0.001625	-0.002813	-0.003635	-0.002155	-0.001334	-0.002155
51	-0.006429	-0.004456	-0.002648	-0.001662	-0.00725	-0.006429	-0.00232
52	-0.001827	-0.001991	-0.002813	-0.002977	-0.005114	-0.001334	-0.003306
53	-0.001827	-0.00347	-0.006593	0.000146	-0.002813	-0.004621	-1.9e-05
54	-0.002977	-0.003963	-0.00347	-0.002813	-0.003963	-0.001991	0.000474
55	-0.001169	0.001789	-0.001498	-0.001827	-0.00232	-0.00347	-0.002484
