Ladekurvenmessung
Zeit: 2018_05_04 09.04.56
Info: FVA3, v = 1.05, T = 23, F = 20, h = 518.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.001625	0.000474	-0.002648	-0.00347	-1.9e-05	0.000639
1	0.002282	0.000474	-0.000512	0.000967	0.001132	-0.000347
2	-1.9e-05	0.001789	-0.000841	-0.000347	0.001789	0.004912
3	-0.000841	-0.001005	-1.9e-05	-0.001169	0.001296	0.001954
4	0.000474	-0.000347	-0.002484	-0.004456	0.001625	0.005898
5	0.000146	0.005405	-0.000347	-0.000676	-0.000512	0.003761
6	-0.000512	0.003761	-0.001827	0.000639	0.00294	0.005076
7	0.000474	0.001954	-0.000841	-0.001662	0.000639	-0.000183
8	-0.000512	-0.000347	-0.002813	-0.001169	0.000967	0.001954
9	-0.002484	0.001954	-0.002155	0.001132	0.002447	0.002118
10	0.000474	0.000639	-0.004949	-0.000676	0.005405	-0.002813
11	-0.002155	0.002447	-0.003142	0.002282	0.004583	0.004912
12	-0.001662	-0.000676	-0.001991	0.002282	0.001625	-0.003142
13	-0.003142	0.000639	-0.00232	-0.000676	0.000639	0.001625
14	-0.002155	0.000639	-0.002484	0.001789	0.000474	0.001954
15	-0.001498	0.001132	0.000803	-0.000676	0.000639	-0.001005
16	0.001132	0.002775	-0.002648	0.001132	-0.000183	0.003104
17	-0.001498	0.002611	-0.002155	0.001296	0.001296	0.003268
18	0.001296	0.000474	-0.003142	0.002282	-0.001005	0.001132
19	-0.000347	0.000474	-0.004456	-0.001662	0.001789	0.003104
20	-0.000512	-0.001005	-0.00232	-0.000841	0.003433	0.000474
21	-0.00347	-1.9e-05	-0.004128	-0.003306	0.003268	0.003104
22	-0.002648	-0.001005	-0.001991	-0.00347	0.000967	0.00146
23	-0.000512	-0.002977	-0.004456	0.000146	-0.000841	0.001296
24	-0.003306	-0.001662	-0.001662	-0.001169	-0.002155	0.00031
25	-0.000676	-0.001991	-0.003799	0.000146	0.001296	0.001625
26	-0.002648	0.000474	-0.000841	0.000639	0.001625	0.00031
27	-0.003142	0.000474	0.000803	0.000967	-0.00347	-0.000183
28	-0.006922	0.001789	-0.000841	-1.9e-05	0.001296	-0.002155
29	0.00031	0.00031	-0.001334	0.002611	-0.001991	-0.002977
30	-0.003306	0.000639	-0.002484	-0.000183	-0.003963	0.000967
31	-0.001827	0.002775	-0.001169	0.001625	-0.000512	-0.001169
32	-0.001169	0.001625	-0.001827	-0.001662	0.004419	0.003104
33	0.000967	0.000967	-0.003799	0.001132	-0.002155	0.001954
34	-0.000841	0.002447	-0.002648	-0.000347	0.00294	0.003433
35	-1.9e-05	-0.002977	-0.001334	-0.000183	-0.000347	-0.001334
36	-0.000347	-0.001498	0.000474	-0.000512	0.00146	0.005405
37	0.003268	-0.001827	0.000967	-0.000676	-0.000347	0.001625
38	0.000803	-0.001334	-0.001005	-0.00347	-0.001334	0.003433
39	-0.004128	0.001296	-1.9e-05	-0.00347	0.000639	0.005734
40	0.002118	-0.001498	-0.001498	-0.001827	0.000639	0.00146
41	-0.000841	0.001296	-0.001334	-0.004785	-0.001169	0.001132
42	-0.001169	-0.000347	-0.004456	0.001789	-0.001005	0.000146
43	-0.001169	-1.9e-05	-0.000183	-0.000512	-0.002813	0.000803
44	0.000967	-0.000512	-0.001334	0.001954	-0.003963	-0.000841
45	-0.002813	-0.000512	0.00146	-0.001005	0.000474	-0.000347
