Ladekurvenmessung
Zeit: 2018_05_04 09.57.18
Info: FVA3, v = 0.533, T = 23, F = 20, h = 381.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.003635	-0.001334	0.00031	-0.003306
1	-1.9e-05	0.005241	0.00409	-0.002155
2	0.000803	0.000639	0.003761	0.000146
3	0.000803	0.002447	-0.000676	0.000967
4	-0.000512	0.001789	0.002775	0.001625
5	0.002447	0.000803	-0.000512	0.000967
6	0.00031	0.000474	-0.000676	0.003926
7	0.004255	-0.000183	0.00031	0.000146
8	-0.000512	-0.000676	-0.001169	0.001789
9	0.001132	-0.003142	0.004419	0.000639
10	-0.004128	-0.004456	-0.003142	0.005734
11	-0.001498	-0.005278	-0.000676	-0.002155
12	0.000146	0.000639	-0.002155	-1.9e-05
13	-0.005114	-0.000512	-0.002813	0.001954
14	0.000803	-0.001991	-0.002813	-0.002813
15	0.000639	0.000803	0.000639	0.000967
16	0.001625	-0.000512	0.001132	-0.001991
17	-0.003635	0.000474	0.001954	0.00031
18	0.003104	0.001789	0.000146	-0.001498
19	-0.005278	-0.001498	-0.004456	-0.003142
20	-0.001005	0.000474	0.002611	-0.000183
21	-0.005278	-0.001334	-0.000841	-0.000347
22	-0.003142	-0.001498	-0.002155	0.000146
23	-0.001498	-0.001827	-0.003635	0.001296
24	-0.000183	-0.005443	-0.001334	-0.000676
25	-0.000512	-0.002155	-0.00232	0.00031
26	-0.000841	-0.002813	-0.001498	-0.000676
27	0.001296	-0.001662	0.003104	-0.000347
28	-0.004621	-0.001827	-0.002648	-0.001169
29	0.003268	0.00146	-0.0061	-0.000183
30	-0.001662	-0.00232	-0.001334	-0.00347
31	-0.002484	-0.001169	-0.007744	-0.002977
32	-0.003142	-0.000841	-0.001991	-0.00347
33	-0.003142	0.000146	-0.000347	-0.003306
34	-0.002155	-0.000676	0.002282	-0.000512
35	-0.001005	0.001132	-0.001662	0.000474
36	-0.004128	0.001296	0.005241	-0.003799
37	-0.003963	-0.000512	-0.001827	-0.005607
38	-0.003963	0.000146	0.001296	0.001296
39	-0.001991	-0.00347	0.004419	0.00031
40	-0.000676	0.001954	-0.003799	-0.001498
41	0.000803	0.000474	-0.00232	0.000967
42	-0.001991	-0.000512	-0.011524	0.002282
43	0.003268	-0.000676	-0.001827	0.000803
44	-1.9e-05	0.002447	-0.003142	-1.9e-05
45	-0.002648	0.000967	-0.001169	-0.002977
