Ladekurvenmessung
Zeit: 2018_05_04 09.59.31
Info: FVA3, v = 1.05, T = 23, F = 20, h = 587.3
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.003761	-1.9e-05	-0.002648	-0.002155	-0.001169
1	0.005898	0.001625	-0.001334	0.000967	-0.003142
2	-0.000183	0.001296	-0.000512	-0.000841	-0.00347
3	0.003433	-0.001498	0.000639	-0.001827	-0.003963
4	0.001789	0.00031	0.000639	0.00031	-0.003799
5	-0.001169	-0.004128	-0.00347	-0.00988	-0.003963
6	-0.001498	0.000146	-0.006922	-0.003963	-0.005443
7	-0.000347	-0.003142	-0.001005	-0.002155	-0.005114
8	-0.000841	-0.001662	0.000146	-0.000183	-0.007744
9	-0.000347	-0.003306	0.000803	-0.000676	-0.004292
10	-0.001005	-0.001827	-1.9e-05	0.001132	-0.003306
11	-0.004456	-0.002813	-0.000841	0.001954	-0.004621
12	0.000967	-0.002648	-0.001334	0.001296	-0.007415
13	0.001132	-0.001005	-0.004128	0.001789	-0.003142
14	-0.001005	-0.004128	0.001132	0.00146	-0.006264
15	-0.000841	-0.002813	-0.000676	-1.9e-05	-0.006593
16	0.00031	-0.003142	-0.001334	0.00031	-0.004949
17	-0.001662	0.00031	-0.001498	0.000474	-0.005443
18	0.002118	-0.001005	0.00146	-0.001169	-0.008565
19	-0.001005	0.001296	-0.001169	0.000146	-0.006757
20	0.000639	0.000474	0.00146	-0.002155	-0.006429
21	0.001625	-0.001334	-0.000676	-0.007086	-0.005607
22	-0.002484	0.003597	0.000639	-0.000347	-0.008072
23	-1.9e-05	0.00294	0.001789	-0.001169	-0.005607
24	-1.9e-05	-0.002648	0.000146	-0.000676	-0.002977
25	-0.000347	-1.9e-05	0.00146	-0.000676	-0.005771
26	-0.002813	-0.000347	0.003761	0.000474	-0.005443
27	-0.00232	-1.9e-05	0.001132	0.003268	-0.005607
28	-0.005114	-0.001334	0.000146	-0.002648	-0.005936
29	-0.002977	-0.001334	0.004255	0.002282	-0.003142
30	-0.002977	-0.001662	0.000639	0.002282	-0.003963
31	-0.00232	-0.003635	0.001625	0.000967	-0.001005
32	-0.002648	0.000967	0.003597	0.001625	-0.001498
33	0.002447	-0.000841	0.004583	0.001625	-0.002813
34	-0.001991	0.001625	0.000639	0.000146	-0.002813
35	-0.001662	-0.001005	0.00031	0.001132	0.00146
36	0.000474	-0.001991	0.000803	0.001132	-0.001991
37	0.00031	-0.000183	-0.001169	-0.000676	-0.006757
38	-0.000183	-0.000841	-0.002155	0.001132	-0.002155
39	-1.9e-05	-0.001498	0.002447	-0.00232	-0.004785
40	-0.000841	0.000474	0.002775	-0.001334	-0.003963
41	-0.002648	0.003268	0.000639	-0.001334	-0.003635
42	-0.001827	-0.00725	0.000803	-0.000183	-0.003799
43	-0.000676	-0.000841	0.001625	-0.00347	-0.002484
44	-0.000841	-0.005607	0.000803	0.001789	-0.002977
45	-0.002648	-0.004456	0.000146	-0.001169	-0.001498
46	0.007213	-0.000676	-0.000183	-0.001662	0.00294
47	0.003597	-0.001827	0.003104	0.000967	-0.00232
48	0.001296	-0.001662	0.00146	0.000146	-0.003306
49	0.001789	0.002775	0.000146	0.00031	-0.001991
50	0.000803	0.001132	0.00146	0.002447	-0.003306
51	-0.003799	-0.001334	-0.001498	0.002611	-0.001334
52	0.000146	-0.000676	0.001789	0.000639	-0.008072
53	0.00031	-0.000183	0.000474	0.001296	-0.00347
54	0.000146	-0.003142	-0.004785	-0.002977	0.001296
55	-1.9e-05	-0.000676	-0.004292	-0.002648	-0.003142
56	0.000967	-0.000347	-0.001334	-0.000676	-0.001827
57	-0.000347	0.002118	-0.000512	-0.001334	-0.007415
58	0.002611	-0.003799	0.000146	-0.004292	-0.004621
59	0.003104	-0.000841	0.000474	0.000146	-0.000512
60	-0.001991	0.00146	-0.000512	-0.000183	-0.001005
61	0.001954	-0.004621	0.005076	-0.001334	-0.008894
62	-0.000512	-0.004292	-0.000841	-0.002813	-0.001005
63	0.000639	-0.002648	0.002775	-0.000347	-0.005278
64	-0.000512	-0.001498	0.008199	-0.002977	-0.005114
65	0.000146	-0.004456	0.006556	-0.000183	-0.002155
66	0.000967	0.001625	0.002118	-0.003799	-0.001498
67	-0.000183	-0.002155	0.000967	-0.00232	-0.002648
68	0.003433	-0.000676	0.001296	0.000967	-0.012839
69	-0.000512	-0.000347	0.000803	-0.000183	-0.00232
70	0.003104	0.000803	0.000967	0.000474	0.001625
71	0.001132	-1.9e-05	-0.001991	0.002611	-0.001662
72	0.002611	-0.000676	0.003433	0.003597	-0.001498
73	0.000967	-0.0061	0.001132	-0.001169	-0.003963
74	0.001954	-0.002977	0.00146	0.003104	-0.000183
75	0.003433	0.000474	0.001625	0.002118	-0.00232
76	0.003926	-0.003799	0.003104	0.003268	-0.002155
77	0.001625	-0.001662	0.004419	-0.004949	-1.9e-05
78	0.006062	-0.000676	0.00294	0.000639	-0.004292
79	-0.001334	-0.000347	0.002118	0.001954	-0.003799
80	-0.000347	-0.001991	0.004583	-0.001991	-0.003142
81	-0.002484	-0.000676	-0.000347	0.000146	-0.001169
82	-0.000841	-0.000347	-0.002155	-1.9e-05	-0.001827
83	0.001954	0.000639	0.003268	0.002447	0.000803
84	-0.000676	-0.004128	0.002447	-0.001662	-0.001991
85	-0.000347	-0.00232	0.001296	-0.000512	0.00031
86	0.002447	-0.003306	0.00294	0.00031	-0.001498
87	0.003104	-0.00232	0.000803	0.00031	-0.001334
88	0.004748	-0.003306	0.001296	-0.001169	-0.001334
89	0.002447	0.000474	0.003433	-1.9e-05	-0.000183
90	0.003104	0.004419	0.006884	-0.001498	-0.004128
91	0.005898	-1.9e-05	0.003268	-0.000347	-0.003306
92	0.002611	-1.9e-05	0.000146	-0.002484	-0.003142
93	0.004419	0.001296	0.003104	0.000474	-0.001005
94	0.004583	-0.000676	0.001954	-1.9e-05	-0.001334
95	0.006884	-0.002484	0.006062	0.000146	-0.000183
96	0.004419	-0.001827	0.004255	-0.003963	-0.001334
97	0.002118	-0.000512	0.00409	-0.003142	-0.002484
98	0.004583	-0.001498	0.002611	0.00031	-1.9e-05
99	0.003761	-0.003306	0.004419	-0.003963	-0.001005
100	0.001789	0.003761	0.003104	-0.007086	0.000803
101	0.005569	-0.001169	0.006391	-0.001827	-0.001498
102	0.011158	0.00031	0.00294	0.001625	-0.005278
103	0.009678	-0.00347	0.002447	-0.001169	-0.002813
104	0.006227	0.001296	-0.000841	0.000803	0.000803
105	0.007049	-0.001498	-0.00232	-0.001005	-0.001662
106	0.007049	-0.001827	0.005405	0.000967	-0.002484
107	0.004419	-0.001334	0.001789	-0.001991	-0.001991
108	0.007377	-0.001169	0.005734	-0.001334	-0.00347
109	0.004255	-0.002813	0.001296	-0.003306	-0.003963
110	0.001132	-0.003142	0.005076	-0.002484	0.000146
111	0.001625	-0.001334	0.004583	-0.001827	-0.00725
112	0.002447	-0.002484	0.00294	0.002118	-0.001827
113	0.000967	-0.002648	0.010171	-0.002977	0.001132
114	0.003433	-0.001991	0.00672	-0.000183	-0.008237
115	-0.000347	0.001296	0.003597	-0.003799	-0.002813
116	0.000474	0.000639	0.006062	-1.9e-05	-0.003306
117	0.00031	0.00031	0.005241	0.002447	-0.005443
118	0.000146	-0.002648	0.004748	0.000803	-0.004128
119	0.002447	0.00031	0.005898	-0.001005	0.00031
120	0.003268	-0.001991	0.004912	0.00031	-0.004456
121	0.004255	-0.003306	0.008857	0.001789	0.000146
122	0.006556	-1.9e-05	0.003433	-0.009223	-0.00347
123	0.004583	-0.000841	0.00672	0.001625	-0.003799
124	-0.005114	-0.001498	0.004255	-0.000841	-0.001005
125	-0.007415	-0.002484	0.006884	-0.000183	-0.004949
126	-0.006264	0.002118	0.004419	-0.001169	-0.00232
127	-0.003799	-0.000183	0.007706	0.00031	-0.001334
128	-0.00347	-0.002155	0.007049	-0.00232	-0.005114
129	-1.9e-05	-0.003799	0.003761	-0.000676	-0.002813
130	-0.003142	0.00146	0.005569	-0.002155	-0.000347
131	-0.000347	-0.002813	0.007542	0.000967	-0.001662
132	-0.00347	-0.002813	0.005241	0.003104	-0.000841
133	-0.002155	-0.002484	0.007049	-0.002977	-0.00232
134	0.000146	-0.002484	0.007542	0.000474	-0.000512
135	-0.000841	-0.00232	0.004748	-0.008072	-0.000676
136	-0.009387	-0.002155	0.009678	0.004255	0.001789
137	-0.001334	-0.003635	0.007213	0.002282	-0.002484
138	0.001954	-0.002484	0.009185	0.003433	-0.002648
139	-0.000347	-0.004456	0.009021	0.000474	-0.000841
140	0.003433	-0.001662	0.009843	0.00146	-0.000512
141	0.006062	-0.000512	0.008199	-0.001334	-0.000347
142	0.008857	-0.00232	0.007377	0.000146	-0.000676
143	0.005405	-0.004785	0.00787	0.000639	-0.001334
144	0.008692	0.001625	0.00787	-0.000676	-0.001169
145	0.008199	0.000474	0.010007	-0.00347	-0.001005
146	0.005241	-0.001662	0.005898	0.002447	-0.001334
147	-0.000841	-0.001169	0.010336	-0.001005	-0.000676
148	0.008035	-0.003799	0.0105	-0.001498	-0.000676
149	0.00787	0.001132	0.007377	0.003433	-1.9e-05
150	0.010993	0.001296	0.010007	-0.004456	-0.000676
151	0.014938	-0.00232	0.009678	-0.002813	-0.000347
152	0.012965	-0.000347	0.01313	-0.004456	-0.001169
153	0.01428	-0.000676	0.008363	-0.002813	-0.000183
154	0.013294	-0.005771	0.004912	-0.003306	-0.000841
155	0.01313	-0.000512	0.005734	-0.001827	-0.001334
156	0.010993	-0.002977	0.007049	-0.000183	-0.001169
157	0.010171	-0.004949	0.006391	0.000803	-0.001005
158	0.010829	-0.003142	0.005898	-0.001169	-0.000676
159	0.006556	0.000803	0.005076	0.001789	-0.000841
160	0.011322	-0.004785	0.00672	0.001132	-0.000676
161	0.008363	-0.002155	0.006391	0.000146	-0.000347
162	0.009021	-0.001334	0.006884	-0.000676	-0.000183
163	0.000474	-0.004128	0.014445	-0.001827	-0.000676
164	0.000146	-0.00232	0.005734	-0.000676	-0.000347
165	0.002118	-0.004785	0.003926	-0.000512	-0.000841
166	0.003597	0.003597	0.008528	0.003104	-0.001334
167	0.001625	0.000639	0.00672	0.002775	-0.001169
168	0.003433	-0.000676	0.010171	0.003268	-0.001169
169	0.00031	-0.000512	0.00935	-0.001334	-0.000841
170	0.001625	-0.000841	0.011979	0.00146	-0.000347
171	-0.002648	-0.001991	0.007542	-0.000676	-0.000512
172	0.001789	-0.002155	0.010171	0.000967	-0.000347
173	0.00409	-0.00232	0.0105	0.003926	-0.000512
174	0.002447	-0.001662	0.006391	-0.000183	-0.000676
175	0.001625	0.005241	0.006062	-0.001169	-0.000512
176	0.001132	-0.002813	0.012965	0.001296	-0.001334
177	-0.001169	-1.9e-05	0.009843	0.001954	-0.001005
178	0.001132	-0.001334	0.008363	-0.00232	-0.001334
179	-0.001169	-0.000841	0.009185	0.001625	-0.001169
180	0.001132	-0.002484	0.011158	-0.000676	-0.001005
181	-0.000841	0.00294	0.01428	-0.000676	-0.000512
182	-0.001991	-0.001827	0.011979	0.001296	-0.000347
183	-0.002155	-0.00232	0.012965	0.000146	-0.000347
184	-0.001005	-0.001169	0.011815	-0.001005	-0.000183
185	-0.001498	-1.9e-05	0.000967	0.000146	-0.000183
186	-0.001991	-0.001498	0.010829	0.00146	-0.000676
187	-0.001991	-0.000841	0.014116	0.000967	-0.001005
188	-0.001498	-0.001005	0.013623	-0.001005	-0.001005
189	-0.001991	-0.004456	0.016746	0.006884	-0.001169
190	-0.00347	-0.00232	0.015266	-0.003142	-0.000676
191	-0.001498	-0.003963	0.013952	0.000803	-0.000676
192	-0.001005	-0.000841	0.01313	-0.000347	-0.000512
193	0.001789	-0.004621	0.015595	-0.000512	-0.000512
194	-0.001662	-0.002648	0.014445	-0.000676	-0.000512
195	-0.000676	-0.001827	0.014445	-0.005278	-0.000183
196	0.00031	-0.000676	0.010829	0.000474	-0.000347
197	0.000803	-0.003306	0.012965	-0.002155	-0.001005
198	0.003926	0.000146	0.016417	0.001296	-0.000841
199	0.001625	0.003104	0.015266	-0.001334	-0.001334
200	0.005241	0.004419	0.017403	0.003104	-0.001498
201	0.002611	-0.000676	0.014773	-0.001991	-0.001005
202	-0.000841	-0.001169	0.017732	-0.000676	0.000146
203	0.003433	0.000639	0.019047	-0.003963	-0.001334
204	0.000474	-0.003142	0.014609	-0.004456	0.000146
205	-0.000347	0.000146	0.018389	-0.001662	-0.000183
206	0.003104	-0.002813	0.02069	-0.002813	-0.000183
207	0.001954	-0.004128	0.017239	-0.001991	0.00031
208	0.001296	-0.005936	0.018225	-0.000347	-0.001005
209	0.000803	-0.003963	0.015102	-1.9e-05	-0.000347
210	0.005076	-0.003306	0.020197	-0.000676	-0.001662
211	0.002118	-0.004292	0.019704	0.003104	-0.001005
212	0.001954	-0.001334	0.013952	0.001954	-0.001498
213	0.000146	-0.000183	0.018718	0.001625	-0.001005
214	-0.000841	-0.002648	0.014773	-0.000512	-0.003963
215	0.002447	-0.003306	0.021841	0.002282	0.000639
216	-0.001827	0.000639	0.019704	0.002775	-0.001498
217	0.001625	0.003433	0.022498	-1.9e-05	-0.002155
218	0.001789	-0.001334	0.022005	-0.001005	-0.000183
219	-0.000512	-1.9e-05	0.022498	0.000803	-0.000841
220	-0.001827	0.00031	0.023156	-0.001827	-0.001498
221	0.002282	-0.001498	0.023484	-0.001827	-0.000183
222	-0.002813	0.000146	0.021676	0.004419	-0.001005
223	-0.001169	0.000146	0.02332	0.003104	-0.001827
224	0.00146	0.002611	0.024635	0.003104	-0.000183
225	0.002447	-0.005771	0.021676	-0.001169	-0.002977
226	0.000146	-0.004292	0.023813	0.005076	0.00031
227	0.00146	-0.005443	0.020033	-0.001005	-0.000676
228	-0.000676	-0.00347	0.022169	0.001954	-0.001334
229	-0.001169	-0.003799	0.020033	0.00031	0.002611
230	0.000474	-0.001498	0.019704	0.002775	0.000474
231	-1.9e-05	-0.002155	0.020033	0.000146	-0.001498
232	0.00672	0.001625	0.019868	0.003597	0.002775
233	-0.002977	-0.001827	0.016746	-0.001169	-0.00347
234	-0.002977	0.000146	0.018225	0.000639	0.002447
235	-0.000512	0.002447	0.015595	-0.001662	-0.001827
236	0.002775	-0.000841	0.01691	0.001132	-0.003635
237	-0.001169	0.002611	0.015431	0.00031	-0.003142
238	-0.001498	-0.001827	0.014609	-0.000676	-0.005607
239	-0.001005	0.001625	0.014938	-0.002813	-0.001498
240	-0.00232	-0.005278	0.012308	-0.00347	-0.002484
241	-0.000841	-0.002155	0.010993	-0.000183	0.002282
242	-0.002813	-0.003142	0.006227	0.000474	-0.000676
243	0.002775	-0.001005	0.008528	0.002611	0.001132
244	-0.001169	-0.000512	0.003433	0.005076	0.000474
245	-0.003306	-0.001498	0.006062	-0.000183	-0.000183
246	-0.000841	-0.002155	0.004419	-0.001498	0.00031
247	0.002282	-0.001169	0.002611	0.003926	-0.001991
248	-0.000841	-0.000183	0.00146	-0.000841	0.00031
249	0.002282	-0.000183	0.002611	0.003104	-0.002813
250	-0.001334	-0.002155	-0.001662	0.004255	-0.003306
251	0.001132	-0.002813	0.000146	0.002447	-0.001991
252	-0.000347	0.000474	-0.000512	0.00031	0.003433
253	0.003926	-0.003799	-0.00347	-0.001498	-0.000512
254	0.002775	0.000803	-0.0061	-1.9e-05	0.001132
255	-1.9e-05	-0.000347	-0.006593	-0.000183	-0.000183
256	0.00146	-0.001827	-0.006922	-0.000183	-0.000183
257	-0.001005	-0.001991	-0.006757	-0.004621	-0.002484
258	0.003104	-0.000183	-0.005607	-0.000347	0.000967
259	-0.002813	-0.005771	-0.007908	-0.000512	0.000146
260	-0.000512	-0.002484	-0.003142	-0.002155	-1.9e-05
261	-0.001991	-0.005443	-0.00232	-0.002155	0.001132
262	-0.000512	-0.004621	-0.007579	-0.000183	-0.000512
263	-0.001498	-0.002813	-0.00347	-0.001169	0.000967
264	-0.002648	-0.005278	-0.010373	0.00294	-0.0061
265	-0.000347	-0.002648	-0.00347	-1.9e-05	-0.000183
266	-0.000347	-0.004785	-0.000676	0.005405	-0.00347
267	-0.000347	-0.001334	-0.009387	-0.001169	-0.001827
268	0.000474	-0.002813	-0.004621	0.000967	-0.003799
269	0.000639	0.000639	-0.004621	-1.9e-05	-0.001169
270	0.000639	-0.002484	-0.005771	0.00031	-0.004949
271	-0.001334	-0.001334	-0.002484	-0.001662	-0.00232
272	-0.002484	-0.003963	-0.006264	0.000474	-0.001991
273	-0.002648	-0.000512	-0.005936	0.000146	-0.002977
274	-0.001334	0.001296	-0.004785	-0.004292	0.004255
275	-0.001498	-0.005278	-0.005114	-0.002813	-0.004785
276	-0.002813	-0.004785	-0.007086	-0.004292	-0.001169
277	-1.9e-05	-0.003142	-0.005936	-0.000347	0.002118
278	-0.001005	-0.004949	-0.009223	-0.000512	0.000803
279	-0.004292	-0.003799	-0.00725	0.00146	-0.00232
280	-0.003799	-0.002648	-0.00873	0.000474	0.001789
281	-0.000512	-0.003799	-0.006264	0.002775	-0.000347
282	-0.001991	-0.000347	-0.005443	-0.002155	0.000146
283	-0.001827	-0.005278	-0.004621	0.002118	0.001132
284	-0.001827	-0.002813	-0.009058	0.001296	0.001625
285	0.00031	-0.001662	-0.004949	0.001132	-0.002484
286	0.002611	-0.004128	-0.005443	0.001132	-0.002977
287	-0.001005	0.002447	-0.009223	-0.003799	0.000639
288	0.00031	0.00294	-0.005771	0.003926	-0.000512
289	0.002611	-0.001005	-0.009223	-0.005114	-0.001334
290	-0.000512	-1.9e-05	-0.00988	-0.000183	-0.000841
291	0.003761	-0.000676	-0.012017	-0.004128	-0.001991
292	0.001296	-0.004456	-0.006429	0.000146	0.003433
293	-0.001991	-0.003799	-0.00988	-0.002155	-0.001991
294	0.003433	-0.005278	-0.007744	0.002118	0.000474
295	-0.006757	0.001132	-0.009387	-0.001334	0.000146
296	0.001132	-0.007086	-0.0061	0.004583	0.003433
297	0.00031	-0.001662	-0.010373	0.000474	0.00146
298	0.001625	-0.001827	-0.00988	0.000474	-0.002484
299	0.001954	-0.002155	-0.011195	0.001296	0.000146
300	0.001954	-0.004621	-0.010702	0.005076	-0.002648
301	0.000146	-0.002813	-0.011852	0.006062	-0.000347
302	0.000146	-0.001169	-0.012181	-0.003142	-0.00347
303	0.001789	-0.00347	-0.011524	0.004583	0.001132
304	0.000967	-0.003799	-0.01366	-0.000676	0.000474
305	-0.001991	-0.000512	-0.016783	-0.002977	-0.000183
306	-0.001662	-0.002155	-0.017934	-0.00232	-0.001169
307	-0.001169	-0.001827	-0.013496	0.002775	-0.000841
308	-0.001662	-0.001005	-0.015797	-0.004785	0.00146
309	0.00031	-0.003635	-0.016126	-0.002648	-0.000676
310	-0.00232	-0.003963	-0.01629	-0.000841	0.00146
311	0.00031	-0.003799	-0.01366	0.001132	0.000474
312	-0.001498	-0.004456	-0.01629	-0.000512	0.000803
313	-0.000841	-0.002813	-0.013825	0.000639	-0.001498
314	-0.002155	-0.003635	-0.015797	0.003433	-0.006264
315	-0.001005	-0.005607	-0.016126	-1.9e-05	-0.004785
316	-0.000676	-0.005278	-0.012674	0.002282	0.001296
317	0.001625	-0.005443	-0.016126	-0.002813	-0.003963
318	0.000803	-0.002648	-0.01514	0.001625	0.00031
