Ladekurvenmessung
Zeit: 2018_05_04 11.37.15
Info: FVA3, v = 1.05, T = 80, F = 20, h = 188.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	0.002282	0.007706	-0.008894	-0.001334	0.003268	-0.000347	-0.001169
1	0.000474	0.012308	-0.004785	-1.9e-05	0.003104	0.007049	-0.001991
2	-0.000347	0.006884	-0.005771	0.000639	0.005734	0.005076	0.001789
3	0.000967	0.014445	-0.012674	-0.000676	0.006884	0.005569	0.00146
4	-0.001991	0.014445	-0.008565	-0.002155	0.007213	0.008035	0.001954
5	0.000474	0.017239	-0.01251	-0.001991	0.008035	0.006556	0.000639
6	-0.000347	0.020033	-0.012346	-0.000841	0.006227	0.008857	0.001954
7	-0.000676	0.019211	-0.014647	-0.001334	0.006227	0.006062	0.003268
8	0.001132	0.021841	-0.010045	-0.001827	0.005241	0.003926	0.001132
9	0.000474	0.021841	-0.011195	-0.001334	0.008199	0.005076	0.001789
10	-0.001334	0.025292	-0.011359	0.000803	0.001132	0.00409	-0.00232
11	-0.002484	0.021676	-0.013003	-0.001169	-0.002648	0.003104	-0.00873
12	-0.00347	0.027265	-0.010209	0.00146	-0.000183	0.005734	0.004912
13	-0.001827	0.024306	-0.014318	0.002118	0.001132	0.002118	0.002611
14	-0.004128	0.0271	-0.01366	0.00031	0.002282	0.005734	0.000639
15	-0.003306	0.025292	-0.014975	0.00146	0.002611	0.00409	0.004255
16	-0.005936	0.02973	-0.014318	-0.000347	-0.000841	0.002611	0.001789
17	-0.003963	0.027758	-0.013989	0.00294	-0.000183	0.001296	0.001296
18	-0.001334	0.029401	-0.016619	0.000639	-0.000183	0.006556	0.000146
19	-0.002813	0.0271	-0.01251	0.003926	-0.002155	0.005569	0.002447
20	-0.001991	0.032031	-0.01629	-0.001662	-0.001498	0.004419	0.001789
21	-0.002977	0.030223	-0.013167	0.000146	-0.001169	0.00409	0.002118
22	-1.9e-05	0.029566	-0.013003	-0.002484	0.001954	0.009185	0.000639
23	-0.002977	0.027265	-0.011524	0.000146	0.001625	0.004419	-0.001005
24	-0.005278	0.024306	-0.011195	-0.000183	0.000146	0.005076	0.001625
25	-0.004785	0.025128	-0.006429	0.000639	0.000967	0.00409	-0.000841
26	-0.003635	0.026278	-0.009058	-0.000347	0.000967	0.004583	0.001954
27	-0.004456	0.025785	-0.005278	-0.000676	-0.000841	0.002775	-0.00232
28	0.000146	0.009843	-0.004292	0.000474	0.001789	0.003268	0.001296
29	-0.000512	0.006884	-0.005443	0.000146	-0.001991	0.005241	0.001789
30	-0.002155	0.005076	-0.002484	-0.000183	0.000967	0.00409	0.003597
31	-0.003142	-0.001498	0.001625	-0.001498	-0.000183	0.002447	-0.000676
32	-0.004456	0.002447	0.002775	-0.000347	0.000146	0.003104	0.000474
33	-0.003963	0.000639	0.005076	-0.00232	-0.000676	0.003926	0.001296
34	-0.004621	0.000146	0.00672	-1.9e-05	0.00031	0.002775	-0.001334
35	-0.00873	0.003597	0.003433	-0.001005	-0.000512	0.004748	-0.004128
36	-0.006922	0.011486	0.006062	-0.000183	-0.004949	0.003268	-0.001991
37	-0.005443	0.009843	0.004748	-0.001827	-0.000676	0.006227	0.00031
38	-0.005443	0.017403	0.004419	-0.000347	0.001625	0.001789	-0.001498
39	-0.005443	0.00146	0.006391	-0.001005	0.000474	0.003597	-0.001005
40	-0.004456	-0.002648	0.007542	0.000474	0.000146	-1.9e-05	0.002118
41	-0.003799	-0.000183	0.007706	0.000967	0.003926	0.002282	0.001625
42	-0.004949	-0.000183	0.009021	-0.000841	0.001296	0.003761	0.000639
43	-0.005771	-0.000183	0.009021	0.003104	0.002118	0.000967	0.002118
44	-0.008072	0.000474	0.012308	0.002611	-1.9e-05	0.001954	0.001625
45	-0.001662	0.00409	0.0105	0.002775	0.005405	0.002447	0.001625
46	-0.006429	0.019868	0.010829	0.001954	0.002611	0.000474	-1.9e-05
47	-0.007086	0.024306	0.010336	0.004255	0.004912	0.001954	0.00031
48	-0.005771	0.030223	0.010007	0.003104	0.001954	0.004583	0.001132
49	-0.003963	0.025621	0.009843	0.000639	0.003104	0.000146	0.000639
50	-0.008072	0.024142	0.008528	-1.9e-05	0.002611	0.003926	-0.000183
51	-0.003635	0.027593	0.009185	-0.001005	0.005569	-0.000183	-1.9e-05
52	-0.005771	0.032688	0.00935	-0.000347	0.002775	0.00294	0.002282
53	-0.004949	0.030387	0.0105	-0.001169	0.004419	0.001296	-0.001005
54	-0.004949	0.029072	0.004912	-0.000841	0.004583	0.003268	0.002118
55	-0.007415	0.028415	0.009843	0.000146	0.006062	0.003433	0.000474
56	-0.003142	0.024306	0.00672	-1.9e-05	0.004748	0.007049	-0.003799
57	-0.006429	0.023156	0.006391	-0.001498	0.006227	0.003926	-0.003635
58	-0.005607	0.020362	0.009185	0.001296	0.006062	0.002611	-0.001005
59	-0.005936	0.016088	0.008528	-0.000841	0.006062	0.004419	-0.000841
60	-0.004456	0.012801	0.007542	0.000803	0.002282	0.000474	-0.000841
61	-0.006264	0.012472	0.00787	-0.002813	-0.000183	0.000967	0.000146
62	-0.005443	0.008528	0.006062	0.00146	0.003268	0.00031	0.002282
