Ladekurvenmessung
Zeit: 2018_05_04 11.38.09
Info: FVA3, v = 1.47, T = 80, F = 20, h = 214.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	-0.006429	-0.023193	-0.003963	-0.001827	-0.000512	0.006556	0.0105	-0.002155	0.036962
1	-0.002484	-0.019084	0.001789	-0.001334	-0.000676	0.005405	0.011158	-0.000183	0.038276
2	-0.001498	-0.022536	-0.000841	-0.002977	-0.001169	0.003433	0.014445	-0.000676	0.041399
3	-0.001498	-0.023686	-0.001005	-0.000347	-0.000841	0.005405	0.012472	0.001625	0.041564
4	-0.009058	-0.0227	-0.003963	-0.001662	-0.001169	0.00146	0.016253	0.000639	0.040249
5	-1.9e-05	-0.022864	0.001625	-0.002813	-0.000512	0.002447	0.014938	-0.001827	0.038934
6	-0.004785	-0.021714	-0.001169	-0.003799	-0.000347	0.005569	0.015266	-0.000347	0.042221
7	-0.001334	-0.023851	0.000146	-0.002484	0.000146	0.00409	0.015431	-0.001662	0.043371
8	-0.000512	-0.023029	0.000967	0.00146	-0.000183	0.000639	0.013787	-0.00232	0.039263
9	0.000639	-0.024508	0.001296	0.001296	-0.000512	0.005898	0.010993	-0.002484	0.040413
10	-0.002484	-0.022371	0.002447	-0.000512	-0.001334	0.003597	0.001132	-0.002977	0.041728
11	0.004419	-0.024015	0.00031	0.002775	0.000803	0.000474	-0.001334	-0.001169	0.038112
12	0.003926	-0.024508	0.001625	0.000967	0.000474	0.003597	-0.005936	-0.004292	0.041892
13	0.001789	-0.027466	-0.001498	-0.002155	-0.000841	0.003433	-0.004128	0.002118	0.042878
14	0.005241	-0.030425	-0.000841	-0.000841	0.001789	0.004419	-0.004292	-0.000183	0.040413
15	0.00409	-0.02533	-0.001827	-0.001005	0.003597	0.007377	-0.002155	-0.000841	0.038934
16	0.003268	-0.02533	-0.001169	-0.000841	0.001625	0.009021	-0.003142	-0.002155	0.039756
17	0.00672	-0.033712	-0.002484	-0.00347	-0.001498	0.006884	0.00146	-0.000512	0.040084
18	0.005734	-0.03026	0.000474	-0.003142	-0.001169	0.003104	-0.000841	-0.00232	0.038605
19	0.006884	-0.03552	-0.003306	-0.00232	-0.000183	0.001296	0.00146	-0.000841	0.039098
20	0.009843	-0.03174	-0.000183	-0.001827	-0.002155	0.001954	0.000146	-0.001827	0.035975
21	0.006556	-0.032561	-0.000347	-0.001827	-0.002977	0.001132	0.000967	-0.001005	0.038112
22	0.011651	-0.03174	-0.001169	-0.000512	-0.000676	0.00787	-0.000841	-0.001662	0.035647
23	0.007377	-0.029932	0.00031	-0.003635	0.000474	0.005734	-0.000676	-0.000841	0.035975
24	0.009514	-0.034205	-0.001662	-0.002813	0.003926	0.009678	-1.9e-05	-0.004785	0.040742
25	0.011815	-0.030754	-0.002155	-0.002648	0.000639	0.00935	-0.001169	-0.001334	0.034989
26	0.011322	-0.027959	-0.000347	-0.000676	0.001132	0.010829	-0.002484	-0.001498	0.033181
27	0.010171	-0.025987	-0.003799	-0.00232	0.000639	0.007213	-0.000512	-0.004621	0.034003
28	0.011815	-0.023851	-0.001498	-0.001498	0.001954	0.010171	0.001132	0.000146	0.034003
29	0.010336	-0.023522	-0.002155	-0.005771	0.000146	0.005076	0.000639	-0.002813	0.031538
30	0.010171	-0.026152	-0.002977	-0.003635	0.001296	0.001132	-0.000841	-0.000841	0.031045
31	0.011815	-0.0227	-0.002155	-0.003142	-0.000676	0.004255	-0.001498	-0.00347	0.029566
32	0.011322	-0.022536	-0.003963	-0.002648	0.001132	0.003597	-0.001991	0.000474	0.034003
33	0.014445	-0.02007	-0.002648	-0.001498	0.001132	0.003433	-0.005114	-0.002484	0.030223
34	0.012308	-0.019413	0.000967	-0.001991	0.000639	0.003597	0.00031	-0.000512	0.029566
35	0.011815	-0.015797	-0.004949	-0.001991	-0.000183	0.003761	-0.005114	-0.00347	0.030387
36	0.010007	-0.014482	-0.007908	-0.003306	0.003597	0.004255	-0.004949	0.000803	0.026771
37	0.011651	-0.011195	-0.004785	-0.00347	0.002447	0.003433	-0.005443	0.00031	0.025785
38	0.00672	-0.008072	0.000146	-0.005278	-0.002648	0.004419	-0.003799	0.000803	0.029072
39	0.00935	-0.007415	0.001296	-0.003306	-0.001991	0.006391	-0.004292	-0.001991	0.026771
40	0.004748	-0.001827	-0.00232	-0.002155	-0.001005	0.003597	-0.001991	-0.000512	0.025457
41	0.001789	-0.002484	-0.001169	-0.002484	0.002282	0.008363	-0.002484	-0.002155	0.026771
42	0.002118	-0.001662	-0.001334	-0.006429	-0.000841	0.008857	-0.000512	-0.004128	0.026278
43	0.003597	0.000146	-0.000676	0.001625	-0.001169	0.011979	-1.9e-05	0.002282	0.022663
44	0.005241	-0.001827	-0.002648	0.000967	-0.000512	0.01313	0.001296	-1.9e-05	0.023484
45	0.003104	-0.001005	0.001132	0.002118	-1.9e-05	0.01691	0.002775	-0.000347	0.022005
