Ladekurvenmessung

Zeit: 2018_05_02 15.03.35

Info: FVA3, v = 0.0215, T = 40, F = 20, h = 45.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1
0	-0.000748
1	-0.00213
2	-0.001768
3	-0.001571
4	0.002081
5	-0.002196
6	-0.001439
7	0.001127
8	0.004614
9	-0.003479
10	-0.000518
11	0.000831
12	0.001719
13	0.001851
14	4.1e-05
15	0.000337
16	0.001785
17	0.00139
18	-0.001571
19	0.001522
20	-0.002591
21	-0.000551
22	-0.001472
23	0.00037
24	0.00014
25	0.000699
26	0.001489
27	0.004088
28	0.000699
29	-0.000288
30	0.003331
31	-0.001867
32	0.000469
33	-0.00065
34	0.001423
35	-0.000814
36	-0.000123
37	-0.001374
38	0.003463
39	-0.003479
40	-0.000518
41	-0.001933
42	-0.001077
43	0.00287
44	0.001061
45	0.000403
46	0.000469
47	0.00218
48	-0.002097
49	0.002607
50	-0.001538
51	8e-06
52	-0.003117
53	-0.002492
54	-0.000683
55	0.001949
56	0.001423
57	0.001587
58	-0.000617
59	0.002147
60	4.1e-05
61	0.002048
62	0.000699
63	-0.002986
64	-0.001966
65	-0.001538
66	0.001752
67	-0.000979
68	0.000568
69	-0.000485
70	0.004186
71	0.003002
72	0.000929
73	0.001653
74	0.000995
75	-0.000551
76	0.001324
77	0.001587
78	0.0006
79	0.001752
80	-0.000518
81	0.004154
82	0.00116
83	0.002772
84	0.001752
85	0.002048
86	0.002245
87	-0.000452
88	-0.000814
89	0.003101
90	0.003298
91	-0.000387
92	0.001752
93	0.001225
94	0.00241
95	0.002278
96	0.003068
97	4.1e-05
98	0.002805
99	-0.00088
100	0.001554
101	-0.000551
102	0.002574
103	0.002509
104	0.006095
105	-0.000255
106	-0.000123
107	7.4e-05
108	0.003101
109	0.001456
110	0.001258
111	0.003035
112	-0.000255
113	0.00389
114	0.003759
115	0.003265
116	-0.000551
117	0.000765
118	4.1e-05
119	0.002739
120	0.000864
121	-0.000716
122	-0.001341
123	-0.000222
124	0.00037
125	0.001719
126	-2.5e-05
127	0.000173
128	0.00014
129	0.000798
130	0.001719
131	0.00037
132	0.001028
133	-0.000913
134	0.002344
135	0.000502
136	0.000436
137	0.00116
138	-9e-05
139	0.000436
140	0.000239
141	0.001653
142	0.000304
143	0.002311
144	0.000173
145	0.0006
146	0.000765
147	-0.000123
148	0.000699
149	0.00287
150	0.001982
151	0.000732
152	-0.002657
153	0.000502
154	0.00014
155	-0.004598
156	-0.004762
157	0.000206
158	-0.003512
159	0.001291
160	0.003759
161	0.001686
162	0.002706
163	0.000831
164	0.00241
165	-0.001571
166	-0.001703
167	0.000929
168	0.003331
169	0.000666
170	0.003232
171	0.004581
172	0.001554
173	0.000732
174	0.001883
175	0.001291
176	-9e-05
177	0.001423
178	0.003134
179	0.003331
180	0.001258
181	0.000337
182	0.002443
183	0.003594
184	-0.001768
185	0.006226
186	0.000337
187	0.002311
188	0.000436
189	0.000897
190	-0.000518
191	0.000633
192	0.000929
193	0.000897
194	0.001949
195	-0.003973
196	-0.001406
197	-0.00213
198	-0.00111
199	7.4e-05
200	0.000962
201	0.003759
202	0.000732
203	-0.001933
204	0.005864
205	0.0006
206	0.001127
207	0.000568
208	0.000535
209	0.001587
210	-2.5e-05
211	0.001719
212	0.000239
213	0.002377
214	0.001719
215	0.004055
216	0.002212
217	0.00241
218	0.002838
219	0.001818
220	0.000436
221	0.003989
222	0.003496
223	0.001653
224	0.002048
225	0.001916
226	0.002245
227	0.000535
228	0.002936
229	0.003167
230	0.001719
231	0.00139
232	0.002212
233	0.001324
234	0.003167
235	-0.000255
236	0.001785
237	0.001225
238	0.00287
239	0.003397
240	-0.009269
241	0.002541
242	0.000798
243	0.001587
244	0.000436
245	0.001916
246	0.004877
247	0.004976
248	0.000732
249	0.002772
250	0.001094
251	0.004483
252	0.008562
253	0.017214
254	0.022676
255	0.02488
256	0.024584
257	0.019583
258	0.028005
259	0.028137
260	0.030835
261	0.035473
262	0.035473
263	0.025604
264	0.031493
265	0.019254
266	0.023367
267	0.025373
268	0.021129
269	0.026163
270	0.026163
271	0.025538
272	0.030802
273	0.031953
274	0.032348
275	0.037546
276	0.039323
277	0.042152
278	0.041264
279	0.043007
280	0.042744
281	0.045113
282	0.045047
