Ladekurvenmessung

Zeit: 2018_05_02 15.10.32

Info: FVA3, v = 0.0769, T = 40, F = 20, h = 79.7

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	-0.001209	-0.000123	-9e-05	-9e-05	-0.000123
1	-0.001801	-2.5e-05	0.000107	4.1e-05	8e-06
2	0.00139	7.4e-05	4.1e-05	7.4e-05	-9e-05
3	0.002048	4.1e-05	4.1e-05	7.4e-05	-0.000123
4	0.000897	7.4e-05	-0.001275	0.000173	-2.5e-05
5	-0.000518	0.000107	0.000304	4.1e-05	4.1e-05
6	0.002245	0.000107	-0.000156	7.4e-05	0.00014
7	0.000765	8e-06	0.000337	-2.5e-05	0.000107
8	0.002147	-2.5e-05	4.1e-05	-5.8e-05	0.000107
9	-0.002821	-5.8e-05	-0.00065	-5.8e-05	0.000107
10	0.000699	-0.000123	8e-06	-0.000123	8e-06
11	0.000897	-9e-05	0.000239	-2.5e-05	-2.5e-05
12	-0.000748	-5.8e-05	0.000173	8e-06	-9e-05
13	-0.000781	-2.5e-05	0.000107	4.1e-05	-0.000156
14	-9e-05	4.1e-05	0.000173	0.00014	-0.000123
15	0.00139	0.000107	-0.000255	0.000107	-9e-05
16	-5.8e-05	0.000107	0.000206	0.00014	7.4e-05
17	-0.001176	7.4e-05	-0.000551	7.4e-05	0.000107
18	-0.000716	7.4e-05	0.001291	-5.8e-05	7.4e-05
19	0.001324	8e-06	0.00162	8e-06	0.000173
20	-0.002196	-9e-05	0.001193	-0.000123	0.00014
21	-0.000518	-9e-05	0.000436	-2.5e-05	4.1e-05
22	-0.002459	-0.000123	0.002015	-5.8e-05	-5.8e-05
23	0.004713	-9e-05	-0.00315	8e-06	-5.8e-05
24	-0.001308	8e-06	-0.000551	0.000107	-5.8e-05
25	0.00014	0.000107	-0.000321	0.000107	-2.5e-05
26	0.004351	7.4e-05	-5.8e-05	0.000107	-5.8e-05
27	0.003364	0.000173	0.001094	0.000107	8e-06
28	0.001258	0.000107	-0.000222	4.1e-05	8e-06
29	0.002147	0.000107	0.000864	-2.5e-05	0.000107
30	0.003496	-5.8e-05	0.000173	-9e-05	0.000107
31	-0.000847	-5.8e-05	0.001785	-5.8e-05	7.4e-05
32	0.000173	-5.8e-05	0.002147	-2.5e-05	7.4e-05
33	0.000239	-9e-05	-0.001176	-0.000123	-5.8e-05
34	0.002114	-9e-05	-2.5e-05	7.4e-05	-2.5e-05
35	0.001686	8e-06	0.000962	4.1e-05	-5.8e-05
36	0.001949	7.4e-05	0.003068	0.00014	-9e-05
37	-0.001768	4.1e-05	-0.000913	0.000173	-0.000123
38	0.002443	0.000107	0.001423	0.000107	8e-06
39	0.001094	0.000107	-0.000255	0.00014	8e-06
40	0.001324	7.4e-05	0.002673	-2.5e-05	0.00014
41	0.000469	8e-06	-2.5e-05	-2.5e-05	8e-06
42	0.001423	-5.8e-05	-0.000617	-5.8e-05	0.000271
43	-0.000485	-9e-05	0.000929	-9e-05	8e-06
44	0.001752	-5.8e-05	-0.001045	-2.5e-05	8e-06
45	0.003199	-9e-05	0.000271	-2.5e-05	-9e-05
46	0.000206	8e-06	0.00116	0.000107	-5.8e-05
47	0.002278	0.000107	-0.001374	0.00014	-0.000123
48	0.001324	4.1e-05	-9e-05	7.4e-05	-2.5e-05
49	7.4e-05	0.000173	-0.00065	0.000173	8e-06
50	-0.001768	7.4e-05	0.000864	7.4e-05	8e-06
51	-0.001472	0.000107	-0.002032	8e-06	0.000206
52	-0.001209	-5.8e-05	0.000206	-2.5e-05	4.1e-05
53	-0.000288	-9e-05	7.4e-05	-0.000123	0.000173
54	-0.002953	-9e-05	0.000666	-9e-05	8e-06
55	-0.002591	-9e-05	0.001094	-0.000123	-2.5e-05
56	0.00014	-2.5e-05	0.000502	8e-06	-2.5e-05
57	0.000732	-5.8e-05	0.000239	7.4e-05	-2.5e-05
58	-2.5e-05	7.4e-05	-5.8e-05	7.4e-05	-9e-05
59	-0.000354	0.000107	-0.000354	0.000107	8e-06
60	-0.001374	0.000107	-0.000255	0.000107	-5.8e-05
61	0.003101	0.000173	0.00014	0.000107	8e-06
62	0.001193	4.1e-05	-0.000123	-5.8e-05	4.1e-05
63	0.001324	-5.8e-05	0.001456	-9e-05	4.1e-05
64	0.000765	-2.5e-05	0.000173	-5.8e-05	0.000107
65	-0.003084	-0.000156	0.000929	-0.000123	-2.5e-05
66	-0.001604	-9e-05	8e-06	-0.000156	-5.8e-05
67	-0.001999	-9e-05	0.001127	8e-06	-0.000123
68	-0.002986	8e-06	-0.000748	7.4e-05	-2.5e-05
69	-0.003676	7.4e-05	-0.001341	0.000107	-0.000123
70	0.00037	4.1e-05	0.000995	0.00014	-0.000255
71	-0.000354	7.4e-05	0.000568	0.000107	8e-06
72	0.001258	0.000107	0.001587	0.000107	8e-06
73	0.000337	7.4e-05	-0.001209	-2.5e-05	4.1e-05
74	0.002739	8e-06	8e-06	-5.8e-05	0.000173
75	-0.001999	-5.8e-05	0.000666	-0.000123	8e-06
76	0.000897	-5.8e-05	0.003002	-9e-05	0.000107
77	0.002607	-0.000123	-0.000255	-0.000123	-2.5e-05
78	0.000864	-0.000156	-0.000584	-2.5e-05	-5.8e-05
79	0.000271	4.1e-05	-0.001867	0.000107	-0.000123
80	0.001949	4.1e-05	0.001357	8e-06	-0.000156
81	0.001225	0.00014	-0.000584	0.000107	0.000436
82	0.000502	7.4e-05	-0.00088	0.000107	-9e-05
83	0.003035	0.000107	-0.00292	7.4e-05	4.1e-05
84	-0.001012	0.000107	0.001193	7.4e-05	8e-06
85	0.002344	8e-06	-0.000781	-5.8e-05	4.1e-05
86	-0.003578	-2.5e-05	0.001489	-5.8e-05	7.4e-05
87	-0.003183	-9e-05	0.002772	-9e-05	-2.5e-05
88	-0.002525	-0.000156	0.001785	-0.000123	8e-06
89	-0.00167	0.000107	0.002443	8e-06	8e-06
90	-0.001242	-2.5e-05	0.000535	4.1e-05	-0.000189
91	-0.003347	8e-06	0.002541	0.000107	-9e-05
92	0.000271	8e-06	0.000864	0.000107	-0.000387
93	0.00116	0.000173	0.001686	0.000107	8e-06
94	0.000436	0.000107	-2.5e-05	4.1e-05	0.000107
95	-0.000255	0.000173	0.005634	4.1e-05	0.000107
96	-0.00723	-5.8e-05	-0.003578	-5.8e-05	4.1e-05
97	-0.001834	-5.8e-05	0.001094	-9e-05	4.1e-05
98	0.001522	-0.000123	-0.003644	-9e-05	4.1e-05
99	0.001587	-9e-05	0.002443	-9e-05	-9e-05
100	-2.5e-05	-0.000387	0.002081	-2.5e-05	-9e-05
101	-0.002722	8e-06	-0.000288	7.4e-05	-0.000123
102	-0.001209	7.4e-05	0.000732	4.1e-05	-5.8e-05
103	-0.001143	7.4e-05	0.000633	0.000107	-0.000123
104	-0.000288	7.4e-05	0.000436	0.000173	-2.5e-05
105	-0.001242	0.00014	-0.000354	0.000107	8e-06
106	-0.001275	0.000107	-0.004466	4.1e-05	0.00014
107	0.000206	-9e-05	-0.000387	8e-06	7.4e-05
108	-0.002986	-5.8e-05	0.001785	-0.000123	0.00014
109	-0.001275	-2.5e-05	0.000502	-5.8e-05	8e-06
110	-0.000123	-0.000123	-0.002295	-0.000156	4.1e-05
111	-0.002821	-9e-05	-0.000189	8e-06	-0.000189
112	-0.000979	-5.8e-05	-0.000913	7.4e-05	-2.5e-05
113	0.001818	0.000107	-0.000683	7.4e-05	-5.8e-05
114	-0.001012	0.000107	0.003364	0.000107	-0.000321
115	0.000699	0.000107	-0.00315	0.000107	-0.000123
116	-0.000485	0.000107	-0.000913	0.000107	-9e-05
117	-0.001604	0.00014	0.000469	8e-06	7.4e-05
118	-0.001538	8e-06	-0.000814	-9e-05	-9e-05
119	-0.001933	-2.5e-05	0.001456	-5.8e-05	-0.000123
120	-0.001768	-9e-05	0.000403	-9e-05	-2.5e-05
121	0.0006	-5.8e-05	0.001554	-9e-05	-5.8e-05
122	-0.00088	-0.000123	-0.002755	-9e-05	-5.8e-05
123	0.000666	-5.8e-05	0.002574	8e-06	-2.5e-05
124	-0.00417	4.1e-05	0.006127	0.000107	-0.000123
125	0.000995	4.1e-05	0.004515	0.000107	-2.5e-05
126	-0.001999	0.00014	0.000831	0.000107	-0.000123
127	0.001193	0.00014	0.001916	0.000107	0.00014
128	0.001094	7.4e-05	0.001258	4.1e-05	0.000271
129	-0.000387	8e-06	-0.001077	-2.5e-05	4.1e-05
130	0.00218	-2.5e-05	0.001423	-9e-05	4.1e-05
131	0.000699	-5.8e-05	0.001028	-9e-05	-5.8e-05
132	0.001554	-5.8e-05	0.000666	-5.8e-05	-2.5e-05
133	-0.00065	-0.000156	-0.000419	-0.000156	-0.000123
134	0.002114	4.1e-05	0.001456	7.4e-05	-9e-05
135	0.001423	4.1e-05	0.000535	7.4e-05	-0.000123
136	0.000239	7.4e-05	0.003298	0.000107	-5.8e-05
137	-0.004861	0.00014	-0.000255	0.00014	-0.000189
138	0.002212	7.4e-05	0.000502	0.000107	4.1e-05
139	-0.000913	0.00014	0.000732	7.4e-05	4.1e-05
140	0.000403	4.1e-05	0.002147	-9e-05	4.1e-05
141	0.002607	8e-06	0.00037	-2.5e-05	0.000107
142	0.000173	-9e-05	0.00241	-5.8e-05	0.000271
143	0.000732	-0.000123	0.002114	-9e-05	0.000173
144	0.000666	-9e-05	0.001522	-2.5e-05	-5.8e-05
145	0.00162	-9e-05	-0.002591	4.1e-05	4.1e-05
146	0.002509	0.000107	0.002805	0.00014	-0.000156
147	0.007147	4.1e-05	-0.0019	0.00014	-0.000156
148	0.001916	0.000107	0.000469	7.4e-05	-2.5e-05
149	0.003792	0.000173	-9e-05	0.00014	8e-06
150	0.002509	8e-06	-0.001505	4.1e-05	4.1e-05
151	0.002772	0.00014	0.000271	-5.8e-05	-0.000156
152	0.003594	-2.5e-05	-0.000321	-5.8e-05	4.1e-05
153	0.001587	-9e-05	0.001028	-0.000123	0.00014
154	-0.001933	-2.5e-05	-0.000979	-5.8e-05	8e-06
155	0.000337	-5.8e-05	0.004483	-5.8e-05	4.1e-05
156	-0.001341	4.1e-05	0.00264	7.4e-05	8e-06
157	0.005634	8e-06	0.005437	0.000107	-0.000123
158	0.003496	7.4e-05	0.005272	0.000107	-0.000189
159	0.002706	0.000206	0.00672	0.000107	4.1e-05
160	0.004647	0.000502	0.006325	7.4e-05	8e-06
161	0.001982	0.000173	0.001752	0.000107	0.000107
162	0.002673	0.000239	-5.8e-05	-5.8e-05	0.000107
163	0.004548	-9e-05	0.003134	-0.000123	8e-06
164	0.001653	-5.8e-05	-0.000518	-5.8e-05	0.000107
165	0.001785	8e-06	-0.000419	-5.8e-05	8e-06
166	0.002081	-0.000354	0.001028	-9e-05	-0.000222
167	0.002706	0.00014	0.000633	4.1e-05	8e-06
168	0.002476	0.000239	8e-06	4.1e-05	8e-06
169	-0.000617	0.000107	-0.000781	0.000107	-0.000222
170	0.002245	4.1e-05	0.000666	0.000107	-2.5e-05
171	0.000864	0.00014	0.001916	0.000107	-9e-05
172	-0.000748	0.000107	0.001818	0.000107	-5.8e-05
173	0.001785	0.00014	-0.000321	-2.5e-05	4.1e-05
174	0.000173	-0.000123	-0.00111	-5.8e-05	0.000107
175	0.003167	-0.000123	0.000304	-0.000123	4.1e-05
176	-0.001012	-9e-05	0.002607	-5.8e-05	4.1e-05
177	0.004186	-0.000123	0.001554	-5.8e-05	0.000107
