Ladekurvenmessung

Zeit: 2018_05_02 15.13.26

Info: FVA3, v = 0.1510, T = 40, F = 20, h = 123.8

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	0.003134	0.00389	0.004088	0.00116
1	0.001489	0.001916	0.006654	0.003792
2	7.4e-05	-0.001571	0.004811	0.005075
3	-0.000288	0.001883	0.007378	0.001324
4	0.000173	-0.002064	0.008595	0.001752
5	-0.001834	0.002015	0.003857	-0.001999
6	-0.00213	-0.000518	0.004647	0.000304
7	-0.001176	0.000107	0.005042	4.1e-05
8	-0.002821	-0.000255	0.006193	-0.001143
9	0.0006	-2.5e-05	0.005371	0.000929
10	-0.003216	4.1e-05	0.003627	-0.007855
11	-0.003709	-2.5e-05	0.007147	-0.001242
12	-0.002953	-2.5e-05	0.00899	-9e-05
13	-0.001406	-2.5e-05	0.008529	-0.000485
14	-0.001341	-9e-05	0.009023	-2.5e-05
15	0.00162	-0.000255	0.004943	0.002772
16	0.000271	8e-06	0.006193	-0.000123
17	0.003167	-0.000321	0.003035	0.003167
18	0.003298	0.001291	0.003726	0.001456
19	0.000107	-0.000781	0.004976	0.002706
20	-0.00065	0.000929	0.00514	0.001554
21	0.000239	0.000732	0.00491	0.001489
22	0.000436	0.00287	0.006095	0.000173
23	-0.000913	0.001883	0.007838	0.000929
24	-0.000551	0.000403	0.005766	0.000897
25	-0.002821	-0.000452	0.007246	-0.002459
26	0.000798	-0.000683	0.009023	0.000633
27	-0.002262	-0.000222	0.004384	-5.8e-05
28	-0.002097	-0.001308	0.004548	0.00014
29	-2.5e-05	0.001258	0.006424	0.00037
30	-0.000518	-0.00065	0.005338	0.003627
31	-0.003512	0.000798	0.005535	-0.000485
32	0.001752	-0.002064	0.000173	0.005173
33	-0.00236	0.005108	0.005798	-0.002163
34	0.004121	-0.000847	0.003331	-0.001275
35	-0.001406	0.002509	0.004318	0.001324
36	-0.000683	0.000831	0.004844	0.000107
37	-0.000189	0.001193	-0.003051	0.002278
38	-0.003183	0.000962	0.00468	0.002706
39	-0.000748	-0.00167	0.00343	0.00389
40	0.001587	-0.001703	0.00491	0.002509
41	-0.00167	0.000436	0.003627	0.003825
42	-0.005124	-0.000419	0.004713	0.002015
43	-0.000452	-0.000814	0.00343	0.003989
44	-0.004367	0.000173	0.003857	0.0006
45	0.00014	-2.5e-05	0.00241	0.005831
46	-0.002295	-9e-05	0.003364	0.002805
47	0.000568	-9e-05	0.002541	0.001554
48	-0.000222	-5.8e-05	0.001686	0.001423
49	0.00139	-9e-05	0.000271	0.003167
50	-9e-05	0.000107	0.00162	0.002015
51	-0.005157	0.000107	0.000732	0.003068
52	-0.001077	0.00014	-9e-05	0.003035
53	-0.001308	0.000107	0.002969	0.004055
54	-0.001077	0.00014	0.002936	0.003331
55	0.001818	4.1e-05	0.00491	0.004219
56	-0.004598	-9e-05	0.000633	-0.00065
57	-0.000814	-0.000189	-5.8e-05	0.001258
58	0.001357	-0.000452	0.001851	0.002509
59	-0.000551	-0.000716	0.005996	0.000633
60	0.000568	0.000206	-0.001045	0.004351
61	-0.003512	0.000535	0.003627	0.002048
62	-0.002328	-0.001209	-9e-05	0.002574
63	-0.003907	0.001686	0.000798	0.001028
64	-0.000156	-0.000814	0.000929	0.000765
65	0.001028	0.001225	0.002212	0.000929
66	0.002838	7.4e-05	0.001818	0.004746
67	0.000897	0.000173	0.004055	-0.002953
68	0.002805	0.00037	0.005766	-0.001538
69	0.003956	-5.8e-05	0.002476	0.00116
70	0.003956	0.000337	0.000765	-0.000452
71	0.005897	0.000699	0.001357	0.002114
72	0.001883	8e-06	0.001752	0.00037
73	0.002377	0.000173	0.000699	0.001851
74	-0.000387	-0.000419	0.001489	0.003956
75	0.00037	0.000403	0.001127	0.000535
76	0.000173	-9e-05	0.003298	-0.001472
77	0.002739	7.4e-05	0.00218	0.004515
78	-0.000683	-2.5e-05	0.003134	-0.002426
79	0.002805	-0.000123	0.001061	0.00037
80	0.003265	-2.5e-05	0.001456	0.001258
81	0.003265	-0.000123	0.002673	0.002147
82	0.000666	-5.8e-05	0.002048	4.1e-05
83	0.004811	4.1e-05	0.002081	0.003134
84	0.004285	7.4e-05	-0.00065	8e-06
85	0.005009	0.00014	-0.00167	0.001324
86	-0.000222	7.4e-05	0.000337	0.001982
87	-0.002196	0.00014	0.003561	0.000206
88	0.000403	0.000107	0.003298	0.001916
89	-0.001637	-5.8e-05	0.001587	0.002903
90	0.002443	-9e-05	-0.001472	-0.001209
91	0.000666	-9e-05	-0.001406	0.000666
92	-0.000419	-9e-05	-0.001966	0.003561
93	-0.004071	-9e-05	0.000666	-0.000781
94	0.003134	8e-06	-0.000222	0.001094
95	-0.000321	4.1e-05	-0.000288	0.002278
96	0.004943	0.000107	-0.000748	0.001686
97	-0.000617	0.000107	0.000107	-0.001209
98	0.002443	7.4e-05	0.001423	0.000403
99	0.000239	8e-06	-0.0019	0.00037
100	0.00139	8e-06	-0.000189	0.000962
101	0.002936	-5.8e-05	-0.001472	-0.003973
102	0.002377	-9e-05	-0.000452	0.000798
103	0.001982	-5.8e-05	-0.001012	0.003594
104	0.000929	-9e-05	0.000568	0.002081
105	0.00241	8e-06	-0.000354	0.001225
106	0.000831	7.4e-05	0.000897	0.000995
107	0.00139	7.4e-05	-0.003183	0.001127
108	0.001028	0.000107	-0.001143	-0.000288
109	0.005173	0.000107	-0.001768	0.002509
110	-0.00394	7.4e-05	-0.00292	0.000436
111	-0.000551	-0.000123	-0.002755	0.000962
112	-0.003282	8e-06	0.000107	4.1e-05
113	-0.004038	-0.000156	0.00014	-0.00065
114	-9e-05	-5.8e-05	0.001094	0.002212
115	0.001127	8e-06	0.000732	0.000633
116	8e-06	-5.8e-05	-0.000288	-0.001999
117	0.000864	0.000107	-0.000354	0.000403
118	0.001851	0.000107	-0.007262	-0.00111
119	0.001489	0.000107	-0.004696	-5.8e-05
120	0.004647	0.000173	-0.002492	-5.8e-05
121	0.001225	7.4e-05	-0.001505	0.000699
122	0.0006	-2.5e-05	-0.002196	-0.00167
123	0.001028	-2.5e-05	0.001423	-0.002887
124	0.0006	7.4e-05	-0.002097	-0.00088
