Ladekurvenmessung

Zeit: 2018_05_02 15.23.18

Info: FVA3, v = 0.5753, T = 40, F = 20, h = 293.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.010865	0.011095	0.002772	0.004647	0.008726	0.002476
1	0.010437	0.014615	0.001489	0.006358	0.006687	0.004186
2	0.011687	0.009582	0.0006	0.00366	0.006851	0.004219
3	0.013431	0.01399	0.000732	0.00616	0.007542	0.003035
4	0.011029	0.012148	0.001752	0.004351	0.005667	0.003857
5	0.011523	0.015142	0.002081	0.002344	0.007904	0.005437
6	0.010503	0.011128	-0.000189	0.006127	0.008694	0.004252
7	0.014089	0.015076	0.004581	0.005437	0.005568	0.006654
8	0.010503	0.009779	0.003792	0.005996	0.009582	0.00343
9	0.01297	0.015109	0.008003	0.006884	0.011852	0.002574
10	0.009088	0.013332	0.00037	0.002739	0.011029	0.005568
11	0.014023	0.014484	0.005108	0.004877	0.008332	0.00037
12	0.015635	0.003989	0.001752	0.006588	0.00945	0.00491
13	0.011457	0.008825	0.004548	0.004186	0.00945	0.003167
14	0.011457	0.00774	0.005075	0.003989	0.008068	0.001587
15	0.013497	0.005634	0.002936	0.003528	0.002903	0.002245
16	0.009352	0.003989	0.002509	0.002673	0.007838	0.00218
17	0.010174	0.005864	0.002541	0.004055	0.006687	0.002081
18	0.009516	0.006489	0.002212	0.003825	0.006391	0.004186
19	0.007641	0.001554	0.003627	0.001818	0.004713	0.001883
20	0.011391	0.006424	0.005206	0.000864	0.010141	0.003496
21	0.006983	0.006917	0.003397	0.006259	0.005634	-0.000354
22	0.011194	0.009977	0.006391	0.003298	0.006785	0.002541
23	0.011687	0.008529	0.001653	0.006884	0.007871	-5.8e-05
24	0.010865	0.005634	0.004088	0.0057	0.006917	0.00287
25	0.012674	0.006555	0.003561	0.005667	0.009319	0.002048
26	0.011161	0.005634	0.003463	0.0057	0.00616	0.003134
27	0.008825	0.007641	0.001324	0.005371	0.008726	0.00264
28	0.008463	0.00899	0.006818	0.007147	0.005108	0.001818
29	0.013003	0.008003	0.000831	0.006983	0.006193	0.001949
30	0.007904	0.007707	-0.001176	0.005897	0.005897	0.001785
31	0.006325	0.009384	0.007805	0.00672	0.00593	0.000897
32	0.011161	0.006621	0.002838	0.003759	0.002673	0.001324
33	0.008101	0.009977	8e-06	0.003035	0.005305	0.001686
34	0.010306	0.011951	0.00162	0.002969	0.002706	-0.000716
35	0.010536	0.008891	-0.000551	0.003726	-0.005617	0.003594
36	0.006259	0.008068	-0.001012	0.003101	0.002377	-0.00315
37	0.012247	0.006489	0.00162	0.002081	0.003594	-0.001505
38	0.011029	0.008266	0.004252	0.0006	0.004121	-0.004894
39	0.011457	0.007443	0.002476	0.004186	0.002607	-0.00065
40	0.012016	0.008792	0.004417	0.007443	0.004844	-0.001143
41	0.011687	0.01274	0.00287	0.004252	0.00264	0.000995
42	0.009253	0.010404	0.003759	0.003989	-2.5e-05	-0.002262
43	0.014188	0.0107	0.002739	0.003298	-0.001472	-0.001374
44	0.008694	0.011457	0.002706	0.004351	0.005338	-0.000485
45	0.012378	0.011687	0.003364	0.004713	0.001028	0.000666
46	0.012049	0.013201	0.004384	0.003989	0.00139	0.00116
47	0.010964	0.010865	0.004154	0.002838	0.000535	0.002311
48	0.012938	0.010371	0.002015	0.003594	0.002476	-0.001571
49	0.012247	0.008595	0.000864	0.001851	0.000962	-0.002459
50	0.013135	0.009055	-0.000518	0.000864	0.003035	-0.000255
51	0.009878	0.007871	0.003857	-0.000189	-0.000189	-0.003676
52	0.01228	0.008529	0.000304	0.002147	-0.000716	0.000206
53	0.008957	0.009352	0.001225	0.000436	0.000633	-0.002262
54	0.012444	0.009977	0.002969	0.002969	0.000469	0.000239
55	0.00718	0.008134	0.001851	0.00037	0.000436	-0.001604
56	0.013102	0.010503	0.003397	0.001785	-0.000288	-0.002393
57	0.010997	0.009944	0.002147	0.003199	-0.000452	-0.000485
58	0.011951	0.008299	0.00389	0.002443	-0.003183	-0.000387
59	0.002772	0.008628	0.005437	0.003265	-0.001242	-0.001176
60	0.012609	0.008397	0.004581	0.004976	-0.002196	-0.001834
61	0.013003	0.008463	0.001883	0.005371	-0.002887	-0.002163
62	0.013497	0.011227	0.006621	0.001982	-0.003578	-0.0019
63	0.013826	0.008726	0.001851	0.005371	-9e-05	7.4e-05
64	0.011951	0.011062	0.004713	0.000469	-0.003874	0.000798
65	0.012938	0.010635	0.003528	0.001851	-0.001834	0.000271
66	0.010602	0.005206	0.005634	-0.003347	-0.004071	-0.003676
67	0.015898	0.008397	0.001324	-0.001275	-0.003347	0.001061
68	0.011523	0.005075	0.00264	0.00445	-0.002163	-0.002262
69	0.012214	0.002739	0.002476	0.003857	-0.003249	0.000535
70	0.011095	0.006424	0.001554	0.000173	-0.00394	-0.001341
71	0.013398	0.008266	0.003265	0.003759	-0.006703	-0.00213
72	0.012938	0.007312	0.00037	0.003528	-0.004992	0.001851
73	0.01399	0.009944	0.004811	0.006917	-0.005979	0.000502
74	0.013168	0.005239	0.001587	0.006588	-0.004104	0.00116
75	0.015273	0.009384	0.00366	0.005437	-0.004071	0.000436
76	0.011424	0.008759	0.002081	-0.00167	-0.00542	0.00162
77	0.014319	0.009779	0.005338	0.004186	-0.005223	0.000765
78	0.014484	0.009681	0.002903	0.007147	-0.004433	0.000962
79	0.013497	0.011358	0.003528	0.005535	-0.011375	0.00116
80	0.015504	0.007443	0.00491	0.005502	-0.003874	0.001785
81	0.011654	0.00922	0.005206	0.004219	-0.006736	-0.000123
82	0.014056	0.010273	0.001291	0.00616	-0.006341	0.000304
83	0.016195	0.010042	-0.000387	0.005601	-0.005256	0.001489
84	0.016458	0.011951	0.005798	0.008332	-0.009006	0.002739
85	0.014056	0.007213	0.00241	0.008595	-0.004828	0.003134
86	0.016951	0.009911	0.003693	0.007608	-0.006868	0.002344
87	0.014385	0.008825	0.002081	0.00695	-0.006407	0.000929
88	0.016326	0.010042	0.00514	0.0057	-0.005979	-0.002328
89	0.018991	0.007049	0.000206	0.00695	-0.007361	-0.0019
90	0.019123	0.009878	0.004483	0.005766	-0.006835	-0.001637
91	0.015964	0.008068	0.002509	0.008397	-0.002295	0.002114
92	0.018695	0.005469	0.001094	0.006193	-0.010026	0.00287
93	0.021886	0.007114	0.002509	0.007871	-0.007493	-0.001406
94	0.020603	0.008562	0.004022	0.006917	-0.009598	0.005206
95	0.017247	0.007147	0.004647	0.010042	-0.008217	0.00616
96	0.021195	0.009088	0.004285	0.006818	-0.009467	0.003232
97	0.019781	0.009121	0.00287	0.010207	-0.005782	0.000337
98	0.0183	0.008957	0.005963	0.007575	-0.007624	0.004713
99	0.019813	0.009319	0.003956	0.007904	-0.008118	0.002476
100	0.02534	0.00797	0.001193	0.009779	-0.006703	0.003792
101	0.018432	0.009648	0.003561	0.005667	-0.005552	0.002838
102	0.019517	0.007378	0.001785	0.006588	-0.004663	0.002936
103	0.02011	0.007674	-2.5e-05	0.006325	-0.004104	0.004483
104	0.021096	0.007279	0.00162	0.00491	-0.006703	0.003265
105	0.020307	0.007871	0.001785	0.005404	-0.00871	0.008233
106	0.017971	0.006259	0.00514	0.006983	-0.007361	0.002739
107	0.02034	0.008266	0.005371	0.004548	-0.009697	0.005108
108	0.022873	0.006325	0.00139	0.007411	-0.007888	0.004877
109	0.019517	0.010635	0.002805	0.005305	-0.009368	0.001456
110	0.019287	0.007509	0.005798	0.00774	-0.005552	0.002509
111	0.021919	0.007476	0.00241	0.005009	-0.010388	0.001028
112	0.02261	0.008562	-0.000255	0.006292	-0.00746	0.005733
113	0.021787	0.008792	0.003726	0.005075	-0.005979	0.001686
114	0.023761	0.008661	0.002838	0.006555	-0.005914	0.005502
115	0.023399	0.008595	0.004121	0.009549	-0.007131	0.006193
116	0.019616	0.007542	0.007016	0.007641	-0.006374	0.003989
