Ladekurvenmessung

Zeit: 2018_05_02 15.23.39

Info: FVA3, v = 0.5753, T = 40, F = 20, h = 293.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1	Kurve_2
0	-0.003018	-0.000387
1	0.000831	0.001258
2	-0.001834	0.003298
3	-0.000683	7.4e-05
4	7.4e-05	0.000107
5	-0.000387	-0.000683
6	-0.002426	0.000107
7	-0.002755	-0.002624
8	-0.002262	-0.000716
9	0.000271	-0.00065
10	-0.003709	0.001258
11	-0.002328	0.002377
12	-0.000485	0.001785
13	-0.002986	0.001554
14	-0.007427	0.001127
15	-0.004038	-0.001472
16	-0.002887	-0.001012
17	-0.002097	0.001456
18	-0.005321	4.1e-05
19	-0.004927	0.003068
20	-0.007723	0.002048
21	-0.008085	0.002048
22	-0.004565	0.003134
23	-0.006769	0.001686
24	-0.005749	0.003561
25	-0.00723	0.004417
26	-0.002788	-0.002624
27	-0.005256	0.000929
28	-0.003545	0.000568
29	-0.005223	0.000436
30	-0.007262	0.001291
31	-0.006604	-0.000551
32	-0.00996	0.003825
33	-0.009697	0.000206
34	-0.00792	0.001883
35	-0.005025	0.003397
36	-0.006078	0.006358
37	-0.005289	0.002048
38	-0.012362	0.004746
39	-0.004071	0.00445
40	-0.007822	0.005864
41	-0.004894	0.003364
42	-0.006407	0.002607
43	-0.00667	0.006489
44	-0.008447	0.00287
45	-0.006835	0.001324
46	-0.003315	0.003035
47	-0.006177	0.004976
48	-0.008414	0.001193
49	-0.009861	0.005206
50	-0.006637	0.004285
51	-0.007394	0.003594
52	-0.005486	0.003693
53	-0.006637	0.000864
54	-0.005025	0.003002
55	-0.007789	0.003857
56	-0.00621	0.002936
57	-0.007624	7.4e-05
58	-0.007394	0.001752
59	-0.004598	0.000633
60	-0.008217	0.003594
61	-0.004302	0.003364
62	-0.004038	-0.000123
63	-0.006802	0.000403
64	-0.002722	-0.002064
65	-0.002196	0.001456
66	-0.00723	-0.00394
67	-0.004071	0.000304
68	-0.005914	-0.001012
69	-0.003841	0.000864
70	-0.004598	0.003134
71	-0.002163	-0.000485
72	-0.006769	0.001719
73	-0.002525	0.000633
74	-0.004334	0.002212
75	-0.001538	0.000929
76	-0.007394	-0.00167
77	-0.007065	-0.001538
78	-0.002558	0.000633
79	-0.000847	0.000271
80	-0.003742	0.001489
81	-0.00394	0.000271
82	-0.003216	-0.000716
83	-0.00542	0.000173
84	-0.00292	-0.001374
85	-0.004005	-0.000288
86	-0.000716	-0.000847
87	-0.000156	0.004088
88	-0.003611	0.001291
89	-0.002986	0.004219
90	-0.0019	0.002245
91	-0.003183	0.003068
92	-0.002689	0.002114
93	-0.002722	0.000633
94	8e-06	0.001456
95	-0.000288	0.000337
96	8e-06	-9e-05
97	-0.004532	-0.000551
98	0.000929	0.002673
99	0.001752	0.002048
100	0.002476	0.005371
101	0.003594	0.00014
102	-0.000255	0.005667
103	0.001324	-0.00292
104	-0.000518	0.001719
105	0.002673	0.002015
106	7.4e-05	0.001686
107	0.002081	0.000897
108	0.000107	0.001916
109	0.001752	0.00343
110	0.001127	0.001949
111	0.001883	-0.0019
112	0.002772	0.001719
113	0.003199	0.003265
114	0.003068	-0.000946
115	0.001357	0.001785
116	0.007542	0.001851
117	0.003561	-5.8e-05
118	0.006687	-0.000748
119	0.003167	0.002377
120	0.005897	-0.001045
121	0.003989	0.002048
122	0.004779	0.000995
123	0.002607	0.002936
124	0.005963	-0.002788
125	0.006062	0.000995
126	0.003265	-0.001571
127	0.008332	0.002936
128	0.003561	0.00616
129	0.006753	0.001193
130	0.006193	0.003594
131	0.010108	-0.001045
132	0.008891	0.003068
133	0.00797	-0.002163
134	0.003068	0.002278
135	0.007411	-0.000847
136	0.005766	-5.8e-05
137	0.003825	-0.003446
138	0.006654	-0.002032
139	0.008332	0.0006
140	0.00774	0.001028
141	0.01001	-0.00065
142	0.008628	-0.001637
143	0.007937	0.002476
144	0.009746	0.000929
145	0.00468	0.001719
146	0.008496	-9e-05
147	0.009845	-0.001077
148	0.012839	-0.000156
149	0.012312	0.000995
150	0.010042	-0.003775
151	0.007707	-0.002755
152	0.012312	-0.002295
153	0.013464	-0.002986
154	0.013267	-0.000123
155	0.011391	0.000469
156	0.01172	-0.00236
157	0.010339	-0.001308
158	0.012049	8e-06
159	0.014451	-0.00394
160	0.013563	0.003561
161	0.01353	-0.003413
162	0.01251	0.000337
163	0.013464	0.000239
164	0.014089	0.000436
165	0.01228	0.002673
166	0.010569	0.001225
167	0.013036	0.000765
168	0.012345	-0.00088
169	0.014747	0.004252
170	0.014023	-0.002854
171	0.012378	-0.001242
172	0.017872	-5.8e-05
173	0.014155	0.001225
174	0.012115	0.000107
175	0.009648	-0.000485
176	0.011753	-0.00111
177	0.012938	0.003199
178	0.01251	0.001982
179	0.007114	0.001587
180	0.011951	0.000732
181	0.011852	-0.00088
182	0.007871	-0.000288
183	0.011161	-0.002393
184	0.015931	-0.001966
185	0.01376	-0.000847
186	0.01478	-0.002229
187	0.011589	-0.002393
188	0.014221	-0.001242
189	0.012905	-0.002295
190	0.014681	-0.002591
191	0.013036	-0.001143
192	0.014056	-0.002821
193	0.011457	-0.000222
194	0.015635	-0.00111
195	0.013135	-0.002163
196	0.0158	-0.000222
197	0.016392	-0.002986
198	0.011983	0.000469
199	0.015734	-0.003973
200	0.013925	-0.003282
201	0.018925	-0.005157
202	0.014122	-0.00213
203	0.01501	-0.006901
204	0.014188	-0.005815
205	0.01478	-0.00565
206	0.013793	-0.005157
207	0.014023	-0.004729
208	0.011589	-0.005946
209	0.014582	-0.00292
210	0.014023	-0.004367
211	0.010207	-0.001768
212	0.014352	-0.003611
213	0.010141	-0.001637
214	0.013398	-0.003183
215	0.010865	-0.00519
216	0.011556	-0.001538
217	0.001949	-0.001505
218	0.001851	-0.004367
219	-0.000847	-0.005321
220	0.005634	-0.002196
221	0.002805	-0.002196
222	0.005568	-0.003216
223	0.005108	-0.008151
224	0.004318	0.001785
225	0.004088	-0.004729
226	0.003857	-0.00723
227	0.004384	-0.003874
228	0.00241	-0.003973
229	0.006687	-0.00292
230	0.00014	-0.006506
231	0.006621	-0.003676
232	0.001324	-0.002887
233	0.002476	-0.003512
234	0.004186	-0.002788
235	0.00695	-0.002558
236	0.005634	-0.003183
237	0.006456	-0.006012
238	0.009746	-0.005387
239	0.008003	-0.006045
240	0.008595	-0.005256
241	0.007378	-0.00542
242	0.008628	-0.001735
243	0.004548	-0.003183
244	0.006325	-0.0044
245	0.009713	-0.001374
246	0.006818	-0.003907
247	0.006095	-0.002854
248	0.008628	-0.004663
249	0.006226	-0.003841
250	0.008562	-0.002426
251	0.009483	0.001785
252	0.017083	0.007114
253	0.024814	0.017149
254	0.034453	0.02011
255	0.039981	0.027874
256	0.048271	0.034717
257	0.056068	0.042909
258	0.059095	0.049324
259	0.068043	0.054818
260	0.071761	0.061102
261	0.079525	0.065576
262	0.083276	0.073866
263	0.085743	0.079394
264	0.091303	0.085743
265	0.094889	0.088408
266	0.10114	0.087947
267	0.105647	0.000831
268	0.108805	0.012707
269	0.114826	0.014615
270	0.115253	0.025505
271	0.122524	0.031229
272	0.123939	0.038368
273	0.128281	0.04712
274	0.131835	0.052877
275	0.134532	0.059029
276	0.136704	0.062253
277	0.137625	0.07186
278	0.141606	0.073834
279	0.145685	0.074031
280	0.144336	0.076498
281	0.143481	0.087914
282	0.152166	0.091994
283	0.14427	0.0991
284	0.15108	0.099495
285	0.156871	0.107917
286	0.158187	0.10841
287	0.158516	0.112556
288	0.160457	0.115023
289	0.162365	0.121471
290	0.163615	0.122787
291	0.165819	0.123774
292	0.163286	0.129137
293	0.167069	0.130387
294	0.169405	0.138349
295	0.170524	0.136309
296	0.16651	0.140224
297	0.170195	0.141309
298	0.169208	0.148054
299	0.171215	0.151705
300	0.173583	0.151113
301	0.172563	0.152725
302	0.172794	0.153581
303	0.180986	0.154469
304	0.178485	0.155456
305	0.181347	0.155785
306	0.181874	0.157233
307	0.182828	0.160917
308	0.184835	0.159437
309	0.182071	0.16572
310	0.184078	0.16651
311	0.185131	0.168385
312	0.185098	0.169767
313	0.185723	0.173945
314	0.19125	0.171445
315	0.186151	0.175524
316	0.188223	0.17434
317	0.18694	0.178452
318	0.190789	0.174537
319	0.19125	0.176314
320	0.188158	0.178321
321	0.192204	0.179012
322	0.190592	0.180492
323	0.189934	0.181742
324	0.192632	0.184769
325	0.193586	0.181183
326	0.191678	0.184308
327	0.19556	0.18421
328	0.190428	0.18467
329	0.197501	0.182795
330	0.19	0.184177
331	0.193356	0.189967
332	0.192928	0.189671
333	0.195889	0.186809
334	0.194836	0.194935
335	0.193158	0.193191
336	0.195428	0.189868
337	0.195428	0.189967
338	0.197698	0.189967
339	0.198323	0.190197
340	0.199935	0.189967
341	0.20135	0.191316
342	0.198981	0.193356
343	0.195922	0.192467
344	0.198883	0.191678
345	0.195264	0.194046
346	0.196547	0.192961
347	0.197961	0.194474
348	0.197139	0.192007
349	0.19829	0.193816
350	0.19908	0.194935
351	0.197929	0.192862
352	0.200692	0.194902
353	0.200725	0.196481
354	0.198455	0.19533
355	0.197665	0.19454
356	0.198751	0.195527
357	0.198948	0.195428
358	0.198521	0.193158
359	0.201218	0.191316
360	0.197271	0.196382
361	0.197139	0.192763
362	0.196514	0.193948
363	0.200264	0.194639
364	0.199409	0.198817
365	0.195922	0.196152
366	0.194836	0.199146
367	0.197534	0.200199
368	0.193849	0.202107
369	0.194803	0.195659
370	0.196876	0.198258
371	0.198225	0.196876
372	0.200758	0.196613
373	0.196974	0.197172
374	0.196909	0.195856
375	0.200396	0.199541
376	0.191546	0.195132
377	0.195165	0.19885
378	0.200791	0.197369
379	0.19454	0.198619
380	0.196053	0.195001
381	0.193948	0.199212
382	0.193981	0.199409
383	0.19352	0.199277
384	0.193685	0.195691
385	0.190395	0.200857
386	0.192434	0.19931
387	0.192796	0.195231
388	0.191645	0.20158
389	0.192434	0.199771
390	0.192895	0.199968
391	0.192336	0.19533
392	0.189803	0.198619
393	0.193388	0.195494
394	0.18671	0.198554
395	0.190033	0.197731
