Ladekurvenmessung

Zeit: 2018_05_02 15.34.36

Info: FVA3, v = 1.5797, T = 40, F = 20, h = 552.7

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	-0.009894	0.001028	-0.001439	-0.002393	-0.003413	0.019386	0.00774
1	-0.005979	0.00139	0.002245	-0.000913	-0.001999	0.019813	0.012477
2	-0.010059	0.003134	0.001258	0.004318	-0.001472	0.0208	0.010273
3	-0.00338	-0.000584	0.000666	4.1e-05	-0.005387	0.020932	0.011194
4	-0.005782	-0.001801	0.001357	-0.004762	-0.0044	0.024255	0.00922
5	-0.007493	8e-06	-0.001999	0.00162	-0.007493	0.028301	0.008365
6	-0.007888	-0.00213	0.004285	-0.001505	-0.005289	0.023926	0.009384
7	-0.007131	-0.004334	-9e-05	-0.001571	-0.004203	0.021261	0.009384
8	-0.005519	-0.001999	0.000206	-0.000222	-0.003413	0.021294	0.010108
9	-0.005782	-0.006703	-0.001209	-0.004203	-0.00338	0.023663	0.009154
10	-0.004203	-0.006078	-0.000189	-0.003183	-0.001768	0.021294	0.008595
11	-0.007493	-0.010487	0.001587	-0.002887	-0.006539	0.021656	0.00695
12	-0.005486	-0.008381	0.000666	-0.004367	0.000535	0.019353	0.011983
13	-0.008842	-0.01223	0.000864	0.000239	-0.003018	0.023169	0.003825
14	-0.007756	-0.012066	0.00491	-0.00338	-0.002393	0.019188	0.010174
15	-0.01019	-0.011539	0.004844	-0.002525	-0.0019	0.019978	0.005305
16	-0.007032	-0.014961	0.000864	-0.001538	-0.00111	0.013892	0.002344
17	-0.007065	-0.01802	0.004022	-0.000781	-0.001538	0.014319	0.005667
18	-0.006572	-0.016079	0.002443	-0.001439	-0.003249	0.015767	0.002443
19	-0.01019	-0.017757	0.000831	-0.00111	-0.003117	0.010766	0.005766
20	-0.007789	-0.015421	0.001883	0.001357	-0.002788	0.010371	0.005798
21	-0.00769	-0.013809	-0.002689	0.00116	-0.001571	0.009878	0.005963
22	-0.007032	-0.016178	-9e-05	8e-06	0.000666	0.00945	0.006292
23	-0.005782	-0.016145	-0.000255	-0.000748	-0.00213	0.0082	0.008759
24	-0.008348	-0.016704	-0.003808	-0.002196	-0.005815	0.008036	0.00491
25	-0.006341	-0.013678	0.001851	-0.004927	-0.005289	0.005667	0.006687
26	-0.009467	-0.017856	4.1e-05	0.000403	0.000239	0.005535	0.005634
27	-0.007493	-0.0145	-9e-05	-0.00111	-0.000946	-0.003051	0.005009
