Ladekurvenmessung

Zeit: 2018_05_03 11.52.20

Info: FVA3, v = 0.273, T = 60, F = 20, h = 144.6

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	0.000803	-0.000183	0.001296	0.002118	-0.003635	0.000639	-0.000676	-0.003306	-0.002977
1	0.001132	0.002118	0.001296	0.000639	0.005405	0.001625	-0.000512	-0.001005	-0.000347
2	0.00146	-0.00232	-0.000841	0.000146	0.004255	-0.000841	0.000474	0.001132	0.002118
3	-0.000841	0.001625	0.000639	-0.000841	0.003761	0.001132	0.004748	0.003761	-0.002813
4	-0.001005	0.001296	-1.9e-05	-0.004621	0.00146	0.002447	0.001132	0.002447	0.002775
5	-0.000841	-0.002977	0.00031	-0.001334	0.002775	0.003268	0.002447	0.001954	0.001296
6	0.000639	0.003761	-0.001498	0.003761	0.000146	-0.000347	0.003597	0.001132	-0.000841
7	-0.000676	0.002282	0.002118	-0.002484	-0.002155	0.000474	0.004912	0.001296	-0.000512
8	-0.001334	-0.000347	-0.000347	-0.000841	0.001132	0.00031	0.003104	0.000803	-0.001662
9	-0.001827	-0.000512	0.003761	-0.000183	0.000146	0.00409	0.003761	-1.9e-05	0.002447
10	-0.000841	0.00146	-0.002813	0.002447	0.000803	0.000803	0.002611	-0.001005	0.001132
11	0.001789	-0.002155	-0.000183	0.002611	-0.00347	0.002118	0.00409	-1.9e-05	-0.000183
12	-0.001827	0.002118	-0.001005	0.001625	-1.9e-05	-0.000676	0.003597	-0.002484	0.000146
13	0.001954	-0.001005	-0.00347	-0.001662	-0.001991	0.000146	0.002775	0.000639	0.003104
14	-0.001169	0.00146	0.001296	-0.001169	0.000146	-0.000841	0.003926	-0.003799	0.003268
15	-0.000347	0.000474	-0.001334	-0.000512	-0.000512	0.000639	0.003597	0.002282	0.00146
16	-0.000183	-0.000183	0.000639	-0.001005	0.002611	0.000146	0.002611	-0.001662	0.003104
17	0.000146	-0.001169	-0.001169	0.002282	-0.001827	-1.9e-05	0.003104	-0.002484	0.003433
18	-0.000676	0.001296	0.00146	-0.002155	0.00294	0.000146	0.003761	-0.000512	-0.001827
19	-0.000512	-0.00232	-0.004785	0.001132	0.001132	0.000146	-0.001662	-0.00232	0.001625
20	0.000803	-0.001498	-0.000183	-0.001334	0.000639	0.00031	-0.000183	0.000146	-0.002484
21	-0.001827	-1.9e-05	-0.000676	-0.000841	0.003597	0.000967	-0.00232	0.003597	-0.001005
