Ladekurvenmessung

Zeit: 2018_05_03 11.53.16

Info: FVA3, v = 0.382, T = 60, F = 20, h = 178.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.000676	-0.000183	0.002447	-0.001169	-0.001662	-0.001169	-0.003635	0.004912	-0.000183	0.000639
1	-0.000512	-1.9e-05	0.004419	-0.001169	0.000967	-0.005278	-0.001169	0.004912	-0.000183	-0.000347
2	0.000639	0.002447	0.001954	-0.001827	-0.001662	-0.000183	-0.000183	0.002775	-0.000512	0.000146
3	-0.001005	0.001954	0.003104	-0.003799	0.001296	0.002282	0.000803	0.007706	-0.000347	-0.001005
4	-0.001498	0.003104	0.000146	-0.001169	-1.9e-05	-0.00232	-1.9e-05	0.007213	-0.000347	0.000146
5	-0.000183	0.002282	-0.001334	-0.000347	0.003433	0.00146	0.000639	0.004748	-0.000512	-0.000841
6	-0.001005	0.00409	-0.000183	-0.000183	-0.000841	0.001296	-0.001005	0.003104	-1.9e-05	-0.000676
7	0.000639	0.001625	-0.000676	-0.002155	0.00031	0.004419	0.001789	0.00409	0.000146	-0.000183
8	-0.001498	0.003268	-0.000183	-0.002484	0.001132	0.004583	0.002282	0.005076	0.000146	-0.000183
9	0.000967	0.00146	-0.000183	0.000967	-0.000512	0.004255	0.001954	0.004255	0.000146	0.000146
10	-0.002648	0.000474	0.000146	0.00031	-0.001169	-0.000676	-0.001827	0.004748	0.00031	-1.9e-05
11	0.000803	0.005734	0.000803	-1.9e-05	-0.000676	0.002118	-0.001991	0.004583	-1.9e-05	0.00031
12	0.000967	0.001625	-1.9e-05	0.00146	-0.001662	-0.000183	-0.002813	0.005405	-0.000347	0.00031
13	-0.001991	0.000146	0.001296	-1.9e-05	-0.000347	-1.9e-05	-0.001827	0.006391	-0.000347	0.00031
14	-0.000512	0.002611	0.001296	0.000146	-1.9e-05	0.000803	0.00031	0.007542	-0.000183	0.000146
15	0.000474	0.002282	0.000474	-0.000512	-0.004456	0.00031	-0.005278	0.008035	-0.000676	-0.001005
16	-0.001498	0.003268	-0.000512	-0.005771	0.00409	0.002447	-0.002484	0.003104	-0.000183	-0.000841
17	-0.001498	0.000146	-1.9e-05	-0.00232	-0.003799	0.00031	-0.000347	0.003268	-1.9e-05	-0.000512
18	-0.001498	-0.007579	-0.0061	-0.001662	-0.002155	0.000639	-0.002484	0.000474	0.000146	-0.000512
19	-0.002155	-0.000512	-1.9e-05	-0.001169	-0.001662	0.001954	0.00031	0.000474	0.000146	0.000474
20	-0.001662	-0.002484	0.00409	-0.004292	0.000474	-0.008401	0.00146	0.000146	-1.9e-05	-0.000347
21	-0.001005	-0.001169	-0.001991	-0.001334	-0.003142	-0.001662	0.000639	-0.000183	0.000146	0.000639
22	0.003268	-0.001498	-0.000347	-0.005114	-0.001005	-0.001662	0.002282	-0.000512	0.000146	0.00031
23	0.001954	0.000803	0.000146	-0.001498	0.001132	-0.000347	-1.9e-05	-0.000347	-0.000183	0.00031
24	0.000146	0.000967	-0.000183	-0.00347	0.000146	0.004583	0.000967	-0.000676	-0.000512	-0.000841
25	-0.001827	0.003761	-0.002813	-0.001005	0.001132	0.00031	0.000967	-0.000183	-0.000347	-0.000676
26	0.00294	0.001625	-0.003635	-0.002484	0.001132	0.003761	-0.001169	-0.000183	-0.000512	-0.000841
27	-0.003799	0.001789	-0.001498	0.000474	-0.001169	0.002611	-0.001662	0.000146	-0.000347	-0.000512
28	-0.003963	0.002611	0.00146	-0.003142	-0.00232	0.002447	0.001296	0.000146	-1.9e-05	-0.000512
29	-1.9e-05	0.000803	-0.000347	0.000803	-0.002155	-0.001991	0.001296	0.000474	0.000146	-0.000512
30	-0.001498	0.002611	0.000146	-0.002155	-0.005443	0.002282	0.00031	-1.9e-05	0.00031	-0.000183
31	-0.003635	0.001132	0.003597	-0.001662	0.001132	-0.000512	-0.000347	0.000967	0.000146	0.000146
32	-0.000183	0.00146	0.000803	-0.002155	-0.003963	-1.9e-05	-0.005114	0.002775	0.000474	0.000474
33	-0.001991	-0.002155	0.003597	-0.004949	0.002447	-0.002813	-0.002648	-0.001827	0.00031	-0.000183
34	-1.9e-05	0.003761	0.000146	-0.003963	-0.001991	0.00146	-0.001662	-0.000676	-1.9e-05	0.000146
35	-0.003306	0.001789	0.00146	-0.003635	-0.001169	-0.000841	0.000474	-0.001005	-0.000347	0.000474
36	-0.000512	0.00146	0.000967	-0.004785	-0.001005	0.000474	0.000474	0.00409	-0.000512	-0.000841
37	-0.001005	-1.9e-05	-0.003306	-0.003635	0.000474	-0.000676	0.001296	0.000803	-0.000512	-0.000512
38	-0.002484	0.000639	-0.001827	-0.005278	-0.001334	0.001625	-0.003799	0.005569	-0.000512	-0.000676
39	-0.002977	-0.002977	-0.000183	-0.006922	0.00031	0.001789	0.00146	0.004912	-0.000183	-0.000676
40	-0.005114	0.001296	-0.000183	-0.008401	0.00146	-0.000347	-0.000347	-0.000183	-1.9e-05	-0.000512
41	0.00031	-0.000183	0.001625	-0.00347	0.002611	0.001296	0.000146	0.002447	-1.9e-05	-0.000347
42	-0.00232	0.002447	0.000803	-0.006757	0.002282	0.00294	-0.000512	0.002118	0.000146	0.000146
43	-0.000512	0.000474	0.000146	-0.007579	0.00146	-0.000676	-0.000183	0.001789	0.00031	-0.000183
44	-0.000676	0.000803	0.000146	-0.005771	0.000639	-0.001662	-0.001498	0.000474	0.00031	-1.9e-05
45	-0.002484	0.000474	0.000146	-0.0061	-0.000676	-0.001991	-0.002648	-0.001827	-1.9e-05	0.00031
46	-0.003963	0.000639	0.000146	0.001132	-1.9e-05	-0.000676	-0.000841	-0.000676	-0.000347	0.000146
47	-0.002813	-1.9e-05	0.001296	-0.003142	-0.00232	-0.001169	-0.000841	-1.9e-05	-0.000347	0.000474
48	-0.001662	0.00031	-0.001169	0.001625	-0.000841	-0.001169	0.00031	0.000639	-0.000347	-0.000183
49	-0.001169	0.001625	0.003597	0.000803	-0.003635	0.000639	-0.002484	0.000474	-0.000512	-0.000512
50	-0.001334	-0.000676	-0.002155	-0.002484	0.001296	-0.001005	0.000639	-0.00347	-0.000183	-0.000347
51	-0.002484	-0.001827	0.001625	-0.000512	-0.001827	0.001132	-0.001005	0.000474	0.000146	-0.000512
52	-0.000183	-0.004785	-0.000676	-0.007415	-0.001991	-0.001334	-0.001169	0.000146	0.000146	-1.9e-05
53	-0.00232	-0.000676	-0.000841	-0.004785	-0.001498	-0.000841	-0.001991	0.000639	0.00031	-1.9e-05
54	-0.001498	-0.002648	-1.9e-05	-0.004785	0.00146	0.002282	-0.001005	-0.001005	0.00031	0.000146
55	-0.001662	-0.00232	-1.9e-05	-0.002813	0.000639	0.000146	0.001296	0.001789	0.000146	0.000146
56	-0.00232	-0.002813	0.000803	-0.00347	-0.001991	0.00031	0.000803	0.001625	-1.9e-05	0.00031
57	-0.001334	-0.000347	-0.000676	-0.001662	-0.003142	-0.001334	-1.9e-05	0.003761	-0.000183	0.000146
58	-0.000841	-0.000183	0.000474	-0.0061	0.00031	0.001296	-0.000183	0.004912	-0.000347	-0.000183
59	0.00031	0.002611	0.000803	0.000639	-0.000841	0.000639	0.001625	-1.9e-05	-0.000512	-0.000183
60	0.000474	0.000474	0.00031	-0.000512	-0.001498	-0.003142	0.000474	-0.000841	-0.000841	-0.000512
61	-0.000512	-0.001498	-0.000676	-0.000347	-0.002155	0.000639	0.002447	0.00031	-0.000183	-0.000512
62	-0.00232	0.002118	0.001296	-0.000183	-0.000676	0.002282	0.002282	-0.000183	0.000146	-0.000347
63	-0.000347	0.003268	-1.9e-05	-0.001334	-1.9e-05	-0.001005	0.003926	-0.000347	0.000146	-1.9e-05
64	0.000803	0.000639	0.000967	-0.002813	-0.003799	0.003761	-0.000347	0.000146	0.000146	0.000146
65	-0.002813	-0.000841	-0.001005	0.00146	-0.00232	0.003268	0.003104	-0.001827	0.00031	0.000146
66	0.002282	0.000146	0.001789	-0.000347	-0.001827	0.000146	0.001625	-0.000183	0.000146	0.000146
67	-0.000676	-0.002813	0.000803	-0.000841	-0.000676	0.001132	0.000967	-0.000183	-0.000183	0.00031
68	-0.000841	-0.002813	0.002282	-0.000841	-0.003635	-0.000183	-0.005114	-0.000347	-0.000676	0.000146
69	-0.000347	-0.007908	0.000146	-0.003635	-0.003306	-0.000347	0.00031	0.001789	-0.000347	-0.000183
70	0.00031	-0.000183	0.000146	0.001132	-0.001827	-0.000512	-0.000676	-1.9e-05	-0.000347	-0.000183
71	0.001296	-0.003306	-0.000512	-0.000676	-0.001498	-0.002155	0.00409	-0.000183	-0.000347	-0.000512
72	-0.001169	-0.000676	-0.000676	0.000474	-0.00347	0.00146	-0.000347	0.003761	-0.000183	-0.000512
73	0.001789	-0.003799	-0.000183	-0.004621	-0.001005	0.003761	0.001132	0.000967	0.000146	-0.000676
74	0.00294	0.000967	-0.00232	-0.001827	-0.001498	0.00294	0.001296	0.004419	0.000146	-1.9e-05
75	0.001625	-0.001662	-0.001005	-0.003142	0.001296	0.002118	0.000474	0.004583	0.00031	-1.9e-05
76	-0.001169	-0.000183	0.000146	-0.003142	0.001625	0.005241	0.001296	0.002282	0.000146	-1.9e-05
77	0.003761	-0.000676	0.00031	-1.9e-05	0.000146	-0.000512	0.00146	0.00672	0.00031	0.00031
78	-0.000183	-0.000512	-0.000676	-0.000183	-1.9e-05	-0.000347	-0.000183	0.00935	-0.000183	0.000146
79	0.00146	0.000967	0.001132	0.000146	0.001132	0.001132	-0.001827	0.005076	-0.000347	0.000146
80	-1.9e-05	-0.005278	-0.001169	-0.001498	-0.001498	-0.001005	0.000146	-0.008565	-0.000512	-0.000183
81	0.001296	-0.002813	0.001625	-0.001334	-0.001991	0.001789	-0.000347	0.001132	-0.000512	0.000474
82	-0.001334	-0.003799	-0.000841	-0.001005	0.000474	-0.001169	-0.000183	0.000803	-0.000512	-0.000347
83	-0.000183	0.001132	0.000474	-0.001498	-0.00347	0.002118	-0.004785	0.003268	-0.000183	-1.9e-05
84	0.001296	-0.003963	0.00031	-0.005114	0.001789	0.001296	-0.000841	0.002118	0.000146	0.013952
85	-0.001827	-0.001169	-0.001005	-0.000183	-0.004456	0.000146	-0.002813	0.001789	0.000146	-0.000841
86	-0.000183	-0.002813	-0.001991	-0.004456	0.00031	-0.001827	-0.002155	-0.000676	0.00031	-0.000512
87	-0.00232	-0.002648	-0.000183	-0.00232	0.00031	0.002611	-0.002155	0.000146	0.00031	-0.001169
88	-0.002484	-0.003963	-1.9e-05	-0.004621	0.001954	-0.000512	-0.002648	-0.000183	0.00031	0.001625
89	-0.001498	-0.001662	-0.000676	-0.002155	0.002118	-0.001827	-0.002648	-0.000347	0.000146	0.001132
90	0.000803	-0.001334	0.000474	-0.009716	0.003597	0.000146	-1.9e-05	-0.000676	-0.000512	-0.001991
91	0.002447	-0.002155	0.00031	-0.001334	0.000639	-0.001498	0.001296	-0.000676	-0.000347	-0.000183
92	0.002775	0.000146	0.000639	-0.002813	0.00031	0.001954	0.000803	-0.000183	-0.000512	0.000803
93	0.002611	-0.000347	-0.001005	-0.001991	0.001789	0.003761	0.00031	-0.000841	-0.000512	-0.002977
94	0.00031	0.000639	0.00031	-0.001662	-0.001827	0.00672	-0.001334	0.00031	-0.000183	-0.000676
95	-0.000183	-0.002813	-0.000347	-0.000512	0.000639	0.000474	0.005076	-0.001169	0.000146	-0.011195
96	0.001625	0.004748	0.001132	0.000803	0.001954	0.002118	-0.000183	-0.000512	0.000146	0.000967
97	0.003597	-0.002484	0.000146	0.000146	-0.000512	-0.002155	0.000474	-1.9e-05	0.00031	0.000639
98	-0.001498	0.000803	0.000146	-0.002155	0.000803	0.001789	-0.000841	-1.9e-05	-1.9e-05	0.000474
99	0.000803	-1.9e-05	0.000474	0.00146	0.00146	-0.002484	0.002282	-0.000183	0.00031	-0.000841
100	0.000803	-1.9e-05	-0.000841	-0.002977	-0.002648	-0.001169	-0.002484	-0.000183	0.00031	0.005898
101	-0.000512	0.000639	-0.000676	-0.003142	0.00146	0.002282	-0.001827	-0.000347	-0.000183	0.003597
102	-0.001005	-1.9e-05	-0.002155	-0.00232	-0.001334	0.000474	-0.001005	-0.000512	-0.000347	0.005405
103	-0.003142	-0.001498	-0.000512	-0.003142	-0.000841	-0.001662	-0.001827	-0.001498	-0.000347	0.003268
104	-0.003306	0.000967	-0.001169	-0.001991	-0.001991	0.000967	-0.000676	0.000146	-0.000512	-0.000183
105	-0.003306	-0.000347	0.000967	-0.00347	0.005734	0.000639	-0.000512	0.000146	-0.000512	-0.001991
106	-0.00232	-0.00232	-0.001334	-0.001498	-0.002155	-0.001991	-0.001169	0.000967	0.000146	-0.000512
107	-0.001498	-0.000676	-0.000512	-0.003142	-0.000183	0.001789	-0.000841	0.000474	0.000146	-0.012346
108	-0.001498	-0.001005	-0.000347	-0.001827	0.002282	0.000474	-0.000347	0.00031	0.00031	-0.009387
109	-0.002155	-0.000183	-0.001005	-0.001334	0.001296	0.004255	-0.001005	0.00031	0.00031	-0.007415
110	-0.000512	0.002447	-0.000512	-0.001662	0.005405	-0.004128	0.000967	0.00031	0.00031	-0.007415
111	0.002282	0.001132	-0.000512	-0.001498	-0.000841	0.00294	-1.9e-05	-0.001169	0.000146	-0.005607
112	0.000474	-0.001498	-0.001169	-0.001827	0.000639	-0.000841	0.002775	-0.000183	-1.9e-05	-0.006593
113	0.001132	0.000639	-0.000676	-1.9e-05	-1.9e-05	0.001296	-0.003799	-0.000183	-0.000347	0.004912
114	-0.000841	-1.9e-05	-0.004292	-0.000841	0.000146	0.000639	-0.000347	0.000803	-0.000512	-1.9e-05
115	-0.001827	-0.000347	0.001954	-0.001498	-1.9e-05	0.000639	-1.9e-05	0.003268	-0.000347	-0.002484
116	-0.005114	-0.000183	0.00031	0.000967	0.00294	0.001625	-0.002155	-0.001662	-1.9e-05	-0.001334
117	-0.001662	-0.000676	-0.000841	0.001625	-0.003635	0.00146	-0.005114	0.001954	-1.9e-05	-0.002155
118	-0.005278	-0.000841	-0.002813	-0.001005	0.00146	0.00031	-0.001827	-0.001005	0.000146	-0.000347
119	-0.000183	-0.001005	-0.001827	0.001296	-0.002484	0.000803	-0.003142	0.00294	0.000146	-0.000347
120	0.000639	-0.001169	0.001625	-0.00232	-0.002155	0.002118	-0.004949	-0.001005	0.000474	0.001132
121	-0.003799	0.000639	-0.002155	-0.000347	-0.00232	-0.004949	-0.001498	0.00031	0.000146	0.001296
122	0.002282	0.00031	-0.001827	0.00031	-0.000183	-0.003306	-0.001827	-0.001005	-1.9e-05	0.001132
123	-0.001662	-1.9e-05	-0.000183	-0.004128	0.000639	-0.005278	-0.003306	0.001954	-1.9e-05	0.003926
124	0.001954	0.00031	-0.000676	-0.003799	0.000474	-0.002813	-0.002155	-0.000841	-0.000512	0.004583
125	0.001954	-0.000183	-0.004292	-0.003142	0.00031	-0.004456	-0.000676	0.00146	-0.000512	0.000474
126	0.000803	-0.000183	0.000639	-0.002977	0.000146	0.000803	-0.003799	0.001954	-0.000676	-0.003306
127	-0.000841	-0.000347	-0.002155	-0.002648	-1.9e-05	-0.001827	-0.000676	-0.001005	-0.000183	-1.9e-05
128	0.001954	-0.000347	-0.000183	-1.9e-05	0.001954	0.00031	-0.002813	0.000803	0.000146	-0.001169
129	0.000639	-0.000512	-0.001827	-0.000183	0.003761	-0.001827	-0.002977	0.001132	-1.9e-05	-0.000512
130	0.00146	-1.9e-05	0.004583	-0.000841	-0.000347	0.00146	-0.003963	0.000474	0.00031	0.000474
131	0.002447	0.000146	-0.001991	-0.000512	0.002447	-0.000183	0.000146	0.000146	0.000146	-0.000512
132	0.001296	0.000146	-0.001334	-0.000512	0.000967	-0.000512	-0.001334	-0.000183	0.00031	0.000474
133	-1.9e-05	0.000474	-0.001005	-0.001991	-0.001005	0.000146	-0.002648	-0.000347	-1.9e-05	0.000967
134	0.000474	0.000146	0.000146	0.000803	-0.002977	-0.000512	-0.003142	-0.000512	-0.000347	0.002611
135	-0.000512	0.00031	-0.000183	-0.003799	-0.001005	0.000146	-0.003306	-0.000512	-0.000512	-0.000841
136	-0.000676	-1.9e-05	-0.003306	-0.002813	0.000146	-0.001005	-0.006757	-0.000841	-0.000512	0.00031
137	0.00146	-0.000347	0.003597	0.000474	-0.001334	-0.000512	-0.003306	0.000146	-0.000512	0.000146
138	-0.000676	-0.000183	-0.001334	0.000146	-0.002155	-0.001334	-0.005114	0.00031	-0.000347	-0.000841
139	0.000967	-0.000347	0.000803	-0.000183	0.00146	0.00031	-0.005114	0.000146	-1.9e-05	0.000146
140	0.002447	-0.000347	-0.000512	-0.005936	0.006884	-0.000512	-0.006593	0.00146	0.000146	0.000967
141	-0.000183	0.000146	-0.010209	-0.000347	0.00294	0.001296	-0.002977	-0.000183	0.000146	0.000967
142	0.001789	0.000146	-0.004292	-0.001005	-0.000183	-0.00232	-0.001334	0.000146	0.00031	0.001296
143	0.004255	-0.000183	-0.003963	-0.002977	0.006227	-0.003306	-0.001991	-0.000347	0.000474	0.000803
144	-0.000347	0.000474	-0.001005	-0.000676	-0.000183	-0.005771	-0.001169	-0.000347	0.000146	0.00031
145	0.002447	0.00031	-0.000676	-1.9e-05	-0.001005	-0.004785	-0.002155	-0.000676	-0.000347	-0.001169
146	0.008363	0.00031	-0.001827	-0.000676	0.002447	-0.002977	0.001625	-0.001169	-0.000512	0.000146
147	0.003268	-0.000183	0.000639	-1.9e-05	-0.001334	-0.004456	-0.001169	0.001296	-0.000512	0.000146
148	0.001132	-0.000347	0.002282	-0.000183	0.002775	-0.002813	-0.000347	-0.004128	-0.000512	-0.000676
149	0.000967	-0.000512	0.000146	-0.001991	-0.00347	0.000639	-0.001334	-0.002484	-0.000347	-0.000512
150	-0.000512	-0.000841	0.00031	-0.003799	0.001954	-0.001991	-0.000183	-0.002484	0.000146	-0.001005
151	-0.000183	-0.010373	-0.001991	-0.000512	-0.001827	-0.000347	-0.003306	-0.001827	-1.9e-05	-0.002648
152	-0.003306	-0.000512	-0.000512	-0.001991	-0.000841	0.00146	-0.001169	-0.001334	0.00031	0.001296
153	-0.002155	-1.9e-05	-0.001991	0.001954	-0.003142	0.000639	-0.00347	-0.001169	0.00031	0.002282
154	-0.002155	-0.000347	-0.000183	0.002282	-0.013003	-0.001169	-0.001005	0.000146	0.00031	-0.000347
155	-0.003306	-1.9e-05	-0.001827	0.004583	0.000803	-0.001005	0.00031	-0.000512	-1.9e-05	0.000474
156	-0.000841	-0.000841	0.000146	0.005405	-0.001498	-0.000841	-0.004128	0.001789	-0.000183	0.000146
157	0.00031	0.002611	-0.000841	0.005076	0.000474	-0.001334	-0.000676	0.001296	-0.000347	-0.000183
158	0.00146	0.002611	0.002447	0.001789	-0.001005	0.000639	-0.003963	0.000803	-0.000347	-0.000183
159	0.000474	0.002282	-0.000183	0.008363	-0.001169	-0.002648	-0.00232	0.000639	-0.000347	-0.000347
160	0.000474	0.002447	-0.001169	0.006884	0.001954	-0.003635	-0.003799	-0.000347	-0.000512	-0.000183
161	0.000967	0.001625	-0.001498	0.008363	0.003268	-0.003635	0.00031	0.000146	-1.9e-05	-0.000347
162	0.000967	0.005076	-0.002484	0.009021	-0.000841	0.000639	-0.006593	0.001789	-1.9e-05	-0.000183
163	0.000474	0.001789	-1.9e-05	0.005076	-0.001169	-0.002813	-0.003142	0.001954	0.000474	-0.000183
164	0.003597	-0.00232	-0.004128	0.00672	-0.000841	0.00146	-0.002484	0.000639	0.000146	0.000639
165	0.001296	0.000803	-0.000347	0.007706	-0.000183	0.000803	-0.001169	0.000474	-1.9e-05	-0.001498
166	-0.000841	0.003433	0.00146	0.009021	0.001625	-0.000512	-0.000512	-0.000676	-1.9e-05	0.00146
167	-0.000183	-0.002484	0.001625	0.008528	-0.004128	-0.00232	0.000474	-0.001005	-0.000183	-0.001005
168	-0.000183	-0.001334	0.001954	0.009843	-0.003963	-0.000676	-0.001334	0.000803	-0.000183	0.002611
169	-0.000183	0.003268	0.004255	0.008199	-0.001005	0.001954	-0.001662	-0.001991	-0.000512	0.000639
170	-0.000183	0.000146	-0.003306	0.011651	-0.004456	-0.002977	-0.002484	-0.001827	-0.000512	-1.9e-05
171	0.000803	0.001296	-0.003142	0.00935	-0.000841	0.003104	-0.004785	-0.000841	-1.9e-05	-0.000512
172	-0.001498	0.000803	-0.001169	0.0105	0.001132	0.001132	-0.002155	-0.001498	-0.000183	-0.001169
173	-0.000512	0.001954	0.001132	0.008035	0.000639	0.001625	-0.005936	-0.001662	0.000146	-0.000183
174	0.000639	-0.000183	-0.000676	0.009514	0.001296	0.002447	-0.002484	0.001954	-1.9e-05	-1.9e-05
175	-0.000183	0.000803	-0.023357	0.006391	0.00146	0.002447	-0.003306	-0.000347	0.000146	0.002611
176	0.002118	-1.9e-05	-0.014647	0.009514	0.001789	-0.002977	0.002118	0.001132	0.00031	0.000803
177	0.001789	0.003597	-1.9e-05	0.008692	-0.00347	-0.001005	-0.003635	0.003597	-1.9e-05	0.000803
178	-0.001991	-0.000183	-0.000347	0.009514	0.004255	-0.001827	-1.9e-05	0.003104	-0.000183	-1.9e-05
179	0.003104	0.003268	0.000146	0.010829	0.001625	-0.002648	-0.004128	0.005076	-0.000512	0.001625
180	0.000803	0.007213	-0.000512	0.009678	0.001954	-0.002155	-0.002155	0.003268	-0.000347	-0.001005
181	-0.000183	0.003761	-0.000347	0.010829	0.001789	-0.005114	-0.005443	0.003268	-0.000512	-0.000676
