Ladekurvenmessung

Zeit: 2018_05_03 11.55.25

Info: FVA3, v = 0.749, T = 60, F = 20, h = 259.2

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13
0	0.000967	-0.004456	0.005076	0.003268	0.001789	-0.000347	-0.006593	0.001132	-0.00725	0.002118	0.00146	-0.001991	0.00031
1	0.003433	0.002118	0.00672	-0.000512	0.002118	-0.000512	-0.001662	0.004912	-0.007579	0.002775	0.004419	0.004748	0.005241
2	0.000146	0.001132	0.010336	0.003433	0.005241	0.000639	-0.00232	0.006391	-0.010373	0.00294	0.003926	0.00294	-1.9e-05
3	0.004255	-0.001498	0.007377	0.003597	0.004583	0.002447	-0.001169	0.004748	-0.009058	0.00294	0.002118	0.005734	0.000967
4	0.002447	-0.004621	0.006062	0.000639	0.001296	0.003433	0.00031	0.003761	-0.010538	0.003926	0.000803	0.002775	0.002775
5	0.00409	-0.00232	0.009843	0.00409	0.000474	0.000474	-0.003635	0.000639	-0.00873	0.004748	0.003597	0.004583	0.003761
6	0.00031	-0.003306	0.007049	0.000967	0.00294	-0.001005	-0.002484	0.000639	-0.010373	0.003433	0.000803	0.001954	0.002611
7	-0.000841	-0.003963	0.007377	0.000803	0.006227	0.001625	-0.005114	0.005898	-0.011031	0.00409	0.003597	0.005569	0.002447
8	0.00146	-0.004621	0.005734	-0.001991	0.000967	-0.000512	-0.002977	0.000967	-0.014153	0.005569	0.006227	0.000474	0.001954
9	0.00409	-0.004128	0.004255	-0.004292	0.000967	0.001296	-0.002648	0.001625	-0.012674	0.002118	0.00294	0.001625	0.001789
10	0.003104	-0.003799	0.00787	0.000639	0.005734	-0.000841	-0.001827	0.002775	-0.014647	0.00146	0.002118	0.003104	0.002775
11	0.005076	-0.008894	0.006227	0.000639	-0.000347	0.003597	-0.003142	0.00031	-0.014975	0.001625	0.005734	0.004748	0.001954
12	0.001954	-0.008565	0.006062	0.000474	0.000967	0.000639	-0.002155	0.002447	-0.004621	0.00294	0.002282	0.001789	0.001954
13	0.001789	-0.004292	0.003761	0.002118	0.000803	0.001625	-0.005443	0.002282	-0.005114	0.001954	0.001954	0.00031	0.003433
14	0.00409	-0.005443	0.006556	-0.002648	0.000474	-0.000841	-0.001169	0.00031	-0.005278	-1.9e-05	0.000146	0.001954	0.000639
15	0.001132	-0.0061	0.004748	0.003104	0.002282	-0.000512	-0.003799	0.00146	-0.005278	0.003433	0.00146	0.00031	0.001296
16	0.003926	-0.004621	0.005569	0.002611	0.001789	0.002447	-0.003142	0.003597	-0.005771	0.003597	-0.001827	0.002611	0.002118
17	0.001789	-0.005771	0.004419	0.001789	0.002118	0.002775	-0.004621	0.001132	-0.005443	-0.000347	-0.002155	-0.001991	-0.001498
18	0.000803	-0.000841	0.005734	0.002282	0.00672	0.000967	-0.001827	-0.006593	-0.006429	-0.000676	0.00294	-0.000676	0.003268
