Ladekurvenmessung

Zeit: 2018_05_03 11.58.49

Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
0	0.009021	-0.000841	-0.014153	0.020526	0.001789	-0.000676	0.001132	0.000474	-0.005607	-0.001662	-0.002813	0.003761	-0.052284	0.001789	-0.013332
1	0.00787	0.003597	-0.010538	0.021512	0.00294	-0.001662	0.002282	0.003104	-0.005278	0.001789	-0.001334	0.00409	-0.047518	0.006062	-0.010702
2	0.00672	0.000639	-0.010045	0.021512	-0.000676	-0.005114	0.004255	0.003926	-0.001169	-0.001169	0.000967	0.007706	-0.04834	0.003104	-0.00988
3	0.005405	-0.002977	-0.008237	0.014609	-0.000841	-0.003635	-0.001005	0.001296	-0.003142	0.001296	0.001296	0.007377	-0.051134	0.00787	-0.012181
4	0.003761	0.000639	-0.008894	0.016746	0.002775	0.001954	-0.001005	0.003926	-0.00232	0.001789	0.002118	0.00672	-0.04834	0.004255	-0.012017
5	0.006062	-0.002484	-0.010373	0.017732	-0.002155	-0.001991	-0.00232	0.003104	-0.002977	-0.000347	-0.000841	0.009678	-0.052777	0.009843	-0.010538
6	0.007213	-0.001169	-0.010045	0.019211	-0.010538	-1.9e-05	-0.002484	0.000474	-0.002484	0.000639	0.001296	0.007542	-0.050641	0.005076	-0.011031
7	0.008035	-0.001498	-0.01514	0.016581	-0.001662	0.002611	-0.0061	0.00409	-0.003306	-0.001169	-0.001827	0.012144	-0.051791	0.009021	-0.008894
8	0.007049	-0.001169	-0.012017	0.019868	-0.002155	0.001132	-0.005607	0.006884	-0.001662	-0.00232	0.001789	0.007213	-0.053763	0.008363	-0.01251
9	0.005405	-0.001334	-0.013332	0.016746	-0.001991	0.001789	0.00031	0.005241	-0.001169	-0.002484	-0.002484	0.007049	-0.054914	0.011158	-0.016454
10	0.004912	-0.000512	-0.012674	0.01954	-0.002155	0.002775	-0.001334	0.006556	-0.002155	-0.000183	-0.000841	0.003597	-0.053928	0.006884	-0.010373
11	0.006227	-0.00232	-0.016454	0.014116	-0.000512	0.003761	-0.001005	0.006391	-0.007579	-0.003799	-0.001334	0.007213	-0.056886	0.008857	-0.00988
12	0.002447	0.00031	-0.015633	0.014938	-0.000183	0.000803	-0.001334	0.001954	-0.005114	-0.004621	0.000474	0.002775	-0.05327	0.007213	-0.009387
13	0.007706	-0.005443	-0.015797	0.012144	-0.001662	0.00031	-0.002648	0.009021	-0.006264	-0.003635	-0.000676	0.006556	-0.059845	0.008528	-0.006429
14	0.006062	-0.003799	-0.015633	0.011486	-0.001169	0.00031	-1.9e-05	0.009678	-0.004292	-0.002648	0.001954	0.006391	-0.06231	0.008199	-0.006264
15	0.005241	-0.001498	-0.01366	0.008199	0.001625	0.00294	-0.004785	0.009021	-0.003142	0.001132	0.002447	0.005734	-0.062146	0.008363	-0.007908
16	0.004748	-0.001498	-0.01251	0.007377	-0.001334	-0.003635	-0.004949	0.011815	-0.003963	-0.000841	-0.002813	0.008363	-0.061817	0.015266	-0.008565
17	0.007377	-0.001991	-0.013003	0.005734	0.001625	-0.001827	-0.002155	0.009021	-0.002155	-0.001005	-0.004128	0.00787	-0.064611	0.011322	-0.010045
18	0.006227	-0.001827	-0.012674	0.003926	-0.005771	-0.000347	-0.004949	0.013294	-0.000512	0.000803	-0.001662	0.001625	-0.064282	0.011979	-0.006757
19	0.004583	0.000146	-0.012674	-0.000183	0.000146	-0.000676	-0.004128	0.016088	-0.002813	0.000474	-0.002155	0.006227	-0.065762	0.007706	-0.010209
20	0.002775	-0.003306	-0.012346	-1.9e-05	-0.001005	-0.004292	-0.003963	0.011651	-0.001662	0.003926	-0.002155	0.006556	-0.065433	0.012801	-0.010373
21	0.008363	-0.004128	-0.011359	-0.000347	-0.001498	-0.000841	-0.005278	0.01576	0.004583	0.000639	-0.003306	0.003926	-0.063954	0.010664	-0.009551
