Ladekurvenmessung

Zeit: 2018_05_03 13.42.09

Info: FVA3, v = 0.275, T = 40, F = 20, h = 214.6

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	-0.000676	0.000146	-0.000512	-0.003142	-0.001169	0.000146	-0.000676	0.00146
1	-0.001498	0.001625	0.000146	-0.002155	-0.003306	0.000146	0.003268	0.00294
2	-0.000183	-0.000512	-0.000512	-0.000183	-0.001498	-1.9e-05	0.002611	0.000967
3	-0.000183	0.00031	-0.000183	0.00294	-0.000512	-1.9e-05	0.004255	0.002282
4	0.000474	-0.001334	0.000474	-0.001334	-0.003963	-0.000183	0.00031	0.00031
5	-0.011852	-0.025987	-1.9e-05	0.000639	-0.002484	0.003597	-0.001005	0.000146
6	-0.055243	-0.016619	0.000474	-0.001169	-0.000841	0.02447	0.004419	0.002447
7	-0.001498	-0.011195	0.001132	-0.010373	-0.003963	-0.001662	0.006062	0.004748
8	-0.005936	-0.000841	-0.000183	-0.00347	-0.001334	-0.013167	0.007377	0.00409
9	0.00935	0.003104	0.00031	-0.000183	-0.002813	0.001789	0.000639	0.001132
10	0.00409	0.000474	-1.9e-05	-0.000183	-0.002155	0.012637	0.000474	0.002118
11	0.007377	0.002282	-0.000183	0.000803	-0.003142	0.011815	-0.002813	0.000146
12	0.00672	0.000146	-0.003306	0.027265	-0.003142	0.011486	0.001625	0.002775
13	0.005076	0.000639	0.002611	0.015595	-0.001827	0.010829	-0.001827	-0.011359
14	-0.002484	0.000146	0.00031	0.000639	0.008363	0.00787	-0.001169	0.017239
15	-0.001334	-0.000183	0.001132	-0.014482	-0.002484	0.002447	0.005569	0.024306
16	-0.001498	0.000639	-0.000676	-0.001827	0.014773	-0.003799	0.010664	0.006884
17	-0.001662	-0.000676	-0.000676	0.000967	-0.032726	-0.002813	0.00146	0.000803
18	-0.001498	0.000803	-1.9e-05	0.000146	-0.027138	-0.002484	0.002775	-0.005278
19	-0.000676	-1.9e-05	0.000146	-0.002813	-0.00232	-0.002155	0.004583	0.002118
20	-0.000841	0.000146	0.00031	-0.000841	0.003597	-1.9e-05	0.005076	-0.001169
21	0.000146	-0.000676	-0.000183	-0.001005	0.001954	-1.9e-05	0.001296	-0.001005
22	-0.001005	-1.9e-05	0.000639	-0.002977	-0.002813	-1.9e-05	0.000146	0.002447
23	-0.00232	-1.9e-05	0.000146	-0.004785	-0.001005	-1.9e-05	0.002447	0.000967
24	-0.001498	0.000146	-0.000183	-0.000183	-0.002977	0.000146	0.002118	-0.001005
25	0.000967	-0.000347	0.000146	0.000474	-0.002813	0.000146	0.003268	-0.001005
26	-0.003799	-0.000676	-0.000676	-1.9e-05	-0.002648	-1.9e-05	-0.000347	-0.000183
27	0.00031	0.000146	0.000803	-0.000512	-0.000676	-0.000347	0.000146	-0.000347
28	-0.002648	-0.000512	-0.000183	0.002282	0.00409	-0.000347	0.00146	-1.9e-05
29	0.001625	0.000146	-1.9e-05	-0.000347	-0.001498	-0.000183	0.002118	0.001132
30	-0.001498	-0.000512	-1.9e-05	-0.003799	-0.002648	-1.9e-05	0.001954	0.000803
31	-0.000676	0.000146	0.000639	-0.002648	-0.001662	-1.9e-05	0.005405	0.003761
32	-0.001991	-0.001334	-0.000841	-0.00347	-0.003635	0.000146	0.00409	0.000474
33	-1.9e-05	0.000146	-0.000676	-0.00232	-0.001169	-0.000183	0.003268	0.000967
34	-0.001991	0.000146	0.00031	-0.005443	-0.002813	0.000146	0.004419	-0.001169
