Ladekurvenmessung

Zeit: 2018_05_03 13.52.14

Info: FVA3, v = 1.47, T = 40, F = 20, h = 552.7

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11
0	0.00409	0.000803	-0.003142	-0.022371	-0.001169	-0.001662	0.000146	0.000639	-0.001827	-0.000183	0.025621
1	0.003926	0.005734	-0.00347	-0.024179	0.000967	0.000803	-0.001991	0.004583	0.002118	0.004583	0.027922
2	0.005076	0.005405	0.00146	-0.024344	-0.000347	-0.001334	-0.000347	0.005241	-0.000676	0.004912	0.026607
3	0.005898	0.006556	-0.004456	-0.024508	0.003433	0.003926	0.003926	0.003104	-0.000347	0.004748	0.026936
4	0.005405	0.005898	-0.000183	-0.025494	0.000803	0.001625	-0.00725	0.003926	-0.001005	0.006227	0.025128
5	0.005405	0.009021	-0.001991	-0.026973	-0.000841	0.003597	0.000474	0.004583	-0.001005	0.002282	0.026936
6	0.006391	0.008035	-0.005114	-0.027959	0.000967	0.005734	-0.001169	0.003597	-0.000183	0.002118	0.0271
7	0.007049	0.000967	-0.001334	-0.025823	-0.000512	-0.000512	-1.9e-05	0.004419	-0.001005	0.001954	0.028251
8	0.007706	0.001954	-0.006264	-0.028617	-0.003799	-0.000183	-0.005443	0.003926	-0.00347	0.00294	0.025128
9	0.00787	0.000639	-0.004949	-0.028617	-0.000676	-0.000512	-0.00347	0.003268	-0.000183	0.002118	0.028908
10	0.008035	0.00146	-0.005443	-0.029439	0.001625	0.000967	-0.003963	0.007542	-0.002155	-0.000841	0.028086
11	0.006556	0.00294	-0.005443	-0.031082	-0.00347	-0.001334	-0.003799	0.002118	-0.001005	0.001789	0.028415
12	0.008199	0.003926	-0.005607	-0.031411	-0.001169	-0.000512	-0.005443	0.005076	-0.002484	0.001132	0.027922
13	0.008363	0.003926	-0.002155	-0.032233	-0.001991	0.00146	-0.002813	0.003926	-0.000512	0.001132	0.026443
14	0.012472	0.003761	-0.008072	-0.033055	0.001132	0.001132	-0.002155	0.008035	-0.00347	0.002611	0.025128
15	0.009843	-0.005771	-0.00347	-0.032233	-0.001498	-0.000512	-0.002484	0.002611	0.000474	0.000639	0.025292
16	0.011651	-0.001169	-0.005114	-0.033383	-0.001334	0.000146	-0.005771	0.005076	-0.000183	0.000803	0.02595
17	0.011158	-0.003306	-0.004456	-0.034698	-0.003799	-0.000183	-0.004785	0.005076	-1.9e-05	0.000967	0.023977
18	0.010829	-0.003142	-0.007415	-0.02911	-0.000841	-0.001662	-0.008565	0.00787	-1.9e-05	0.001132	0.023484
19	0.009514	0.000967	-0.004949	-0.031082	-0.001662	-0.001005	-0.008072	0.007377	-0.001169	0.000146	0.022991
20	0.0105	0.000803	-0.005771	-0.028781	0.001789	-0.000183	-0.005771	0.0105	-0.001827	0.001296	0.025621
21	0.012144	0.00409	-0.005936	-0.004785	-0.000347	0.001625	-0.00725	0.008363	-0.002155	0.001296	0.02447
22	0.010664	0.001954	-0.00347	-0.005936	0.00146	-0.001334	-0.007086	0.004912	-0.00232	0.002118	0.022498
23	0.011815	0.000474	-0.007908	-0.006264	-0.000841	-0.000347	-0.008237	0.004583	-0.00232	0.00146	0.023484
24	0.010171	-0.000841	-0.006922	-0.003142	-0.000512	-0.003306	-0.010538	0.006062	-0.001334	0.003761	0.021676
25	0.012637	-0.001005	-0.008072	-0.001005	-1.9e-05	0.001296	-0.005443	0.006391	-0.005443	0.00031	0.019211
26	0.011158	-0.003306	-0.004456	0.002611	-0.000676	-0.001827	-0.013167	0.007213	-0.000347	0.003268	-0.000347
27	0.011322	-0.00232	-0.006757	0.00031	-0.000183	-0.000183	-0.011524	0.008528	-0.001334	-0.002648	-0.002155
28	0.013294	-0.002484	-0.006757	-0.001991	-0.001827	-0.000841	-0.010702	0.006556	-0.000512	0.00031	-0.001662
