Ladekurvenmessung

Zeit: 2018_05_03 14.01.48

Info: FVA3, v = 0.272, T = 40, F = 10, h =204.8

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	0.000803	0.003433	-0.004785	0.010007	0.00294	0.003104	0.004255	0.010007
1	-0.000183	0.00409	-0.003635	0.00787	0.001789	0.002611	0.004912	0.010336
2	0.002118	0.004912	-0.001991	0.013294	0.005569	0.008199	0.006227	0.011815
3	-0.001498	0.007213	-0.000347	0.008692	0.00409	0.00672	0.005898	0.00935
4	0.000146	0.00294	-0.000676	0.0105	0.000474	0.006884	0.006556	0.01428
5	0.000474	0.007377	-0.001662	0.007706	0.007542	0.006227	0.006227	0.014938
6	0.000967	0.006062	0.002447	0.007049	0.006062	0.005898	0.004583	0.016088
7	0.000967	0.006391	0.002118	0.003926	0.004255	0.008035	0.008692	0.015431
8	-0.001005	0.003761	0.002775	0.005898	0.005076	0.002447	0.004583	0.012965
9	0.001296	0.007542	0.001296	0.006062	0.001625	0.005898	0.003761	0.01428
10	-0.002484	0.00409	-0.001169	0.003597	-0.00347	0.00294	0.004748	0.017239
11	0.004912	0.002775	0.000639	0.011158	0.001296	0.00294	0.003761	0.018389
12	0.004255	0.003433	0.006062	0.002447	-0.001827	0.001954	0.005569	0.016581
13	0.005405	-0.005443	0.00146	0.007377	0.001296	0.000803	0.007542	0.017239
14	0.001296	0.000639	-0.000512	0.003761	0.000803	0.002447	0.005076	0.015431
15	0.002118	0.001132	0.002282	0.005076	0.001789	0.003926	0.008035	0.022169
16	0.000803	0.007377	-0.000512	0.006556	0.001789	0.002118	0.004583	0.016581
17	-0.001334	0.002611	-0.001827	0.013623	0.003433	0.001296	0.005898	0.012637
18	0.00294	0.009514	0.00409	0.001625	0.004583	-0.002155	0.007542	0.01428
19	0.002282	0.005734	-0.000841	0.004912	0.000474	0.001625	0.006391	0.016746
20	-0.001498	0.00409	0.00146	0.002282	0.002775	0.002118	0.006556	0.012472
21	-0.001005	0.007377	0.001296	0.004419	0.000639	0.005569	0.007213	-0.000841
