Ladekurvenmessung

Zeit: 2018_05_03 14.01.58

Info: FVA3, v = 0.272, T = 40, F = 10, h =204.8

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11
0	0.004419	0.002611	0.003104	-1.9e-05	0.003761	0.001625	0.000803	0.001954	0.000146	-0.001498	-0.005443
1	0.007213	0.007542	-0.003963	0.000146	0.007706	0.002611	0.002282	0.010664	-1.9e-05	0.002775	-0.005114
2	0.004419	0.006884	0.004748	-1.9e-05	0.001789	0.000639	0.000146	0.005734	-0.001662	-0.001005	-0.00347
3	0.004583	0.00409	0.002447	-1.9e-05	-0.001498	0.003926	0.000803	0.00294	-0.003963	-0.001169	-0.00347
4	0.003104	0.007706	-0.001005	-1.9e-05	0.001132	0.003268	0.006062	0.008363	0.003926	0.000474	-0.004292
5	0.003597	0.007213	0.004419	0.008528	0.001625	0.00787	0.005734	0.004748	-0.001498	-0.003963	-0.001169
6	0.007213	0.007049	0.004419	0.009021	0.001296	0.004419	-0.001334	0.011158	0.001625	-0.000841	-0.002977
7	0.003597	0.006227	0.003597	0.011979	0.002447	0.003268	-0.002155	0.008528	-0.001005	-0.001005	-0.002813
8	0.007542	0.00672	0.00294	0.016088	0.006391	0.005569	0.001132	0.011651	-0.000676	0.000803	-0.008072
9	0.005076	0.003926	0.005898	0.003104	0.002611	0.002447	-0.000841	0.008199	0.000967	-0.003306	-0.003963
10	0.006556	0.003926	-0.000841	0.00935	0.004912	0.00409	-0.000183	0.009843	0.000803	0.00409	-0.005443
11	-0.000347	0.003433	0.005076	0.012144	0.004748	0.003597	-0.002648	0.00787	-0.001498	-0.004128	-0.000183
12	0.008528	0.002118	0.003104	0.017896	0.000474	0.006884	-0.001827	0.009514	0.001954	-0.001169	-0.00725
13	0.000967	0.003597	0.006884	-0.004785	0.002118	0.004748	-0.00232	0.005076	-0.000183	-0.001662	-0.010866
14	0.002118	0.001296	0.003104	0.005405	0.005734	0.005898	0.000803	0.005076	0.004583	-0.000183	-0.008894
15	0.005076	0.00146	0.007706	0.009021	0.00409	0.003761	-0.003635	0.001789	0.002282	-0.000676	-0.007908
16	0.003433	0.005734	0.006391	0.013459	0.003926	0.002611	-1.9e-05	0.003926	-0.002813	-0.003963	-0.004785
17	0.001625	0.002611	0.005898	0.01428	0.003926	0.003104	-0.002977	0.006391	-0.00232	-0.002155	-0.002813
18	0.002118	0.008528	0.003433	0.013459	0.002775	0.00409	-0.002155	0.001132	-0.003635	-0.000183	-0.00725
19	0.00294	0.005898	0.003268	0.014116	0.003761	0.002775	-0.001169	0.005076	-0.005114	-0.000512	-0.003963
20	0.004748	0.004419	0.002775	0.016253	-0.001005	0.007049	-0.002813	0.005241	-0.005114	-0.001991	-0.00347
21	0.007542	0.002775	0.00409	0.006062	0.000803	0.001954	-0.002977	0.008363	-0.001991	-0.003306	-0.005443
22	0.005076	0.005898	0.002775	0.004912	0.003104	0.006556	-0.004785	0.007542	-0.005771	-0.003799	-0.00232
