Ladekurvenmessung

Zeit: 2018_05_03 14.47.58

Info: SHC320, v = 0.172, T = 40, F = 20, h =235.2

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.000183	0.00031	0.000639	0.00031	0.002282	-0.000676	-1.9e-05	0.003761	-1.9e-05	-0.000183
1	-0.000512	0.000146	0.001789	0.001132	0.002118	-0.001169	-1.9e-05	0.00294	0.003597	-1.9e-05
2	0.003104	0.000146	-0.000183	0.002282	0.004255	0.001625	0.000146	0.000803	0.000146	-0.000183
3	-0.000347	0.000146	-0.000347	0.000639	0.003761	0.007049	-0.000183	0.000474	0.00031	0.000146
4	-0.001169	-0.000183	0.001625	0.002611	0.004583	0.004419	-0.000347	-0.000347	0.00146	0.000146
5	0.00787	0.000146	-1.9e-05	0.003433	-0.000676	0.00409	-1.9e-05	0.000639	-1.9e-05	-1.9e-05
6	0.002447	-1.9e-05	-0.000512	0.000639	0.003268	0.003104	-0.000183	0.006062	-1.9e-05	-1.9e-05
7	0.002611	-0.000183	-0.000183	0.005405	0.003104	-0.002155	-1.9e-05	-1.9e-05	-0.000347	0.000146
8	0.003268	-0.000183	-0.000183	0.001789	0.002611	-0.000347	-1.9e-05	-1.9e-05	0.000474	-1.9e-05
9	0.000146	-1.9e-05	-0.002813	0.003597	0.00146	0.00031	-1.9e-05	0.001132	-1.9e-05	0.000146
10	0.001132	-1.9e-05	-0.001169	0.002447	0.006884	-0.000676	0.000146	0.004255	-0.000841	-0.000183
11	0.000146	0.000146	0.001625	0.003597	0.001296	0.001132	-0.000183	-0.000676	0.001132	-0.000183
12	0.002282	-1.9e-05	0.000474	0.003926	0.002447	-1.9e-05	0.00031	-0.002155	0.005569	-1.9e-05
13	-0.00232	0.000146	0.002118	0.004583	0.002118	0.002447	-1.9e-05	-0.004456	-0.000512	-0.000183
14	-0.001005	0.001296	0.000639	0.002282	0.002118	-0.000347	-1.9e-05	-0.000676	-0.000676	-1.9e-05
15	-1.9e-05	0.00146	0.00031	0.00146	0.002611	-0.001498	-0.000183	0.001789	0.000967	-1.9e-05
16	0.002611	-0.000183	0.002775	0.002282	0.002282	-0.001169	-0.000183	0.000146	0.000146	0.000146
