Ladekurvenmessung

Zeit: 2018_05_03 14.49.46

Info: SHC320, v = 0.248, T = 40, F = 20, h =292.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	0.001132	-0.004456	0.002611	0.034989	0.024799	-0.000512	-0.016619	-0.005443	-0.00347
1	0.001132	-0.00347	0.000967	0.024964	-0.002484	0.008857	0.008857	-0.001991	-0.067076
2	0.005405	-0.001827	-0.001169	-0.002977	-0.009716	0.002118	0.035975	0.001132	-0.011852
3	0.001132	-0.001991	-0.000183	-0.003963	-0.008237	0.001296	0.001789	0.001789	-0.001827
4	0.00146	-0.00347	-0.001334	-0.008072	-1.9e-05	-0.002484	-0.003963	-0.000841	-0.002484
5	0.003433	0.023813	-0.001827	0.001954	-0.00232	0.002447	-0.006593	-1.9e-05	0.00672
6	0.000146	0.008035	0.002282	-0.002155	-0.005114	0.04748	0.004419	-0.000841	-0.002484
7	0.001789	-0.014811	0.00031	-0.001827	-0.007908	0.003104	0.001625	0.058164	-0.004128
8	0.001296	-0.014647	-0.000512	-0.005114	0.002282	0.004912	-0.001991	0.014445	0.005241
9	0.000803	-0.001169	0.00031	-0.000841	-0.005443	-0.011359	-0.001334	0.001954	-0.002155
10	-0.001169	-0.003963	-1.9e-05	-0.001827	-0.005278	0.002282	0.00031	-0.000676	-0.005114
11	0.00031	-0.002155	0.00031	-0.002813	0.000967	0.000474	-0.001827	-0.005114	-0.001991
12	-0.002155	-0.002648	-0.000183	-0.000676	-0.003635	0.003926	-0.005771	0.004419	-0.005278
13	0.000803	-0.003799	0.00146	-0.00347	-0.000347	0.002775	-0.004128	-0.001662	-0.00232
14	0.012637	-0.003142	-0.000512	-0.000183	-0.004456	0.004419	-0.000512	0.000639	-0.004456
15	0.010171	-0.007086	-0.000676	-0.000841	0.000639	0.001296	-0.001827	0.003761	-0.002813
16	0.000803	-0.006757	0.001132	-0.002484	-0.000183	-0.000183	-0.002977	0.00031	-0.001005
17	0.001789	-0.001498	-0.002155	-0.001169	0.001954	-1.9e-05	-0.00347	0.00146	-0.003306
18	-0.004456	-0.002813	-1.9e-05	-0.001005	-0.003635	-1.9e-05	-0.000512	-0.00232	-0.002155
19	-0.001005	-0.00232	-0.000512	-0.000183	-0.000841	-0.000347	-0.00347	0.002118	-0.000676
20	-0.000512	-0.003142	-0.000676	-0.003799	-0.002977	-0.000347	-0.001662	0.002447	-0.004456
21	0.014609	-0.004785	0.001296	-0.003142	-0.002484	-1.9e-05	-0.000512	-0.000183	-0.004128
22	0.05652	-0.002977	-0.000676	-0.003142	-0.000676	-1.9e-05	0.001132	0.001625	-0.001169
23	0.003926	-0.005278	0.000146	-0.002648	-0.003142	-1.9e-05	-0.004785	-0.001334	-0.003635
24	0.001789	-0.005114	0.00031	-0.005936	-0.002648	0.000146	0.001132	-0.002484	-0.001827
25	-0.014318	-0.005443	-0.016948	-0.003799	-0.001334	-1.9e-05	-0.001169	-0.001169	-0.005278
26	-0.004292	-0.002648	0.012472	-0.003306	-0.000841	-1.9e-05	-0.000183	-0.001991	-0.002155
27	-0.001662	-0.00232	0.004255	0.001296	-0.001169	0.000146	-0.002977	-0.001169	-0.002813
28	-0.001334	-0.003963	0.022005	-0.001662	0.00031	-1.9e-05	-0.001498	-0.001498	-0.004128
29	-0.002813	-0.004456	0.014116	-0.005443	-0.004128	-1.9e-05	-0.003306	0.000803	-0.00347
30	0.001789	-0.00347	0.005898	-0.003635	-0.001334	-1.9e-05	-0.00232	0.003433	-0.001991
31	-0.002484	-0.05475	0.000639	0.000474	-0.003142	0.001296	-0.004128	0.001296	-0.002977
32	-0.001169	-0.035849	0.002282	-0.000183	-0.010538	0.001296	0.002775	0.002118	-0.002813
33	-0.001498	-0.001662	0.000967	-0.004292	-0.001991	-0.034698	0.004419	0.000967	0.005241
34	0.001625	-0.002484	0.002447	-0.000676	-0.006429	0.001789	-1.9e-05	-0.03815	0.000639
35	0.002447	0.008199	0.002118	-0.00232	-0.001827	-0.003799	-0.002648	-0.008237	-0.003306
36	-0.003963	-0.001498	0.000146	-0.001169	-0.004128	0.00672	-0.000183	0.002118	-0.004292
37	0.000146	-0.004785	0.000803	-0.035027	-0.013003	0.001132	0.002118	0.002282	-1.9e-05
38	-0.000512	0.000146	-0.001334	-0.046696	-0.008072	-0.000183	-0.016454	0.003104	-0.002813
