Ladekurvenmessung

Zeit: 2018_05_03 14.52.10

Info: SHC320, v = 0.428, T = 40, F = 20, h = 390.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	-0.002648	-0.001169	0.003597	0.004255	0.00146	-0.001827	0.001132	0.001789	0.002611
1	0.004419	0.002118	0.005569	0.001625	0.001954	0.001296	0.003433	0.000146	0.002775
2	0.00031	-0.000512	0.006556	0.00294	0.002775	-0.001169	-0.000183	0.00146	0.005898
3	0.001954	0.000803	0.007377	0.00146	0.000803	-0.000183	0.003104	0.004583	0.004255
4	-0.001005	-0.001991	0.009843	0.002282	0.00146	-0.000676	0.003597	0.003104	0.00787
5	0.000967	0.005076	0.00787	0.002775	0.003104	0.000146	0.001954	-0.000512	0.006391
6	-0.001334	-0.003635	0.004419	0.000803	0.001296	-0.000841	0.000639	0.002611	0.005569
7	0.001296	0.000146	0.000967	0.000474	-0.001005	0.000803	0.005241	0.002447	0.00409
8	-0.001498	-0.00232	0.000146	0.00409	0.000639	-0.001662	0.002447	0.001296	0.00672
9	-0.000183	-0.000183	-1.9e-05	0.000639	0.003597	0.00409	-0.000183	0.000474	0.004255
10	-0.00347	-0.001334	-1.9e-05	0.000474	0.002447	0.001789	0.001625	0.004583	0.003926
11	-0.001169	-0.001334	-0.000676	-0.003306	-0.002813	0.004255	-0.001662	0.001625	0.005076
12	-0.002484	-0.000512	-0.000676	0.000639	-0.001169	-0.000183	0.000967	0.002775	-0.004949
13	0.001296	-0.002155	-0.003635	0.000803	0.008528	-0.001169	-0.000676	0.003268	-0.002648
14	0.00031	-0.002648	-0.001005	0.003433	0.000803	0.002447	0.003597	0.005076	-0.000347
15	0.000967	0.003268	-0.002155	0.001954	0.00031	0.000146	0.005734	0.004419	0.005898
16	-0.001827	-0.00725	-0.000841	0.006391	0.000639	-0.000676	0.000474	0.003597	-0.001169
17	0.000474	-0.006593	-0.003635	0.003926	0.005076	-0.000841	0.003433	0.000639	0.002611
18	0.000146	0.002611	-0.001991	0.002447	0.006556	0.001789	0.005405	0.003597	-0.000183
19	0.00031	-0.002648	-0.001334	0.001296	0.003761	-0.001334	-0.000512	0.00146	0.005405
20	0.000146	-0.000676	0.002447	0.007706	0.002282	0.000803	0.001296	-0.001005	-0.000183
21	-0.001334	-0.003142	-0.002648	0.001789	0.002611	0.000639	-0.000512	0.003761	0.00294
22	0.003433	0.00146	0.004583	0.001954	-0.002155	0.001625	0.001296	-0.001005	-0.004785
23	-0.00232	-0.001334	0.003926	0.001789	0.001789	-0.001334	-0.001169	0.000639	-0.000347
24	0.000474	0.001296	0.001954	0.000146	-0.000512	0.001296	-0.003963	-0.000183	0.001296
25	0.002118	-0.002155	0.002775	0.001789	0.001625	0.001954	0.001954	-0.000183	-0.000841
26	0.00031	-0.000841	0.003268	0.002282	-0.000512	0.002775	0.000146	0.001625	-0.006922
27	-0.003635	-0.001662	-0.002484	0.00031	-0.001005	0.00294	0.00294	0.005898	-0.003142
28	0.000803	0.000146	0.00146	-0.001498	0.001132	0.001789	0.00031	0.002611	0.00146
29	-0.001991	-0.003963	0.004912	0.000639	-0.002813	0.003926	-0.002484	0.003597	-0.011852
30	-0.002484	-0.000347	-0.001498	-0.002813	-0.000676	0.000967	-0.001662	0.001954	-0.003306
31	-0.001498	-1.9e-05	0.001954	-0.001334	0.002282	0.004419	-1.9e-05	0.003104	-0.002155
32	-0.000512	0.000146	-0.002977	0.003104	0.00146	0.004255	0.000803	0.002447	0.000474
33	0.000639	0.001954	0.004419	0.001789	0.00146	-0.005607	0.000146	-0.001334	-0.000512
34	0.001625	0.002447	0.001296	0.002775	0.003104	0.000639	-0.000512	0.003104	0.000146
35	-0.001498	0.003926	0.002447	-0.000676	0.000146	0.001789	0.001132	0.000146	-0.000512
36	0.001625	-1.9e-05	0.003433	0.002775	0.004583	0.000146	0.003597	0.001789	-0.002155
37	0.00409	0.003597	0.005898	0.001132	-0.002155	0.001625	0.001296	0.000967	0.00031
38	-0.003799	0.002282	-0.001827	-0.001827	0.001625	-0.000512	0.004255	0.002118	0.003104
39	-0.000841	-1.9e-05	0.001625	0.003268	-0.000347	0.000146	0.002775	0.000474	-0.000676
40	-0.000841	0.001625	0.000639	0.00146	-0.000512	-0.009387	0.003597	0.003104	0.000803
41	0.00031	0.004583	0.003926	-1.9e-05	-0.002813	0.000639	-0.003142	0.00294	0.001296
42	-0.007415	0.003597	0.003761	0.003104	-0.003306	-0.001005	-0.001169	0.001132	0.001789
43	-0.003799	0.004748	0.000639	0.003104	0.001296	0.00294	-0.001005	0.000967	0.00409
44	0.000146	0.006062	0.00409	0.00146	-0.001498	-0.000347	0.00031	0.002282	0.003597
45	-0.000512	0.00294	0.004419	-0.001827	-0.000676	0.001954	-0.003635	0.001625	-0.000183
46	0.000474	0.003433	0.006391	0.000146	-0.002155	-0.001005	0.002282	0.001625	-0.003306
47	-1.9e-05	0.003104	0.006062	0.001625	-0.002155	0.003104	-0.000347	-0.001005	-0.001662
48	0.001132	0.00146	-0.000183	0.001132	-0.001334	-0.001005	-0.001991	-0.001498	-0.002484
49	-0.001991	0.002282	0.011158	-0.001662	0.001296	0.001625	0.002282	0.001789	-0.004785
50	-0.001169	0.002775	0.013459	0.002611	-0.001005	0.000474	0.002118	-0.001005	-1.9e-05
51	0.001789	0.002282	0.010664	0.001296	0.000967	0.000474	0.002447	0.001789	-0.000347
52	-0.001334	0.002775	0.017403	0.000803	-0.000183	-0.000676	-1.9e-05	-0.003635	-0.001498
53	-0.000347	0.000967	0.010829	0.002282	-1.9e-05	-0.000347	0.001954	-0.000512	0.00146
54	-0.000183	0.002775	0.006556	0.00409	-0.001005	0.002447	-0.000512	0.002775	-0.001334
55	-0.000512	0.001954	0.009021	0.006062	0.000474	-0.001169	0.00294	0.000474	0.00031
56	0.001132	-0.001169	0.011158	-0.001169	-0.002648	0.00146	0.000967	0.001954	0.000474
57	0.001132	0.002775	0.012965	-0.001169	-0.000347	-0.001662	-0.001005	0.002447	0.000146
58	-0.001498	0.003761	0.017074	-0.001169	-0.000347	0.003597	0.001296	0.001296	-0.001169
59	-0.001169	0.000474	0.016253	0.000474	-0.000676	0.000803	0.002118	-0.000841	0.002447
60	-0.001169	0.002447	0.014445	-0.001662	0.001789	0.003926	-0.001334	-0.001827	0.000474
61	-0.002977	0.001625	0.018389	-1.9e-05	0.000639	-0.001005	0.002118	0.001132	0.000146
62	-0.000347	-0.000183	0.019375	-0.002648	0.00146	0.007377	0.000639	0.001132	0.000146
63	-0.000841	-0.001498	-0.001498	0.001132	-0.00347	-0.000676	-0.001827	0.00409	0.00031
64	-0.003142	0.002447	0.000146	0.002118	-1.9e-05	0.000967	-1.9e-05	0.006391	0.000639
65	-0.001662	0.003761	-1.9e-05	0.001132	-0.007086	0.001625	0.001789	0.00146	-0.001334
66	-0.000512	0.000146	-1.9e-05	0.001789	-0.001005	-0.000841	0.000474	0.002611	0.003104
67	-0.001827	-0.000512	-0.000183	0.003597	-0.002484	-0.001334	-0.002813	0.001954	0.00146
68	-0.001662	0.001132	-1.9e-05	0.002282	0.001789	-0.001005	0.000967	0.004583	0.002118
69	-0.001827	0.002282	-0.000183	0.001132	-0.001827	0.002447	-0.000183	0.001625	0.00294
70	-0.000347	0.000146	0.00294	0.002775	-0.001991	-0.001334	0.000146	0.00294	0.00409
71	-0.00347	0.00146	0.001954	-0.000841	0.002282	0.002447	0.000146	0.00146	0.000146
72	-0.006593	-0.003142	0.004255	0.002447	0.002118	0.000146	0.002447	0.000803	0.00787
73	-1.9e-05	-0.001991	0.00787	0.004255	-0.001662	-0.000183	-0.00347	0.001132	0.006556
74	-0.005936	0.000474	0.008692	0.003761	-1.9e-05	0.000967	0.00294	0.002118	-0.001334
75	-0.003635	-0.001991	0.006391	0.001625	0.000146	0.000146	0.001954	0.00031	0.006062
76	-0.000347	0.002118	0.008857	0.003268	-0.000512	-0.000512	0.001296	0.000967	-0.001005
77	-0.001827	0.001296	0.003597	-0.001662	0.000146	-0.000512	-0.001827	0.001132	0.005734
78	-0.004128	0.00294	0.012637	0.000146	-0.000183	-0.000676	0.001789	0.003926	-0.002813
79	-0.000841	0.002447	0.005241	-0.000183	0.00146	0.005734	-0.001662	0.002447	0.003104
80	-0.005114	0.002118	0.008528	-0.000841	0.000803	0.000967	-0.002484	0.000803	-0.002155
81	0.000967	0.000639	0.008528	-0.000512	0.002611	-0.000347	-0.000183	0.004583	-0.001991
82	-0.002813	0.000146	0.004912	0.002118	-0.001169	-0.003963	0.000146	0.003761	-0.000676
83	-0.001334	0.001954	0.005076	-0.002813	0.006227	0.001132	-0.001334	0.003104	-1.9e-05
84	-0.003635	0.000474	0.00787	-0.001169	-0.000841	-0.000841	-0.001005	-1.9e-05	-0.000841
85	-0.003635	0.000639	0.007542	0.00294	0.001954	0.000803	0.001789	0.001296	-0.000841
86	-0.000841	-0.001498	0.007706	0.003597	0.001132	-0.000183	-0.000841	-0.000347	-0.001169
87	-0.002648	-0.007744	0.008857	0.003433	-1.9e-05	-0.00232	0.00031	0.002611	0.000803
88	-0.001991	0.003268	0.007213	0.003761	-0.001498	0.000146	-0.000183	-0.000347	0.001625
89	-0.000841	0.000803	0.008528	0.004255	-0.001991	-0.000841	0.00031	0.003268	-0.000841
90	0.00031	0.002118	0.007542	0.001625	0.001132	0.003761	-0.002484	0.003433	-0.000512
91	-0.002648	-0.000676	0.006227	0.002611	-0.000841	-0.001991	-0.000676	0.007542	-0.000676
92	0.002611	0.003597	0.00787	0.001625	-0.001334	0.002282	0.00146	0.002775	0.007213
93	0.006062	0.000146	0.008363	0.003761	-0.000347	-0.001827	-0.001334	0.001296	-0.000841
94	0.001789	0.002775	0.000967	-0.001991	-0.004949	0.003433	-0.001991	-0.000183	-0.000347
95	-0.000512	0.00146	0.002447	0.002282	-0.001334	0.00031	-1.9e-05	-0.000347	0.000639
96	0.005241	0.002118	0.003104	0.003433	-0.001169	0.003761	-0.001827	0.00146	-0.001662
97	-0.002648	-1.9e-05	0.004419	0.002282	-0.004949	0.000967	-0.001334	0.000146	0.000639
98	-0.000676	0.000803	0.003268	0.002282	0.00031	0.000146	-0.001827	0.00031	0.000803
99	-0.003963	-0.000347	0.006391	0.004419	-0.001662	-0.000841	0.002118	-0.002155	-1.9e-05
100	0.001954	0.003761	-0.000347	0.002611	0.000474	-0.001498	-0.000512	0.002611	0.001296
