Ladekurvenmessung

Zeit: 2018_05_03 14.52.24

Info: SHC320, v = 0.428, T = 40, F = 20, h = 390.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
0	0.002611	-1.9e-05	0.001789	0.00031	0.000474	0.001625	0.002447	0.000967	0.003761	0.001132	0.00146	0.003104
1	-0.000841	0.002447	0.006391	0.00294	0.002775	-0.001005	0.00146	0.005076	0.001954	0.002447	0.000474	0.005405
2	0.005898	0.000639	0.007049	0.001954	0.005076	0.006556	0.003268	0.003104	0.001132	-0.001169	0.002118	0.004583
3	-1.9e-05	0.003597	0.007049	0.001789	0.004583	0.004748	0.005405	0.003104	0.001625	0.005241	0.000967	0.004912
4	0.000803	0.003597	0.005734	0.004912	0.000967	0.000146	0.005076	0.00031	0.002611	0.000146	0.000146	0.00146
5	0.001132	0.005076	0.003761	0.001789	0.004419	0.002611	0.001789	0.00294	0.004748	0.003761	0.000146	-0.000512
6	0.001132	0.003433	0.001789	0.001296	0.002447	0.006391	0.007213	0.004419	0.001954	0.00031	0.000803	-0.000841
7	0.002611	0.004419	0.005405	0.005076	0.002611	0.000474	0.005076	0.00031	0.004748	0.00294	-0.000512	0.006391
8	0.005734	0.00672	0.004419	0.003926	0.00294	0.002447	0.006227	0.004912	0.003926	0.004419	-1.9e-05	0.000967
9	-0.000183	0.00787	0.004255	0.000803	0.001132	0.003926	0.003104	0.002775	0.005898	0.003597	-0.000347	0.003268
10	0.002611	0.003926	0.00409	0.00409	0.001132	0.000146	0.004419	0.003433	0.001132	-0.000676	0.008528	0.003268
11	0.00146	0.003104	0.00787	0.003268	0.001789	0.003761	0.004419	0.002447	0.008528	0.001954	0.000803	0.005241
12	0.002611	0.003597	0.004583	0.003761	0.002447	-0.000841	0.005241	0.001296	0.002611	0.002118	0.000474	0.007542
13	0.000474	0.003926	-0.000512	0.005734	-0.000512	0.000803	0.001132	-0.002813	0.003104	0.003433	-0.002977	0.005898
14	0.003104	0.002775	0.00787	0.003433	0.003268	-0.000512	0.006062	0.001789	0.002611	0.005734	-0.000676	0.001954
15	-0.001005	-1.9e-05	0.00031	0.003761	0.005076	0.002118	0.004583	0.000146	-0.001005	-0.002484	0.003433	0.005569
16	0.001132	-0.000183	0.003761	0.001132	-0.000676	-1.9e-05	0.004583	0.002282	0.00409	0.004912	0.000146	0.003761
17	0.000474	-0.000183	-1.9e-05	0.001954	-0.001827	0.005241	0.004748	0.005076	0.000803	0.002447	0.00146	0.004419
18	-0.001169	0.002775	0.002447	0.001789	0.003268	0.003761	0.007049	0.003597	0.001954	0.003597	-0.000841	0.005076
19	0.005076	0.004748	0.002775	-0.00232	0.001789	-0.000841	0.004912	-0.001334	0.000803	0.000967	0.003761	0.005734
20	0.001954	0.001132	0.000967	0.00031	0.00031	0.00146	0.00409	0.007049	0.00294	0.004912	0.005569	0.003597
21	0.002118	0.001625	-0.000183	0.001625	-0.005278	0.001954	0.002775	0.002775	0.00031	0.000803	0.002118	0.003433
22	0.003761	0.00294	0.002611	0.001296	0.006062	0.005076	0.003761	0.000639	0.004748	0.003104	0.001954	0.005076
23	0.002118	0.000474	0.000146	0.004419	0.005569	0.001954	0.001789	-0.000183	0.000639	0.002282	0.004583	0.003761
24	0.002447	0.005569	0.00146	0.002447	0.003104	0.001625	-0.000347	0.001132	0.00031	0.00146	0.00146	0.006227
25	0.006556	-0.000347	0.000967	0.005405	0.003761	0.002611	0.006062	0.000639	0.002118	-0.000183	0.002118	0.003433
26	-0.001498	0.004748	-0.000841	0.003268	0.005734	0.003433	0.001954	0.000146	-0.000676	0.005569	0.000474	0.007377
27	0.001789	0.004912	0.00294	0.004748	0.002282	0.007706	0.004255	0.003433	-0.000841	0.001954	0.004583	0.005076
28	0.004583	0.007049	-0.001991	0.002118	0.00294	0.005569	0.003268	0.000474	0.003104	0.002775	0.00146	0.004583
29	0.001789	0.000967	0.002611	0.001296	0.003926	-0.001169	0.00787	-0.002648	0.000803	0.002611	0.003761	0.004419
30	0.003104	-0.007415	0.001625	-0.000676	-0.001827	0.002611	0.005076	-0.001662	0.00409	0.001789	0.004912	0.008528
31	0.002447	-0.000512	0.005076	0.001625	0.008035	0.001789	0.007213	0.001625	-0.000183	0.000146	0.005241	0.00409
32	0.001954	0.00031	-0.000347	-0.001498	0.00146	0.002447	0.004748	-0.002155	-0.000841	0.000639	0.004748	0.006391
33	0.00146	0.000639	-0.002155	0.001789	0.00787	0.000967	0.00409	-0.002813	-0.000512	-0.000676	-0.000676	0.007049
34	0.000474	-0.001498	0.001296	0.002118	0.007542	0.001625	0.002282	0.000146	-0.001991	0.002282	0.007049	0.005898
35	-0.000183	0.001132	0.002118	0.000803	0.010171	0.002282	0.003104	0.00294	-0.000512	-0.000512	0.005405	0.005241
36	0.002118	0.000967	0.000639	0.001789	0.006391	0.003268	0.002775	0.004748	0.000146	0.002447	0.003597	0.005405
37	0.000803	0.004419	0.000639	-0.001991	0.010336	0.002282	0.002118	0.002775	0.00031	0.00031	0.003104	0.006556
38	0.005898	-1.9e-05	-0.000841	0.003433	0.009843	0.00409	0.00294	-0.002977	-0.001334	0.000474	0.003926	0.003104
39	0.001132	0.000639	0.00294	0.003433	0.012308	0.003926	0.003761	0.003433	-0.000183	0.000803	0.00294	0.00409
40	0.005241	0.00031	0.000967	0.001789	0.01313	0.00031	0.004419	0.002775	0.001789	0.000474	0.005241	0.003597
41	0.000639	0.007213	-0.001662	-0.001005	0.012637	0.000803	0.003926	0.000803	0.000474	0.002447	0.002611	0.005405
42	0.006062	0.000967	0.000803	0.003433	0.00672	0.00409	0.005734	-0.001005	0.002118	0.003104	0.005898	0.00409
43	0.001296	0.002447	0.001132	0.000639	0.00409	0.002611	0.005241	0.005898	0.003104	0.000803	0.004419	0.001296
44	0.003268	0.001789	0.004255	0.003597	0.007377	-0.000512	0.003433	0.001132	0.00294	-0.000512	0.003433	0.003268
45	0.002611	0.003761	-0.000676	0.000474	0.003268	0.002611	0.001132	0.000967	0.000967	0.000967	0.001296	0.002611
46	-0.000183	0.000639	0.003761	0.000967	0.006227	0.002775	0.003761	0.001789	-0.000512	0.003597	0.001296	0.002282
47	-0.000183	0.00409	0.002118	-0.000512	0.003597	0.001954	0.000474	0.000146	0.003597	0.000474	0.00031	0.003268
48	-0.002813	0.001132	0.004419	0.000474	0.003597	0.004419	0.000639	0.00294	0.001954	-0.000183	0.000474	0.003597
49	-0.001827	-0.000183	0.002118	-0.001334	0.002118	0.004748	0.002118	-0.001334	0.002447	0.001625	0.002282	0.002611
50	-0.000841	0.00146	0.007213	-0.001169	0.004748	-0.000347	0.006062	0.003597	0.001789	0.002447	-0.000183	0.002775
51	0.002611	-0.003799	0.004419	0.000639	0.006062	0.004912	0.003926	-0.000183	0.005734	-0.000347	0.00146	0.003761
52	-0.000841	0.00146	0.005898	-0.000512	0.004583	0.003761	0.00294	0.001954	0.00409	0.000967	0.00031	-0.011852
53	0.000803	-0.003635	0.004255	0.001296	0.001954	0.003268	0.002775	0.00146	0.000146	-0.000183	0.002611	-0.012839
54	0.000146	-0.002813	0.004583	-0.000676	0.008363	0.001789	-0.002484	-0.009223	0.002118	0.003104	0.001789	-0.014153
55	0.006884	0.000474	0.006556	0.00294	0.009514	0.000639	-0.00347	-0.006429	-0.000183	-0.000512	0.002447	-0.017441
56	0.000639	-0.001662	0.006884	-0.000183	0.008035	0.002118	-0.00232	0.001625	0.001954	-0.000347	0.000474	-0.012674
57	0.003926	0.00031	0.006556	0.002282	0.009185	0.002775	0.001132	-0.001334	0.00146	-0.000841	0.001296	-0.010866
