Ladekurvenmessung

Zeit: 2018_05_03 14.56.02

Info: SHC320, v = 0.886, T = 40, F = 20, h = 530.7

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	0.004419	-0.0061	-0.005771	-0.005114	-0.004949	-0.000676	0.000967	-0.001334
1	0.003104	-0.009551	0.002447	-0.001991	-0.001334	0.000474	0.001954	0.00294
2	-0.002648	-0.005607	0.000639	-0.002648	0.003433	-0.001005	0.002282	0.001625
3	-0.001334	-0.006264	0.003597	-0.001662	0.003268	0.003926	-0.004785	0.003597
4	-0.001005	-0.005936	0.000803	-0.003142	0.003268	0.002447	0.001296	-1.9e-05
5	0.000639	-0.006593	0.006062	-0.004456	0.000803	0.000639	-0.000183	0.000803
6	-0.000183	-0.001827	-0.000183	-0.00232	0.003268	0.001132	0.001132	-0.00347
7	-0.001498	-0.003306	0.003597	-0.002813	0.001296	0.001132	-0.000841	0.000967
8	0.000146	-0.006757	0.000146	0.000803	0.00294	0.000639	0.001789	-0.002484
9	0.000146	-0.004949	-0.001005	0.001789	-0.001662	-0.000841	0.001296	-0.000676
10	0.002118	-0.005443	-0.003963	0.002118	-0.002648	0.002282	0.001625	-0.000841
11	0.000967	-0.001991	0.00146	0.005405	-0.001991	0.000639	0.001954	0.003597
12	0.003268	-0.009058	-0.000347	0.003104	0.001296	-0.001169	0.001296	0.003104
13	0.003433	-0.008565	-0.002977	0.005076	-0.001662	0.003597	0.000474	-0.002648
14	-0.000676	-0.008565	-0.002648	0.005569	0.00146	0.001132	0.000639	0.004255
15	-0.001662	-0.004456	0.000639	0.005076	-0.001169	-0.0061	0.006391	-0.002484
16	0.002447	-0.009387	0.000474	-0.001334	-0.001498	-0.001498	0.001296	-0.001169
