Ladekurvenmessung

Zeit: 2018_05_03 14.57.42

Info: SHC320, v = 1.06, T = 40, F = 20, h = 576.5

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.001334	-0.002155	-0.001498	-0.000676	-0.008401	-0.002813	-0.00347	0.002282	-0.002484	-0.001005
1	0.002611	-0.000347	-0.002155	0.002282	-0.000676	-0.003799	-0.003142	0.006062	-0.000841	-0.003306
2	0.00146	-0.001827	-0.001827	-0.005936	-0.002484	-0.000347	-0.000347	-0.00232	0.000803	0.001625
3	0.002447	0.000967	-0.001005	-0.003635	-0.002648	-0.00232	-0.000841	0.000474	0.004583	0.000474
4	0.001132	0.000967	-0.001334	0.000474	-0.001334	-0.002977	-0.000512	-0.002155	-0.002155	0.00146
5	0.004583	0.001296	0.000967	-0.002155	-0.000347	-0.006757	-0.001334	-0.000676	0.000474	0.001296
6	0.004583	0.002447	0.000967	-0.003142	-0.001662	-0.000841	0.001954	-0.000512	0.000803	-0.001169
7	0.001954	-0.000347	0.00031	-1.9e-05	-0.002484	0.000474	-0.000841	-0.000183	-0.003799	-0.003142
8	0.005241	-0.004292	-0.010045	-0.00232	-0.001498	0.004255	-0.000676	-0.001991	-0.011031	0.003926
9	0.002775	-0.000183	0.001296	-0.001827	0.000474	0.002447	0.001296	0.002282	-0.006429	-0.000512
10	0.001132	-0.000347	-0.00347	-0.001169	-0.003306	0.000803	0.002611	-0.000347	-0.002813	-0.003142
11	0.001954	-0.001662	0.001789	-0.003306	0.00146	-0.000841	-0.000183	0.000639	-0.004128	0.000474
12	0.004583	-0.001827	-0.000347	0.000967	0.001132	-0.000183	0.000639	-0.001169	0.00031	-0.000512
13	0.00031	-0.001005	-0.000512	-0.000183	0.00031	-0.002155	0.00031	-0.000676	-0.003635	-0.001498
14	0.005734	-0.000347	-0.001334	-0.000183	0.00146	-0.002648	-1.9e-05	-0.00347	-0.002155	-0.000512
15	0.002611	-0.004128	-0.003799	0.000639	0.002447	-0.001005	-0.001498	0.002775	-0.001827	0.000967
16	0.002447	0.000474	-0.004292	0.000967	-0.005936	-0.001827	-0.001334	0.00031	0.000474	0.001625
17	0.00294	0.003926	0.001296	0.00031	-0.002648	-0.000841	0.00031	-0.000512	-0.003306	0.00031
18	0.003761	-0.00232	-0.002648	0.003761	-1.9e-05	-0.001334	-0.003142	0.000803	-0.000183	0.001296
19	0.000639	-0.000841	-0.002648	-0.000512	-0.001991	-0.001662	-0.001662	0.000146	-0.002484	0.003926
