Ladekurvenmessung

Zeit: 2018_05_04 09.00.42

Info: FVA3, v = 0.382, T = 23, F = 20, h = 314.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2
0	0.003268	0.004583
1	0.003433	-0.001334
2	0.000803	-0.000347
3	0.006884	-0.001334
4	0.007706	0.000474
5	0.004419	-0.000512
6	0.005241	0.001296
7	0.009514	0.000803
8	0.000639	0.002447
9	0.005569	-0.00232
10	0.003926	0.001954
11	0.003761	-0.001334
12	0.000146	0.000639
13	-0.000676	0.000803
14	0.001789	0.000474
15	0.003104	-0.000183
16	0.000474	-0.000183
17	0.000803	-0.000841
18	0.003761	-0.000676
19	-0.000183	-0.000347
20	0.00294	0.000474
21	0.001132	0.00031
22	0.001954	-0.002155
23	0.000967	-0.000512
24	-0.000841	-1.9e-05
25	0.002611	0.001789
26	0.003268	-0.000183
27	0.001296	0.002118
28	0.006062	0.00031
29	0.007049	0.000639
30	-0.000183	0.000474
31	0.001789	-0.000841
32	0.003926	-0.000841
33	0.003104	0.003926
34	0.000474	-0.001005
35	0.002611	-0.000512
36	0.003104	-0.001005
37	0.003433	-0.001662
38	-0.000183	0.00031
39	-1.9e-05	-0.001334
40	0.005734	-0.001991
41	0.003104	-0.001334
42	0.001625	0.00031
43	0.00409	0.001132
44	0.002775	0.000967
45	0.003597	0.000803
46	0.001789	-0.000183
47	0.003433	0.000146
48	0.00294	0.000967
49	0.002118	0.003761
50	0.002447	0.003268
51	0.006062	-0.001334
52	0.00146	0.000146
53	-0.001169	0.001296
54	0.002118	-0.003963
55	0.000639	0.000803
56	0.002118	-0.001827
57	0.002282	0.002447
58	0.003761	-1.9e-05
59	-0.001662	-0.000676
60	0.003597	0.002447
61	0.00031	-0.001334
62	-0.001498	-0.002484
63	-1.9e-05	-0.000347
64	0.000146	0.000803
65	0.000146	-0.000676
66	0.00031	0.001132
67	-0.002813	0.00294
68	0.000474	0.00146
69	-0.006429	0.000967
70	-0.006593	0.00031
71	-0.002484	-0.001334
72	-0.006264	0.001789
73	-0.005278	-0.002813
74	-0.002813	0.000967
75	-0.000512	0.000474
76	0.001296	0.000146
77	0.000803	0.003268
78	-0.000347	0.003761
79	-0.004456	0.000146
80	-1.9e-05	0.001296
81	0.000803	0.002611
82	0.000146	-1.9e-05
83	-0.001498	0.003926
84	-0.002484	0.001132
85	-0.001662	0.005241
86	-1.9e-05	0.002282
87	-0.000676	0.002775
88	-0.000347	-0.001169
89	-0.003635	0.004583
90	-1.9e-05	-0.001498
91	-0.000841	-0.001169
92	-0.000183	-1.9e-05
93	0.000639	-0.001498
94	0.000803	0.001625
95	-1.9e-05	-0.002484
96	-0.001169	0.002282
97	-0.000347	0.00031
98	-0.000512	0.003761
99	0.002118	0.000967
100	0.002611	0.002447
101	0.002611	0.001132
102	0.001296	0.00146
103	0.001789	0.001132
104	0.000146	0.000803
105	0.002118	-0.002155
106	-0.000676	-0.002648
107	0.00294	-0.002484
108	0.002611	-0.002648
109	0.003268	-0.003306
110	0.001296	-0.004128
111	0.001954	0.00031
112	0.000639	0.000474
113	0.000967	0.000146
114	0.002447	0.00031
115	0.001132	0.002775
116	0.001132	0.000803
117	-0.000347	0.002611
118	-0.001991	-0.000512
119	0.001132	0.002118
120	-0.001498	0.002282
121	-1.9e-05	0.000967
122	0.000967	0.001954
123	-0.001498	-1.9e-05
124	0.001132	-0.000183
