Ladekurvenmessung

Zeit: 2018_05_04 09.08.29

Info: FVA3, v = 1.05, T = 23, F = 20, h = 518.2

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	0.001625	0.001296	0.00146	-0.000183
1	0.001132	0.003597	0.002775	0.002447
2	0.003268	0.00294	-0.003306	-0.000347
3	0.00031	0.004748	-0.000512	-0.001005
4	0.001132	0.003268	-0.00232	-0.001991
5	0.003926	0.002775	0.000474	0.000967
6	0.005241	0.00409	0.000639	-0.001005
7	0.001296	0.004419	0.000967	-0.000841
8	-0.000347	0.002118	-0.001005	0.001954
9	0.000146	0.003761	0.003104	0.002282
10	-0.001005	0.000474	-0.000676	0.002282
11	-0.001991	-0.000676	0.001625	0.003104
12	-0.001827	-0.000347	-1.9e-05	0.000146
13	-1.9e-05	-0.00347	0.001296	0.003761
14	0.000803	0.000146	0.000967	0.000146
15	0.000474	0.000639	0.001132	0.002118
16	0.000639	0.000474	0.002447	0.000803
17	0.002611	0.001132	-0.001662	-1.9e-05
18	0.000474	0.001954	-0.000183	-1.9e-05
19	0.004255	-1.9e-05	-0.001334	-0.001334
20	0.003597	0.000967	-1.9e-05	-0.001827
21	0.000639	0.000474	-0.001827	-0.002155
22	0.002282	-0.002155	-0.00347	-0.000676
23	0.001132	-0.001827	-0.000841	0.000803
24	-0.001498	-0.000841	0.002118	0.002282
25	0.001625	-0.001662	0.001296	0.000639
26	-0.000841	-0.001498	0.003597	0.00294
27	-0.001334	0.00031	0.002775	-0.000183
28	-0.001005	-0.001169	0.003268	0.002447
29	0.00031	0.00146	0.001132	0.000474
30	0.000967	0.000474	-1.9e-05	-0.000512
31	0.001625	0.001625	0.00409	0.00146
32	0.000474	0.000639	-0.000183	0.001132
33	-0.000512	0.002447	-0.000512	0.00294
34	-0.001498	-0.00232	0.000146	0.000146
35	-0.003635	-0.003635	0.00146	-0.003799
36	-0.001169	-0.001498	-1.9e-05	0.000967
37	0.00146	-0.001991	0.002282	0.000639
38	0.001789	-0.001498	0.000146	0.000146
39	0.000146	-0.002977	0.001625	0.000639
40	0.003597	0.000803	-0.000183	-0.00347
41	-0.002484	-0.001169	0.000639	-0.00232
42	-0.000676	-0.002813	-0.000183	0.000967
43	-0.000841	-0.003799	-0.001334	0.001789
44	-0.002813	-0.001169	-0.001169	0.000639
45	-0.001498	-0.004292	0.000639	0.002282
46	-0.003306	-0.000347	-0.000676	0.002447
47	-0.002484	-0.005278	0.001296	0.003761
48	-0.001827	-0.001334	0.001789	0.001789
49	0.00146	-0.001169	-0.002813	0.000474
50	0.000803	-0.001991	0.00031	0.000639
51	0.002118	-0.000347	0.000146	-0.000676
52	0.000803	-0.003306	0.000967	-0.001005
53	0.003597	-0.004456	0.002282	-0.001169
54	-0.000347	-0.003963	-0.000347	0.000803
55	0.005076	-0.001005	-0.002813	-0.001005
56	0.002118	-0.005114	0.001789	-0.000841
57	-0.001334	-0.003142	-0.001498	-0.001005
58	-0.001662	-0.004621	0.000146	0.000474
59	-0.001498	-0.004456	-0.001662	0.000967
60	-0.001827	-0.001662	0.000474	0.001625
61	-0.003635	-0.002155	-0.000676	0.001954
62	-0.002648	0.001789	-0.000676	0.001296
63	-0.00232	-0.002484	0.001296	0.000474
64	0.003926	-0.003306	-0.001005	0.001954
65	-0.001334	-0.004621	-0.001169	0.004419
66	0.000639	-0.003306	-0.002977	-0.001005
67	0.000146	-0.004621	-0.001334	-0.000183
68	0.004419	-0.004949	-0.002155	0.000474
69	0.000967	-0.004128	-0.001498	0.00294
70	0.001789	-0.005936	-0.001498	-0.001662
71	0.001954	-0.00725	-0.003635	0.002282
72	0.001296	-0.001169	-0.000347	-0.002155
73	0.00146	-0.009387	0.001789	-0.001662
74	0.000803	-0.005114	0.000639	-0.002484
75	0.003926	-0.006264	0.004419	-0.000347
76	-0.001005	-0.004456	-0.000841	0.002447
77	0.00146	-0.004456	-0.002648	-0.000841
78	-0.001827	-0.00347	-1.9e-05	0.001132
79	0.000146	-0.002155	-1.9e-05	0.002282
80	-0.000512	0.000803	0.000146	0.000474
81	-0.000183	-0.001005	0.000474	0.001625
82	-0.000183	-0.002484	0.000146	0.002611
83	0.001132	-0.004621	-0.00232	0.000967
84	0.000803	-0.004785	0.001625	0.00031
85	0.002118	-0.004292	-0.000347	-0.001991
86	-0.001662	-0.003963	0.00409	0.001132
87	0.001296	-0.003635	-0.001169	0.000639
88	-0.001169	-0.002977	0.001789	0.000803
89	-0.000347	-0.001991	-0.000512	-0.003306
90	0.002118	-0.005114	0.001132	0.002447
91	-0.002155	0.000967	0.000967	-0.001498
92	-0.002813	-0.004128	-0.000183	-0.001991
93	0.002118	-0.002648	-0.002648	-0.001334
94	-0.003963	-0.004456	-0.001169	0.003268
95	-0.000676	-0.001827	0.000967	0.003926
96	-0.001498	-0.002977	0.000803	-0.001991
97	-0.001498	-0.001662	-0.001498	0.000803
98	0.002282	-0.000183	-0.001662	0.00294
99	0.000474	0.00031	-0.000841	-0.000841
100	0.001954	0.00031	-0.004785	-0.001005
101	-1.9e-05	-0.001991	-0.002484	0.006227
102	-1.9e-05	0.00031	-0.002484	-0.001334
103	-0.003799	-0.001005	0.001296	-0.000841
104	-0.000841	-0.002155	-0.000183	-0.005114
105	-0.000183	-0.001827	0.001789	0.000639
106	0.000146	0.00146	0.00409	-0.002977
107	0.00146	-0.004128	0.00031	-0.004128
108	0.000474	-0.002813	0.000146	-0.00347
109	-0.002155	-0.010045	-0.000841	-0.000512
