Ladekurvenmessung

Zeit: 2018_05_04 09.53.14

Info: FVA3, v = 0.14, T = 23, F = 20, h = 43

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.001954	-0.001498	0.000146	-0.000512	-0.005771	-0.001169
1	-0.001827	-0.000347	-1.9e-05	-1.9e-05	-0.003306	-0.0061
2	-0.001169	-0.000841	-0.000183	0.000146	-0.003306	0.00031
3	0.004255	0.001789	-0.000347	0.000146	-0.004949	-0.003635
4	0.001296	0.000639	-0.000512	0.00031	-0.00347	-0.001334
5	0.000146	0.002282	-0.000512	0.000474	-0.004621	0.002118
6	0.001625	0.000639	-1.9e-05	0.000146	0.000639	0.000803
7	0.00294	-0.000841	0.00031	-1.9e-05	-0.000183	0.000803
8	0.003597	-0.001662	0.000474	-0.000183	-0.004128	0.000146
9	0.001954	-0.000841	0.000474	-0.000512	-0.0061	0.002282
10	0.001132	0.001296	0.000474	-0.000676	-0.004128	-0.000347
11	0.002118	-0.001334	-1.9e-05	-0.000347	-0.00725	0.00294
12	0.003433	-0.001827	-0.000183	-0.000347	-0.005443	-0.000347
13	0.004748	-0.002977	-0.000347	0.000146	-0.006922	0.00146
14	0.003104	0.000967	-0.000347	0.000146	-0.003306	-0.000347
15	0.004419	-0.00347	-0.000512	0.00031	-0.003963	0.000967
16	0.001296	0.000474	-0.000183	0.00031	-0.001662	-0.000512
17	0.003104	-0.001662	-1.9e-05	0.000474	-0.002813	-0.000676
18	0.001954	-0.001169	0.000146	0.00031	-0.003306	-0.001334
19	0.00409	0.003761	0.000474	-0.000183	-0.001169	-0.001991
20	-0.000512	-0.001334	0.00031	-0.000347	-0.005278	-0.00232
21	0.001132	0.001132	0.000474	-0.000347	-0.00347	-0.004621
22	-0.000676	-0.003142	0.000146	-0.000512	-0.005114	0.000967
23	-0.002155	-0.004128	-0.000183	-0.000512	-0.002484	-0.001334
24	-0.003635	-0.000841	-0.000347	0.00031	-0.003306	-0.000183
25	-0.000183	-0.001662	-0.000512	0.000146	-0.002648	0.000639
26	0.001789	0.000639	-0.000512	0.00031	-0.004456	0.003597
27	-0.000512	-0.000183	-0.000512	0.00031	-0.001498	0.00031
28	0.003433	-0.00232	-1.9e-05	0.00031	-0.004785	-0.000347
29	0.000803	-0.000183	0.00031	0.000146	-0.004949	0.001132
30	0.002447	-0.002648	0.00031	-0.000183	-0.002155	0.001625
31	0.000639	-0.001005	0.000146	-0.000512	-0.006922	0.000803
32	0.003104	-0.002648	0.00031	-0.000676	-0.00347	-0.000841
33	-1.9e-05	-0.00232	0.000146	-0.000347	-0.004949	-0.001334
34	-0.001991	-0.000183	-0.000183	-0.000183	-0.00347	-0.001005
35	0.000639	-0.001169	-0.000347	0.000146	-0.004456	-0.00347
36	0.000967	-0.00232	-0.000183	0.000146	-0.005278	0.000474
37	0.00031	-1.9e-05	-0.000512	-1.9e-05	-0.000676	-0.001827
38	-0.001169	-0.001334	-0.000347	0.000474	0.000146	-0.001662
39	0.003926	-0.003306	-1.9e-05	0.00031	-0.004456	0.00146
40	-0.001169	-0.001662	0.000146	-0.000183	-0.001991	-0.00347
41	0.001132	-0.001334	0.00031	-0.000183	-0.000841	-0.003799
42	-0.000183	-0.000841	0.000146	-0.000347	-0.003306	0.00031
43	0.00146	-0.001334	0.000474	-0.000676	-0.009551	-0.001005
44	-0.001827	0.000967	0.00031	-0.000347	-0.002813	-0.00232
45	0.005241	-0.000512	-0.000347	-0.000512	-0.008072	0.000639
46	-0.000676	-0.001991	-0.000347	0.000146	-0.00347	-0.001498
47	0.000803	-0.001498	-0.000347	-1.9e-05	-0.005114	-0.000676
48	-0.000347	-0.001991	-0.000512	0.000146	-0.001991	0.001132
49	-1.9e-05	-0.000512	-0.000347	0.00031	-0.002155	-0.002484
50	0.001296	-0.00725	-1.9e-05	0.00031	-0.003306	-0.002977
51	-0.000347	-0.001005	0.000146	-1.9e-05	-0.003306	-0.001662
52	-0.000183	-0.001005	0.00031	-0.000183	-0.003963	0.002118
53	-0.000512	-0.000676	0.000146	-0.000347	-0.004128	-0.000841
54	0.000639	-0.000183	0.00031	-0.000183	-0.004456	-0.001005
55	-0.002813	-0.001498	0.000146	-0.000347	0.002282	-0.001498
56	-0.001169	-0.001827	-1.9e-05	-0.000347	-0.005936	-1.9e-05
