Ladekurvenmessung

Zeit: 2018_05_04 09.53.30

Info: FVA3, v = 0.14, T = 23, F = 20, h = 43

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.005771	0.000639	-0.000183	0.00031
1	-0.000676	-0.000347	-0.000347	0.00031
2	-0.003799	0.00294	-0.000347	0.00031
3	0.000803	0.000474	-0.000512	-0.000183
4	-0.000512	0.000639	-0.000512	-0.000347
5	-0.002813	0.000639	-0.000183	-0.000512
6	-0.000183	0.002282	0.000146	-0.000512
7	-0.001005	-0.000512	0.000146	-0.000183
8	-0.002977	-0.000841	0.000146	0.000146
9	0.00146	-0.001827	0.000474	0.00031
10	-0.002155	-0.001169	0.00031	0.000474
11	0.000967	-0.001005	-0.000183	0.000474
12	-0.000512	0.002611	-0.000183	0.00031
13	-1.9e-05	-1.9e-05	-0.000347	-1.9e-05
14	-0.001827	-0.001827	-0.000347	-0.000347
15	-0.003799	0.000474	-0.000347	-0.000183
16	-0.002155	0.000639	-0.000347	-0.000347
17	-0.004128	0.003761	0.00031	-0.000512
18	-0.001662	0.001954	0.00031	-0.000347
19	-0.004785	-0.007908	0.000474	0.000146
20	-0.001334	-0.002813	0.00031	0.00031
21	-0.002977	-0.000183	0.000474	0.00031
22	-0.002155	-0.002484	-0.000183	0.00031
23	-0.002155	-0.000676	-0.000347	0.00031
24	-0.003799	-0.004785	-0.000512	0.00031
25	-0.003635	-0.000676	-0.000512	-0.000183
26	0.002447	0.000474	-0.000512	-0.000347
27	-0.004128	-0.001169	-0.000183	-0.000676
28	-0.000347	-0.000841	0.000146	-0.000512
29	-0.000512	-0.000841	0.00031	-0.000512
30	-0.004785	-0.008237	0.000474	0.000146
31	-0.002484	-0.004128	0.000474	0.00031
32	-0.002813	-1.9e-05	0.00031	-1.9e-05
33	-0.00232	-0.001334	-1.9e-05	0.000639
34	-0.004621	-0.000183	-1.9e-05	0.000474
35	-0.004456	-0.001498	-0.000347	0.000146
36	-0.00347	-0.002155	-0.000183	-0.000512
37	-0.001334	0.001625	-0.000676	0.000803
38	-0.00347	-0.001005	-0.000347	0.000967
39	-0.003799	-0.001991	0.000639	-0.000347
40	-0.005278	-0.001169	0.000639	0.00146
41	-0.004292	-0.00988	-0.000347	-0.000347
42	-0.003799	-0.002813	0.000146	0.000967
43	-0.003799	-0.001498	0.000146	0.000146
44	-0.002484	-0.001991	0.000146	0.000639
45	-0.003635	-0.000841	-0.000183	0.000474
