Ladekurvenmessung

Zeit: 2018_05_04 09.53.45

Info: FVA3, v = 0.14, T = 23, F = 20, h = 43

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.000146	-0.001334	-0.001827	0.00031	0.000474
1	0.000146	0.002118	0.000639	0.00031	-0.000841
2	0.000146	0.00031	0.001625	0.001132	-0.000347
3	0.00031	0.002775	0.007706	0.00031	-0.000676
4	0.00031	0.00146	0.001789	0.000146	-0.000183
5	-0.000347	0.002447	0.002611	-1.9e-05	-1.9e-05
6	-0.000347	0.003433	0.001132	0.000146	0.000146
7	-0.000183	0.003268	-0.003142	-0.000347	0.00031
8	-0.000347	0.000967	0.003104	-0.000347	0.00146
9	-0.000347	0.000967	0.002447	-1.9e-05	0.00294
10	0.000146	0.00294	0.000803	-1.9e-05	0.000474
11	-1.9e-05	0.000146	-0.001334	0.000146	0.000639
12	0.000146	0.00146	0.000803	-0.000183	-1.9e-05
13	0.00031	-0.001498	0.000474	0.000474	0.001132
14	0.000474	0.00146	0.002611	0.00031	-0.001005
15	0.000146	0.000474	-0.000183	-1.9e-05	0.001625
16	-0.000347	0.001132	0.000639	-0.000676	0.001296
17	-0.000183	-0.002484	-0.000676	-0.000512	0.001789
18	-0.000347	0.001789	-0.001827	-0.000347	0.000967
19	-0.000512	-0.001498	0.002611	-0.000347	-0.000183
20	-0.000183	-0.000347	0.00146	-0.000183	0.001296
21	0.000146	0.000967	0.002775	0.000146	0.000967
22	0.000146	-0.000676	0.000967	-1.9e-05	-0.000512
23	0.00031	-0.001662	0.000146	0.000474	-0.002155
24	0.000146	0.00146	0.000146	0.000474	-1.9e-05
25	0.000474	0.000474	0.003597	0.000474	-0.003142
26	0.000146	-0.001827	-0.003635	-0.000512	0.002611
27	-1.9e-05	0.000474	0.002775	-0.000183	-0.001662
28	-0.000347	-0.003306	-0.000841	-0.000347	0.001296
29	-0.000347	0.001954	0.001132	-0.000512	0.001625
30	-0.000841	-0.001827	0.00294	-0.000183	0.00409
31	-0.000183	0.00031	0.003433	-0.000183	0.003761
32	-1.9e-05	-0.000183	0.001789	-1.9e-05	0.003104
33	0.000146	-0.001662	0.000146	0.00031	-0.000512
34	0.00031	0.000146	-0.00347	0.000146	0.000146
35	0.00031	0.001132	-0.001498	0.000146	-0.001005
36	0.000474	-0.00232	0.003268	-1.9e-05	-0.000512
37	0.000146	-0.003306	0.000474	-0.000347	-0.001991
38	-0.000183	0.001625	-1.9e-05	-1.9e-05	0.000146
39	-0.000183	0.000474	-0.000183	-0.000676	0.000146
40	-0.000512	0.000146	0.000967	-0.000183	0.00031
41	-0.000512	0.002447	0.002282	-0.000512	0.00031
42	-1.9e-05	-1.9e-05	0.000803	0.000474	0.000474
43	-1.9e-05	-1.9e-05	-0.000841	-1.9e-05	-0.000512
44	0.000474	0.00294	0.00146	0.000639	0.000146
45	0.00031	0.000474	0.000146	0.00031	-0.000347
46	0.000474	0.003268	0.000474	0.00031	-0.000512
47	0.00031	-0.000676	0.002282	0.000474	0.000146
48	0.00031	0.000639	-0.001662	0.000146	-0.001005
49	-0.000183	0.000146	-0.000512	-0.000676	0.000639
50	-0.000512	-0.000841	0.002447	-0.000512	0.00031
51	-0.000347	-0.001169	-0.00232	-0.000183	0.000639
52	-0.000347	0.000803	0.000803	-0.000676	0.000146
53	-0.000347	-1.9e-05	-0.001662	-0.000183	0.000146
54	-1.9e-05	-0.001005	-0.002813	0.00031	0.000146
55	0.00031	-0.001169	-0.004785	0.000146	-1.9e-05
56	0.00031	0.000474	-0.004292	0.00031	-0.000512
57	0.00031	0.001789	0.002447	0.000803	-0.000183
58	0.000146	0.005898	0.00031	0.00031	-0.000512
59	0.000146	0.001132	0.000803	-1.9e-05	-0.000183
60	-1.9e-05	0.000146	-0.000676	-0.000347	-1.9e-05
61	-0.000347	0.001954	0.001132	-0.000183	-1.9e-05
62	-0.000676	-0.000512	0.000146	-0.000512	0.00031
63	-0.000347	0.002118	0.000803	-0.000347	0.00031
64	-0.000183	-0.000676	0.000146	-1.9e-05	0.000474
65	0.000146	0.000474	-0.000512	0.000146	0.000146
66	-1.9e-05	-0.000347	-0.000512	0.00031	-0.000183
67	0.00031	-0.000512	-0.000347	0.000146	-1.9e-05
68	0.00031	-0.000512	-0.000676	0.000146	-0.000347
69	0.000146	0.00031	-0.000347	0.000146	-0.000512
70	0.00031	0.00146	-1.9e-05	-1.9e-05	-0.000347
71	-1.9e-05	-0.00232	0.000146	-0.000347	0.000146
72	-0.000347	-0.003142	0.00031	-0.000512	0.00031
73	-0.000512	-0.00347	0.00031	-0.000347	0.00031
74	-0.000676	-0.000183	0.000639	-0.000676	0.000639
75	-0.000347	0.001296	0.000146	-1.9e-05	0.00031
76	-1.9e-05	0.00146	-0.000347	0.00031	-0.000183
77	0.000146	-0.002648	-0.000512	0.000146	-0.000183
78	-1.9e-05	0.002447	-0.000347	0.00031	-0.000347
79	0.000146	-0.001662	-0.000347	0.000474	-0.000183
80	0.000474	0.00031	-0.000183	0.000474	-0.000512
81	0.00031	-0.000841	-1.9e-05	-0.000183	-0.000183
82	-0.000183	0.001789	0.000146	-0.000512	0.00031
83	-0.000512	-0.001827	0.00031	-0.000347	0.000474
84	-0.000347	-0.000512	0.000474	-0.000676	0.000146
85	-0.000347	0.000803	0.000474	-0.001005	0.00031
86	-0.000347	-0.001662	0.00031	0.000146	0.00031
