Ladekurvenmessung

Zeit: 2018_05_04 09.57.28

Info: FVA3, v = 0.533, T = 23, F = 20, h = 381.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	0.000474	-0.003635	0.003761	0.000146	-0.004621	0.001132	-0.000841
1	0.003433	-0.00232	0.002611	0.001296	0.001625	0.000639	0.001132
2	0.002447	-0.002484	0.003104	-1.9e-05	0.001132	-0.005114	0.003926
3	0.000803	-0.003799	0.000639	0.000967	0.000803	-0.001991	0.000639
4	0.00409	-0.001498	0.00146	0.001132	-0.000676	0.003268	0.003104
5	0.003433	0.00031	0.000474	0.000639	0.003433	-0.002155	0.001625
6	0.001296	-0.002648	-0.002484	0.000146	0.00031	0.004912	0.003268
7	0.000967	-0.000841	-0.003963	0.003433	0.002118	0.001789	0.000474
8	0.003104	0.002282	-0.003799	0.00031	0.004583	0.003761	0.000146
9	0.002447	0.002447	-0.002155	-0.001334	0.002611	0.001296	0.004255
10	0.004583	0.002611	0.000146	0.002447	0.001789	0.002775	0.002118
11	0.003597	0.000639	0.003268	0.001789	0.002118	0.003433	0.001296
12	0.003104	-0.000841	0.002447	-0.001498	0.003761	0.000803	0.000803
13	0.003761	-0.000183	0.002447	0.002775	0.003104	-0.000512	-0.002813
14	0.000146	0.000474	0.002775	0.001789	0.002447	0.001132	0.000803
15	0.001132	-0.002813	0.002447	0.002775	-0.000183	0.00031	0.001789
16	0.004583	-0.000676	0.000639	-0.001827	-0.001169	-0.001169	0.001132
17	-0.000347	-0.002484	0.005569	-0.001662	-0.002155	-1.9e-05	-0.000347
18	0.000967	-0.000183	0.00146	0.002775	0.000967	0.001789	0.00294
19	0.006391	0.000474	-0.008565	-0.00347	0.000474	0.001132	0.003268
20	0.000639	-0.002484	-0.000183	0.00409	0.00294	-0.000347	0.003104
21	0.000639	0.000146	-0.000183	0.003597	0.000146	0.001789	-0.000512
22	0.003597	-0.004621	0.003268	0.002118	0.000967	0.001789	-0.001498
23	-0.002155	0.00031	0.002118	0.000474	0.000474	0.001789	0.002282
24	-0.002977	-0.00232	0.00031	0.001954	0.00409	0.000803	-0.004785
25	-0.001498	-0.001005	-0.000512	-0.000512	0.002447	-1.9e-05	-0.001662
26	0.002282	0.00031	-0.000183	0.001625	0.001789	0.002118	-0.003306
27	-0.000841	-0.000512	0.000474	0.000803	-1.9e-05	0.003761	-0.000841
28	-0.001169	-0.001662	0.00031	-0.003306	0.004583	0.000803	-0.000183
29	0.002282	0.003268	-0.001005	0.00031	0.003268	0.005241	-1.9e-05
30	0.008199	0.002611	-0.009058	-1.9e-05	-0.001662	-0.002813	-0.001827
31	-0.000676	-0.00347	-0.001334	0.000474	0.003104	-0.001498	0.003433
32	0.00146	-0.000841	0.000803	0.001296	-0.000512	-0.001005	-0.000183
33	0.003268	-0.001169	-0.001005	-0.004785	0.001132	0.002447	0.000803
34	-0.000512	0.001132	-0.001662	-0.002648	-0.001169	0.003268	-1.9e-05
35	0.003104	-0.005278	-0.00232	0.000146	-0.000676	-0.003306	0.00146
36	0.001954	-0.003799	-0.000512	-0.000841	-0.001662	0.001132	0.001625
37	0.002611	0.00031	-0.001498	-0.001005	-0.001169	-0.000512	0.00294
38	-0.001169	0.002282	0.001296	-0.001334	-0.002484	0.001296	0.004912
39	0.002611	0.004255	0.00031	0.001625	0.00031	0.000146	-0.000676
40	-0.003142	0.001296	-0.001334	0.001625	0.001625	0.002447	0.003597
41	0.000146	0.005405	-0.01514	0.000474	-0.000676	0.00031	-0.000183
42	-0.001991	0.005241	0.000474	-0.000512	0.001954	0.002775	0.00294
43	-0.002484	0.001625	-0.000183	-0.000347	0.000146	-0.000347	0.001132
44	-0.002648	0.006062	-0.001334	-0.001827	0.002611	0.003926	-0.000676
45	-0.002484	0.006062	0.00031	-0.002155	0.00031	0.000639	-0.001827
46	0.001296	0.006884	-0.001991	0.001954	0.005734	0.001132	0.000146
47	0.001132	0.001789	-0.001498	0.000803	0.000474	-0.000183	-0.001662
48	0.003597	0.003104	-0.004621	-1.9e-05	-0.002813	0.000146	0.004419
49	0.001296	0.004748	-0.000183	-0.000676	0.000474	0.000967	0.001789
50	0.002118	0.002118	0.002447	0.001625	0.003597	-0.001005	0.000803
51	0.002775	0.00409	-0.001662	0.000803	-1.9e-05	0.000967	0.001132
52	0.000639	-0.000676	-0.003306	0.003104	0.001789	0.001789	0.003433
53	-0.000676	-0.000183	-0.001005	-1.9e-05	0.000639	0.000967	0.006062
54	0.000803	0.002282	-0.002648	0.001625	-0.000183	-0.001827	0.004748
55	-0.001169	0.004583	-0.001827	-0.000676	-0.003635	0.001132	0.000474
56	0.000474	0.001296	-0.00347	0.000967	-1.9e-05	-0.000183	0.001296
57	-0.000183	0.002447	-0.003306	-0.000676	-0.000841	0.001789	0.001789
58	0.000474	-0.000183	-0.000676	0.001625	-0.001169	-0.002484	-0.00232
59	0.002447	0.005569	-0.003306	-0.002648	0.00146	0.002611	0.000803
60	-0.001662	0.003433	0.000639	-0.005114	-0.000183	0.000803	-0.001662
61	0.000639	0.000803	0.000803	-0.002977	-1.9e-05	0.00146	-0.000676
62	0.002118	0.003433	0.002611	-0.002484	-0.000183	-0.001334	0.00031
63	-0.011688	-0.001662	-0.000512	0.000474	0.001132	-0.001498	0.001132
64	0.001954	0.002611	-0.000676	-0.000841	-0.000841	0.001789	-0.000512
65	0.001625	-0.000841	-0.001662	-0.001334	0.001789	0.000803	-0.001498
66	-0.000512	0.003268	-0.001991	-0.000183	-1.9e-05	0.001132	-1.9e-05
67	0.004748	-0.001498	-0.001662	-0.001662	0.00146	-0.003799	-0.000347
68	0.000967	0.00031	0.000803	0.00031	0.001954	0.001625	0.002118
