Ladekurvenmessung

Zeit: 2018_05_04 10.02.00

Info: FVA3, v = 1.05, T = 23, F = 20, h = 587.3

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3
0	0.000639	0.00031	0.000146
1	0.000803	-0.000347	-1.9e-05
2	0.002611	-0.001827	0.001625
3	0.00294	-0.000183	-0.001991
4	-0.000347	0.001789	-0.001991
5	-0.002155	0.000967	0.002118
6	0.000639	0.000146	0.001132
7	-0.001827	0.00146	0.001296
8	-0.00232	-0.001334	-0.000512
9	-0.004292	-0.000841	-0.000841
10	-0.000676	-0.001334	-0.000512
11	-0.001991	-0.001991	0.00146
12	0.000474	-0.000512	0.002282
13	0.001132	-0.00232	-0.002813
14	-0.000676	-0.001827	-1.9e-05
15	-0.003306	-0.001334	0.00409
16	-0.002155	0.00031	0.000803
17	-0.000183	-0.001827	-0.000676
18	-0.001498	0.000639	-0.001498
19	-0.000347	-0.004292	-0.002155
20	-0.000841	0.000146	-0.002155
21	0.000474	-0.003142	-0.001662
22	-0.001991	-0.001498	-0.002155
23	0.000967	-0.003799	-0.002813
24	-0.003142	-1.9e-05	0.001625
25	0.000967	0.000146	-0.001169
26	-0.000512	-0.000676	0.007213
27	-0.001827	0.00294	-0.001827
28	0.00031	-0.002813	0.000967
29	-0.005771	0.000803	0.002118
30	-0.000183	-0.001662	0.001132
31	0.004748	-0.001662	0.000967
32	0.00146	-0.00347	-0.001005
33	-0.000676	-0.000512	-0.002813
34	0.00294	-0.004128	-0.002813
35	0.000474	-0.00232	-0.006757
36	0.002775	-0.004949	-0.005443
37	0.000146	-0.00232	-0.002813
38	0.003433	-0.001005	-0.003635
39	-0.00347	-0.001498	-0.001005
40	-0.002977	-0.000841	0.000967
41	-0.0061	-0.000841	0.00031
42	-0.002648	-0.000512	-0.000347
43	0.002775	-0.001169	0.002118
44	-0.002484	-0.000183	-0.000183
45	0.000474	-0.000676	0.001789
46	-0.000512	-0.001005	-0.000347
47	0.00409	-0.000512	-0.000676
48	-0.001662	-0.000676	0.002282
49	0.002282	0.000146	-0.00232
50	0.00031	0.00031	-0.001827
51	0.000146	-0.005607	0.000803
52	-0.003963	-0.000841	-1.9e-05
53	-1.9e-05	-0.00347	-1.9e-05
54	-0.002155	-0.002648	-0.000512
55	-0.003799	-0.00347	-0.000183
56	-0.003799	-0.007415	0.001954
57	0.002282	0.001625	-0.001498
58	-0.005114	0.003268	-0.001991
59	-0.002813	-0.002484	0.002282
60	-0.000512	-0.001169	0.002282
61	0.000803	-1.9e-05	-0.000512
62	0.001296	-0.002648	0.004419
63	-0.004785	-1.9e-05	-0.001169
64	-0.005114	-0.003142	0.003597
65	0.000474	-0.001005	0.00146
66	0.000639	-0.003799	0.002611
67	-0.001662	-0.002155	-0.001662
68	0.005405	-0.003142	0.003761
69	-0.001334	-0.001005	-0.005443
70	-1.9e-05	-0.003306	-0.003142
71	0.002282	-0.004785	-0.000347
72	-0.000841	-0.001662	-0.006757
73	-1.9e-05	-0.003306	0.004912
74	-0.002648	-0.002155	-0.002155
75	-0.000676	-0.000183	-0.002484
76	-0.002813	-0.006429	-0.001005
77	-0.001334	0.002118	0.001296
78	-0.002155	0.001296	-0.001991
79	0.000474	-0.002484	0.000474
80	-0.004621	0.000146	-0.002813
81	-0.001662	-0.002977	-0.000512
82	-0.001498	-0.001169	0.001132
83	0.001296	-0.004949	-0.001827
84	0.000639	-0.00232	0.005076
85	0.000639	-0.003635	-0.009223
86	-0.001334	-0.004292	-0.001334
87	0.000803	-0.006264	-0.004785
88	-0.001169	-0.004456	-0.004949
89	-0.00347	-0.002648	-0.006593
90	-0.001827	-0.002813	-0.002813
91	-0.006429	-0.001498	-0.005278
92	-0.003142	-0.001827	-0.000512
93	0.001625	-0.001169	-0.000676
94	-0.001005	-0.001498	-0.000183
95	-0.004785	0.002611	0.00146
96	-0.000841	-0.004292	-0.002155
97	-0.002155	-0.000183	-0.00232
98	-0.001991	-0.002484	-0.001662
99	-0.004456	-0.001334	-0.000183
100	0.000474	-0.000512	-0.002977
101	-0.004128	0.00031	-0.001827
102	-0.006429	-0.001827	-0.006593
103	-0.000676	-0.002977	-0.001498
104	-0.004292	-0.002648	0.001625
105	-0.000841	0.000967	-0.002813
106	-0.004456	0.00146	-0.010045
107	-0.004456	-0.004128	-0.003635
108	-0.004456	-0.002484	-0.00347
109	-0.004292	-0.00232	-0.001827
110	-0.005936	0.000146	-0.002977
111	-0.001334	-0.001334	-0.001827
112	-0.003963	0.002611	-0.001169
113	-0.001169	-0.002648	-0.003306
114	-0.001005	-0.000183	-0.001005
115	-0.003306	0.001625	0.001296
116	-0.000512	0.000146	0.000967
117	0.001132	0.000474	-0.016783
118	0.00031	-0.001991	-0.003142
119	0.002447	-0.003799	-0.004949
120	-0.004456	-0.00232	-0.00232
121	0.00031	-0.001991	-0.001005
122	0.000639	-0.002977	-0.008237
123	-0.001498	0.000146	-0.007908
124	-0.000512	-0.002813	-0.002155
125	-0.001169	0.00031	-0.004621
126	0.000474	-0.004456	-0.004785
127	-0.001498	-0.005114	-0.002155
128	0.000146	-0.002484	-0.006593
129	-0.00347	-0.006429	-0.003306
130	0.000146	-0.003799	-0.00232
131	-0.006593	0.000967	-0.001827
132	-0.00232	0.000639	-0.00232
133	-0.001498	-0.002155	-0.000676
134	-0.002155	-0.001169	-0.001498
135	-0.000512	-0.006922	-0.00232
136	0.000474	-0.000676	-0.002155
137	0.001789	-0.003306	0.000803
138	0.000967	-0.005114	-0.002155
139	0.001132	-0.004128	-0.002155
140	-0.00347	-0.001005	-0.00725
141	0.001296	-0.003799	0.000146
142	-0.002155	0.000474	-0.002813
143	0.00146	-0.003306	-0.004785
144	0.00031	-0.001498	-0.001169
145	-0.002977	-0.001498	-0.005114
146	-0.003142	-0.001827	-0.000183
147	-0.003306	-0.000512	-0.002977
148	-0.00232	0.001132	-0.001334
149	-0.000841	-0.000512	-0.001991
150	0.000146	0.00146	-0.001005
151	-0.002813	-0.001005	-0.003799
152	-0.002977	-0.002977	-0.001005
153	-0.002977	-0.000183	-0.007579
154	-0.001827	-0.002648	-0.001991
155	-0.000183	-0.001662	-0.002648
156	-1.9e-05	-0.005936	-0.002977
157	-0.003306	-0.001827	-0.004456
158	0.000639	-0.006264	0.001625
159	-0.000347	-0.005771	-0.004785
160	-0.001827	-0.002155	-0.002813
161	-0.001334	-0.001334	-0.000676
162	-0.001169	-0.00347	-0.004621
163	-0.000183	-0.001169	-0.001827
164	0.000967	-0.001662	-0.003635
165	-0.000841	-0.001169	-0.002155
166	0.000146	-0.001991	-0.004621
167	0.00031	-0.001334	-0.0061
168	-0.00347	-0.003306	-0.003635
169	0.002447	0.00146	0.000146
170	0.000803	-0.004949	-0.001827
171	-0.002484	-0.006429	0.004912
172	0.002118	0.003268	-0.001005
173	-0.000183	-0.004949	-0.003799
174	0.000146	-0.002155	-0.001334
175	0.000474	-0.005771	-0.001662
176	0.005241	-0.001498	-0.002648
177	-0.001005	-0.000183	0.000639
178	0.000474	0.000639	-0.003799
