Ladekurvenmessung

Zeit: 2018_05_04 10.03.16

Info: FVA3, v = 0.747, T = 23, F = 20, h = 457.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.000146	-0.00232	-1.9e-05	0.001296	0.000967
1	0.004583	-0.002977	0.000639	0.000146	0.002282
2	0.000146	-0.000512	0.001296	0.001625	0.002447
3	0.00031	0.000639	0.00146	0.00146	-0.000841
4	0.00409	-0.003306	0.004255	0.001296	0.000803
5	0.000967	0.000474	0.001296	0.00031	-0.001991
6	0.002282	0.00031	0.002611	0.003926	-0.002155
7	-1.9e-05	-0.001827	0.002775	0.001132	-0.001662
8	0.000967	0.002118	0.001296	0.005898	-0.002484
9	-0.004128	-0.003142	0.001132	0.002775	0.002282
10	-0.000841	0.001789	-0.000512	0.001954	0.000639
11	-0.001991	-0.00347	0.001132	0.00409	0.00294
12	-0.001334	0.003104	-0.002977	-0.001827	0.00146
13	-0.001991	0.001954	-0.002484	0.00409	0.003268
14	-0.001334	-0.001498	0.001296	-0.000841	0.002611
15	0.007706	0.000146	-0.001334	0.002118	0.00294
16	0.003104	-0.000347	-0.000841	0.003761	0.001296
17	-1.9e-05	-0.000183	0.002118	0.001625	0.000474
18	0.002447	-0.001498	-0.000347	-0.000512	-0.000183
19	-0.001169	-0.002155	0.002775	0.000146	-0.001498
20	0.002447	0.00031	-0.004949	-0.001334	-0.002155
21	0.001296	-0.00232	0.003597	0.00146	0.001296
22	-0.001334	-0.00347	-0.004456	0.000803	0.000474
23	0.00031	-0.004949	-0.003799	0.000639	-0.000676
24	-0.002977	-0.004621	0.002118	0.002282	0.003104
25	0.000474	-0.001005	-0.001334	-0.000183	0.000639
26	0.006556	-0.004128	-0.001662	0.00031	-1.9e-05
27	0.004748	-0.00232	-0.004292	-0.001334	-0.000512
28	-0.001498	-0.001827	-0.001498	-0.000512	-1.9e-05
29	0.000146	-0.003635	-0.000512	-0.004785	0.000639
30	-0.001169	0.000639	-0.001334	0.00146	0.001296
31	0.000967	-0.001498	-0.003635	-0.003306	0.00146
32	-0.000512	-1.9e-05	0.001789	-0.000512	0.003104
33	-1.9e-05	-0.003963	0.00146	-0.000183	0.000474
34	-0.000676	-0.004456	0.000803	-0.000183	0.003926
35	0.000474	-0.003142	0.001132	-0.001498	0.000474
36	-1.9e-05	-0.003963	0.000967	-0.000183	-0.002813
37	0.003104	-0.007086	0.000474	0.002282	-0.002977
38	0.006556	-0.003635	-0.001169	0.003104	-0.005607
39	0.000146	-0.00347	-0.000512	0.003926	-0.004128
40	0.00409	-0.000841	-0.000676	0.000803	-0.004128
41	0.00031	-0.004292	0.001789	-0.000347	-0.001827
42	0.002447	0.000474	-0.004621	-1.9e-05	-0.000676
43	0.001789	-0.000512	0.002775	0.00294	0.001789
44	-0.002977	-0.002977	0.002447	0.002118	0.000146
45	-0.006264	-0.002648	0.003104	-0.001334	0.000474
46	0.004748	-0.00232	0.000967	0.00031	0.00146
47	0.000803	-0.000183	-1.9e-05	-0.000841	0.000639
48	0.003433	0.001132	-0.001498	-0.000347	-1.9e-05
49	-0.000841	-0.004456	0.000146	-0.001005	0.000146
50	-0.001827	-0.002648	-0.001169	0.00031	-1.9e-05
51	0.001296	0.000146	-0.001169	-0.001827	0.000967
52	-0.000676	-0.002977	-0.004621	-0.004949	0.001954
53	0.000803	-0.002813	0.000639	-0.001991	-0.001334
54	-0.000347	-0.003306	0.002611	-0.001827	-1.9e-05
55	0.001296	-0.000347	-1.9e-05	0.000146	0.002775
56	-0.000512	-0.003799	0.002282	-0.000841	0.005569
57	0.000803	-0.000841	-0.000347	-1.9e-05	-1.9e-05
58	-1.9e-05	-0.005771	0.002775	0.00146	0.005734
59	0.001132	-0.000676	-0.001662	0.001296	0.002282
60	0.002775	-0.004128	-1.9e-05	0.004912	0.000967
61	-0.002977	-0.004621	-0.001827	-0.000512	-0.000841
62	-0.000347	-0.001827	-0.000347	-1.9e-05	-1.9e-05
63	0.00146	-0.001334	-0.001991	-1.9e-05	-0.000676
64	0.000146	-0.002648	0.000474	-0.001662	-0.000841
65	-1.9e-05	-0.002155	-0.000183	0.000146	0.001296
66	-0.000841	-0.002813	0.000803	-0.000512	0.002447
67	-0.002155	-0.001005	-0.000841	-0.005443	-0.001005
68	0.001296	0.001132	-0.001005	-1.9e-05	-1.9e-05
69	-0.000512	-0.001498	-1.9e-05	-0.000841	0.002447
70	0.00031	-0.000183	0.001132	-0.001169	-0.001991
71	-0.001498	-0.002977	0.001296	0.000803	0.00146
72	0.005241	-0.002648	0.003104	-0.000512	-0.002155
73	0.004255	-0.001005	0.002775	-1.9e-05	-0.001662
74	0.001296	-0.000183	-0.002648	-0.002155	-0.001169
75	0.005241	-0.001169	-0.003799	-0.000347	-0.001169
76	0.001789	-0.002155	-0.00232	-0.00232	-0.000347
77	0.004748	-0.004128	-0.001498	-0.001827	0.00031
78	0.003433	-0.001827	-0.003963	-0.003799	-0.001334
79	0.000967	-0.00232	-0.001827	0.002447	-0.000183
80	0.003104	-0.00232	0.001625	-0.00232	-0.001005
81	0.000474	-0.001498	-0.000347	-0.000183	-0.003635
82	-0.002648	-0.004128	0.000803	0.001954	0.00146
83	0.001296	-0.00347	0.000146	0.00294	-0.000512
84	-0.001827	-0.003635	-0.000183	-0.000676	0.001789
85	0.001296	-0.001662	-0.001498	0.00146	-1.9e-05
86	-0.000841	-0.004292	-1.9e-05	-0.001169	0.000639
87	-0.000841	0.000474	-0.001827	-0.003635	-0.001991
88	-0.001498	-0.006264	0.002447	0.002447	0.005241
89	0.001625	-0.002813	-0.001662	-0.002155	0.001625
90	0.000146	-0.001334	-0.000183	0.003104	-0.000512
91	0.000967	-0.004292	0.002282	0.000146	0.000967
92	-0.000512	-0.000512	0.001132	0.00146	-0.001662
93	-0.002977	-0.001662	-0.000841	0.004255	-0.002813
94	-0.004292	-0.001827	0.002282	0.005405	0.001296
95	0.000967	-0.001005	-0.003799	-0.000347	-0.001827
96	0.002447	-0.001991	0.002118	0.002118	-0.00232
97	-0.002813	-0.002813	-0.001169	0.000474	-0.001827
98	0.001789	-0.002813	-0.000841	0.001132	-0.001005
99	-0.006264	-0.005771	0.001954	0.000803	0.00146
100	0.003433	-0.002484	0.000146	0.000967	-0.001662
101	-0.001827	-0.001498	-0.00347	0.002775	-0.001334
102	0.002775	-0.000183	-0.001169	0.000146	0.001132
103	-0.004292	-0.002648	0.000474	0.00031	0.001625
104	-0.001662	-0.000512	-0.001662	0.002447	-0.00232
105	0.000474	-1.9e-05	-0.000183	0.001625	0.00146
106	0.000639	0.000639	-0.002813	-0.001498	-0.001827
107	-0.001827	0.000146	0.002118	0.00146	-0.001498
108	-0.000183	-0.002648	-0.004456	0.001132	-0.005771
109	-0.001169	-0.001498	-0.000512	0.002775	-0.000183
110	-0.001991	-0.002155	-0.000841	-0.001827	-0.001827
111	0.000803	-0.002977	0.000474	0.002282	-1.9e-05
112	0.000474	-0.003306	-0.000676	0.001954	-0.003306
113	0.000639	-0.003306	0.000967	0.00409	0.000146
114	-0.001005	-0.004785	-1.9e-05	0.00031	-0.001991
115	-0.00232	-0.004128	-0.001662	0.002611	-0.001662
116	-1.9e-05	-0.001498	0.000639	0.002282	0.003104
117	-0.000676	0.00031	-0.000183	-0.002813	-0.000512
118	-0.002484	-0.004949	-0.000512	0.004419	-0.001005
119	0.00294	-0.003306	-0.003963	-0.001827	-0.003142
120	-0.001991	0.002282	-0.002155	0.002282	0.001132
121	-0.002648	-0.004456	-0.001991	0.00294	0.000474
122	-0.005114	-0.000183	0.000803	0.002611	0.00146
123	0.000639	0.002775	-0.000347	0.001954	-0.001498
124	0.000967	0.000146	-0.000841	-0.001169	0.001296
125	0.000967	0.000474	-0.004292	-0.002977	-0.001498
126	-0.001169	-0.000676	0.000474	0.003104	-0.000676
127	0.003433	-1.9e-05	-0.001334	0.001296	-0.001005
128	0.002282	-0.001334	-0.00347	-0.001334	-0.002484
129	-0.000841	-0.001827	-0.002155	0.000639	-0.001662
130	0.005405	-0.000512	0.00146	0.002611	-0.001662
131	-0.001334	-0.00347	0.000146	0.002611	0.00146
132	-0.000676	0.003433	0.00031	0.002775	-0.001991
133	-0.001498	-0.003142	-0.001005	0.004912	0.001132
134	-0.000841	-0.001991	-0.001334	0.003268	-0.003799
135	-0.002484	-0.001005	-0.000841	0.002447	-0.001005
136	-0.000347	-0.000841	-0.00232	0.000803	-0.001005
137	-0.005114	-0.001498	0.000639	0.00146	-0.002648
138	0.000474	0.002118	-0.003635	0.006391	-0.006757
139	-0.000676	-0.004128	0.003433	-0.001005	0.001954
140	-0.000841	-0.001169	-1.9e-05	0.00031	0.000967
141	0.002282	-0.000183	-0.002648	0.002611	0.001132
142	-0.00347	-0.001334	-0.000512	-0.003963	0.002611
143	-0.000841	-0.000841	0.000146	0.006391	-0.000676
144	0.000803	-0.001498	-0.003799	0.003597	-0.001662
145	0.002611	-0.001662	-0.002813	0.004748	-0.001827
146	-0.002155	-0.00347	0.003268	0.003104	0.001789
147	-0.000347	0.000474	-0.000841	0.003597	-0.002155
148	-0.004949	-0.003963	0.001132	0.003597	-0.001334
149	0.001954	-0.001334	-0.000512	0.007706	-0.002484
150	-0.000676	-0.003963	0.00031	0.002447	-0.000512
151	0.00031	0.000474	-0.000841	0.001789	-0.001498
152	-0.002155	-0.000841	0.000639	0.001954	0.000146
153	-0.004785	-0.001498	0.002282	-0.000183	-0.000347
154	-0.005114	-0.000841	-0.001827	0.002118	-0.000183
155	-0.002813	-1.9e-05	-0.001498	0.001132	-0.004128
156	-0.003963	-0.00232	-0.001662	0.004583	0.001296
157	-0.003963	-1.9e-05	0.000146	0.000803	0.001296
158	0.000146	0.001625	-0.002648	0.001296	-0.000841
159	-0.005443	-0.000676	-0.002155	0.002447	0.005076
160	-0.002648	0.002282	-0.00232	-0.00347	-0.002155
161	-0.003306	-0.003306	0.001625	-0.001662	0.000639
162	-0.001498	-0.000183	-0.001827	0.001625	-0.002484
163	0.00031	-0.00232	-0.004128	0.001296	0.001296
164	-0.002484	-0.000183	0.002447	-1.9e-05	-0.001005
165	-0.005607	-0.005607	0.001132	0.002611	-1.9e-05
166	-0.00232	-0.003142	0.000474	0.000474	0.001296
167	-0.002648	-0.002155	0.001954	0.005241	-0.000183
168	-0.002484	-0.001991	0.001789	0.009514	-0.001334
169	-0.00347	-0.003142	0.000803	0.003597	-0.003799
170	-0.004128	-0.000841	-0.001991	0.000803	-0.000183
171	-0.000347	0.001132	-0.000676	-0.005936	-0.001334
172	-0.005114	0.002118	-0.005114	-0.000841	-0.002977
173	-0.002155	-0.002484	-0.003799	0.001954	-1.9e-05
174	0.000474	-0.006429	-0.001991	-0.001827	0.001296
175	-0.004621	0.004419	-0.001827	-0.001991	0.000967
176	-0.003799	-0.004128	-0.000347	0.000146	0.000146
177	-0.005936	-0.000512	-0.000676	-0.000841	-0.001169
178	-0.004128	-0.00347	-0.000347	0.000146	-0.000183
179	-0.003306	-0.001827	-0.003142	-0.000841	-0.001169
180	-0.005443	-0.001827	-0.001991	0.000967	-0.003963
181	-0.002155	-0.003799	-0.004785	-1.9e-05	-0.000841
182	-0.002813	-0.002813	-0.000676	-0.01251	-0.001991
183	-0.001005	-0.001334	-0.001662	-0.000841	-0.003963
184	-0.002484	-0.005114	0.00294	0.003761	0.003433
185	-0.006264	-0.003635	-1.9e-05	0.002447	0.002282
186	-0.004621	-0.003635	0.001625	0.002775	0.000967
187	-0.008894	-0.005114	-0.000183	-0.000183	-0.002813
188	-0.004456	-0.000183	-0.001498	0.003433	-0.003963
189	-0.003799	0.00146	-0.002813	0.000967	-0.005278
190	-0.004785	-0.001334	-0.002155	-0.000676	-0.003635
191	-0.0061	-0.000841	-0.003799	-0.001498	-0.001005
192	-0.004292	-0.000512	-0.000841	-0.000676	-0.004292
193	-0.003963	-0.002484	-0.003306	-0.007086	-0.000347
194	-0.000183	-0.001005	-0.002155	0.000803	-0.001498
195	-0.003635	-0.001498	0.004912	0.000474	-1.9e-05
196	-0.016454	-0.002155	-0.000676	-0.001827	0.001132
197	-0.005278	-0.001662	0.001132	0.000146	0.003761
198	-0.000676	-0.001827	0.000967	0.001789	-0.001662
199	-0.006264	-0.004949	0.002447	-0.000347	-0.000841
200	-0.0061	-0.001334	-0.001169	0.000639	-0.001827
201	-0.005278	0.000639	0.003433	0.000474	0.001132
202	-0.005443	-0.002484	-0.000512	-0.001827	-0.001498
203	-0.004949	-0.003142	-0.000512	0.00146	-0.001334
204	-0.004128	-0.000676	0.00031	-0.002977	-0.000512
205	-0.003142	-0.001662	-0.00232	-0.00232	-0.000676
206	-0.005443	-0.003963	-0.001169	-0.000512	0.002775
207	-0.009223	-0.002813	-0.001498	-0.001827	0.002447
208	-0.008072	-0.000512	0.000803	-0.001334	-0.000183
209	-0.008237	0.00031	-0.000512	-0.002813	-0.003142
210	-0.007086	-0.001169	-0.000183	-0.003306	-0.000183
211	-0.005278	-0.001169	-0.002977	-0.004128	-0.003306
212	-0.009223	-0.001498	0.000803	-0.001662	0.004255
213	-0.006264	-0.001827	-0.002648	-0.004621	-0.003306
214	-0.004621	-0.002648	0.00031	-0.000676	0.000474
215	0.003433	-0.000841	-0.001169	-0.000676	0.00031
216	-0.002648	-0.001991	-0.000183	-0.002484	0.00031
217	-0.001991	-0.001005	-0.00232	-0.000676	-0.004785
218	-0.001827	-0.001827	0.002118	-0.001005	0.001789
219	-0.005771	-0.003799	0.00409	-0.004785	-0.004128
220	-0.001334	-0.002813	-1.9e-05	-0.00232	-0.001991
221	-0.001991	-0.0061	0.000639	-0.002155	0.000639
222	-0.003142	-0.004128	-0.001005	-0.003799	-0.001169
223	-0.003306	-0.008894	-0.00347	-0.001662	0.000146
224	-0.002977	-0.002484	-0.002977	-0.003963	-0.003142
225	-0.005607	-0.007415	-0.002155	-0.004621	-0.000676
226	0.000146	-0.001827	-0.005278	-0.003306	0.000474
227	-0.007908	-0.001498	-0.001827	-0.002813	0.000474
228	-0.009058	-0.000841	-0.002648	-0.007086	-0.003635
229	-0.004621	0.000639	0.000474	-0.003963	0.001789
230	-0.005114	-0.000841	-0.001991	-0.002813	-0.001827
231	-0.004128	-0.003142	-0.000183	-1.9e-05	0.001132
232	-0.003142	-0.0061	-0.000512	-0.002155	-0.000676
233	-0.001334	-0.004128	-0.000512	-0.003306	-0.003799
234	-0.001662	-0.003963	0.000639	-0.003799	-0.001169
235	-0.002648	-0.004128	-0.000676	0.001789	-0.005936
236	-0.003963	-0.007579	-0.001334	-0.000512	-0.003635
237	-0.000841	-0.002648	0.000146	-0.001334	-0.000841
238	-0.001827	-0.003799	-0.000512	-0.001334	-0.00347
239	-0.002648	-0.001169	0.000474	-0.002977	-0.004621
240	-0.004785	-0.001169	-0.00347	-0.000841	-0.007086
241	-0.003142	-0.002813	-0.002648	-0.001005	-0.002813
242	-0.008072	-0.001662	-0.000183	-0.002648	-0.001498
243	-0.001005	-0.002813	-0.00232	0.000474	-0.001005
244	-0.00347	0.000146	0.000474	-0.000841	0.00146
245	-0.003306	-0.001169	-0.002155	-0.001498	-0.00232
246	-0.005607	-0.001991	-0.002155	-0.000841	0.002118
247	-0.004292	-0.002484	-0.002648	-0.002813	-0.000183
248	-0.001991	-0.000183	-0.001991	-0.001334	-1.9e-05
249	-0.002648	-0.00347	-0.001498	-0.004785	0.000146
250	-0.00232	0.000474	0.000967	-0.002484	-0.001498
251	0.000967	0.001296	-1.9e-05	-0.002155	-0.000676
252	-0.001498	0.000803	0.00146	-0.001662	-0.001662
253	-0.003306	-0.002484	-1.9e-05	-0.001498	-0.001005
254	-0.000347	-0.002648	0.000639	-0.004456	-0.000183
255	-0.002977	-0.004128	0.002118	-0.002648	0.004912
256	-0.002813	-0.002155	0.000639	0.001789	0.001954
257	-0.004949	-0.005607	-0.000183	-0.000347	-0.001005
258	-0.004785	-0.004292	-0.001498	-0.002648	-0.000841
259	-0.00725	0.000474	0.001132	0.001132	-0.000841
260	-0.005607	0.000639	-0.001169	-0.004949	-0.001334
261	-0.007086	-0.001498	0.000146	-0.001169	0.003761
262	-0.005278	-0.000183	0.00031	-0.001169	0.000146
263	0.002447	-0.000512	0.002775	-0.00232	-0.000841
264	-0.004949	-0.002155	-0.000676	-0.003635	0.003104
265	-0.005443	0.000474	0.001789	-0.002155	0.000803
266	-0.002977	-0.002648	-0.001498	-0.003306	0.000474
267	-0.004456	-0.001169	0.000803	-0.002155	0.004912
268	-0.00232	-0.003306	-0.004456	-0.004292	0.000146
269	-0.002977	-0.001334	-0.001827	-0.0061	-0.002977
270	-0.008072	-0.002484	-0.000841	-0.00232	-0.000183
271	-0.000512	-0.003306	0.002282	-0.001005	-0.001991
272	-0.00232	-0.004292	0.002447	-0.003963	-0.000512
273	-0.003306	-0.002813	-0.000676	-0.001662	-0.003963
274	-0.001827	-0.004785	-0.001662	0.000146	-0.001991
275	-0.003306	-0.004128	-0.004128	-0.002813	-0.000841
276	-0.003799	-0.003142	0.00031	-0.002813	-0.000347
277	-0.004128	-0.002813	-0.001827	-0.004785	-0.000676
278	-0.009058	0.000474	0.00409	-0.001662	0.006391
279	-0.006593	-0.001498	-0.000676	-0.004456	0.000474
280	-0.003963	-0.002813	-0.002155	-0.003142	-0.000183
281	-0.004128	0.000474	-1.9e-05	-0.003142	0.001296
282	-0.003799	-0.001169	0.00031	-0.002648	0.002775
283	-0.00232	-0.003142	-0.000841	-0.00347	0.000474
284	-0.00347	-0.00232	0.000639	-0.006757	-0.001498
285	-0.000512	-0.003142	0.001789	-0.003799	-0.004292
286	-0.003142	-0.001169	0.000639	-0.003142	-0.001169
287	-0.004456	-0.004456	0.00031	-0.000676	-0.001827
288	-0.000347	-0.000512	0.002282	-0.001991	0.001132
289	-0.001827	-0.009387	0.006062	-0.001005	-0.001498
290	-0.003142	-0.002484	-0.004949	-0.002813	-0.00873
291	-0.001169	-0.00232	0.003268	0.000967	-0.002484
292	-0.003306	-0.002484	0.000639	-0.002155	-0.003306
293	-0.001827	-0.001498	0.002282	0.001789	-0.000512
294	-0.004292	-0.002648	0.002611	-0.001169	-0.000841
295	-0.004456	0.000967	0.00146	-0.00232	0.001132
296	-0.00232	-0.000512	-0.001498	-0.002484	0.00031
297	-0.003306	-0.001169	0.005076	-0.004128	0.000146
298	-0.005278	-0.001334	0.000639	-0.00232	0.001132
299	-0.001662	0.001132	-0.000512	-0.004456	-0.000183
300	-0.005278	0.00031	0.005405	-0.002813	-0.005771
301	0.003268	0.000474	-0.000841	-0.004456	-0.002484
302	-0.005114	0.00031	0.001789	-0.002977	0.000474
303	-0.002648	-0.001005	0.000967	-0.002484	-0.001169
304	-0.001827	-0.001827	0.003926	0.001789	0.002282
305	-0.008401	-0.003306	0.00031	-0.004949	0.000474
306	-0.000676	-0.005278	0.004255	-0.001169	-0.001169
307	-0.001498	0.002775	0.00294	-0.002648	-0.002155
308	-0.005278	-0.006429	0.003926	-0.001334	-0.001005
309	-0.003963	-0.002155	0.002118	-0.000183	-0.001827
