Ladekurvenmessung

Zeit: 2018_05_04 10.04.45

Info: FVA3, v = 1.05, T = 23, F = 20, h = 591.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 1

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	-0.020563	0.000639	0.000803	-0.000183	0.003104	0.000146
1	-0.016783	-0.001827	0.000803	0.001132	0.000967	0.006227
2	-0.017934	0.003433	0.00294	0.002447	0.00294	0.003597
3	-0.014482	-1.9e-05	-0.000183	0.001296	0.001954	0.002775
4	-0.020563	0.002447	-0.001991	-0.003635	0.004255	0.000639
5	-0.024508	0.001132	-0.000676	-0.000676	0.003104	0.001789
6	-0.018755	0.00031	0.001789	0.000474	0.001296	0.001296
7	-0.02007	0.000146	0.000639	0.002775	0.001132	-0.001334
8	-0.021221	-0.003963	0.002118	0.003926	-0.000676	0.000146
9	-0.020892	-0.000183	-0.001662	0.000967	0.001789	0.003433
10	-0.020563	0.002118	0.004583	0.003433	0.000803	-0.00232
11	-0.022536	-0.000841	0.000803	0.001625	0.00294	0.000803
12	-0.019413	-0.002977	0.00409	0.001954	-0.000841	0.000639
13	-0.019577	0.001132	0.00294	0.001132	0.007706	-0.001005
14	-0.020235	-0.001498	0.00146	0.002118	0.005241	0.000639
15	-0.022536	0.002282	0.007049	-0.000841	0.005569	-0.002155
16	-0.023193	-0.002813	0.002118	0.001132	0.002775	-0.002155
17	-0.021056	0.003268	0.001132	0.003433	0.003597	-0.000676
18	-0.019577	0.001625	0.000474	0.001296	0.002611	-0.001498
19	-0.021385	0.000146	-0.000347	0.003761	0.003761	-0.007086
20	-0.021385	-0.001827	0.001132	0.000146	0.000639	-0.000676
21	-0.019906	0.001296	-1.9e-05	-0.001169	0.002118	-0.002648
22	-0.023686	-0.001169	-0.001169	-0.002648	0.003268	-0.002155
23	-0.023357	0.002775	0.001954	0.003761	0.003104	-0.002648
24	-0.020892	-0.000512	0.000474	-0.002155	0.005569	-0.004621
25	-0.026316	0.001789	0.002447	0.003268	0.003433	-0.005607
26	-0.028288	0.000967	0.000474	-0.000676	0.000146	-0.001498
27	-0.021878	0.002447	0.003597	0.004583	0.000639	-0.001827
28	-0.024837	-0.000183	-0.001334	0.002447	-0.000347	-0.005114
29	-0.019413	0.002118	0.000474	0.000474	0.000474	-0.004785
30	-0.021221	0.001625	0.00146	0.003104	0.002775	-0.006429
31	-0.019577	-0.002813	0.000639	-1.9e-05	-0.001334	-0.002484
32	-0.019084	0.000803	0.002282	-0.001991	-0.001005	-0.004785
33	-0.01892	0.003926	-0.004292	-0.000512	0.00146	-0.001334
34	-0.015633	0.002447	-0.001498	0.003761	-0.002648	-0.003306
35	-0.017769	0.001789	-0.000183	0.001954	0.000639	-0.002155
36	-0.017441	0.002611	-0.002155	0.002118	0.003597	-0.004621
37	-0.015633	-0.001662	-0.001334	-0.002155	0.002775	-0.000512
38	-0.016126	-0.001005	0.00146	0.002775	0.002282	-0.00347
39	-0.019084	-0.00347	-0.001334	-0.000347	-0.000183	-0.000347
40	-0.014975	-0.000676	-0.000512	0.00294	0.004748	-0.00232
41	-0.016948	-0.001827	-0.002813	-0.000183	0.00031	-0.005936
42	-0.01251	-0.002977	0.00294	0.00146	0.000803	-0.004785
43	-0.010866	-0.001005	-1.9e-05	0.00146	0.000474	-0.001498
44	-0.011195	0.002611	0.00146	0.000474	0.001132	-0.005936
45	-0.011524	0.002447	-0.001005	0.00146	-0.000347	-0.001169
46	-0.009223	0.001789	0.002447	-0.001005	0.000474	-0.001991
47	-0.00725	0.002775	-0.000676	0.00031	0.004255	-0.007086
48	-0.007908	-0.000347	0.000639	-0.00347	0.000474	-0.00347
49	-0.008401	0.00294	0.003268	0.001954	0.003433	-0.003635
50	-0.004621	0.000967	-0.000347	0.000803	0.00146	0.000474
51	-0.003799	0.003104	0.002775	0.003104	0.00409	-0.006429
52	-0.005278	0.000803	0.001625	-0.00347	0.004255	-0.003306
53	-0.001991	-0.000841	0.001789	-0.001662	0.007213	-0.000676
54	-0.000676	-0.002484	-0.001498	-0.002484	0.009843	0.001625
55	0.000474	-0.001005	0.000639	0.007049	0.005569	-0.001334
56	-0.003306	-0.002977	-0.001991	0.003268	0.00031	-1.9e-05
57	0.000967	0.001132	0.00294	0.002447	0.004912	0.000146
58	-0.000676	0.000146	0.000803	0.001954	0.002447	-0.005443
59	0.001296	-0.002155	0.000967	-0.000512	0.002282	-0.002484
60	0.000639	0.00146	0.000803	-0.000841	0.002118	-0.002484
61	0.003926	0.002447	0.002611	-0.001005	0.00146	-0.002813
62	0.00146	-0.000841	0.001625	0.004583	0.000803	-0.001662
63	0.004419	-0.002648	0.001296	0.001296	-0.000183	-0.000841
64	0.004748	0.002447	0.003597	-0.001991	0.004748	-0.000512
65	0.006062	-0.001662	0.000803	-0.000841	0.00146	0.001132
66	0.004419	0.001296	-0.000512	0.00031	0.001954	-0.001498
67	0.008363	-0.000676	0.00294	-0.001169	0.000474	-0.001169
68	0.0105	0.002447	0.000967	0.000146	0.004255	0.000474
69	0.00935	-0.001005	-0.003635	-0.002484	0.002118	-0.000512
70	0.011486	-0.001005	0.00409	-1.9e-05	0.005405	0.001296
71	0.0105	0.001132	0.005734	-0.001827	0.002447	0.002611
72	0.010171	0.000474	-0.001005	-0.002155	0.005405	-0.000676
73	0.012308	-1.9e-05	-0.000347	-0.00232	0.00031	0.002282
74	0.014445	-1.9e-05	0.001954	0.000474	-0.000347	0.00031
75	0.013623	-0.000676	0.000146	-0.001662	0.005241	0.001296
76	0.018225	-0.001169	0.000803	-0.001334	0.003597	0.000474
77	0.012144	0.000803	0.00031	0.00146	0.003104	0.002611
78	0.017567	-0.000512	0.002611	0.001789	0.002118	-0.002155
79	0.017239	0.000146	0.00294	0.000474	0.003761	-0.003963
80	0.017732	-0.002813	0.000639	0.002282	0.001296	-0.004292
81	0.015595	-0.000841	0.001625	0.002447	0.003761	-0.005936
82	0.017896	-0.002977	0.004419	0.000803	0.001789	-0.000512
83	0.018389	0.002611	0.005734	0.002611	0.000474	-0.004621
84	0.01576	0.000474	-0.00232	0.002775	0.001625	-0.00232
85	0.021512	0.001132	0.002611	0.001954	0.001625	-0.003306
86	0.018225	0.001625	-0.000512	-0.000841	-0.000183	0.001132
87	0.018225	-0.002813	0.000639	0.002447	0.002775	-1.9e-05
88	0.015102	-1.9e-05	0.002775	-0.000347	0.00294	0.003597
89	0.021348	-0.001991	0.000967	-0.000183	0.003433	-0.002155
90	0.018225	-1.9e-05	0.000639	-1.9e-05	0.004748	-0.002155
91	0.021512	-0.004621	0.001296	0.000803	0.002775	-0.001169
92	0.019704	-0.00232	0.000967	-0.003142	0.004912	-0.001005
93	0.024635	-0.002648	-0.000347	0.00409	0.00294	-0.000512
94	0.021676	0.000967	-0.001662	0.001625	0.003433	-0.003142
95	0.023649	-0.002155	-0.005607	0.001954	0.00146	-1.9e-05
96	0.018225	-0.000512	-0.001334	0.003761	0.001789	-0.00347
97	0.021676	0.003597	0.001625	-0.000676	0.002611	-0.002484
98	0.022334	0.000474	-0.000183	0.002611	0.001789	-0.005607
99	0.020526	0.00031	0.001296	0.000967	0.000803	0.001296
100	0.022498	0.004748	0.004255	0.002447	0.001132	-0.005607
101	0.021512	-0.000183	0.002282	-0.000347	0.002447	-0.002977
102	0.02595	-0.000676	0.007377	-0.001005	0.002775	-0.001991
103	0.020526	-0.001169	0.002118	-0.004128	0.002447	-0.001498
104	0.02447	-0.000512	0.003433	0.001954	-0.001334	0.002611
105	0.02069	0.001296	0.004748	-0.003142	-0.001169	0.001132
106	0.024306	-0.001005	0.001789	-0.003306	0.001625	-0.001827
107	0.022498	-0.000512	0.002282	0.001625	0.000967	0.00146
108	0.022334	0.001625	0.002118	-0.001991	-0.000347	-0.001498
109	0.021348	-0.000347	0.00146	-0.000676	0.006391	-0.002977
110	0.020362	-0.001991	0.001954	0.001132	0.000146	-0.000841
111	0.023649	0.001954	0.000803	0.001132	-0.000183	-0.003963
112	0.020197	0.006062	0.001296	0.001132	0.00146	-0.000676
113	0.019375	0.000639	0.004912	0.003597	0.000967	-0.004785
114	0.019375	-0.002648	-0.000183	-0.000676	-0.001169	-0.00232
115	0.02069	0.002775	0.001132	0.002611	0.002282	-0.004785
116	0.01691	-0.000841	0.002118	0.000803	-0.002484	-0.001827
117	0.021348	0.001789	0.001789	0.00294	-0.001169	-0.00347
118	0.014116	-0.000347	0.000967	-0.000512	-0.001005	-0.00232
119	0.019375	0.002118	0.004583	0.001296	-0.003635	0.000474
120	0.01428	-0.000183	0.003597	0.001625	-0.001169	0.000474
121	0.017074	0.000474	0.006391	-0.000183	0.000803	0.001132
