Ladekurvenmessung
Zeit: 2018_05_02 15.14.56
Info: FVA3, v = 0.2108, T = 40, F = 20, h = 148.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.000864	0.00037	0.00014	0.005601	0.004515
1	0.003496	0.003331	7.4e-05	0.007937	0.007937
2	0.001587	0.000337	0.000304	0.002443	0.01149
3	-0.000255	0.000568	0.00037	0.003956	0.007378
4	0.002969	0.000765	-0.001077	0.004483	0.006753
5	-0.000419	0.001423	0.001094	0.00468	0.00899
6	-0.001735	-0.001341	-0.005387	0.003035	0.004088
7	0.002706	0.001456	0.000239	0.005173	0.005634
8	0.001949	0.000337	-0.001308	0.007542	0.004154
9	0.001291	0.002476	0.000337	0.003463	0.006259
10	0.002114	-0.001505	0.000436	0.006983	0.001949
11	0.001653	-0.000551	-0.000419	0.007114	0.006127
12	0.00162	-0.00213	0.000206	0.005173	0.004976
13	0.000699	-0.001867	0.00037	0.005173	0.007937
14	0.000502	-0.002986	-0.000321	4.1e-05	0.005173
15	-0.000156	0.000995	-0.000189	0.000206	0.004943
16	0.002081	0.000271	0.001094	0.000403	0.005996
17	-0.000814	-0.000123	-9e-05	0.000107	0.006785
18	0.002476	-0.000123	0.002015	7.4e-05	0.003594
19	0.001456	-0.005552	-0.000222	0.00014	0.004811
20	-0.000617	-0.001505	0.000206	4.1e-05	0.005108
21	0.000502	-0.001801	-0.000189	-2.5e-05	0.003693
22	0.001193	-0.000847	-0.000419	0.000271	0.006489
23	0.000897	-0.001637	-0.001801	-0.000189	0.002936
24	-0.000617	0.000962	0.002212	-0.000123	0.005272
25	-0.000222	-0.001505	-0.00088	-2.5e-05	0.001982
26	0.001291	0.00116	0.000765	8e-06	0.006292
27	0.001982	0.000831	-0.001439	4.1e-05	0.004219
28	0.001587	-0.002722	0.006029	0.00014	0.0057
29	-0.000354	-0.001735	-0.003051	0.00014	0.002607
30	0.002081	0.001127	0.000107	0.000206	0.000831
31	0.001225	-0.000485	0.00241	0.000107	0.004877
32	0.003364	-0.001045	0.000337	-2.5e-05	0.003726
33	0.001653	-0.003413	0.001883	-9e-05	0.004318
34	-0.001176	-0.002032	-0.000354	-9e-05	0.003331
35	-5.8e-05	-0.000946	0.002278	-9e-05	0.003726
36	0.000337	-0.002558	-0.000387	-0.000156	0.003857
37	0.000403	-0.001012	0.000568	4.1e-05	0.001554
38	-0.000189	-0.010552	-0.000683	4.1e-05	0.002015
39	0.002903	-0.002591	-0.000222	0.000107	0.005634
40	-0.001637	-0.000518	-0.000683	0.000107	0.000995
41	0.003167	-0.001374	0.001094	0.000107	0.004844
42	-0.000551	-0.003907	4.1e-05	0.000107	0.003693
43	0.002015	0.00139	0.00014	-2.5e-05	0.003989
44	0.001785	-0.003545	4.1e-05	-0.000123	0.001883
45	-0.001703	0.000929	7.4e-05	-9e-05	0.004877
46	-0.001308	-0.005289	0.001357	-0.000123	0.004088
47	0.000436	0.000864	-0.00292	-9e-05	0.004713
48	-0.00065	-0.003051	0.001061	8e-06	0.003561
49	-0.00167	-0.002097	-0.000485	-2.5e-05	0.005996
50	0.00162	-0.002492	0.002739	0.000304	0.004647
51	-0.002229	-0.000979	0.00264	7.4e-05	0.004186
52	0.001587	-9e-05	0.005239	0.000107	0.005733
53	-0.00167	-0.001341	0.003167	-0.000156	0.004746
54	8e-06	0.000206	0.00241	0.003594	0.00695
55	0.000502	-0.002953	0.003528	-0.000288	0.002607
56	-0.001341	0.001061	0.005634	0.002212	0.007082
57	-0.002328	-0.001275	0.002739	0.002377	0.003594
58	-0.002229	-0.000979	0.002048	0.004154	0.004515
59	0.004285	-0.002459	0.000765	0.004647	0.004976
60	-0.002624	-0.003117	0.000535	0.005996	0.004647
61	0.00287	-0.005256	0.001752	0.007378	0.005601
62	-0.001012	-0.004631	0.001522	0.006193	0.005864
63	0.002278	-0.004433	0.002443	0.008496	-0.001275
64	-0.000387	-0.001933	0.002377	0.00593	0.001554
65	0.001357	-0.001374	0.002574	0.010207	0.003002
66	0.00116	0.000107	0.003199	0.010174	0.004154
67	0.004483	0.000535	0.004713	0.009911	0.004252
68	-0.001341	-0.002196	0.005404	0.011029	0.004976
69	-0.000452	-0.003676	0.005634	0.008036	0.004779
70	-0.001703	-0.00394	0.002476	0.007542	0.005338
71	-0.001834	-0.000781	0.005108	0.009121	0.006358
72	-0.002887	-0.003512	0.004614	0.008266	0.003397
73	-0.004861	-0.001768	0.002541	0.008529	0.006193
74	0.003232	-0.001999	0.00241	0.00774	-0.000617
75	0.000206	-0.001768	0.001423	0.007707	0.002015
76	0.002509	-0.000419	0.001061	0.011786	0.003923
