Ladekurvenmessung
Zeit: 2018_05_02 15.27.40
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	0.022906	-0.005091	-0.016145	-0.012921
1	0.024419	-0.004729	-0.016474	-0.008776
2	0.0259	-0.002328	-0.014204	-0.012954
3	0.026722	-0.003051	-0.015783	-0.00723
4	0.026985	-0.003479	-0.015454	-0.009565
5	0.026656	-0.005716	-0.01575	-0.011243
6	0.023794	-0.0044	-0.014369	-0.010618
7	0.023367	-0.000123	-0.015224	-0.011177
8	0.023761	-0.003512	-0.01404	-0.010684
9	0.022248	-0.003578	-0.015685	-0.019665
10	0.023663	-0.005519	-0.010947	-0.01177
11	0.01853	-0.004696	-0.010848	-0.015158
12	0.020603	-0.005552	-0.011013	-0.012559
13	0.021787	-0.003051	-0.01302	-0.012066
14	0.018432	-0.003512	-0.010881	-0.012559
15	0.019748	-0.000452	-0.012921	-0.012757
16	0.020373	-0.005157	-0.012329	-0.015948
17	0.021458	-0.002722	-0.009993	-0.012033
18	0.019649	-0.002459	-0.011145	-0.009302
19	0.027018	-0.003841	-0.007888	-0.011177
20	0.02136	-0.007295	-0.009368	-0.00973
21	0.021623	-0.005387	-0.007328	-0.00996
22	0.019846	-0.005914	-0.006341	-0.009697
23	0.02136	-0.006012	-0.006012	-0.00973
24	0.018695	-0.002492	-0.008019	-0.010223
25	0.01501	-0.007361	-0.007624	-0.010388
26	0.014517	-0.005289	-0.005683	-0.014599
27	0.016787	-0.007624	-0.005716	-0.010289
28	0.014451	-0.004466	-0.008348	-0.0095
29	0.012938	-0.003051	-0.004334	-0.008546
30	0.016853	-0.003775	-0.005354	-0.00848
31	0.014418	-0.003545	-0.003611	-0.010881
32	0.013596	-0.004762	-0.001933	-0.00723
33	0.013431	-0.004302	-0.00565	-0.00871
34	0.014155	-0.006374	-0.001341	-0.011605
35	0.014188	-0.003709	-0.001571	-0.006572
36	0.015175	-0.00496	-0.001867	-0.005881
37	0.013267	-0.007427	-0.002525	-0.007197
38	0.01728	-0.00848	-0.003446	-0.007328
39	0.011885	-0.004269	-0.002657	-0.007098
40	0.010799	-0.008019	0.001291	-0.005782
41	0.010832	-0.006933	-0.003742	-0.004992
42	0.01024	-0.008809	-0.001143	-0.004894
43	0.009516	-0.007065	-0.004729	-0.003874
44	0.010766	-0.007888	-0.000288	-0.004532
45	0.014944	-0.003841	-0.005387	-0.005223
46	0.010569	-0.003578	-0.004367	-0.002262
47	0.009384	-0.006637	-0.000683	-0.004663
48	0.011029	-0.005683	-0.002953	-0.002328
49	0.009746	-0.00871	-0.001374	-0.003907
50	0.0082	-0.004696	-0.001571	-0.002393
51	0.008792	-0.003742	-0.000222	-0.002097
52	0.00672	-0.004927	-0.002459	0.00037
53	0.010174	0.000107	0.002212	-0.001209
54	0.007707	-0.004367	-0.001604	0.001423
55	0.009121	-0.006637	0.002673	0.000337
56	0.003989	-0.002953	-0.002032	-0.000748
57	0.005667	-0.007164	0.002147	-0.002064
58	0.004844	-0.002591	-0.000189	-0.000387
59	0.003298	-0.006966	0.000864	-0.000189
60	0.004121	-0.006637	-0.00236	-0.001505
61	0.002245	-0.004499	0.00037	0.004252
62	0.005568	-0.004466	-0.004367	0.000633
63	0.000831	-0.002953	-0.003446	0.002081
64	0.004746	-0.005782	-0.001703	-0.000847
65	0.002278	0.00037	-0.002262	0.003561
66	0.000337	-0.003874	0.002048	0.002969
67	-0.001308	-0.001735	0.001818	-0.000748
68	0.007411	-0.003117	8e-06	0.000568
69	0.003134	-0.002459	0.001587	-0.000123
70	0.003199	-0.00542	0.001127	0.001193
71	0.001489	-0.00315	-0.000452	0.001982
72	-0.002426	-0.004269	0.001883	0.005239
73	-0.002887	-0.001143	0.002311	0.00366
74	-0.006736	-0.002986	0.003002	0.00264
75	-0.004927	-0.003315	0.001686	0.001719
76	-0.004038	-0.003808	0.000633	0.003693
77	-0.003874	-0.004236	0.004384	0.001423
78	-0.006604	-0.005946	0.00343	0.004976
79	-0.004236	-0.001012	0.004285	0.001193
80	-0.00667	-0.001341	0.002772	0.003956
81	-0.006111	-2.5e-05	0.00445	-0.000551
82	-0.012131	-0.000913	0.005404	-0.004334
83	-0.010026	0.000107	0.002147	0.002574
84	-0.009598	0.000897	0.004186	0.002509
85	-0.008052	-0.000946	0.00616	0.003298
86	-0.008546	-9e-05	0.004713	0.003792
87	-0.010585	-0.002657	0.008792	0.005371
88	-0.008249	-0.000584	0.004877	0.010108
