Ladekurvenmessung
Zeit: 2018_05_03 11.49.50
Info: FVA3, v = 0.14, T = 60, F = 20, h = 96.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	-0.001662	-0.0061	0.001789	0.00031	-0.001334	0.00031	-0.000512	0.00031	-0.000841
1	-1.9e-05	-0.008237	0.000967	0.00031	0.003597	-0.000183	-0.000676	-1.9e-05	0.004912
2	0.001296	-0.005114	0.000967	0.000474	-1.9e-05	-1.9e-05	0.000146	-0.000183	0.001954
3	0.000967	-0.007744	0.002118	-0.000183	-0.001498	-0.000676	0.000146	-0.000512	0.003104
4	-0.000676	-0.004456	-0.000676	-0.000183	-0.000512	-0.000512	0.00031	-0.000676	0.002118
5	0.000967	-0.006429	0.002118	-0.000512	0.000474	-0.000512	0.000474	-0.000512	-0.000512
6	-0.000512	-0.004785	-0.000841	-0.000512	-0.000183	-0.000183	0.000146	0.00031	0.001789
7	-0.000841	-0.003635	-1.9e-05	-0.000841	0.001132	-1.9e-05	0.000146	-0.000183	0.001296
8	-0.000347	-0.00232	0.001132	-0.000676	-0.001334	-1.9e-05	-0.000347	-1.9e-05	0.001789
9	-0.000676	-0.002155	0.000967	-0.000183	0.001132	0.000474	-0.000347	0.000146	0.001132
10	0.000803	-0.005443	-1.9e-05	-1.9e-05	-0.001005	0.000146	-0.000512	0.000146	0.006391
11	-0.001498	-0.001991	0.002775	0.000146	-0.001334	0.00031	-0.000676	0.00031	0.000146
12	0.001296	-0.002155	-0.004785	0.000146	0.000639	-1.9e-05	-0.000347	0.000146	0.002775
13	-0.000183	-0.002977	0.002118	0.000639	0.00294	-0.000676	-1.9e-05	-0.000183	0.00031
14	-0.001005	-0.003799	-0.001991	-0.000676	-0.002648	-0.000183	-1.9e-05	-0.000512	0.001954
15	0.000639	-0.00347	0.002118	-0.000183	-0.001498	-0.000512	0.000146	-0.000512	0.002118
16	-0.001498	-0.006264	-0.000183	-0.000841	-0.000183	-0.000512	-1.9e-05	-0.000347	-0.000347
17	-0.001169	-0.005114	-1.9e-05	-0.000676	-0.001662	-0.000347	0.000146	-0.000841	0.00146
