Ladekurvenmessung
Zeit: 2018_05_03 11.58.39
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14
0	0.001625	0.005241	0.008692	-0.013167	-0.00347	-0.00232	0.006062	0.002447	0.008857	-0.009223	-0.001991	-0.001169	0.010007	0.006391
1	0.002118	0.004748	0.005734	-0.013989	-0.001827	0.006556	0.007542	0.005734	0.008857	-0.007579	0.006556	0.006884	0.015102	0.004583
2	0.003761	0.004583	0.010664	-0.001334	-0.005771	0.004255	0.007213	0.006884	0.0105	-0.010538	0.001296	0.005241	0.0105	0.005241
3	-0.000347	0.003761	0.008363	-0.001827	-0.004785	0.004912	0.005734	0.004419	0.012472	-0.011359	-0.000347	0.00294	0.009678	0.005734
4	0.001789	0.005076	0.009514	-0.003142	-0.005443	0.005734	0.006391	0.009514	0.011158	-0.010866	0.00409	0.003926	0.005898	0.003761
5	0.000639	0.007706	0.006227	-0.008894	-0.000183	0.002611	0.008528	0.002611	0.010829	-0.01366	0.001132	0.003104	0.009185	0.006884
6	-0.003306	0.005569	0.007706	-0.00347	-0.008072	0.005076	0.009185	0.004419	0.013294	-0.014975	0.00146	0.002775	0.008199	0.004255
7	0.003104	0.006391	0.002282	-0.003963	-0.003635	0.001296	0.005734	0.002447	0.007049	-0.013332	-0.000676	0.00409	0.010007	0.003268
8	0.00409	0.004583	0.007542	-0.005443	-0.009223	0.004255	0.011979	0.000803	0.012965	-0.016454	0.002282	0.007213	0.008035	0.004255
9	0.00294	0.010007	0.004255	-0.000841	-0.005278	0.002118	0.010993	-0.000512	0.01428	-0.015304	0.003104	0.005569	0.009843	0.001296
10	0.005405	0.007706	0.004912	-0.004621	-0.006922	0.003268	0.010829	0.00031	0.012308	-0.014975	0.003433	0.000803	0.008199	0.002447
11	0.003597	0.005569	0.004912	-0.003963	-0.006757	0.007213	0.011979	-0.001005	0.017896	-0.02155	0.002611	0.007377	0.007377	0.003597
12	0.003926	0.010829	0.003268	-0.007908	-0.008401	0.008035	0.00787	0.004748	0.012637	-0.017112	0.005076	-0.000183	0.00935	0.003597
13	0.005241	0.007213	0.00409	-0.002155	-0.008401	0.000967	0.009678	-0.000676	0.013952	-0.020563	0.003433	0.002447	0.005405	0.000639
