Ladekurvenmessung
Zeit: 2018_05_03 13.50.29
Info: FVA3, v = 1.05, T = 40, F = 20, h = 465.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.003104	0.007542	0.000639	-0.002155	0.00146	0.002775	-0.002977	0.005898	-0.017441	-0.001334
1	0.000474	0.009514	0.003268	0.000639	-0.000841	0.002611	0.003926	0.006062	-0.012181	-0.000183
2	0.003926	0.009514	0.006227	-0.002484	-1.9e-05	0.004419	0.002118	0.008528	-0.011852	0.001954
3	0.002282	0.010664	0.005898	0.00146	-0.000676	0.00146	0.002611	0.007542	-0.008401	0.001132
4	-0.001005	0.012144	0.009021	-0.001334	-0.000512	0.002611	0.005076	0.00672	-0.009223	0.001789
5	0.00146	0.012144	0.008363	0.002282	-0.001991	0.003268	0.002611	0.007213	-0.007415	0.000146
6	0.000639	0.010171	0.009021	0.000639	-0.002648	0.002118	-0.000512	0.008528	-0.004621	0.000803
7	0.00294	0.015595	0.011486	-0.001334	-0.00232	-0.002155	0.003268	0.009514	-0.002484	-0.001498
8	-0.000183	0.009514	0.012637	-0.004292	-0.001334	-0.001334	0.000967	0.008857	-0.006593	0.002118
9	-0.000512	0.013787	0.012472	-0.000512	-0.001991	0.00146	0.001132	0.011979	-0.001827	0.00031
10	0.004748	0.013294	0.013294	-0.00232	-0.002484	-0.001991	-1.9e-05	0.012144	-0.001827	0.000639
11	-0.000676	0.013952	0.012144	-0.000841	-0.000183	0.000803	0.000474	0.010336	-0.001169	0.003926
12	0.002282	0.01313	0.016417	0.000474	-0.000841	0.000803	0.00031	0.006884	-0.00347	-0.000676
13	0.001789	0.013787	0.011158	-0.003799	-0.001498	0.000639	-0.001334	0.012308	-0.001662	-1.9e-05
14	0.001789	0.014445	0.016253	-0.000676	-0.000183	-1.9e-05	0.000474	0.012637	-0.001991	-0.000841
15	0.00146	0.01313	0.013623	-0.000676	0.001132	0.003597	0.000967	0.009514	-0.000512	-1.9e-05
16	0.002611	0.016253	0.011979	0.000803	-0.00232	0.00146	0.000474	0.009185	-0.001005	-0.000841
17	0.001954	0.01428	-0.000183	-1.9e-05	-0.002648	0.002282	0.00146	0.009843	-0.001169	0.00146
18	0.00409	0.017074	-0.001662	0.002118	0.000146	-0.000183	0.001132	0.010829	0.002775	-0.002813
19	0.003268	0.012144	-0.000347	-0.001334	-0.003142	-0.000512	0.000967	0.009514	0.000803	0.001296
20	0.00409	0.019375	0.00146	-0.001334	-0.000512	-0.000183	0.001296	0.012801	0.005734	-0.003142
21	0.002611	0.019047	0.00146	-0.000512	-0.004785	-0.001498	0.002611	0.007377	0.004419	0.00031
22	0.003268	0.016417	0.000146	0.000803	0.000146	0.000146	0.000803	0.010336	0.004255	0.001132
23	0.003761	0.017567	0.000474	-0.003306	-0.005278	-0.007415	0.002282	0.011322	0.003926	-0.001991
24	0.003268	0.014938	0.002775	-0.00347	-0.004456	-1.9e-05	0.000967	0.009678	0.002775	-0.002813
25	0.004255	0.015924	0.001625	-0.003306	-0.000841	-0.00347	0.000146	0.011651	0.002118	-0.000183
26	0.003268	0.013787	0.00146	-0.001498	-0.002484	0.000803	0.001625	0.009678	0.006062	-0.001005
27	0.00409	0.012637	0.001132	-0.003963	-0.001498	-0.002155	0.001296	0.010336	0.001625	-0.001005
28	0.004583	0.014938	0.001296	-0.001005	-0.002155	-0.004128	-0.002155	0.011158	-0.001005	0.000146
29	0.005076	0.015102	0.001625	0.001132	-0.001498	0.00031	-0.002813	0.010007	-0.00232	-0.004292
30	0.007049	0.010993	0.002447	-0.001991	-0.001169	-0.002155	0.002447	0.010171	-0.000347	0.002447
31	0.005076	0.012472	0.000146	-0.000183	-0.001498	-0.000183	-0.000347	0.00787	-0.000347	-0.000676
32	0.005898	0.012144	-0.000512	-0.001334	-0.002648	0.000146	0.00031	0.008692	0.000146	0.000967
33	0.003433	0.013787	-1.9e-05	-0.000183	-0.000347	-0.002484	-0.003635	0.004748	0.00031	0.001296
34	0.006227	0.011322	0.003104	-0.001662	-0.002648	-1.9e-05	0.013952	-0.00232	-0.004621	-0.000183
35	0.006556	0.011979	-0.002813	-0.001169	0.001789	-0.002977	0.000639	-0.000512	0.00146	-0.001662
36	0.009021	0.010007	-0.00232	-0.000347	-0.000676	-0.003142	0.000146	-0.005771	-0.002484	-0.001662
37	0.008199	0.0105	-0.001169	-1.9e-05	-0.002813	-0.000676	-0.002977	-0.003142	-0.002155	0.00031
38	0.005405	0.00787	-0.003799	-0.000347	-0.004621	-0.001991	-0.003963	-0.002155	-0.002813	-0.001005
39	0.005898	0.012472	-0.001827	-0.001498	-0.003306	-0.003799	-0.001334	-0.000841	-0.002813	-0.001005
40	-0.000676	0.006556	-0.000841	-0.002155	-0.001498	-0.004456	-0.005278	-0.001334	-0.006922	-0.000676
41	0.000639	0.009514	-0.004128	0.000639	-0.000347	-0.003142	0.000474	-0.003142	-0.003306	-0.001005
42	0.002775	0.009021	-0.003142	-0.003963	-0.002648	-0.006264	-0.001991	-0.001334	-0.002813	0.001625
43	0.002447	0.005405	-0.003635	-0.001334	-0.00232	-0.002155	-0.001991	-0.002648	-0.004292	-0.001334
44	0.002447	0.00787	-0.004456	-0.001662	-0.001334	-0.003306	-1.9e-05	0.00031	-0.005936	0.000474
45	0.003761	0.005569	-0.008072	-0.002155	-0.000676	-0.002155	0.000474	0.003268	-0.006264	-0.003306
46	0.003268	0.006556	-0.003306	-1.9e-05	0.000474	-0.006757	-0.000676	0.000146	-0.007415	-0.001662
47	0.00146	0.001954	-0.008565	-0.000183	0.000967	-0.00232	0.00031	0.00146	-0.00988	0.00409
48	0.006391	0.002775	-0.009058	-0.001005	-0.000347	-0.001005	-0.001991	-0.001662	-0.009716	-0.001991
49	0.002775	0.000146	-0.011688	-0.000676	-0.003306	0.00031	0.002282	0.00146	-0.010209	0.000967
50	0.005569	0.003433	-0.009223	-0.000183	-0.000841	-0.00347	0.000967	0.001625	-0.013825	-0.001334
51	0.003761	0.002447	-0.011688	-0.000841	-0.00347	-0.000676	-0.002813	0.003926	-0.008072	0.000474
52	0.007049	0.003926	-0.010538	-0.001334	-0.002484	0.00031	0.000803	-0.000676	-0.013332	0.001625
53	0.006391	0.00409	-0.011688	-0.000512	-0.003963	-0.003635	0.000639	0.000967	-0.011195	-0.004292
54	0.008528	0.003761	-0.01251	-0.000347	-0.004456	0.00146	-0.00232	-0.005607	-0.013332	-0.00347
55	0.005076	0.002118	-0.000347	-0.001662	-0.002484	-0.004456	-0.005443	-0.001005	-0.014318	0.005241
56	0.006556	0.002447	-0.001169	-0.000676	-0.002484	-0.001334	0.002282	-0.001991	-0.014811	-0.00347
57	0.005734	0.002447	0.000146	0.001625	-0.001662	-0.001334	-0.003635	-0.001169	-0.013167	-0.00347
58	0.003268	0.001789	-0.003963	0.000803	-0.004128	-0.002813	-0.002484	-0.002484	-0.013332	0.000146
