Ladekurvenmessung
Zeit: 2018_05_03 13.53.34
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13
0	-0.000676	0.012144	0.005076	-0.007579	-0.010702	0.001625	0.00146	0.010993	0.002611	-0.007086	-0.004128	0.00294	-0.002648
1	-0.001005	0.014938	0.005076	-0.0061	-0.011359	0.006556	0.002447	0.012965	0.004583	-0.003306	-0.003635	0.003268	0.004748
2	0.00031	0.011979	0.005734	-0.004621	-0.010045	0.005076	0.004419	0.014116	0.00294	-0.002648	-0.002155	0.005241	0.005405
3	-0.001662	0.015266	0.003268	-0.010045	-0.010045	0.00787	0.003761	0.013623	0.00294	-0.0061	-0.003635	0.003104	0.005405
4	-0.000512	0.010829	0.003433	-0.005443	-0.011359	0.00672	0.002447	0.014773	0.003433	-0.003306	-0.003799	0.001954	0.007377
5	-0.001498	0.012801	0.005076	-0.007579	-0.013167	0.005241	0.00409	0.014938	0.002775	-0.005771	-0.004949	0.002611	0.011322
6	-0.001662	0.013787	0.005241	-0.002155	-0.011524	0.007542	0.003268	0.012965	0.001625	-0.005443	-0.004785	-0.000183	0.014938
7	0.000474	0.017239	0.003926	-0.009387	-0.01366	0.004419	0.006391	0.011158	0.003597	-0.005607	-0.004292	-0.001827	0.012637
8	0.000146	0.012144	0.005241	-0.005278	-0.014153	0.005734	0.004912	0.011815	0.000803	-0.005114	-0.002813	-0.000676	0.017403
9	0.00031	0.011815	0.005898	-0.008072	-0.013825	0.00672	0.006884	0.009843	0.003926	-0.006264	-0.003799	0.000474	0.014116
10	0.001132	0.015595	0.00294	-0.008401	-0.015797	0.00787	0.005734	0.011322	0.003104	-0.005607	-0.004128	-0.004292	0.015266
