Ladekurvenmessung
Zeit: 2018_05_03 13.53.57
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
0	-0.004456	0.005241	0.000146	-1.9e-05	0.009843	0.012637	-0.002977	0.001625	-0.003306	-0.001169	0.006556	0.000146	0.002282	-0.001005	0.008363	0.005405
1	-0.006429	0.006062	0.002118	-0.000347	0.008363	0.01576	-0.000841	0.005734	0.001132	0.000474	0.007213	-0.000183	0.004419	-0.002484	0.009185	0.003926
2	-0.006593	0.00672	0.000967	-0.00232	0.013787	0.011815	-1.9e-05	0.002447	0.00146	0.000474	0.006391	0.000146	0.006884	0.000474	0.010171	0.006391
3	-0.00873	0.00409	0.000474	-0.002484	0.011651	0.01691	0.001625	0.00294	0.00031	-1.9e-05	0.008692	-0.000512	0.005569	-0.001005	0.011815	0.005734
4	-0.005443	0.006391	0.000803	-0.009387	0.012472	0.012965	0.005241	0.003926	0.00031	-0.000841	0.006227	-0.000841	0.003761	-0.000676	0.012637	0.006227
5	-0.005443	0.004748	0.00294	-0.004949	0.015102	0.012801	0.004419	0.004748	0.001132	0.002282	0.007706	-0.000347	0.003926	-0.001662	0.015102	0.003926
6	-0.0061	0.009021	-0.000841	-0.007415	0.013459	0.014938	0.005734	0.002118	-0.001498	0.003433	0.006556	-0.000183	0.003433	-0.001991	0.015431	0.004912
7	-0.00347	0.005405	0.000803	-0.009387	0.009514	0.01428	0.006556	0.005898	-0.001498	0.00672	0.003597	-1.9e-05	0.001625	-0.002484	0.015595	0.003761
8	-0.007908	0.003597	-0.001005	-0.009387	0.009514	0.013623	0.011486	0.005241	-0.00347	0.000146	0.004912	-0.000183	0.002775	-0.001169	0.017239	0.004583
9	-0.00873	0.003268	0.002447	-0.01514	0.010007	0.015924	0.004583	0.007706	-0.00232	-0.006429	0.00146	-1.9e-05	0.002775	-0.001991	0.015431	0.00409
10	-0.00725	0.00146	-0.005278	-0.012674	0.009678	0.014938	0.011158	0.003926	-0.000841	-0.003635	-0.001334	0.000146	0.000474	-0.001498	0.01576	0.002775
11	-0.005443	0.005405	0.001132	-0.01366	0.008035	0.013952	0.006062	0.005405	-0.003142	0.001132	-0.000841	0.000146	0.002118	-0.001169	0.014445	0.003433
