Ladekurvenmessung
Zeit: 2018_05_03 14.06.18
Info: FVA3, v = 0.382, T = 40, F = 10, h =???
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	-0.004621	-0.002155	0.003268	-0.002155	-0.000183	-0.009551	-0.004292	-0.003142
1	-0.004949	-0.000676	0.003597	0.001296	0.000474	-0.002648	-0.000512	0.00146
2	-0.001169	0.00031	0.004583	0.00672	0.000146	0.002118	-0.000841	-0.000347
3	-0.004621	0.000474	0.005405	0.005241	0.005898	-0.005278	-0.001827	0.000803
4	-0.002484	-0.000841	0.005076	-0.002484	0.003433	-0.003142	0.000803	-0.002813
5	-0.003142	0.001132	0.00787	0.002775	0.003597	0.000803	0.003433	-0.001498
6	-0.000512	0.000146	0.006556	0.002447	0.00146	-0.00347	0.002447	-1.9e-05
7	-0.003635	0.000146	0.00672	0.003597	0.004419	-0.001827	0.000146	-0.002484
8	-0.002813	0.000803	0.008035	0.002611	0.001296	-0.005771	0.000474	0.000146
9	-0.0061	0.004912	0.007049	0.001625	0.001954	-0.001827	0.000474	-0.001498
10	-0.005771	0.005569	0.008363	-0.002813	0.003926	-0.004621	-0.000512	-0.000183
11	-0.004621	0.000639	0.004583	-0.003963	0.005734	-0.008565	0.004419	-0.002155
12	-0.004949	0.003926	0.005734	-0.005114	0.002611	-0.003799	-1.9e-05	-1.9e-05
13	-0.003963	0.00787	0.002118	-0.002648	0.004255	-0.005607	0.000803	-0.004128
14	-0.010538	-0.001334	0.003104	-0.003306	0.004912	-0.004621	0.000474	-0.001498
15	-0.003963	0.000146	0.003761	-0.001169	0.00787	-0.004785	-0.001334	0.000146
16	-0.004621	0.003268	0.003926	0.001954	0.003268	-0.00232	0.00031	0.000803
17	-0.00232	0.000146	0.004419	0.003268	0.002118	-0.004785	-0.001498	-0.003142
18	-0.004785	0.002447	0.006391	0.002118	0.004419	-0.002813	-0.000512	-0.00232
19	-0.002813	-0.001498	0.001132	0.00146	0.002775	-0.004292	-0.001498	-0.002813
20	-0.008072	0.003597	0.006556	0.004912	0.003433	-0.004621	-0.000676	-0.002977
21	-0.009716	0.001789	0.0105	0.003268	0.001625	-0.004292	-0.007086	-0.002648
22	-0.007415	0.003761	0.004912	0.004255	0.003926	-0.004621	-0.001005	-0.005278
23	-0.006264	0.001132	0.010171	0.000803	0.002775	-0.007579	-0.000512	-0.000183
24	-0.006593	-0.004128	0.005569	0.002447	0.00146	-0.005278	0.000474	-0.001498
25	-0.006593	0.000639	0.009678	0.001296	-0.000512	-0.0061	-0.000183	-0.001005
26	-0.0061	0.001954	0.003597	0.002118	0.004583	-0.008072	0.003104	0.000803
