Ladekurvenmessung
Zeit: 2018_05_03 14.51.20
Info: SHC320, v = 0.248, T = 40, F = 20, h =292.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.001991	0.000967	0.003433	0.00031	0.002118	0.001954	0.003761	0.000474	0.003926	0.003761
1	0.00031	0.005076	0.003104	0.006556	0.003104	0.001296	0.002775	0.002611	0.002447	0.002447
2	0.002611	-1.9e-05	0.004912	0.002282	0.000146	0.00031	0.003926	0.00146	0.003761	0.005734
3	0.000967	0.003268	0.004912	-0.001827	-0.001827	0.000803	0.001789	0.004912	0.002282	0.007706
4	0.00031	-0.002977	0.00787	-0.002155	0.003104	-0.000347	0.005569	0.001954	0.001296	0.008857
5	-1.9e-05	-0.001334	0.008035	0.000803	-0.001991	0.004583	0.003926	0.00146	0.002775	0.008528
6	0.002118	-0.001169	0.006556	-1.9e-05	0.005734	0.003761	0.005076	0.003597	0.002118	0.005405
7	0.000803	0.000146	0.00294	0.00146	-0.001827	0.004748	0.005569	-0.000841	0.001954	0.004583
8	0.004255	-0.001005	0.006227	0.003597	0.001789	0.003104	0.002611	-0.003142	0.004419	0.007706
9	0.000967	0.001954	0.005076	0.000967	0.00672	0.005734	0.003104	0.002447	0.000967	0.010171
10	-0.004456	-0.003799	0.00409	0.002447	0.003104	0.004255	0.004748	-0.003963	0.005076	0.005734
11	-0.004456	-0.000183	0.002611	0.003104	0.001132	0.007049	0.005405	0.001132	0.005405	0.011815
12	-0.000676	0.00146	0.003433	0.001954	0.006884	0.00409	0.002447	0.00294	0.000803	0.001296
13	-1.9e-05	0.000474	0.003433	0.001789	-0.000512	0.005405	0.00409	-0.002813	-0.001005	0.004583
14	-1.9e-05	0.000146	0.001296	0.004748	0.000639	0.00294	0.003926	-0.003142	0.000639	0.006062
15	-0.001334	-0.001498	0.000803	-0.000676	0.004419	0.002775	0.005076	-0.001169	0.000474	-0.000841
16	-0.00232	-0.001334	-0.000512	0.00787	0.000639	0.000967	0.003104	0.001625	0.000639	-0.000676
17	0.000146	-0.000676	0.002447	-0.001005	-0.000841	-0.000841	0.006391	-0.002813	0.000967	0.006062
18	-0.002813	0.001132	0.000967	-0.001169	0.003104	0.001625	0.002282	-0.005936	0.004748	0.004419
19	-0.002813	-0.001169	0.002447	0.00146	0.003433	0.000803	0.001954	-0.003306	0.001296	0.007706
20	-0.001334	0.001132	-1.9e-05	0.001789	0.002282	0.002447	0.008692	-0.000512	-0.000512	0.004583
21	0.000803	-0.000676	0.004912	0.002447	0.000474	0.00031	0.001296	-0.001005	0.000803	0.009185
22	0.00146	0.000474	-1.9e-05	-0.000676	-0.000347	0.000967	0.00146	-0.000512	-0.001991	0.009185
23	0.001625	0.001954	0.001132	-0.000347	0.003104	0.001625	0.00935	0.000474	0.001132	0.013952
24	-0.000512	-1.9e-05	0.001132	-0.00232	-0.002977	0.003268	0.004255	0.003268	-0.001169	0.012801
25	-0.000512	0.000146	0.000146	-0.001169	-0.002648	0.000474	0.002775	-0.000347	-1.9e-05	0.010171
26	-0.001334	-0.000512	-0.002155	-0.00347	-0.001498	0.004748	0.003761	0.003268	0.002611	0.0105
27	0.000967	-1.9e-05	-0.002484	0.00031	0.001132	0.002118	0.00409	0.002447	-1.9e-05	0.010171
28	-1.9e-05	-1.9e-05	-0.001169	-0.001827	-0.001169	0.004583	0.005569	0.001625	0.000146	0.012308
29	0.001296	-1.9e-05	-0.002155	0.000803	0.001296	0.001625	0.003597	0.003268	0.003433	0.012144
30	-0.001005	0.000146	0.003104	-0.002977	0.001132	0.006391	-0.000676	0.000967	0.001625	-0.000183
31	-0.002484	0.000474	-0.000676	0.00031	-0.001169	0.002118	0.001954	-1.9e-05	-0.000183	-0.000183
