Ladekurvenmessung
Zeit: 2018_05_03 14.54.24
Info: SHC320, v = 0.614, T = 40, F = 20, h = 461.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	0.000474	0.002775	-0.003142	-0.003306	0.000803	0.00031	-1.9e-05
1	0.003268	0.006062	0.003761	-0.001334	0.005898	0.001789	0.004748
2	0.003926	0.003761	0.00146	0.000146	0.005734	0.000146	0.005241
3	0.002447	0.000639	-0.000512	0.00146	0.001789	0.006391	0.007706
4	0.001625	0.001625	-0.000347	-0.001827	0.001132	-0.001827	0.001954
5	0.003597	-0.000841	0.003268	0.002775	0.003926	0.007377	0.008528
6	-0.000841	-0.000183	0.002447	0.001954	0.000803	0.002118	0.000967
7	0.003433	-0.001498	0.002775	0.004583	0.004255	-0.000347	0.001789
8	-0.000347	0.004419	0.001789	0.00146	0.003104	0.003433	0.003597
9	0.005734	0.005898	0.003433	0.000146	0.004912	0.003597	0.006062
10	0.003268	-0.000512	0.004748	0.006391	0.001625	0.000639	0.000474
11	0.003597	0.006227	0.002775	-0.000347	0.006884	0.005076	0.001625
12	0.002611	0.00294	0.004748	0.003433	0.006227	0.002447	0.00409
13	0.003926	0.004748	0.00146	0.002775	0.008035	0.000474	-1.9e-05
14	0.00031	0.001789	0.001625	0.003433	0.003926	-0.000347	0.003597
15	0.002447	0.004912	0.002282	0.00146	0.005569	0.004255	0.003926
16	0.001789	0.001789	0.002611	0.001954	0.004583	-0.000183	0.005405
17	0.002611	0.006227	0.001625	0.000639	0.002611	0.001296	0.003268
18	0.002447	0.003433	0.003104	0.001789	0.002611	0.000967	0.005405
19	0.002118	0.004912	-0.000347	-0.000841	0.004912	0.004419	-0.000347
20	0.00294	0.000803	0.004255	0.001789	-0.001334	-1.9e-05	0.005569
21	0.003268	0.003433	0.003268	0.001625	0.005405	0.002611	0.002775
22	0.004583	-0.000183	-0.003635	-0.000347	0.00672	0.003268	0.006884
23	0.000639	0.004419	0.001954	-0.003799	0.003433	0.004419	0.00409
24	-0.00347	0.00031	0.002775	-0.001005	0.006062	0.004419	0.004748
25	-0.001334	0.003433	-0.002977	0.002118	0.005241	0.002282	0.002447
26	-0.000841	0.004583	0.000474	-0.002977	0.002447	0.005569	0.002447
27	-1.9e-05	0.00031	0.004255	0.000803	0.003104	-0.000347	0.004419
28	0.00031	0.005569	0.000639	0.000639	0.007377	0.003104	0.00031
29	-0.003799	0.00935	0.003597	0.001954	0.005734	0.000803	0.003268
30	0.004583	0.005569	0.00031	-0.000676	0.005734	-0.000183	-0.001005
31	0.004583	0.004255	0.004255	0.000803	0.005898	0.00146	0.002282
32	0.002775	0.005898	0.001954	0.000146	0.005076	0.005405	0.00146
33	0.003597	0.00294	0.004912	0.001625	0.005898	-0.000347	0.003104
34	0.000967	0.004419	0.000146	-0.000347	0.003926	0.002118	0.006884
35	0.004419	0.000967	0.008857	0.001625	0.003597	0.001296	0.00146
36	0.004748	0.001954	-0.004621	-0.000512	0.007377	0.003926	0.003268
37	0.007706	-0.000841	-0.001662	0.000639	0.002118	0.001296	0.002611
38	0.003926	0.00146	-0.001005	0.000967	0.004419	0.00409	0.003268
39	0.005734	0.000967	0.001132	0.003268	0.005898	-0.001662	0.002118
40	0.002775	-0.000676	0.001296	-0.001991	0.001625	-0.001991	0.003597
41	0.005569	-0.001498	-1.9e-05	-0.001334	0.002282	0.000639	0.000967
42	0.005405	0.002447	0.002118	0.00409	-0.005114	-0.000841	0.001132
43	0.005734	0.00409	0.005569	0.00031	0.001789	0.003433	0.001954
44	0.005241	-0.001334	0.00409	0.00294	0.003926	0.000967	-0.003963
45	0.007049	0.012637	0.002775	0.003926	0.002611	0.004583	0.001296
46	0.003761	0.00294	0.003268	0.001625	0.003926	0.002447	0.002447
47	0.004748	0.001296	0.004583	0.00146	0.006556	0.003104	-0.000512
48	0.005076	0.00146	0.002611	0.000967	0.003926	-0.001498	0.000474
49	0.005898	0.003761	0.001954	-0.001334	0.004255	0.001789	-0.002484
50	0.008692	0.002611	0.001789	0.002447	0.004748	-0.001005	0.004255
51	0.000803	0.003433	0.006556	0.000803	0.003761	-0.000183	-0.001827
52	0.005569	-0.003635	0.004748	0.001789	0.00294	-0.000512	0.000803
53	0.002447	0.001132	0.003433	0.002447	-0.000183	0.001789	-0.000512
54	0.005076	0.001625	0.002118	0.001954	0.002447	0.002611	0.002282
55	0.004748	0.002611	0.002447	-0.002155	0.001296	0.00409	-0.001169
56	0.005405	-0.00873	-0.000183	0.001625	0.002611	-0.001334	0.004419
57	0.002282	-0.004785	0.005241	-0.000183	-0.001991	-0.002484	-0.005278
58	0.005241	0.000146	0.002611	0.002282	0.002447	0.001625	0.001132
