Ladekurvenmessung
Zeit: 2018_05_04 09.03.03
Info: FVA3, v = 0.749, T = 23, F = 20, h = 374.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3
0	0.00031	-0.000347	-0.000347
1	0.000639	0.002118	-0.000512
2	0.00146	0.002611	-0.002155
3	0.002282	-0.001662	0.000146
4	-0.000512	-0.002484	-0.004456
5	0.000639	-0.002813	-0.001334
6	-1.9e-05	-0.00232	-0.001662
7	0.002447	-0.003963	-0.002155
8	-0.001005	-0.002648	-0.005443
9	0.001625	-0.004456	-0.001498
10	-0.001991	0.000967	-0.001005
11	0.002118	-0.001991	0.000146
12	-0.004785	-0.000841	-0.000841
13	-0.000512	0.00031	0.000474
14	-0.002484	-0.000183	-0.000841
15	-0.001827	0.000967	-0.001169
16	-0.001827	-1.9e-05	0.000474
17	0.001789	0.002611	-0.002977
18	0.000639	-0.002155	-0.001169
19	0.000967	-0.001991	-0.003799
20	-0.001498	-0.003963	-1.9e-05
21	-0.00232	-0.001334	-0.004128
22	0.000803	-0.002484	0.000803
23	-0.000512	0.000146	-0.002155
24	0.001132	-0.001827	-0.001334
25	-0.000183	-0.001005	-0.003142
26	0.000967	-0.00232	-1.9e-05
27	-0.000676	-0.000347	-0.002648
28	0.000474	-0.001005	-0.002813
29	-0.000676	-0.001498	0.000639
30	0.002118	-0.005278	-1.9e-05
31	0.00031	-0.003799	0.00031
32	0.002611	-0.002813	-0.003963
33	-0.000841	-0.000347	0.003268
34	0.000639	-0.001498	0.000639
35	0.002447	0.00031	0.000967
36	-0.001662	-1.9e-05	-0.001991
37	0.002118	-0.003306	0.001296
38	-0.000841	-0.001827	-0.001005
39	0.001296	-0.001991	-0.002977
40	-0.001005	-0.002155	-0.001005
41	0.00146	-0.000183	-0.000676
42	-0.000512	-0.002813	-0.003799
43	0.001625	-0.00347	-0.002484
44	-0.002977	-0.000347	-0.001662
45	-0.001334	-0.003306	-0.00232
46	-0.002484	-0.00347	-0.003799
47	-0.002155	-0.002155	-0.00232
48	-0.001662	-0.001827	-0.00232
49	-0.000841	-0.001662	-0.001827
50	-0.000183	0.00031	-0.001662
51	-0.001005	-0.00232	-0.000347
52	0.00146	-0.003306	-1.9e-05
53	-0.000183	-0.001991	-0.002484
54	0.000803	-0.003635	-0.001827
55	-0.00232	-0.002484	0.000639
56	0.00294	-0.003635	0.001296
57	-0.000512	-0.001334	-0.004456
58	-1.9e-05	-0.003306	-0.002813
59	0.000803	-0.003142	-0.003306
60	0.000146	-0.002813	-0.002155
61	-0.002484	0.000639	-0.00232
62	-0.002155	-0.004292	-0.001334
63	-0.001662	-0.003142	0.000803
64	-0.001169	-0.00232	-0.001334
65	-0.004128	-0.001662	-0.002484
66	-0.000183	-0.002484	0.001132
67	0.000803	-0.001169	-0.00232
68	-0.000183	0.002282	-0.003963
69	-0.001827	0.00146	-0.001334
70	0.000474	0.00031	-0.001991
71	-0.002155	-0.002484	-0.001169
72	-0.002155	0.00409	-0.003142
73	0.001789	-0.003963	-0.000347
74	0.00031	-0.000841	-0.001334
