Ladekurvenmessung
Zeit: 2018_05_04 09.52.45
Info: FVA3, v = 0.1, T = 23, F = 20, h = 10.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.000146	-1.9e-05	-0.000512	0.005734	0.001789
1	-1.9e-05	0.006227	-0.000347	0.002775	0.005405
2	-0.000512	0.002775	-0.000512	-0.001662	-0.000183
3	-0.000347	0.000803	-0.000183	-0.000183	0.002775
4	-0.000347	0.003597	0.000146	0.00294	0.002775
5	-0.000183	0.001132	0.000146	0.001789	0.003104
6	-0.000183	0.004748	0.00031	-0.000841	-0.000347
7	-1.9e-05	0.002118	0.00031	0.000803	0.006062
8	0.000474	0.005405	0.00031	0.002447	-0.001498
9	0.00031	0.000474	-0.000183	-0.001005	-0.001827
10	0.00031	-0.000183	-0.000183	-0.000841	0.000639
11	0.00031	-0.000183	-0.000676	-0.001991	-0.002484
12	-1.9e-05	-0.000676	-0.000347	0.000967	0.00031
13	-0.000183	0.000967	-0.000512	0.000639	-0.001005
14	-0.000183	0.001296	-0.000183	0.000474	-1.9e-05
15	-0.000512	-0.001005	0.000967	-0.001991	0.00031
16	-0.000512	-0.000841	0.000474	0.000146	0.000967
17	-0.000347	0.003926	0.000146	-0.001005	-0.000183
18	0.000146	0.001625	0.000474	-0.001334	0.009021
19	0.000146	0.002775	0.00031	-0.001498	-0.002648
20	0.00031	-0.000676	-1.9e-05	0.001625	0.000146
21	0.00031	0.003268	-0.000347	0.00031	-0.000347
22	0.000639	0.00146	-0.000183	-0.000347	0.002775
23	-1.9e-05	0.003104	-0.000347	0.00146	-0.000841
24	-0.000183	0.001954	-0.000347	-0.001827	-1.9e-05
25	-0.000183	0.005898	-1.9e-05	-0.002484	0.001954
26	-0.000347	0.000967	-1.9e-05	-0.001991	-0.001005
27	-0.000183	-0.000512	0.00031	0.001625	0.001789
28	-0.000183	-0.000676	-0.000347	-0.002484	-0.00347
29	0.00031	-0.001334	0.000474	0.000803	0.006556
30	0.000474	-0.001498	0.000803	0.003104	-0.003799
31	0.00031	-0.003799	0.00031	0.002611	0.00031
32	0.00031	-0.003306	-0.000183	-1.9e-05	-0.000512
33	0.000474	-0.001334	-0.000347	0.002611	0.000967
34	0.000146	0.003104	-0.000183	0.002447	-0.000183
35	-0.000512	0.001789	-0.000676	0.002118	-0.000183
36	-0.000347	0.002447	0.000146	-0.002977	0.002447
37	-0.000512	0.000474	-1.9e-05	-0.000676	0.001296
38	-0.000512	0.002447	-1.9e-05	0.000474	0.000967
39	-0.000347	-0.000841	0.000146	-0.003799	-0.000676
40	-1.9e-05	0.000639	0.00031	-0.000183	0.003268
41	0.00031	0.00146	0.000146	-0.000183	-0.004621
42	0.000474	-0.000183	-0.000183	-0.001334	-0.001498
43	0.000474	0.000146	-0.000512	-0.000347	-0.001991
44	0.000474	0.000474	-0.000183	0.003761	-0.002155
45	-1.9e-05	0.000146	0.001954	-1.9e-05	-0.003963
46	-0.000183	0.000474	-0.000183	0.001132	-0.001498
47	-0.000512	-1.9e-05	-0.000183	-0.000183	-0.000183
48	-0.000347	-0.000183	-1.9e-05	-0.000512	-0.000347
49	-0.000183	-0.000183	0.00031	-0.001005	0.002447
50	-0.000183	-0.000512	0.000146	-0.001005	-0.003799
51	0.00031	-0.000347	0.000146	-0.000512	-0.000676
52	0.00031	-0.000183	-1.9e-05	-0.001005	0.000146
53	0.00031	0.000146	-1.9e-05	-0.000676	0.001132
54	0.000639	0.000146	-0.001169	-0.000841	-0.003635
55	0.000474	0.00031	0.000967	0.004419	0.000474
56	-1.9e-05	0.000146	-0.000347	-0.002155	-0.000841
57	-0.000183	0.00031	-0.000347	0.002282	-0.003142
58	-0.000347	-1.9e-05	-1.9e-05	-0.001827	-1.9e-05
59	-0.000512	-0.000183	0.000146	-0.001991	0.00031
60	-0.000347	-0.000183	0.00031	-0.001498	-0.001169
61	-1.9e-05	-0.000512	0.00031	-0.000512	0.00031
62	0.00031	-0.000676	0.00031	-0.002155	-0.005114
63	0.000146	-0.000183	0.000146	0.001625	-0.001169
64	0.000146	0.000146	0.000474	0.00031	-0.00232
65	0.000474	0.00031	0.000146	0.000639	-0.000183
66	0.00031	0.00031	-0.000183	0.003433	-0.000183
67	-0.000183	0.00031	-0.000512	0.001296	0.002775
68	-0.000183	0.000474	-0.000347	0.000639	-1.9e-05
69	-0.000512	-1.9e-05	-1.9e-05	-0.001005	0.001789
70	-0.000512	-0.000183	-1.9e-05	0.000474	0.003761
71	-0.000512	-0.000347	0.00031	-0.001005	0.001132
72	-0.000512	-0.000347	0.000146	-1.9e-05	0.000967
73	0.00031	-0.000512	0.000146	-0.004292	-0.008894
74	0.00031	-0.000347	0.00031	0.001132	-0.001991
75	0.00031	0.000146	-0.000183	0.003268	-0.005936
76	0.000474	0.000146	-0.000347	-0.003635	-0.001991
77	0.000474	0.00031	-0.000512	0.00031	-0.000512
78	-1.9e-05	0.000146	-0.000512	0.000967	-0.000183
79	-0.000347	0.000474	-0.000512	-0.000512	-0.00347
80	-0.000512	-1.9e-05	-1.9e-05	0.002118	0.00031
81	-0.000512	-1.9e-05	-1.9e-05	0.001132	-0.001662
82	-0.000512	-0.000183	-0.000183	0.001296	0.001132
83	-0.000347	-0.000347	-1.9e-05	0.001132	-0.001827
84	-1.9e-05	-0.000512	0.000146	-0.001334	-0.009058
85	0.000146	-0.000183	0.00031	-0.000676	-0.000183
86	0.000474	-0.000183	-0.000183	-0.006922	0.000146
87	0.000146	0.00031	-0.000183	-0.001005	0.000474
88	0.000474	0.000474	-0.000183	0.001296	-0.000347
89	0.000146	0.00031	-0.000347	-0.001991	-0.001005
90	-0.000183	0.000474	0.000474	-0.004949	-0.004292
91	-0.000347	0.00031	-0.000512	-0.000841	0.003597
92	-0.000512	-1.9e-05	0.000146	0.002282	-0.000347
93	-0.000512	-0.000183	0.000146	-0.001334	-0.001334
94	-0.000183	-0.000512	0.00031	0.000803	0.000803
95	-0.000183	-0.000347	0.000474	0.001132	-0.009716
96	0.00031	-0.000183	0.000639	0.00031	-0.001991
97	0.000146	0.000146	-0.001005	0.002447	0.00146
98	0.00031	0.000146	0.001296	0.000474	-0.000841
99	0.000474	0.00031	-0.000512	-0.000347	0.000967
100	-1.9e-05	0.000474	-0.000676	0.001789	0.002775
101	-0.000183	0.000474	-0.000183	-0.000183	0.000803
102	-0.000183	0.000146	0.000146	0.000967	0.002611
103	-0.000347	-0.000183	0.000146	-0.000183	0.003761
104	-0.000512	-0.000347	0.000474	0.000803	0.000803
105	-0.000347	-0.000347	0.000474	-0.001169	-1.9e-05
106	0.000146	-0.000347	0.000639	0.00031	-0.006429
107	0.000146	-0.000347	0.000146	-1.9e-05	-0.003963
108	0.00031	0.00031	-1.9e-05	-0.002155	0.001954
