Ladekurvenmessung
Zeit: 2018_05_04 10.03.08
Info: FVA3, v = 0.747, T = 23, F = 20, h = 457.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	-0.000676	-0.001169	0.002118	-0.000512	0.00031	0.003597	0.002775
1	0.003597	-0.000512	0.000474	-0.002813	0.00294	0.003433	0.00409
2	0.001625	-0.000512	0.00294	-0.004621	0.002118	0.003926	0.002775
3	0.002611	0.001132	0.000967	-0.000183	-0.000183	0.003433	0.003433
4	-0.002648	-0.000841	0.002775	-0.013167	0.003268	0.005898	-0.000347
5	0.002775	0.000639	-0.000512	-0.000347	0.00031	0.002447	0.00146
6	-0.00347	-0.004128	-0.000347	-0.002155	0.000474	0.003926	0.003433
7	-0.001169	-0.002648	0.004748	0.00031	0.003926	0.00146	0.000803
8	0.002775	-0.001005	0.002282	0.00146	0.002447	0.00294	0.004419
9	0.001954	-0.002648	-0.001169	-0.001005	0.002118	0.004583	0.005241
10	0.000803	-0.005607	0.00146	0.003433	0.003597	0.000639	0.002611
11	0.000967	-0.001498	-0.002484	-0.000347	0.003104	0.002282	0.00294
12	0.000639	-0.001334	-0.00232	0.00031	-0.007086	0.00409	0.005241
13	-0.000347	-0.003635	-0.001662	-0.002155	0.000474	0.002447	0.002611
14	-0.001991	-0.002648	-0.001991	-0.000183	0.00294	0.003268	0.003433
15	0.000639	-0.001334	-0.000841	-0.010538	0.00146	0.002611	0.001789
16	0.00409	-0.000347	-0.003963	-0.006429	0.000474	0.000474	0.002611
17	-0.003142	-0.001991	-0.005936	-0.004456	0.003104	0.002775	0.000639
18	0.00031	-0.001662	-0.001827	-0.004621	-0.000347	-0.000183	0.00146
19	0.001954	-0.001662	-0.001498	-0.004949	0.001625	0.001625	-0.001005
20	-0.00232	-1.9e-05	-0.004456	-0.001334	-0.001827	-1.9e-05	-0.000512
21	-0.004128	-0.004456	0.001132	-0.000676	0.000967	0.002775	-0.000676
22	0.002775	-0.000183	-0.000676	-0.000676	0.001132	0.003268	0.002775
23	-0.001169	0.004255	-0.002813	-0.000512	-0.00988	0.005734	0.004419
24	-0.002648	0.000474	-0.003306	-0.001827	-0.002813	0.002447	0.000146
25	0.000474	-0.001334	0.003268	-0.000512	0.002447	0.003104	0.00031
26	0.003268	-0.000347	-0.001991	-0.00347	-0.000183	0.003104	0.001296
27	0.005076	-0.003799	0.000146	-0.001827	0.001625	0.000146	0.000803
28	-0.003142	-0.002155	-0.000676	-0.004292	0.001954	-0.00347	0.000639
29	-0.002484	-0.003799	-0.000183	-0.003306	0.003433	0.000803	-0.003635
30	-0.004128	-0.003306	-0.002155	-0.003799	0.001954	-0.000676	-0.001498
31	-0.001498	-0.002484	-0.001991	-0.006593	-1.9e-05	-0.000676	0.002282
32	-0.006429	-0.004621	-0.002155	-0.006429	0.00409	0.00146	0.00031
33	0.001132	-0.001169	-0.001498	-0.004949	-0.000183	-0.00347	0.003926
34	-0.002648	0.00031	-0.004292	-0.006922	-0.005936	0.001296	0.003761
35	0.000146	-0.001991	-0.002977	-0.006429	-0.001991	-0.000183	0.000474
36	-0.000512	-0.001498	-0.002155	-0.001991	0.000639	0.003597	-0.000347
37	-0.002648	-0.00232	-0.001498	0.00146	-0.001005	-0.001005	0.000639
38	-0.008072	-0.001334	0.003104	-0.003142	0.000639	0.004255	0.000146
39	-0.006922	-0.001334	-0.001662	-0.000676	-0.004785	0.000474	0.002118
40	-0.002977	-0.001005	0.000639	-0.001169	0.000146	0.000639	0.000639
41	-0.00347	-0.002813	-0.001169	-0.003142	-0.001005	0.001789	-0.003142
42	-0.003306	-0.003963	0.000146	-0.000183	-0.001334	-0.001991	0.000967
43	-0.001005	0.001954	0.000967	-0.002484	-0.000676	-0.000841	0.001132
44	0.005898	-0.000347	-0.000512	-0.001169	-0.003799	0.002118	0.000474
45	-0.001498	-0.001005	-0.000512	0.000967	-0.005443	0.000146	0.000474
46	-0.002813	-0.001662	-0.004292	-0.000841	-0.004621	-0.002484	0.00294
47	-0.001169	-0.002813	0.00294	-0.003963	0.000967	-0.001005	0.000803
48	-0.002648	-0.002813	-0.000841	-0.001498	0.000474	0.00294	0.004583
49	-0.014482	-0.004456	-0.000841	-0.005443	0.001132	0.000967	-0.000347
50	-0.00347	-0.004292	-0.000841	-0.004292	0.000639	-0.002155	0.008035
51	-0.001991	-0.004128	-1.9e-05	-0.003635	-0.000183	0.002118	-0.000347
52	-0.002648	-0.001498	0.00031	-0.00347	0.002118	-0.00232	-0.000183
53	-0.002484	-0.003963	-0.001005	0.000967	0.002447	-0.000676	0.00031
54	-0.001662	-0.004292	-0.002813	-0.002155	-0.000347	-0.000841	-0.000347
55	-0.002155	-0.002977	0.000803	-0.001169	0.003926	-0.000183	0.000639
56	-1.9e-05	0.000474	-0.00347	-0.000676	-0.004128	0.001789	0.00146
57	-0.00232	-0.006757	0.001296	0.001296	-0.002155	0.002447	0.000639
58	-0.003635	-0.001662	-0.000676	-0.00347	-0.001005	-0.000183	-0.002155
59	-0.004128	-0.001991	-1.9e-05	-0.001662	-0.001334	0.000967	0.001954
