Ladekurvenmessung
Zeit: 2018_05_04 11.34.17
Info: FVA3, v = 0.272, T = 80, F = 20, h = 97.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.000183	-0.000183	-0.000347	0.000146
1	-0.000183	-0.000183	-0.000183	-0.001169
2	-1.9e-05	-1.9e-05	-0.000183	-0.001334
3	-0.000347	-0.000347	-1.9e-05	-0.000841
4	-0.000183	-0.000347	-1.9e-05	-0.000512
5	-1.9e-05	-0.000676	-1.9e-05	-0.000512
6	-0.000347	-1.9e-05	-1.9e-05	-0.000183
7	-0.000183	-0.000347	-0.000183	-1.9e-05
8	-0.000183	-0.000183	-0.000183	-0.000183
9	-0.000183	-1.9e-05	-0.000347	-0.000183
10	-0.000183	-1.9e-05	-0.000183	-0.000183
11	-1.9e-05	-0.000347	-0.000347	-0.000347
12	-1.9e-05	-1.9e-05	-0.000347	-0.000183
13	-0.000183	-1.9e-05	-1.9e-05	-0.000512
14	-0.000183	-0.000347	-1.9e-05	-1.9e-05
15	-0.000183	-0.000183	-0.000347	-0.000183
16	-0.000183	-0.000512	-1.9e-05	-0.000183
17	-0.000347	-0.000183	-0.000183	0.000146
18	-0.000347	-0.000183	-0.000183	-1.9e-05
19	-1.9e-05	-1.9e-05	-0.000347	-0.000512
20	-1.9e-05	-0.000183	-0.000347	-1.9e-05
21	-1.9e-05	-0.000183	-0.000183	-0.000512
22	-1.9e-05	-1.9e-05	-0.000512	-0.001334
23	-1.9e-05	-0.000183	-0.000183	0.000146
24	-1.9e-05	-0.000347	-0.000183	-0.00347
25	-0.000183	-1.9e-05	-1.9e-05	-0.000347
26	-0.000347	-0.000512	-1.9e-05	-0.000183
27	-0.000347	-0.000347	0.000146	0.00031
28	-0.000347	-0.000512	-1.9e-05	-0.000183
29	-0.000347	-0.000183	-0.000183	0.000146
30	-0.000183	-0.000347	-0.000347	0.000146
31	-0.000347	-0.000183	-0.000512	0.000146
32	-0.000183	-0.000183	-0.000512	0.00031
33	-1.9e-05	0.000639	-0.000347	-0.000347
34	-1.9e-05	0.00031	-0.000347	-0.000183
35	-1.9e-05	-0.000183	-0.000183	-0.000347
36	-1.9e-05	-0.000183	-1.9e-05	-0.000512
37	-0.000347	-0.000183	-0.000183	-1.9e-05
38	-0.000183	-0.000183	-0.000183	0.000146
39	-1.9e-05	-0.000347	-0.000183	-0.000183
40	-0.000512	-0.000183	-1.9e-05	-1.9e-05
41	-1.9e-05	-0.000183	-0.000183	-0.000183
42	0.000146	-0.000347	-1.9e-05	-0.000183
43	-1.9e-05	-0.001169	-0.000347	-0.000347
44	0.000146	0.000803	-0.000512	-0.000347
45	-1.9e-05	-0.000347	-0.000347	-0.000347
46	-1.9e-05	0.000474	-0.000183	-0.000347
47	-1.9e-05	-0.000347	-1.9e-05	-0.000183
48	-0.000347	-1.9e-05	-1.9e-05	0.000146
49	-0.000347	0.000146	-0.000183	-1.9e-05
50	-0.000347	-0.00347	-0.000183	-0.000183
51	-1.9e-05	-0.001498	-1.9e-05	-0.000183
52	-1.9e-05	-0.00232	-0.000347	-0.000183
53	-1.9e-05	0.003104	-0.000347	-0.000512
54	0.00031	0.000146	-0.000347	-0.000512
55	0.000146	-0.000183	-0.000347	-0.000512
56	-1.9e-05	0.000803	-0.000183	-0.000512
57	0.000146	0.000146	-0.000183	-0.000347
58	-0.000183	-0.000183	-0.000183	-1.9e-05
59	-0.000347	-0.000347	-1.9e-05	-0.000183
60	-0.000347	-0.000183	-1.9e-05	-1.9e-05
61	-0.000347	-0.000347	0.000146	-1.9e-05
62	-0.000183	-0.000183	0.000146	-1.9e-05
63	-0.000183	-0.000183	-0.000183	-0.000183
64	-1.9e-05	-1.9e-05	-0.000347	-0.000512
65	-0.000183	-1.9e-05	-0.000347	-0.000347
66	-1.9e-05	-1.9e-05	-0.000347	-0.000347
67	-1.9e-05	0.002282	-0.000512	-0.000347
68	-1.9e-05	-0.000183	-0.000183	-0.000347
69	-0.000183	-0.000183	-1.9e-05	-0.000183
70	-0.000347	0.000639	-0.000183	-0.000183
71	-0.000347	-0.001334	-0.000183	-0.000183
72	-0.000183	-0.000347	-1.9e-05	-0.000183
73	-0.000183	-0.000347	-0.000183	-0.000183
74	-1.9e-05	-0.000183	-1.9e-05	-0.000183
75	-1.9e-05	-0.000183	-0.000676	-0.000512
76	0.000146	-1.9e-05	-1.9e-05	-0.000183
77	-1.9e-05	-1.9e-05	-0.000841	-0.000347
78	-1.9e-05	-1.9e-05	0.000146	-0.000512
79	-1.9e-05	-0.000183	-1.9e-05	-0.000347
80	-0.000512	-0.000183	0.000474	-1.9e-05
81	-0.000347	-0.000183	0.00031	-0.000183
82	-0.000347	-0.000347	-0.001498	-0.000183
83	-0.000183	0.00031	-0.000512	-1.9e-05
84	-0.000347	-0.000183	-0.000676	-0.000183
85	-0.000183	-0.000183	0.004748	-0.000347
86	-1.9e-05	-0.000183	0.000146	-0.000512
87	-1.9e-05	-1.9e-05	-0.000347	-0.000183
88	0.000146	-0.000183	0.000639	-0.000347
89	-1.9e-05	0.000146	0.000474	-0.000512
90	-1.9e-05	-1.9e-05	-0.002484	-0.000347
91	-0.000183	-0.000512	-0.001498	-0.000347
92	-0.000347	-0.000347	-0.001005	-0.000347
93	-0.000347	-0.000676	-0.000183	-1.9e-05
94	-0.000347	-0.001005	0.000967	-1.9e-05
95	-0.000512	-1.9e-05	-0.001169	-0.000183
96	-1.9e-05	-0.000347	0.000474	-0.000183
97	-0.000183	-0.000183	-0.000183	-0.000183
98	-1.9e-05	-0.000183	-0.000183	-0.000183
99	-1.9e-05	-0.000183	-0.000512	-0.000841
100	-0.000183	0.00146	-0.000347	-0.000347
101	-0.000183	0.00146	-0.000347	-0.000183
102	-1.9e-05	0.003104	0.000146	0.00031
103	-0.000183	0.001132	-0.000676	-0.001662
104	-0.000183	0.003597	0.000146	0.002447
105	-0.000183	-0.000183	0.000474	0.00031
106	-0.000183	0.002611	-0.002484	-1.9e-05
107	-0.000347	-0.001991	-0.000183	-1.9e-05
108	-1.9e-05	0.001625	-0.000347	-0.000183
109	-0.000183	-0.002484	-0.001498	-0.000347
110	-0.000183	-0.000841	0.00031	-0.000347
111	-0.000183	-1.9e-05	0.000146	-0.000512
112	-1.9e-05	-0.003306	-0.000676	-0.000183
113	-1.9e-05	-0.001005	-0.002813	-0.000347
114	-0.000183	-0.001498	-0.005936	-0.000183
115	-0.000347	-0.002484	-0.000512	-0.000183
116	-0.000347	-0.001991	-0.001827	0.000146
117	-0.000347	-0.000676	-0.001005	0.000639
118	-0.000183	0.000146	-1.9e-05	-0.000841
119	-1.9e-05	-0.001334	0.000639	0.000474
120	-0.000183	-0.000676	-0.000183	-0.001005
121	-1.9e-05	-0.00232	-0.000183	-0.000841
122	0.000146	0.001296	-0.002155	-0.000841
123	-1.9e-05	0.003433	-0.00232	-0.000676
124	-1.9e-05	0.000967	-0.001005	-0.000512
125	-0.000347	0.000474	-0.002813	-0.000183
126	-0.000183	-0.000512	-0.000512	0.000146
127	-0.000183	0.001132	-0.000347	-0.001334
128	-0.000183	-0.000512	-0.001662	-0.001005
129	-0.000347	0.000146	0.00031	0.000474
130	-0.000183	-1.9e-05	-0.001334	-0.000512
131	-0.000183	-1.9e-05	-0.000512	-0.001334
132	-0.000183	-0.000183	0.000639	-0.000183
133	-1.9e-05	-0.000183	-0.000512	0.000146
134	-0.000183	-0.000347	0.002447	-1.9e-05
135	-1.9e-05	-0.000183	-0.001498	-0.000347
136	-0.000183	-0.000347	-0.000347	-0.000183
137	-0.000183	-0.000183	-0.000183	0.000146
138	-0.000347	-1.9e-05	-0.000676	0.000146
139	-0.000183	-0.001005	-0.002813	-0.001991
140	-0.000183	-1.9e-05	0.001789	0.000146
141	-1.9e-05	0.003761	-0.001991	-0.000347
142	0.00031	0.00031	-0.000347	-0.000347
143	-1.9e-05	0.003104	0.001132	-0.000347
144	0.000146	0.00146	-0.001662	-0.000347
145	-1.9e-05	0.003268	-0.001005	-0.000347
146	-0.000183	-1.9e-05	-1.9e-05	-0.000347
147	-1.9e-05	0.000146	-0.000512	-0.000183
148	-0.000183	-1.9e-05	-0.000512	-1.9e-05
149	-0.000183	0.000803	0.000474	-0.000183
150	-0.000347	-0.000512	-0.000676	0.000803
151	-0.000183	-1.9e-05	-0.000512	-1.9e-05
152	-1.9e-05	-0.002813	-0.000512	-0.000347
153	-1.9e-05	-0.001498	-1.9e-05	-0.000183
154	-1.9e-05	-0.003635	-0.000841	-0.000512
155	-1.9e-05	-0.000183	0.001132	-0.000347
156	-0.000183	0.000967	-0.000512	-0.000183
157	-0.000183	-0.000841	0.000639	-0.000183
158	-0.000183	-0.000512	-0.001169	-0.000347
159	-0.000183	-1.9e-05	-0.001005	-1.9e-05
160	-0.000183	-0.001005	-0.000183	-0.000183
161	-0.000512	-0.000512	-1.9e-05	-1.9e-05
162	-0.000183	0.003104	-0.000512	-0.000183
163	0.000146	-0.001827	-0.000183	-0.000183
164	-1.9e-05	0.000967	-0.000183	-0.000676
165	-1.9e-05	0.000474	-0.000347	-0.000512
166	-0.000183	0.000146	0.005241	-0.000512
167	-1.9e-05	-0.003142	-0.001498	-0.000183
168	-0.000183	-0.002813	-1.9e-05	-0.000183
169	-1.9e-05	-0.007744	0.000474	-0.000347
170	-0.000183	-0.005114	0.000146	-0.000183
171	-0.000347	-0.002813	0.000146	-1.9e-05
172	-0.000512	-0.001662	-1.9e-05	-0.000183
173	-0.000183	-0.005607	-0.000512	-0.000183
174	-0.000183	-0.000676	-0.000183	-0.000183
175	-0.000183	-0.001334	-0.000512	-0.000512
176	-0.000183	-0.002484	-0.000676	-0.000347
177	0.000146	-0.002155	-0.001334	-0.000512
178	0.000146	-0.004949	0.000146	-0.000347
179	-0.000183	-0.003142	-0.000183	-0.000347
180	-0.000183	-0.002977	-0.000183	-1.9e-05
181	-0.000183	-0.00232	-1.9e-05	-0.000347
182	-0.000183	-0.003963	0.000639	-0.000183
183	-1.9e-05	0.000146	-0.000512	-0.000183
184	-0.000183	-0.004785	-0.001169	-0.000183
185	-0.000183	-0.001662	-0.000347	-0.000183
186	-1.9e-05	-0.004456	-0.000183	-0.000347
187	-0.000183	-0.006429	-0.000183	-0.000347
188	-1.9e-05	-0.003799	-0.001991	-0.000347
189	-1.9e-05	-0.003799	0.000146	-0.000347
190	-0.000183	-0.002648	-0.000512	-0.000183
191	-0.000183	0.000146	-0.000347	-0.000347
192	-0.000183	-0.000841	-0.000183	-0.000183
193	-0.000347	-0.001334	-1.9e-05	0.00031
194	-0.000183	0.000639	-0.000183	-0.000183
195	-0.000183	-0.003306	-0.000183	-0.000183
196	-0.000183	-0.000347	-0.000347	-0.000183
197	-1.9e-05	-0.003306	-0.000676	-0.000347
198	-1.9e-05	-0.000183	-1.9e-05	-0.000347
199	-1.9e-05	-0.001991	-0.001169	-0.000347
200	-0.000183	-0.001827	-0.000183	-0.000347
201	-0.000183	-0.002977	-1.9e-05	-0.000183
202	-0.000347	-0.00347	0.000146	-0.000183
203	-0.000347	-0.004128	-0.000347	-1.9e-05
204	-0.000347	-0.004128	-1.9e-05	-0.000347
205	-0.000512	-0.000841	-0.000183	-1.9e-05
206	-0.000183	-0.003635	-1.9e-05	-0.000183
207	-1.9e-05	-0.000841	-0.001334	-0.000183
208	-0.000183	-0.002648	-0.000841	-0.000347
209	-0.000183	-0.00232	-1.9e-05	-0.000512
210	-0.000183	-0.001991	-0.000347	-0.000347
211	-1.9e-05	-0.001334	-0.000183	-0.000512
212	-1.9e-05	-0.003306	-0.000512	-0.000183
213	-0.000183	-0.001498	-0.000347	-0.000183
214	-0.000347	-0.002648	-0.000183	-0.000183
215	-0.000347	-0.002977	-1.9e-05	-0.000183
216	-0.000183	-0.001827	-0.000183	-0.000183
217	-0.000183	-0.002648	-1.9e-05	-0.000183
218	-0.000183	-0.001827	-0.000347	-0.000183
219	-0.000183	-0.002155	-1.9e-05	-0.000183
220	-1.9e-05	-0.004128	-0.000183	-0.000347
221	-1.9e-05	-0.003142	-0.000512	-0.000512
222	-1.9e-05	-0.002155	-0.000183	-0.000347
223	-0.000183	0.001132	-0.000183	-0.000347
224	-0.000347	-0.003799	-0.000183	-0.000183
225	-0.000347	-0.002813	-0.000183	0.00031
226	-0.000347	-0.002648	-0.000183	-0.000183
227	-0.000347	-0.002155	-0.000183	-0.000347
228	-0.000183	-0.002813	-0.000183	-0.000676
229	-0.000183	-0.004456	-0.000183	-0.000183
230	-1.9e-05	-0.001662	-0.000183	0.000146
231	-1.9e-05	-0.004128	-0.000183	-0.000183
232	-1.9e-05	-0.003963	-0.000347	-0.000347
233	-1.9e-05	-0.002977	-0.000347	0.00031
234	-0.000183	-0.001662	-1.9e-05	-1.9e-05
235	-0.000347	-0.001498	-0.000347	-0.001005
236	-0.000347	0.001296	-1.9e-05	0.000803
237	-0.000183	-0.002813	-1.9e-05	-0.000512
238	-0.000347	0.001625	-0.000183	-0.000512
239	-1.9e-05	-0.001498	-1.9e-05	-0.000347
240	-0.000183	-0.002155	-0.000183	-0.001005
241	-1.9e-05	-0.001169	-0.000512	0.00031
242	-1.9e-05	-0.001169	-0.000183	-0.000841
243	-0.000183	0.000474	-0.000512	-0.001662
