Ladekurvenmessung
Zeit: 2018_05_04 11.34.29
Info: FVA3, v = 0.272, T = 80, F = 20, h = 97.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.002282	-0.000183	0.002447	0.003761	-1.9e-05	0.000146
1	0.003433	-0.000183	-0.001991	0.006062	0.000146	-0.000347
2	0.000146	-0.000183	0.001625	0.007213	-1.9e-05	-0.000347
3	-1.9e-05	-0.000512	-0.003963	0.005734	-0.000347	-0.000347
4	0.000967	-0.000183	-0.00232	0.00672	-0.000183	-1.9e-05
5	0.001296	-0.000512	-0.000841	0.005734	-0.000183	-0.000183
6	0.001625	-0.000347	0.000474	0.002775	-0.000183	-1.9e-05
7	0.000639	-1.9e-05	-0.003142	0.003597	-0.000183	-1.9e-05
8	-0.001005	-0.000183	-0.000183	0.003926	-0.000183	-1.9e-05
9	0.000146	-1.9e-05	0.00031	0.003926	-0.000183	-0.000183
10	0.00031	-0.000183	0.00031	0.003761	-0.000183	-0.000183
11	0.000639	-0.000183	0.000803	0.004419	-0.000183	-0.000347
12	-1.9e-05	-0.000183	-0.000512	0.006062	-0.000183	-0.000183
13	-0.000183	-0.000183	-0.001005	0.009514	-1.9e-05	-0.000183
14	-0.000183	-0.000347	-0.000183	0.004583	-0.000183	-0.000183
15	-0.000347	-0.000347	0.00031	0.010171	-1.9e-05	-0.000841
16	-0.000183	-0.000347	-0.000183	0.006227	-1.9e-05	0.00031
17	-0.000183	-0.000183	-0.000512	0.004748	-0.000183	-0.000512
18	-0.000183	-1.9e-05	0.001132	0.004912	-0.000347	-0.000183
19	-0.000183	-0.000183	-1.9e-05	0.00672	-0.000676	-1.9e-05
20	0.000146	-0.000183	-0.000841	0.005898	-0.000183	-1.9e-05
21	-1.9e-05	-1.9e-05	-0.000347	0.005734	-0.000183	-0.000183
22	-1.9e-05	-0.000347	-0.000183	0.005405	-0.000183	-1.9e-05
23	-1.9e-05	-1.9e-05	-0.001498	0.004583	0.000146	-0.001991
24	-0.000183	-0.000183	-0.000347	0.003926	-0.000183	-1.9e-05
25	0.000146	-0.000347	-1.9e-05	0.004748	-1.9e-05	-0.000183
26	-0.000183	-0.000183	-0.000347	0.004912	-0.000183	0.000146
27	-0.000183	-0.000347	-0.000676	0.004583	-0.000183	0.000146
28	-0.000183	-0.000183	-0.000183	0.00409	-0.000183	-0.000183
29	-0.000183	-0.000183	-0.001005	0.000474	-0.000347	-1.9e-05
30	-1.9e-05	-0.000183	-0.001334	0.004255	-0.000183	0.000146
31	-0.000183	-0.000183	-0.000512	0.002447	-0.000183	0.000146
32	-1.9e-05	-1.9e-05	0.000146	0.003433	-0.000183	-1.9e-05
33	-0.000183	-1.9e-05	-0.00232	0.00409	-0.000347	-0.000183
34	-0.000183	-0.000347	-0.000183	0.006391	0.000146	-0.000347
35	-1.9e-05	-0.000183	-0.000183	0.005405	-0.000183	-0.000347
36	-0.000512	-0.000183	0.000967	0.005569	-0.000183	-1.9e-05
37	0.000803	-0.000183	-0.001991	0.004255	-1.9e-05	-0.000183
38	-0.001991	-0.000183	-0.001005	0.003761	-0.000183	-0.000183
39	-0.000841	-0.000183	-0.002648	0.005898	-0.000347	-1.9e-05
40	-0.002155	-0.000183	-0.002813	0.004419	-0.000183	-0.000183
41	-0.000676	-1.9e-05	-0.003306	0.002447	-0.000183	-0.000183
42	0.002447	-0.000183	-0.002813	0.002447	-0.000347	0.000146
43	0.001625	-1.9e-05	-0.00347	0.003433	-0.000183	-1.9e-05
44	0.002282	-1.9e-05	-0.000676	0.004419	-1.9e-05	-0.000512
45	0.000474	-1.9e-05	0.000474	-0.001005	-1.9e-05	-0.000183
46	0.000474	-0.000347	-0.003306	0.00294	-1.9e-05	-0.000512
47	-0.001498	-0.000183	0.000803	0.002118	-1.9e-05	-0.000183
48	-0.000183	-0.000183	-0.003142	-0.000512	-0.000183	-0.000183
49	-0.000347	-0.000347	-0.001498	0.00294	-0.000347	-0.000183
50	0.001625	-0.000183	-0.002813	0.004255	-0.000347	-1.9e-05
51	-1.9e-05	-0.000183	-0.003306	0.002611	-0.000183	-0.000183
52	0.001296	-0.000183	-0.004949	0.00409	-0.000183	-0.000183
53	-0.001334	-1.9e-05	0.002447	0.005405	-0.000183	-0.000183
54	-0.000512	-1.9e-05	-0.002977	0.001296	-1.9e-05	-1.9e-05
55	0.000474	-1.9e-05	-0.003142	0.003597	-0.000183	-0.000347
56	-0.000512	-0.000183	-0.001169	0.003433	0.000146	-0.000347
57	-0.000183	-0.000183	-0.002484	0.00294	-1.9e-05	-0.000183
58	-0.000841	-0.000347	-0.001334	0.002775	-0.000183	-0.000347
59	0.001132	-0.000183	0.002282	0.002447	-1.9e-05	-0.000183
60	-1.9e-05	-0.000512	-0.003142	0.002447	-0.000183	-0.000183
61	-0.000183	-0.000183	-0.001991	0.006227	-0.000183	-0.000183
62	-1.9e-05	0.000146	0.004748	0.00146	-0.000183	0.000146
63	-0.000183	-0.000183	-0.002977	0.000146	-0.000347	-0.000183
64	0.000146	-1.9e-05	-0.001005	0.003433	-0.000183	-1.9e-05
65	0.000146	-0.000183	-0.002155	-0.000183	-1.9e-05	-1.9e-05
66	-1.9e-05	-0.000183	0.001954	-0.002155	-0.000183	-0.000183
67	-1.9e-05	-1.9e-05	-0.000512	0.001296	-0.000183	-0.000347
68	-0.000347	-0.000183	-0.00347	0.003268	-1.9e-05	-0.000512
69	-1.9e-05	-0.000183	-0.001662	0.00031	-1.9e-05	-0.000183
70	-0.001827	-0.000183	0.000803	0.002282	-1.9e-05	-0.000183
71	0.000146	-0.000347	-0.002155	0.003433	-0.000183	-0.000183
72	-0.001005	-0.000183	-0.000841	0.003104	-0.000183	-0.000183
73	0.00031	-0.000183	-0.000676	0.002447	-0.000512	0.000146
74	-0.001005	-1.9e-05	-0.001334	0.00294	-0.000183	-0.000183
75	0.000639	-0.000183	-0.001662	0.002118	-0.000347	-1.9e-05
76	-1.9e-05	-0.000183	0.002611	0.00031	-0.000183	-0.000183
77	0.000146	-1.9e-05	0.001625	0.002118	-1.9e-05	-0.000347
78	0.00031	-0.000183	0.000803	0.000803	-1.9e-05	-0.000183
79	0.00031	-0.000347	-0.001005	0.001954	0.000146	-0.000183
80	0.00031	-0.000183	-0.001662	-1.9e-05	-1.9e-05	-0.000347
81	-0.000676	-0.000347	-1.9e-05	0.002775	-0.000183	-0.000512
82	-0.000183	-0.000183	0.000146	-0.000512	-0.000183	-0.000183
83	0.00031	-0.000183	-0.000512	0.002447	-0.000347	-0.000183
84	-0.000183	-0.000183	-0.001169	0.002611	-0.000347	-1.9e-05
85	-0.000183	-0.000183	-0.000183	0.001789	-0.000183	-0.000183
86	0.00146	-0.000347	-0.000183	0.001789	-0.000183	-0.000183
87	-0.000512	-0.000183	0.000474	0.001789	-1.9e-05	-1.9e-05
88	0.000803	-0.000183	-0.000676	0.001789	-0.000183	-1.9e-05
89	-0.000676	-0.000183	-1.9e-05	0.000474	-1.9e-05	-0.000347
90	-0.000183	-0.000347	-0.000183	0.005569	-1.9e-05	-0.000183
91	-0.000347	-1.9e-05	-0.000841	0.00294	-1.9e-05	-0.000347
92	-0.000347	-0.000347	-0.000347	0.002118	-0.000183	-0.000512
93	-0.000183	-0.000347	-0.000183	0.001625	-0.000347	-0.000183
94	0.000474	-0.000512	-0.000512	0.00409	-0.000347	-1.9e-05
95	0.000474	-0.000183	-0.000676	0.001296	-0.000347	-1.9e-05
96	0.00031	-0.000183	-0.000512	0.001132	-0.000347	-0.000183
97	0.001625	-0.000183	-0.000183	0.001954	-0.000347	-1.9e-05
98	0.000803	-1.9e-05	0.000639	0.003268	-0.000183	-1.9e-05
99	0.001954	-0.000183	-0.001005	0.00031	-1.9e-05	-1.9e-05
100	0.00146	0.000146	-1.9e-05	0.000803	-1.9e-05	-0.000183
101	0.001132	-0.000347	-0.00232	0.005734	-1.9e-05	-0.000347
102	0.000639	-0.000183	0.001789	0.001296	-1.9e-05	-0.000347
