Ladekurvenmessung
Zeit: 2018_05_04 11.38.04
Info: FVA3, v = 1.47, T = 80, F = 20, h = 214.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	0.004419	-0.00347	0.003926	-0.007086	0.028744	0.001954	-0.00988	0.007213
1	0.002447	-0.001827	0.008692	-0.007579	0.028086	0.003104	-0.007415	0.012472
2	0.003104	-0.00232	0.005898	-0.005771	0.028415	0.003597	-0.007579	0.010336
3	0.001789	0.002118	0.004419	-0.004621	0.027265	0.00409	-0.007744	0.010993
4	0.00031	-0.000676	0.00787	-0.007744	0.027758	0.00294	-0.006757	0.010664
5	0.000474	-1.9e-05	0.004255	-0.007415	0.026278	0.005898	-0.007579	0.009678
6	-0.000676	0.000474	0.006556	-0.003799	0.025621	0.00409	-0.006593	0.012965
7	-0.001169	0.001132	0.004583	-0.006757	0.023484	-0.000676	-0.004949	0.010829
8	0.000474	0.002118	0.005241	-0.000676	0.022498	0.000639	-0.003799	0.013787
9	-0.000676	0.000474	0.003268	-0.008237	0.021348	-0.001334	-0.004292	0.014938
10	-1.9e-05	-0.001334	0.003761	-0.007415	0.018225	0.005734	-0.005278	0.014609
11	0.003926	0.000967	-0.000512	-0.005278	0.009185	-0.001498	-0.005936	0.014116
12	0.000639	0.002282	-1.9e-05	-0.005607	0.013623	0.000639	-0.002155	0.020526
13	0.002282	0.001132	-0.003142	-0.006757	0.01428	0.003761	-0.006593	-0.000512
14	-0.001334	-0.000841	0.003268	-0.005607	0.013623	-0.001827	-0.00347	0.002282
15	0.001132	-0.001662	0.004255	-0.004292	0.008857	0.00031	-0.006429	0.004583
16	-0.001169	0.002282	0.002118	-0.003635	0.008692	-0.001662	-0.006264	0.008199
