,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
0,2018_05_02_15_05_57_m001,1.02307E-10,9.688285E-11,9.784722E-11,9.542949E-11,9.857447E-11,FVA3,0.0404,40,20,58.8
1,2018_05_02_15_06_03_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.765989E-11,FVA3,0.0404,40,20,58.8
2,2018_05_02_15_10_14_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.0769,40,20,79.7
3,2018_05_02_15_10_22_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.924342E-11,FVA3,0.0769,40,20,79.7
4,2018_05_02_15_10_32_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.024392E-10,FVA3,0.0769,40,20,79.7
5,2018_05_02_15_10_41_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.762689E-11,FVA3,0.0769,40,20,79.7
6,2018_05_02_15_11_47_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.018849E-10,FVA3,0.1074,40,20,95.8
7,2018_05_02_15_11_57_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.1074,40,20,95.8
8,2018_05_02_15_12_05_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.577664E-11,FVA3,0.1074,40,20,95.8
9,2018_05_02_15_12_15_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.524623E-10,FVA3,0.1074,40,20,95.8
10,2018_05_02_15_12_22_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.34846E-10,FVA3,0.1074,40,20,95.8
11,2018_05_02_15_13_26_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.400936E-11,FVA3,0.151,40,20,123.8
12,2018_05_02_15_13_33_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.155075E-10,FVA3,0.151,40,20,123.8
13,2018_05_02_15_13_40_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.963703E-11,FVA3,0.151,40,20,123.8
14,2018_05_02_15_13_46_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.047023E-10,FVA3,0.151,40,20,123.8
15,2018_05_02_15_14_50_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.979345E-11,FVA3,0.2108,40,20,148.8
16,2018_05_02_15_14_56_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.836778E-11,FVA3,0.2108,40,20,148.8
17,2018_05_02_15_15_02_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.25975E-11,FVA3,0.2108,40,20,148.8
18,2018_05_02_15_15_07_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.943029E-11,FVA3,0.2108,40,20,148.8
19,2018_05_02_15_15_14_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.473276E-11,FVA3,0.2108,40,20,148.8
20,2018_05_02_15_18_38_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.957172E-11,FVA3,0.2937,40,20,189.5
