,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
0,2018_05_04_11_32_17_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.1,80.0,20.0,56.7
1,2018_05_04_11_32_24_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.1,80.0,20.0,56.7
2,2018_05_04_11_33_04_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.423798e-11,FVA3,0.1,80.0,20.0,56.7
3,2018_05_04_11_33_09_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.649618000000001e-11,FVA3,0.195,80.0,20.0,86.6
4,2018_05_04_11_33_20_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.195,80.0,20.0,86.6
5,2018_05_04_11_34_12_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.685064e-10,FVA3,0.272,80.0,20.0,97.8
6,2018_05_04_11_34_17_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.735118e-10,FVA3,0.272,80.0,20.0,97.8
7,2018_05_04_11_34_22_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.649234e-10,FVA3,0.272,80.0,20.0,97.8
8,2018_05_04_11_34_29_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.914635e-10,FVA3,0.272,80.0,20.0,97.8
9,2018_05_04_11_35_26_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.046117e-10,FVA3,0.534,80.0,20.0,137.4
10,2018_05_04_11_35_33_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.799137e-10,FVA3,0.534,80.0,20.0,137.4
11,2018_05_04_11_35_38_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.537337e-10,FVA3,0.534,80.0,20.0,137.4
12,2018_05_04_11_35_44_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.554074e-10,FVA3,0.534,80.0,20.0,137.4
13,2018_05_04_11_36_21_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.718715e-10,FVA3,0.748,80.0,20.0,160.9
14,2018_05_04_11_36_30_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.794222e-10,FVA3,0.748,80.0,20.0,160.9
15,2018_05_04_11_36_36_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.569091e-10,FVA3,0.748,80.0,20.0,160.9
16,2018_05_04_11_36_41_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.807305e-10,FVA3,0.748,80.0,20.0,160.9
17,2018_05_04_11_37_15_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.068231e-10,FVA3,1.05,80.0,20.0,188.5
18,2018_05_04_11_37_21_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.519411e-10,FVA3,1.05,80.0,20.0,188.5
19,2018_05_04_11_37_25_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.5869070000000001e-09,FVA3,1.05,80.0,20.0,188.5
20,2018_05_04_11_37_30_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.968078e-10,FVA3,1.05,80.0,20.0,188.5
21,2018_05_04_11_37_36_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.707232e-10,FVA3,1.05,80.0,20.0,188.5
22,2018_05_04_11_38_04_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.471917e-10,FVA3,1.47,80.0,20.0,214.9
23,2018_05_04_11_38_09_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.544871e-10,FVA3,1.47,80.0,20.0,214.9
24,2018_05_04_11_38_13_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.838896e-10,FVA3,1.47,80.0,20.0,214.9
25,2018_05_04_11_38_18_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.723293e-10,FVA3,1.47,80.0,20.0,214.9
26,2018_05_04_11_38_23_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.574842e-10,FVA3,1.47,80.0,20.0,214.9
27,2018_05_04_11_38_28_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.942816e-10,FVA3,1.47,80.0,20.0,214.9
28,2018_05_04_11_38_33_m009,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.603529e-10,FVA3,1.47,80.0,20.0,214.9
