Ladekurvenmessung
Zeit: 2018_05_02 15.13.40
Info: FVA3, v = 0.1510, T = 40, F = 20, h = 123.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.001028	-5.8e-05	0.001653	-0.000814	0.002311	0.001028
1	0.004713	-5.8e-05	0.003726	0.002838	0.005239	-0.000419
2	4.1e-05	-2.5e-05	0.003989	0.002311	0.005371	0.001324
3	0.001489	-0.000156	0.000502	-0.000222	0.006062	4.1e-05
4	-0.000222	-2.5e-05	0.002838	-0.002755	0.000502	-0.000683
5	0.000107	-2.5e-05	0.002212	0.000962	0.006555	0.000568
6	0.000699	0.000107	0.001982	0.001587	0.002311	-0.000321
7	0.004811	7.4e-05	0.000666	0.002969	0.003364	-2.5e-05
8	0.000304	0.000469	0.000666	0.002344	0.006555	0.000995
9	0.001785	0.000206	0.003726	0.000732	0.008365	-0.00088
10	0.000864	4.1e-05	0.00287	0.00218	0.005502	-0.000354
11	0.002048	-0.000123	0.000271	0.002541	0.005601	0.0006
12	0.000929	-5.8e-05	0.00014	0.002969	0.006062	-0.002459
13	0.00343	-9e-05	0.005897	0.000502	0.006621	0.001094
14	0.001061	-0.000123	0.00218	0.003101	0.00695	-0.00213
15	0.00218	-2.5e-05	0.004877	-0.001604	0.005831	0.000107
16	0.000995	8e-06	0.000271	-0.000123	0.005502	-0.000979
17	0.001752	7.4e-05	0.003397	0.001225	0.001851	0.000864
18	-0.000716	0.000107	0.002541	0.002114	0.004285	0.001686
19	0.002673	0.000107	0.00514	-0.00065	0.003232	0.001489
20	0.000831	0.000107	0.005272	-0.001374	0.004318	0.000436
21	-0.001374	-0.000255	0.008726	0.001291	0.003265	0.000962
22	-0.003512	-5.8e-05	0.002673	0.000798	0.006095	-0.002196
23	-0.004532	8e-06	0.002114	0.000469	0.004351	-0.00088
24	0.001061	0.000897	0.002541	0.000535	0.004647	0.000436
25	-0.000189	-0.003183	0.001752	0.002114	0.002147	0.000568
26	-0.000156	-0.001966	0.001851	0.000107	0.003956	-5.8e-05
27	0.000271	0.000239	0.000929	0.003002	0.007378	-0.000617
28	0.00139	-5.8e-05	0.002772	0.000765	0.005239	-0.000485
29	-0.000617	0.000403	-0.000617	-0.000584	0.007345	-0.002229
30	0.00241	4.1e-05	0.002377	0.000436	0.005667	0.001719
31	-0.001604	0.00014	0.001949	0.002015	0.002673	-0.000781
32	0.000271	4.1e-05	-0.002032	0.000995	0.004022	-0.001077
33	8e-06	-9e-05	-0.00088	0.002969	0.002278	-0.000518
34	-0.001637	-0.000123	0.002805	-0.000584	0.006193	0.000535
35	8e-06	-0.000123	0.001423	0.001653	0.003923	0.00116
36	0.000304	-5.8e-05	0.002805	0.001752	0.004154	7.4e-05
37	-0.000387	8e-06	0.000271	0.000337	0.005108	0.000962
38	-2.5e-05	0.000173	-0.000452	0.00616	0.004318	-0.001077
39	-0.000683	-0.000321	0.003068	0.002344	0.005009	-0.000748
40	0.000107	7.4e-05	0.002048	0.002015	0.002903	-0.003742
41	0.000206	8e-06	0.002706	0.000173	0.003463	0.002114
42	0.000304	-0.000551	-5.8e-05	0.003265	0.005798	-0.001867
43	0.000403	-0.000123	0.001357	-0.000847	0.003923	-0.001077
44	0.000239	7.4e-05	0.001061	0.00162	0.003134	0.000962
45	0.000206	-2.5e-05	0.001916	-0.001045	0.00774	0.001554
46	0.000206	-0.000123	0.000304	0.000436	0.004811	-0.003216
47	7.4e-05	-9e-05	0.000666	-0.000485	0.006917	-2.5e-05
48	-9e-05	8e-06	-0.001966	-0.00088	0.003528	-0.002821
49	4.1e-05	8e-06	-0.001406	0.000831	0.003134	-0.002163
50	-0.000321	7.4e-05	0.000929	0.002936	0.002706	-0.001768
51	-9e-05	0.000107	0.002147	-0.000913	0.003232	-0.002624
52	-0.000748	0.00014	0.001818	-0.003117	0.005535	-0.000814
53	0.000206	4.1e-05	0.000864	0.00139	0.003759	0.00162
54	-0.000222	8e-06	0.000535	-0.004861	0.004186	-0.000354
55	0.000403	-5.8e-05	-0.00088	-2.5e-05	-0.000979	-0.001472
56	-9e-05	-0.000123	0.001489	-9e-05	0.004318	0.001258
57	0.000469	-5.8e-05	-0.001472	0.000765	0.001522	-0.00315
58	0.000206	-5.8e-05	0.000206	0.000206	-0.002525	0.001851
59	0.000337	-0.000419	-0.000847	-0.001077	0.002081	-0.001801
60	-0.000255	-0.000716	0.00037	-0.00088	0.007509	0.000337
61	-0.000156	0.000271	0.001587	0.000107	-0.001308	-0.001768
62	0.000173	-9e-05	0.00343	-0.001374	0.003956	-0.002196
63	-0.000156	0.001554	0.00037	-0.006473	0.001587	-0.000123
64	0.00014	0.001225	0.000831	0.003463	0.00241	-0.0019
65	-5.8e-05	0.002278	-0.002722	-0.003973	0.002739	-0.004334
66	0.00014	0.000206	-0.002986	-0.003051	0.000699	-0.003315
67	-2.5e-05	8e-06	0.000403	0.00014	0.002772	-0.000255
68	0.00014	-0.000156	0.00014	0.000699	0.001949	-0.00236
69	-5.8e-05	8e-06	0.002838	-0.001472	0.00139	-0.000584
70	0.000107	-0.000189	0.003956	-0.000946	0.00162	0.000502
71	-5.8e-05	-0.000156	-0.004828	0.000173	0.004384	-0.001966
72	-0.000255	-9e-05	0.001225	0.002278	-0.001999	-0.001077
73	-0.000321	0.001982	0.002245	0.000633	0.002476	-0.000617
74	7.4e-05	8e-06	0.000107	0.001456	0.000304	-0.000354
75	-2.5e-05	-0.001933	0.002574	0.004252	0.003068	0.007279
76	0.000206	0.002245	0.000831	-5.8e-05	0.006062	0.001653
77	-0.000189	-5.8e-05	0.003167	0.000436	0.00116	0.002311
78	0.000107	-0.00088	0.000568	0.001785	0.00264	0.000502
79	0.000535	-0.000847	0.001028	0.002278	0.001719	-0.001703
80	-0.000156	-0.001637	-0.001374	0.001225	-0.0019	-0.002459
81	-2.5e-05	0.004121	0.001423	0.000271	-0.002295	-0.000979
82	-0.000123	0.003232	-0.000716	0.00139	-0.001045	-0.000288
83	-2.5e-05	0.003068	0.003002	0.001357	-0.001308	0.002541
84	-0.000156	0.004351	0.002805	0.001357	-0.000321	0.000304
85	-0.000255	0.007049	0.00037	0.000568	-0.001012	0.000403
86	-0.000189	0.005305	0.001423	-0.006275	0.000765	0.002048
87	-2.5e-05	0.005601	0.001225	0.001423	0.00116	0.00162
88	-0.000123	0.006785	0.002772	0.002443	0.000535	-0.000518
89	4.1e-05	0.005535	-0.000123	0.006029	0.00116	-0.006243
90	0.00014	0.003002	0.002607	-0.000387	0.006456	8e-06
91	-5.8e-05	0.003594	-0.00088	0.002443	0.000271	-0.003446
92	-9e-05	-0.001308	-0.000814	-0.000551	0.001094	0.000568
93	4.1e-05	-0.001834	-0.001143	0.001719	-0.000584	0.00116
94	-5.8e-05	-0.004696	0.000271	0.000469	0.000995	0.00162
95	-9e-05	0.00139	0.001357	0.00162	0.002278	-0.000419
96	0.000173	0.001258	0.002081	0.00014	0.003825	-0.000255
97	-0.000123	0.00264	-0.001209	-0.001012	0.003463	-0.000189
98	0.00014	0.003792	-0.001275	-0.001735	0.001949	0.000469
99	4.1e-05	0.006062	-0.000288	-0.001176	0.005404	-0.00848
100	0.000206	0.005766	-0.00111	-0.000321	0.004581	-0.005486
101	0.000239	0.004713	-0.000748	0.001258	0.003561	-0.002295
102	4.1e-05	0.005371	-0.001735	-0.000387	0.003759	-0.003282
103	-5.8e-05	0.004844	-0.000222	-0.004334	0.002509	-0.000452
104	8e-06	0.006983	-0.000354	-0.001209	0.003792	-0.001505
105	-0.000354	0.004548	-0.001077	-0.001077	0.002903	0.000304
106	-0.000189	0.007279	0.001028	0.002969	0.000239	-0.003216
107	-0.000452	0.008299	0.002081	0.000798	0.004318	0.000831
108	-2.5e-05	0.007772	0.000831	0.00218	0.001719	-0.000485
109	0.00014	0.005667	0.002805	-0.000419	-0.001735	0.001028
110	0.000206	0.008266	0.000732	-0.001077	-9e-05	-0.001275
111	0.000206	0.007312	0.001851	0.000897	0.002772	-0.001045
112	0.000107	0.007411	0.000206	-0.001966	0.002936	-0.00213
113	0.000206	0.006654	0.001423	-0.002689	0.00366	-2.5e-05
114	-0.000321	0.008003	-0.001012	0.000403	0.004351	-0.004071
115	0.000239	0.006456	-0.0019	0.00037	0.001094	-0.003051
116	-0.000288	0.009055	-0.00292	-0.001571	0.000831	-0.003216
117	-9e-05	0.011457	0.001258	0.001456	0.002805	-0.003742
118	-0.000485	0.008332	0.001291	0.00037	0.00287	-0.003282
119	7.4e-05	0.010404	0.001423	0.000403	0.000469	-0.003018
120	-0.000123	0.008496	0.001324	-0.00236	0.001916	-0.002032
121	7.4e-05	0.012312	0.003956	0.002607	0.002607	-0.001308
122	7.4e-05	0.007411	0.005075	-0.000452	0.002739	-0.001703
123	8e-06	0.011424	0.001554	0.003463	0.000206	-0.001505
124	0.000107	0.00843	0.004351	0.001949	0.003364	0.001127
125	-9e-05	0.011622	-0.000288	0.003101	0.002969	-0.0019
126	8e-06	0.007904	0.002245	0.003528	0.000633	-0.000748
127	-5.8e-05	0.008332	0.001357	0.000107	0.001489	0.00139
128	-2.5e-05	0.003594	0.003298	-0.00111	0.000304	-0.000913
129	0.000864	0.004088	0.002377	0.000666	0.000897	-0.002097
130	0.00014	0.006687	0.002311	0.000271	0.001883	-0.000222
131	-0.000123	0.004252	0.001554	0.004384	0.006785	-0.001308
132	0.000271	0.008101	0.002805	0.00162	0.006226	-0.001209
133	0.000337	0.007838	0.001883	-0.001834	0.005042	0.000304
134	-5.8e-05	0.008365	0.001225	0.00218	0.002607	-0.000288
135	8e-06	0.007345	0.00139	-0.00065	0.001785	-0.001604
136	0.000107	0.011391	0.001094	0.001587	-0.000123	-0.003545
137	-0.000551	0.008068	0.001785	4.1e-05	0.002739	0.002476
