Ladekurvenmessung
Zeit: 2018_05_02 15.27.16
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	0.004515	0.001258	0.008694	0.009417	-0.001472
1	0.004384	0.00116	0.010964	0.013267	-0.00338
2	0.003594	0.004186	0.011786	0.013267	-0.0044
3	0.000962	0.004417	0.01297	0.012214	-0.002393
4	0.004581	0.004318	0.009088	0.010799	-0.005848
5	0.004055	0.00366	0.014747	0.016195	-0.004302
6	0.005075	0.003002	0.009878	0.01399	-0.007723
7	0.000107	0.00139	0.010766	0.011523	-0.005782
8	0.007476	0.00116	0.011852	0.009055	-0.010848
9	0.003463	0.003693	0.011161	0.014122	-0.00723
10	0.004746	0.001357	0.010371	0.015833	-0.006078
11	0.006029	0.000897	0.009779	0.010832	-0.008184
12	0.00945	0.003397	0.009746	0.010766	-0.008578
13	0.008003	0.003496	0.014944	0.01172	-0.006604
14	0.006884	0.001554	0.010437	0.009023	-0.010223
15	0.006522	0.00389	0.011687	0.006917	-0.009467
16	0.007213	0.003594	0.011029	0.010503	-0.009434
17	0.00718	0.00468	0.009845	0.008068	-0.009532
18	0.005075	0.004713	0.009417	0.006884	-0.010026
19	0.010569	0.002048	0.010339	0.005502	-0.011605
20	0.009352	0.003134	0.011293	0.010174	-0.011309
21	0.006259	0.003792	0.010832	0.008332	-0.012592
22	0.0057	0.00287	0.008726	0.009187	-0.010421
23	0.008792	0.005897	0.01047	0.008365	-0.01348
24	0.007049	0.006489	0.009812	0.008167	-0.009532
25	0.007904	0.001489	0.008726	0.007707	-0.011013
26	0.008003	0.003528	0.008134	0.007279	-0.010355
27	0.006456	0.007114	0.009582	0.010042	-0.010651
28	0.007476	0.002706	0.0107	0.007213	-0.010256
