Ladekurvenmessung
Zeit: 2018_05_03 13.40.14
Info: FVA3, v = 0.139, T = 40, F = 20, h = 135.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	-0.000347	-0.000183	0.000146	-0.000183	0.000146	-0.000512	0.003433	-0.000183
1	-0.001662	-1.9e-05	-0.002155	0.000146	-1.9e-05	0.000146	0.005569	-0.000183
2	-0.000676	-1.9e-05	0.00031	0.000146	-1.9e-05	-0.000183	0.004748	-1.9e-05
3	-0.000183	-1.9e-05	-0.002484	-0.000183	0.000146	0.000474	0.003104	0.000146
4	-0.002155	-0.000183	-0.001827	-1.9e-05	-1.9e-05	-0.001169	0.007706	-1.9e-05
5	-0.000676	-1.9e-05	-0.000347	0.000146	-1.9e-05	0.000639	0.004583	-1.9e-05
6	-0.001005	-0.000183	-0.001169	-0.000183	-1.9e-05	-0.000512	0.004912	-0.000183
7	-0.000841	-1.9e-05	-1.9e-05	-1.9e-05	-0.000183	0.00031	0.004583	0.000146
8	-0.003799	-1.9e-05	-1.9e-05	0.000146	-0.000183	-0.000183	0.004748	-0.000183
9	-0.001498	-1.9e-05	0.000474	-1.9e-05	-0.000183	-0.001169	0.005076	-0.000183
10	-0.001991	0.000146	0.001625	0.000146	-1.9e-05	-0.000676	0.005076	-1.9e-05
11	-0.000183	-1.9e-05	0.001789	-1.9e-05	-0.000183	0.00031	0.005734	-1.9e-05
12	-0.001169	-0.000347	-0.002155	0.00031	-1.9e-05	0.001132	0.006062	0.00031
13	-0.000347	-0.000183	0.000639	-1.9e-05	0.000146	0.000639	0.005734	-1.9e-05
14	0.000967	-0.000183	0.000146	-1.9e-05	0.000146	0.000474	0.007542	0.000146
15	0.000474	-1.9e-05	0.000967	-1.9e-05	0.000146	0.002118	0.006062	-1.9e-05
16	-1.9e-05	0.000146	0.00031	0.000146	0.000146	-0.000512	0.006391	-0.000183
17	0.00146	-1.9e-05	-0.001991	-1.9e-05	0.000146	-0.000183	0.00031	-1.9e-05
18	-0.001005	-1.9e-05	-0.000183	0.000146	0.000146	0.00031	0.001132	-0.000183
19	0.000146	-0.000183	-0.002484	-1.9e-05	0.000146	-1.9e-05	0.003926	-1.9e-05
20	0.000639	-1.9e-05	-0.002648	-0.000183	-0.000183	0.00031	0.004583	-1.9e-05
21	0.00031	-1.9e-05	-0.002484	-1.9e-05	-0.000183	-0.000841	0.003926	-0.000347
22	0.00031	0.000146	-0.000841	0.000146	-1.9e-05	0.000967	0.005405	-1.9e-05
23	-0.001005	-1.9e-05	0.000474	0.00031	0.000146	-1.9e-05	0.00294	0.000146
24	-0.000183	0.000146	0.002282	-0.000183	-0.000183	0.000803	0.003597	-1.9e-05
25	-0.000183	-1.9e-05	0.000639	-1.9e-05	0.000146	-1.9e-05	0.003433	0.000146
26	0.00031	-1.9e-05	0.001625	-1.9e-05	-1.9e-05	-0.000841	0.004748	0.00031
27	-0.000183	-1.9e-05	-0.001169	-1.9e-05	-1.9e-05	-0.001334	0.004255	0.000146
28	0.000803	-0.000183	0.00146	-1.9e-05	-0.000183	-0.000347	0.00294	-1.9e-05
29	-0.000183	-0.000347	-0.000676	0.000146	-0.000347	0.00146	0.004419	-1.9e-05
30	-0.000512	-1.9e-05	-0.000347	0.000146	-1.9e-05	0.000967	0.003761	-0.000183
31	0.001296	-0.000183	-0.000841	-1.9e-05	-1.9e-05	0.000803	0.001954	-0.000183
32	-0.000183	-1.9e-05	0.000146	-1.9e-05	-0.000183	0.001296	0.00294	-1.9e-05
33	-0.001005	-1.9e-05	-0.001169	-1.9e-05	-0.000183	0.000967	0.00409	-0.000183
34	0.001296	0.000146	0.002282	0.000146	-0.000347	-0.000183	0.003597	-1.9e-05
35	0.000146	-0.000347	-0.001169	-1.9e-05	-1.9e-05	0.000967	0.005241	0.000146
36	0.001296	-1.9e-05	-0.000183	-0.000183	-1.9e-05	-0.000512	0.006391	-0.000183
37	0.000474	-1.9e-05	-0.001827	-0.000183	-1.9e-05	0.00031	0.004912	-1.9e-05
38	0.000474	-0.000183	-0.002648	-0.000183	0.000146	-1.9e-05	0.007213	0.000146
39	0.00031	0.000146	0.00294	-1.9e-05	-1.9e-05	0.000639	0.004419	-0.000183
40	-0.000183	-1.9e-05	-0.001498	-0.000183	0.000146	-1.9e-05	0.005734	-0.000183
41	-0.000841	-1.9e-05	0.00146	-1.9e-05	-1.9e-05	0.00031	0.005898	-1.9e-05
42	-0.000183	-1.9e-05	0.00031	-1.9e-05	-0.000183	-0.000183	0.004583	-1.9e-05
43	-0.000347	0.00031	-0.000183	-1.9e-05	-0.000183	0.000146	0.003926	-1.9e-05
