Ladekurvenmessung
Zeit: 2018_05_03 13.44.03
Info: FVA3, v = 0.381, T = 40, F = 20, h = 273.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11
0	0.002118	0.001625	0.000146	0.002611	0.022005	-0.001005	0.002611	-0.000347	0.002775	0.001789	0.009021
1	0.004748	-1.9e-05	-0.001005	0.002118	0.017567	0.001296	0.002775	0.005076	0.007706	0.004583	-1.9e-05
2	0.004419	-0.001991	-0.000347	0.002775	0.023484	0.003268	0.002118	0.001132	-0.001005	0.001625	0.000803
3	0.003926	0.000803	0.000967	0.002282	0.023813	0.00031	0.002611	0.003433	0.005898	0.006556	0.001789
4	0.002447	-0.001991	0.00146	0.002282	0.02447	0.000146	0.001789	0.003433	0.002118	0.004748	0.003597
5	0.001954	-1.9e-05	-0.000183	0.006062	0.024142	0.005241	0.002775	0.003433	0.005076	0.004419	0.001625
6	0.001296	0.002447	-1.9e-05	0.000639	0.023977	0.000146	0.006227	0.000639	0.002775	0.00294	0.002611
7	0.001132	0.000967	0.002118	0.003268	0.008363	0.002447	-0.000183	0.000803	0.004748	0.003926	-0.000841
8	0.000474	0.001954	0.000474	0.002775	0.002447	0.000146	0.005076	0.001625	0.000474	0.003597	-0.000676
9	0.000967	-0.000183	-0.000183	0.003433	0.004419	0.002611	0.004583	0.000639	0.004912	0.002118	-1.9e-05
10	-0.000347	-1.9e-05	0.002282	0.003104	0.00031	-0.001169	0.004583	0.002611	0.003433	0.003926	0.000146
11	0.001625	0.000474	0.001625	0.00409	-0.000183	-0.000183	0.005405	-0.001169	0.00294	0.001954	-0.000676
12	-0.002813	-0.000347	0.000967	0.002775	0.000803	-0.000841	0.003761	0.00146	0.003104	0.001296	-0.000347
13	0.001296	-0.000183	0.002118	0.004912	0.002775	-0.001334	0.003104	0.002447	0.003268	0.001789	0.000146
14	-0.000676	0.000146	0.002118	0.002611	0.001132	-0.001498	0.006391	0.000474	0.001954	0.004748	-0.000183
15	0.001954	-1.9e-05	0.000639	0.00409	0.004583	-0.002813	0.003597	0.001625	0.002118	0.001789	-1.9e-05
16	0.002611	0.000146	0.002775	0.002775	0.002611	-0.001005	0.003926	0.002447	0.003268	0.001625	0.00031
17	0.002447	-1.9e-05	0.00294	0.00409	0.002447	-0.00232	0.005241	0.000474	0.002118	0.001625	-1.9e-05
18	0.002118	-0.000841	0.002611	0.002447	0.00294	0.000967	0.002447	0.00146	0.002775	0.004419	0.000474
19	0.002611	-0.000183	0.001132	0.003926	0.002447	0.000474	0.001625	0.000474	0.001625	0.001625	0.000146
20	0.001954	-0.000347	0.00294	0.003268	0.000967	0.000474	0.00294	0.002611	0.001954	0.00294	0.000967
21	0.001132	-0.001169	0.00294	0.002118	0.001954	-0.001334	0.001625	0.000639	0.001789	0.00294	0.00409
22	-0.000512	0.000146	0.003433	0.002611	0.002611	-0.001169	0.001625	0.002611	0.001132	0.004419	-0.001005
23	-0.000512	0.000474	0.003268	0.003268	-0.000183	-0.000841	0.000639	0.004419	0.002118	0.003597	0.00031
24	0.002282	-0.001334	0.00294	0.00146	0.00294	-0.001334	0.004255	-0.000512	0.002282	0.002775	-0.001169
25	0.002118	0.000803	0.00294	0.00294	0.002775	-0.000841	0.003268	0.000474	0.001132	0.002775	0.000639
26	0.001954	-0.001498	0.002447	0.004748	0.003761	-0.001498	0.003761	-0.001005	0.003104	0.002282	0.000474
27	0.003433	0.001132	0.00031	0.003597	0.003761	-0.002648	0.002447	0.002611	0.002447	-0.001169	0.000803
28	0.001625	-0.000347	-0.000347	0.006062	0.001625	-0.001662	0.003761	-0.000347	0.001132	0.000803	-0.001334
29	-0.000841	0.001132	0.00146	0.002118	0.004255	-0.00232	0.005241	0.001132	0.001296	0.002282	0.002447
30	0.00031	-0.000676	-0.001991	0.006227	0.003597	-0.001662	0.000639	0.000146	0.000967	0.000639	0.00146
31	0.000803	0.001789	0.00146	0.002447	0.003268	-0.000676	0.005405	0.000146	0.000474	0.001789	0.004583
32	0.000803	-0.000183	-0.000347	0.00409	0.000967	-0.002977	0.001954	-0.000512	0.001296	0.002282	0.00146
33	-0.000512	0.000474	0.004255	0.00146	0.003597	-0.001169	0.00294	0.001132	0.00031	0.003926	0.000803
34	0.004748	0.000146	0.000474	0.001296	0.004419	-0.002155	-0.001169	0.002282	0.00294	0.000803	-0.000676
35	0.002447	-0.001827	0.002118	0.002282	0.000474	-0.001005	0.001625	0.001954	0.005241	0.003268	0.000803
36	-0.000183	-1.9e-05	0.000639	0.00146	-1.9e-05	-0.005278	0.002611	-0.000183	0.000474	0.002282	0.00146
37	0.002447	-0.000183	0.001296	0.003433	0.000639	-0.003306	0.003433	0.00294	0.001132	0.003268	0.003761
38	0.004912	0.000639	0.000474	0.001789	0.003104	-0.000841	0.001296	0.001789	-0.001169	0.003926	0.002118
39	0.001132	-0.001005	0.001625	0.005076	0.000146	-0.000676	0.003761	0.001296	0.001789	0.003433	0.002775
40	-0.000841	-0.001498	0.000474	0.002611	0.004419	-0.000183	-1.9e-05	0.000639	0.00031	0.002775	0.004419
41	0.001789	-0.000347	-1.9e-05	0.003761	0.004419	-0.001169	0.002118	0.000146	-0.000347	0.001132	0.000639
42	0.001132	-0.001005	0.001296	0.003104	0.003268	-0.001498	0.002611	-0.000347	-0.001334	0.000146	0.001789
43	0.001954	-0.001662	-0.000347	0.002282	0.003268	-0.002155	0.00294	0.003104	0.000803	0.002611	-0.001498
44	-0.000841	0.000474	-0.001498	0.00146	0.003597	-0.004785	0.002282	0.001296	-0.001827	0.001625	-1.9e-05
45	0.00409	-0.000347	-0.001827	0.005405	0.002611	-0.001827	0.001132	0.00146	0.00031	0.003104	-1.9e-05
46	0.000146	0.000803	0.000803	0.001296	0.003268	-0.003142	0.003761	0.001625	-0.000347	0.002611	0.00031
47	0.00294	-0.000183	-0.001991	0.002447	0.00409	-0.001991	0.002447	0.000146	-1.9e-05	0.002118	-0.000183
48	0.00146	0.001954	0.000146	0.005241	0.00409	-0.002977	0.002118	0.000803	0.000639	0.002775	-0.001005
49	0.002447	-1.9e-05	-0.000841	0.005076	0.00672	-0.002813	0.003597	0.002611	0.002447	-0.001169	-0.001169
50	0.000474	0.000146	-0.000841	0.002775	0.000474	-0.001005	0.005405	0.000474	0.000474	0.001954	-0.002648
51	0.003104	-0.001498	-0.000512	0.000639	0.008528	-0.001498	-0.001334	-0.000183	-0.000183	0.000474	0.001296
52	0.002447	0.000639	-0.001498	0.001954	0.005569	-0.001498	0.001625	0.002282	0.000474	0.00146	0.001625
53	0.002118	0.000474	0.000146	-0.000676	0.004583	-0.000512	-0.000512	0.000639	0.00031	0.000967	0.001132
54	-0.000512	-0.000841	0.001789	0.002447	0.007049	-0.002813	0.001954	0.001625	0.001296	0.00294	0.003104
55	-0.001334	-1.9e-05	-0.000676	0.000146	0.007213	-0.003142	0.001132	0.001296	-0.001169	0.002447	0.002447
56	0.002118	0.002775	0.001789	0.00146	0.005734	0.002447	0.001625	0.00031	0.002775	0.003268	0.001296
57	-0.002977	0.00146	0.000803	0.003926	0.002118	-0.003799	0.001625	0.000474	0.00031	0.002611	0.000803
58	-0.001169	-0.003142	0.00031	0.003104	0.003761	-0.000512	0.002118	0.001625	-0.000676	0.002775	-0.000183
59	-0.000183	-0.000183	0.001296	0.001625	0.003597	-0.002977	0.002611	-0.001169	-0.001005	0.000474	0.000146
60	-0.001005	-0.001662	-0.001334	0.003104	0.000639	-0.001991	0.000967	0.002611	0.000146	-0.000347	-0.000512
61	-0.00347	-0.000512	0.000803	0.000474	-0.002484	-0.003306	-0.004456	0.00031	-0.003635	-0.00232	0.002611
62	-0.00232	0.000146	0.003597	0.001789	0.00146	0.000639	0.004255	-0.000183	-0.001498	0.00146	0.00031
63	-0.000512	0.004912	-0.003799	0.002611	0.000967	-0.002813	0.000474	0.000146	-0.001991	0.002118	0.003104
64	0.00031	0.00146	0.000474	0.000967	0.001625	-0.001991	0.001296	-0.000841	-0.001334	-0.000841	0.002447
65	-0.002484	-0.000183	0.000803	0.00146	0.000639	-0.000347	0.003104	-0.000347	0.000803	0.004419	0.002447
66	-0.000347	0.001625	0.000967	-0.000183	0.004255	-0.002977	0.002118	-0.000512	-0.001005	-0.000183	0.000146
67	-0.001662	0.001954	0.00146	0.001132	-0.001662	-0.003635	0.000474	0.00146	0.001296	0.002282	0.002118
68	0.002282	0.001954	0.000639	0.001296	0.002447	-0.002484	0.001954	0.000639	0.00031	-0.000676	-0.001662
69	-0.001334	0.001132	0.000474	-0.000676	0.00031	-0.000676	0.00031	0.000967	0.001789	0.008363	-0.000183
70	0.000146	0.003433	-1.9e-05	0.001625	0.000639	-0.00347	0.001954	-0.000676	-0.000347	0.001789	-1.9e-05
71	0.000803	0.000474	0.000639	0.000967	0.000146	0.001296	0.001132	0.001789	0.002118	0.002282	0.000146
72	-0.001498	0.000146	0.000803	-0.000676	-0.000183	-0.001991	-0.002648	-1.9e-05	-0.000512	0.00146	-1.9e-05
73	-0.000841	0.000639	0.000803	0.002118	0.000639	-1.9e-05	-0.000512	0.001954	0.000803	0.005076	-1.9e-05
74	0.000146	-1.9e-05	0.001789	0.00146	0.002775	-0.001662	0.000639	0.001132	0.00031	0.002775	0.000146
75	0.000146	-0.000183	0.001132	-0.000512	0.00294	-0.000841	0.000639	0.000639	-0.001005	0.000967	-1.9e-05
76	-0.001005	0.001789	0.001132	-0.001334	0.003104	-0.001498	0.000967	0.000803	-0.000347	0.003761	0.000146
77	0.002775	0.000474	0.001296	-1.9e-05	0.004419	-0.000347	0.000639	-0.000183	-0.000512	0.003104	-0.000183
78	0.00031	0.000967	-1.9e-05	0.000639	0.001789	-0.002648	0.000474	-1.9e-05	-0.001005	0.002118	-1.9e-05
79	-0.000183	-0.003142	0.000803	0.001954	0.00409	-0.001334	0.003268	-0.001005	-0.000512	0.000967	-1.9e-05
80	-0.000183	0.001296	-1.9e-05	-0.001169	0.002611	-0.003306	0.001625	0.001296	-0.000183	0.001789	-0.000347
81	-0.000183	0.001789	-0.000347	0.001296	0.002611	-0.003142	0.001296	-0.000183	0.000639	0.001296	-0.000183
82	0.000967	0.000803	0.001625	0.002775	0.002118	-0.000841	0.002447	0.002447	0.001954	-1.9e-05	0.00031
83	-0.000512	0.00146	0.000474	0.001625	0.002611	-0.000841	-0.000347	-0.002155	0.000967	0.00146	-1.9e-05
84	-0.000347	0.002282	0.002775	-0.000183	0.003268	-0.000676	-0.000512	0.00146	-0.000512	0.002447	-1.9e-05
85	0.000803	0.002118	-0.001005	0.002282	0.003761	-0.002977	-1.9e-05	0.000967	-0.000183	0.002447	-1.9e-05
86	0.001954	-0.000841	0.002118	-0.000841	0.002447	0.000639	-0.000841	0.001789	0.002282	0.001296	-1.9e-05
87	0.000639	0.002118	0.000639	-0.001827	0.005076	-0.001169	0.003104	0.000474	-0.001334	0.004419	0.000146
88	0.00031	0.002611	0.000803	0.000474	0.005241	-0.001005	0.000474	0.000146	0.00031	0.004912	-1.9e-05
89	-1.9e-05	0.001132	0.001625	-0.000183	0.003104	-0.002648	0.000803	-0.000347	0.000639	0.001954	-1.9e-05
90	-0.001169	-0.00347	0.000967	0.002282	0.000803	-0.002484	0.000803	0.001789	0.002611	0.003268	-0.000183
91	-1.9e-05	-1.9e-05	0.000146	-0.001005	0.007213	-0.00232	0.002118	0.00146	0.001625	-0.002813	-0.000183
92	-0.000183	-1.9e-05	0.000474	0.002282	0.005241	-0.001827	0.001625	0.004255	0.00146	0.000146	-1.9e-05
93	-1.9e-05	-1.9e-05	-0.001991	0.00031	0.004748	-0.002977	0.001954	-0.000676	0.003597	0.00294	0.000146
94	0.000146	-0.002484	-0.001827	0.002775	0.003433	-0.001169	0.002611	-0.001169	-0.000183	0.002118	0.000146
95	-1.9e-05	-0.000347	-0.001498	0.002447	0.00146	-0.001498	0.001954	0.001132	-0.001169	0.002118	0.000474
96	-0.000183	-0.000347	-0.001169	0.004255	0.002282	-0.001498	0.00146	-0.001334	0.000474	0.002447	0.000474
97	0.00031	-0.000512	0.000639	0.00031	0.000639	-0.001169	0.002447	0.001625	0.00146	0.003104	0.00031
98	-0.000183	0.000146	-0.000512	0.003433	0.002447	-0.001334	-0.000512	-0.000512	0.001954	0.002282	-0.000676
99	-1.9e-05	0.001954	0.001296	0.004255	-0.000512	-0.001662	0.000639	-0.002484	0.00146	0.004255	-1.9e-05
100	0.00031	0.000474	-0.000676	0.00146	0.000803	-0.003142	-0.001498	0.001296	0.001789	0.001296	-0.000183
101	0.001132	0.001296	0.002118	-0.00232	0.00146	-0.001334	-0.000183	0.002118	0.003761	0.002447	-1.9e-05
