Ladekurvenmessung
Zeit: 2018_05_03 14.48.08
Info: SHC320, v = 0.172, T = 40, F = 20, h =235.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	0.000474	0.000146	0.00031	-0.001991	-0.002648	0.006391	-0.000676	-0.001005	-0.011195
1	0.000639	0.000146	-0.000183	-0.002155	-0.001334	0.003104	-0.000183	-0.000347	-0.006922
2	0.001625	-0.000347	-1.9e-05	-0.001827	-1.9e-05	-0.001005	0.00031	-0.000183	-0.001498
3	-0.000676	0.000639	-1.9e-05	-0.004456	0.000639	0.001789	-1.9e-05	0.002118	-0.004292
4	-0.00347	-0.000183	-1.9e-05	-0.000676	0.001625	0.002611	0.000474	0.000474	-0.000183
5	-0.001991	0.000146	-0.000183	0.00146	0.002611	0.004255	0.000146	0.000967	-0.002484
6	-0.001827	-0.000676	-0.000183	-0.000512	0.000146	0.004255	0.000146	-0.001827	0.002611
7	-0.001662	0.000639	-1.9e-05	-0.000183	-0.000183	0.001789	-1.9e-05	-0.001498	0.000967
8	0.002282	-0.000841	-1.9e-05	0.000639	-1.9e-05	0.003597	-1.9e-05	0.001132	-0.000841
9	-0.001498	-1.9e-05	0.000146	-0.001334	-0.001334	-0.000512	-0.000183	-0.000841	-1.9e-05
10	-0.001662	-0.000841	0.000146	-0.000183	-0.001334	-0.000841	-0.000183	0.00294	0.001296
11	-0.001662	-1.9e-05	0.000146	-0.003963	-0.003635	-0.000676	-0.000183	-0.001498	-0.001169
12	0.00031	-0.000512	0.000146	-0.002648	-0.001334	0.002447	-1.9e-05	0.003104	-0.000183
13	-0.003142	-0.001334	-1.9e-05	-0.003306	0.000803	0.003104	0.00031	-0.000183	0.000474
14	-0.004292	0.000146	0.000146	-0.001827	-0.001005	0.00146	0.000146	0.000639	-0.002484
15	0.000146	0.000146	-0.000183	-0.004949	0.000803	0.003104	0.000146	-0.000183	0.002118
16	0.000146	-0.000347	-0.000183	-0.00232	0.004419	0.002447	0.000146	0.000474	0.002118
17	0.000146	0.000146	-1.9e-05	-0.005443	-0.001498	0.00146	0.00031	0.002447	-0.001662
18	-0.002155	-1.9e-05	-1.9e-05	-0.002648	-0.000676	-0.000841	-1.9e-05	0.00146	-0.003635
19	-0.009223	0.000474	-1.9e-05	-0.004785	0.001625	0.000146	-0.000183	-0.000183	0.000967
20	-0.006593	0.000146	0.000146	-0.001662	-0.001498	-0.000183	-0.000183	-0.000347	0.00031
21	-0.005936	-0.000347	-1.9e-05	-0.002155	-0.000512	-0.000841	-0.000183	0.001789	-0.001991
22	-0.001662	-0.000183	0.000146	-0.001005	-0.003142	-0.001005	-0.000183	0.000967	-0.000347
23	-0.003142	-0.000347	0.00031	-0.004128	0.000146	-0.001334	-0.000183	-0.000183	-0.001827
24	-0.003799	0.000639	0.000146	-0.004621	0.000146	-0.00347	-1.9e-05	-0.001005	-0.000841
25	-0.006593	-0.000183	-0.000183	-0.002155	-0.000183	-0.001498	0.000146	-0.000676	-0.001334
26	-0.003142	0.000146	-1.9e-05	-0.002648	-0.001334	-0.003635	0.000146	-0.001991	-0.000347
27	-0.00232	0.000146	-0.000183	-0.00232	0.00146	-0.000512	-1.9e-05	0.000803	0.002118
28	-0.003142	0.00031	-1.9e-05	-0.004128	-0.005278	0.000146	-1.9e-05	-0.002155	-0.002813
29	-0.004456	-1.9e-05	-1.9e-05	-0.001005	-0.004621	-0.000183	-1.9e-05	0.00146	-0.000841
