Ladekurvenmessung
Zeit: 2018_05_03 14.55.48
Info: SHC320, v = 0.886, T = 40, F = 20, h = 530.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.004255	0.001132	-0.001498	0.003433	-0.000512	-0.000347	0.003104	0.001954	-0.002813	-1.9e-05
1	0.002775	0.007213	-0.000676	0.006884	0.003761	0.00031	0.000146	0.001296	0.002118	0.00294
2	0.001789	-0.001334	0.004912	0.003104	0.000803	-0.001334	0.003104	0.00294	0.000146	0.004583
3	-0.000347	0.00031	0.000146	0.002282	-0.001334	-0.000841	0.001954	-0.000347	0.001954	0.001954
4	0.007049	0.002611	0.003761	0.005076	0.00031	-0.000183	0.00294	-0.001662	0.000146	0.002775
5	0.001789	0.000474	0.005405	0.006391	0.002775	0.002118	0.002447	-0.000512	-0.001662	0.000803
6	0.00294	0.002447	0.004583	0.004255	0.004419	-1.9e-05	0.004912	-1.9e-05	-1.9e-05	0.005569
7	-0.003963	0.000146	0.002447	0.001789	0.004255	0.002611	0.008035	-0.001662	-0.002484	0.00146
8	-0.003142	0.001132	0.003104	0.003104	-0.004785	-0.001334	0.008035	-0.001662	0.00031	0.004583
9	-0.00347	-0.001169	0.001789	0.008692	0.003104	0.004255	0.004912	-0.006429	-0.000841	0.000803
10	0.001132	-0.000841	0.002282	0.004912	0.003597	-0.00232	0.007706	-0.001991	0.002611	-0.000183
11	-0.000512	0.001625	0.003104	0.004912	0.001296	0.002775	0.003926	-0.000512	0.000803	0.00294
12	0.00031	0.002282	-1.9e-05	0.004255	0.003761	0.005569	0.000639	-0.001005	0.003268	0.004419
13	0.002282	0.000803	-1.9e-05	0.003926	0.001132	0.001954	0.003433	-0.001827	0.00294	0.008692
14	0.000967	0.003268	0.00031	-0.003142	0.003926	0.001296	-0.000183	-0.002155	0.004912	0.003268
15	0.005076	0.003433	0.001954	0.002775	0.000474	0.001954	-0.00232	0.001789	0.005241	0.003597
16	0.003761	0.002775	0.003104	0.001625	0.003761	0.002775	0.002282	-0.002813	0.003268	0.002775
17	0.002775	0.003104	-0.001662	0.000967	0.001625	0.001296	0.006556	0.001954	0.000474	0.006227
18	0.003268	0.002611	-0.001662	-1.9e-05	0.004583	0.001789	-0.002648	-0.001662	0.000803	0.000967
19	0.000803	0.001296	0.005241	0.002118	0.006062	0.000639	0.002118	0.000803	0.001296	0.004912
20	-0.001498	0.006227	0.004419	-0.000347	0.002611	-0.000347	0.000639	0.001132	0.000803	-0.002155
21	0.006556	-0.001005	0.006556	0.001296	0.002447	0.002118	0.001954	0.00031	0.002282	0.004912
22	-0.001662	0.00146	0.002447	0.000146	0.003104	0.000803	0.003268	-0.001169	-1.9e-05	0.003104
23	0.00031	-0.000841	0.002611	-0.000183	0.00294	-0.002648	0.00146	0.000967	0.005734	0.004255
24	0.000639	0.001132	0.003268	-0.001334	0.004583	0.000803	0.001625	-0.001662	0.001789	-0.005771
25	0.00146	-0.00232	0.002447	-0.004128	0.002775	0.001625	0.002775	-0.001334	0.000967	-0.001991
26	0.003433	-0.000676	0.000639	0.001625	0.000146	0.005405	0.00409	-0.001991	0.000474	-0.001169
27	0.00672	0.00031	0.001625	0.000146	0.007213	-0.001169	0.002118	-0.000676	0.002118	0.002447
28	0.002611	0.003433	-0.003142	-1.9e-05	-0.001169	0.000803	0.006227	0.000146	0.002118	0.002611
29	0.003433	0.003104	0.003104	-0.003799	-0.001334	0.00031	0.004748	-0.001498	0.003597	0.003761
30	0.004748	0.005076	0.002775	-0.001169	-0.002977	0.009678	0.00146	0.000474	0.000967	0.005241
31	-0.001005	0.004583	0.004255	-0.001005	0.003597	-0.000676	0.00294	0.005734	0.007213	0.002118
32	0.005405	0.003597	0.00294	-0.001334	-1.9e-05	0.002775	0.005241	-0.000347	0.003268	0.007213
33	0.00146	0.004583	-1.9e-05	-0.004456	0.00409	0.001296	-0.001991	0.000803	0.002611	0.003433
34	0.003104	0.00294	0.003926	-0.000512	-0.000676	-0.000183	0.001789	0.003104	0.002282	0.005898
35	0.001625	0.003104	0.001132	-0.004292	0.003104	0.000803	0.002282	-0.001662	0.004912	0.002447
36	0.00146	0.00146	0.003761	-0.003963	0.00146	-0.000676	0.000639	0.006227	0.002775	-0.000183
37	0.002118	0.001625	0.00146	-0.001827	0.002118	0.005405	0.000639	0.000146	-1.9e-05	0.001132
38	0.00409	-0.000676	0.003926	0.000967	0.005405	0.001132	0.004255	0.000803	0.001789	0.002282
39	0.003433	0.00031	0.006884	-0.001498	0.000967	-0.003142	0.003761	-0.001169	-0.001662	0.001625
40	0.005241	-1.9e-05	0.002282	0.00146	0.004419	-0.000347	0.003268	0.003268	0.000474	0.005898
41	0.002611	0.007049	0.001132	0.002611	0.001296	0.005405	0.002118	-0.001169	-0.009058	0.003433
42	0.001789	0.002118	-0.001169	-0.001498	0.002611	0.001625	0.003268	-0.001498	0.000803	0.002775
43	0.002611	-0.000183	0.004912	-0.002484	0.004912	0.001789	0.00787	0.00294	-0.000183	0.001954
44	0.00294	0.001954	-0.001991	-0.00232	0.005241	0.00031	-0.000512	0.00031	-0.000512	0.003926
45	0.002447	0.001296	0.00146	0.000803	0.001132	-0.000512	0.005405	0.002282	0.000639	0.002118
46	0.002775	0.001132	-0.001827	-0.004128	0.002775	0.000474	0.001296	0.000474	0.000967	0.000474
47	0.003761	0.001625	0.002282	0.002282	-0.000183	0.003104	0.003433	-0.010373	0.00031	-0.000512
48	0.002611	0.001132	-0.000841	-0.002155	-0.001169	0.000146	-0.002813	-0.003142	-0.000512	-0.000841
49	0.00409	0.00146	-0.000183	-0.000347	0.000803	0.001625	0.002118	0.000146	0.000639	0.002282
50	0.00294	0.002775	-1.9e-05	-0.003963	0.000803	0.002775	0.001132	0.000803	0.000803	-0.000676
51	0.003104	0.003433	0.00294	0.002775	0.002611	-0.001498	0.000639	0.000146	-0.001991	0.003433
52	0.00409	-0.000512	0.000474	0.006391	-0.000347	-0.001991	0.001132	-0.000512	-0.005114	-0.001827
53	0.003104	-0.001827	0.003761	-0.001498	-0.003306	-0.004949	0.001954	0.002282	0.00146	0.00146
54	0.00031	0.004419	-0.009716	0.002611	0.00031	-1.9e-05	-0.003142	-0.003635	-0.004621	0.001132
55	0.003104	-0.000183	0.002447	-0.001169	-0.001662	-0.004456	0.003433	0.001954	-0.003306	0.001625
56	-1.9e-05	0.002118	0.004748	0.002611	-1.9e-05	-0.002484	0.002447	-0.001005	-0.004621	0.00031
57	-0.001169	-0.002648	-0.000676	-0.001005	0.002447	-0.000841	0.005734	0.000146	-0.000841	0.003104
58	0.005569	0.003104	0.001132	0.003104	0.000639	0.001954	0.003761	-0.004456	-0.00347	0.000967
59	0.004255	-0.001662	0.003433	0.001789	-0.000841	-0.003142	-0.001005	-0.003306	-0.008565	-1.9e-05
60	0.003268	0.000803	0.00031	0.003104	0.001789	-0.001169	0.002447	-1.9e-05	-0.002484	-0.002813
61	0.001132	0.003433	0.00031	-0.001991	0.001625	0.001132	0.000639	-0.00232	-0.001169	0.003104
62	-0.000512	0.002611	0.002611	0.002611	0.000146	-0.000183	0.00409	0.000803	-0.002813	0.000639
63	0.000146	0.00146	0.000803	-0.002813	0.001954	-0.003306	0.000639	0.000967	0.000639	0.00294
64	0.002775	0.002118	0.000803	0.00146	0.002775	-0.001005	0.003268	0.003433	-0.002977	0.00146
65	0.00294	0.003761	-0.001991	0.002775	0.00146	-0.000512	-0.001662	-1.9e-05	0.002118	0.002282
66	0.003597	-0.001005	0.002282	0.001954	0.000967	-0.003306	-0.001169	0.003597	0.001625	0.002447
67	0.002611	0.002447	-0.000676	0.001132	0.001296	0.008035	-0.002977	0.000967	-1.9e-05	0.00146
68	0.003268	0.000967	-0.001169	-0.001662	-1.9e-05	-0.000512	-0.000512	0.001954	0.00146	0.003926
69	0.000803	0.003597	0.000146	0.001954	0.005734	0.002775	0.000803	-0.000512	0.001296	0.000803
70	0.005241	0.000639	0.002118	-0.000676	0.00146	-0.00232	-0.000183	0.002447	0.000474	0.000146
71	0.002775	0.002282	0.000803	0.000474	-1.9e-05	0.001954	0.00146	-0.002155	0.00031	-0.001005
72	-0.000183	0.003761	0.004748	0.000474	0.002282	-0.001005	0.002118	0.002282	-0.000676	0.002775
73	-0.000512	-0.001662	0.004912	-0.000347	0.00031	0.002118	0.003104	-0.002977	-0.000183	-0.001334
74	0.000474	-0.00232	0.002118	-0.001498	0.000967	-0.000841	0.003268	-0.001005	-0.000183	-0.000676
75	-0.000347	0.002282	0.004912	0.003268	0.000146	0.000967	0.003433	-0.00232	-0.002813	-0.005936
76	-1.9e-05	-0.002155	0.004748	-0.000841	-0.000676	-0.00232	0.004583	-0.002648	0.000803	-0.001827
77	0.00294	-0.002484	-0.001827	0.003104	-0.000841	0.000146	0.005241	0.000639	-0.00347	-0.002813
78	0.002775	-0.001169	0.002282	0.001954	-0.000676	-0.001498	0.003104	-0.002484	0.000146	-0.000676
79	0.003104	0.000146	0.00146	-0.001662	-0.002648	0.002118	0.002447	-0.000841	0.001789	0.001625
80	0.002775	0.00146	0.00031	-0.001991	0.005076	0.001625	0.000146	-0.002155	0.004748	0.001296
81	0.004748	0.000967	0.002775	0.000146	0.001625	0.001625	0.001954	0.00146	0.001296	0.001132
82	0.002447	0.001789	-0.001334	-0.00232	0.00146	0.007049	0.001625	-0.001169	0.003268	-0.000183
83	0.00672	0.000803	0.003268	-0.00347	0.003104	0.005569	0.000146	0.00031	0.003761	0.001789
84	0.00146	0.002282	0.001132	-0.005114	0.003761	0.005898	0.00031	-0.001334	-0.000183	0.001789
85	0.007049	-0.001827	0.002611	0.001954	-0.001005	0.002118	0.001954	0.000803	0.000967	-0.000512
86	-0.000347	0.004419	0.005734	-0.000512	0.002447	0.001132	-1.9e-05	-0.002813	-0.002813	-0.003142
87	0.003597	-0.002813	0.005898	-0.000841	-0.000347	-0.000347	0.00031	0.002447	-0.001334	0.002611
88	0.000474	0.001954	0.004419	-0.000512	-1.9e-05	-0.001005	0.002447	0.002775	-1.9e-05	0.00294
89	0.002118	0.004583	0.000639	-0.000676	-0.001169	0.000967	-0.000183	-0.002484	0.002282	0.001296
90	-0.002648	-0.000347	-1.9e-05	-0.000841	0.000967	-0.000676	0.003926	0.001132	-0.001991	0.000146
91	0.000639	-0.001498	0.00146	0.000146	-0.001334	-0.000512	0.001132	-0.000676	0.00146	0.003104
92	0.002775	0.00146	0.002118	0.005076	-0.004621	0.00146	0.002447	0.002447	-0.000841	-0.001827
93	0.000803	-0.002484	0.006062	-0.004785	0.002775	0.000146	0.001789	-0.003963	0.002447	0.000474
94	0.002447	0.002118	0.00409	0.000474	0.00146	0.000639	0.001132	0.000146	0.000146	0.00031
95	0.002118	0.000803	0.000803	-0.001005	0.000639	0.003104	0.00146	-0.002648	0.002447	-0.000676
96	0.00294	-0.001005	0.002447	0.002282	0.002118	0.001954	0.009021	-0.001991	-0.001498	-0.000347
97	0.002447	0.002118	-0.001169	0.001789	0.004748	0.00409	0.002447	-0.00232	0.000967	-0.000676
98	0.003926	0.000146	0.001296	-1.9e-05	-0.000676	0.000967	0.002118	-0.001498	0.002282	0.002611
99	0.002282	-1.9e-05	0.00294	0.000146	0.001296	0.001132	0.002447	-0.001498	0.002447	0.000803
100	0.004748	-0.005114	0.000474	0.004583	0.000474	0.00409	-0.000347	0.000967	0.003104	-0.000841
101	0.00146	0.001789	-0.000347	-0.001169	0.000639	0.006556	-0.003635	-0.001827	0.001625	-0.001827
102	0.004419	-0.001827	0.001296	-0.000841	-0.003142	0.000803	0.001132	0.002118	0.00146	0.000639
103	0.003597	-0.001334	0.002118	0.002611	-0.002155	-0.001005	0.000146	-0.000676	0.001132	-0.001169
104	0.003761	0.00146	0.004912	-0.002648	-0.001662	0.001625	-0.001662	0.000639	0.003761	0.004255
105	0.001789	0.002118	0.000803	0.00146	-1.9e-05	-0.001169	0.001132	0.000474	-0.001662	0.000803
106	0.002447	-0.001662	0.004255	-0.001498	-0.002977	0.000474	-0.002484	-0.001498	-0.002484	0.001625
107	0.000639	-1.9e-05	0.00294	0.00787	-0.001334	-0.000347	0.003926	-0.000676	-0.00347	0.00031
108	-0.000183	-0.000841	0.000146	0.005734	0.004583	0.000146	0.003761	0.000146	0.003104	0.000967
109	-0.000347	-0.000183	0.003268	0.000474	-0.001662	0.000639	0.000146	-0.001169	-0.003799	-0.002977
