Ladekurvenmessung
Zeit: 2018_05_04 09.04.44
Info: FVA3, v = 1.05, T = 23, F = 20, h = 518.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.001662	-0.00347	-0.001498	0.000146
1	0.000803	-0.001334	0.000146	-0.002813
2	0.000146	-0.002484	0.00031	0.00146
3	0.005076	-0.003799	-0.000183	0.000803
4	0.003268	0.002775	0.000146	-0.002977
5	0.001954	-0.003306	-0.001498	-0.001662
6	0.001625	-0.000512	0.002118	-0.000512
7	0.00294	-0.002813	-0.002648	-0.002155
8	-0.000676	-0.001662	-1.9e-05	0.000146
9	-0.000183	-0.005771	-0.001991	-0.002155
10	0.001625	0.001132	0.004748	-0.001991
11	0.001132	-0.003142	-0.001334	-0.001169
12	0.001789	-0.001827	-0.001334	-0.00232
13	-0.000676	-0.000347	-0.001662	-0.002484
14	-0.002155	0.000474	0.002447	-0.001827
15	0.002611	0.001954	0.001954	-0.003963
16	0.002118	0.000967	0.003433	-0.001169
17	0.001132	0.000474	0.000474	-0.00232
18	0.005569	-1.9e-05	0.000639	-0.003306
19	-1.9e-05	0.000639	0.001789	-0.001498
20	0.002611	-0.003306	-0.001169	-0.001662
21	-0.001334	-0.000183	0.002775	-0.004949
22	0.002447	-0.002648	-0.000676	-0.003142
23	0.00146	-0.000347	0.003761	-0.005114
24	0.001132	-0.002484	0.001296	-0.0061
25	0.000803	-0.002155	0.002775	-0.004949
26	-0.001005	-0.002484	-0.004949	-0.004128
27	-1.9e-05	-0.001827	0.004255	-0.004785
28	0.000146	-0.00347	0.001789	-0.003963
29	0.001132	-0.004949	0.001132	-0.00347
30	0.000967	-0.003306	-0.000841	-0.001334
31	0.001296	-0.002977	-0.001334	-0.003635
32	-0.000841	-0.002648	0.00294	-0.001662
33	0.004912	-0.002813	0.004583	-0.000183
34	-0.00347	-0.001334	0.00031	-0.001662
35	-0.001827	-0.002155	-0.000347	-0.00347
36	-0.000183	-0.002155	0.002447	-0.00232
37	0.001132	-0.002813	-0.001169	-0.005114
38	-0.000183	0.001296	0.003926	-0.005114
39	0.002447	-0.004456	0.000639	-0.003306
40	0.000146	-0.004128	-0.000841	-0.004128
41	-0.000347	-0.000841	0.000803	-0.003142
42	0.000803	-0.002648	-0.000512	-0.003306
43	-0.001169	-0.004949	-0.001662	-0.003963
44	0.000639	-0.00232	-0.002648	-0.001334
45	0.00146	-0.005278	-0.001991	-0.000512
46	0.000146	-0.003799	0.000803	-0.003306
47	-0.002648	-0.003142	-0.001662	0.000146
48	-0.001334	-0.001991	-0.002648	-0.005936
49	-0.000183	-0.006429	0.000967	-0.004456
50	0.000146	-0.003799	0.00031	-0.00347
51	-0.001005	-0.002813	0.000967	-0.001005
52	0.002447	-0.001991	-0.000183	-0.004128
53	0.002775	-0.0061	0.002282	-0.002648
54	0.001789	-0.005278	0.000967	-0.004949
55	0.00294	-0.004128	0.000146	-0.002813
56	0.001954	-0.002155	-0.001169	-0.00347
57	0.000967	-0.002648	-0.000347	-0.003306
58	0.001296	-0.003306	-0.001169	-0.00347
59	0.000146	-0.000183	-0.000841	-0.005443
60	-0.000183	-0.002977	-0.002977	-0.002484
61	0.001789	-0.00232	-0.001334	-0.002155
62	0.005241	-0.004621	-0.001498	-0.000512
63	0.006556	-0.004785	-0.001334	-0.001498
64	-0.005114	-0.001827	-0.003799	0.000474
65	-0.001498	-0.004292	-0.004785	-0.005278
66	0.001132	-0.000841	-0.000347	-0.000347
67	0.002282	-0.001991	-0.003963	-0.002484
68	-1.9e-05	-0.002813	-0.002484	-0.000841
69	0.003104	-0.003306	-0.002648	-0.001827
70	0.001132	-0.000841	-0.001991	-0.001169
71	0.002282	-0.002484	-0.003142	-0.001334
72	0.002447	-0.001334	0.00031	0.001296
73	0.001132	-0.002813	-0.004949	-0.003142
74	0.002447	-0.002484	-0.001334	-0.005114
75	-0.000347	-0.00347	-0.000347	0.002775
76	-0.000183	-0.002648	0.000146	0.002118
77	0.003268	-0.002484	-0.00347	0.002282
78	0.003433	-0.003306	-0.001991	0.003268
79	-0.002813	-0.0061	-0.005771	0.004748
80	0.002611	-0.006429	-0.0061	0.004419
81	0.000803	-0.002813	-0.003799	0.004255
82	-0.001169	-0.003306	-0.010866	0.006227
83	-0.005278	-0.001662	0.001625	0.005076
84	0.00146	-0.003799	-0.003306	0.003761
85	0.003268	-0.002484	-0.003799	0.003433
86	0.003761	-0.004128	-0.002155	0.00146
87	0.000146	-0.002648	-0.000676	0.000474
88	0.004255	-0.002977	-0.003306	0.00294
89	0.002118	-0.001827	-0.002484	0.004255
90	0.001296	-0.003306	-0.004456	0.003597
91	0.002775	-0.001005	-0.002155	0.002118
92	-1.9e-05	-0.000841	-0.004456	0.003104
93	0.00146	-0.002484	-0.007415	0.002118
94	0.000639	-0.000512	-0.005278	0.004583
95	0.004748	-0.004456	-0.007415	0.000967
96	-0.000841	-0.001498	-0.005114	0.002775
97	0.001625	-0.005936	-0.008237	0.000639
98	-0.002813	-0.001662	-0.004292	-0.000676
99	0.000639	0.000146	-0.00988	-0.002813
100	0.00031	0.001132	-0.004456	0.001789
101	0.001132	-0.002977	-0.004621	0.001954
102	0.000639	-0.001991	-0.004128	0.001296
103	0.001132	-0.001498	-0.00347	-0.0061
104	0.001789	-0.002155	-0.005278	-0.005443
105	0.00146	-0.002484	-0.002813	-0.000347
106	0.00294	0.000639	-0.000841	-0.000512
107	0.00031	-0.001498	-0.004128	-0.001662
108	0.002447	-0.001334	-0.002648	-0.004621
109	-0.000347	-0.001334	-0.000183	-0.000183
110	0.002447	-0.003142	-0.005114	-0.003799
111	-0.000841	0.000146	-0.004456	0.000146
112	0.001132	-0.001334	-0.004621	-0.000676
113	0.00031	-0.004292	-0.004128	-0.000183
114	0.004255	-0.001005	-0.005443	-0.000841
