Ladekurvenmessung
Zeit: 2018_05_04 09.53.41
Info: FVA3, v = 0.14, T = 23, F = 20, h = 43
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.000347	0.00031	-0.000512	0.000146
1	-0.000512	0.00031	0.001132	0.000474
2	-0.000512	0.00031	0.00031	0.002775
3	-0.000512	-0.000183	-0.002155	0.002611
4	0.00031	-0.000347	0.001625	0.001625
5	-1.9e-05	-0.000347	0.000146	0.002447
6	0.000474	-0.000512	0.000146	0.001954
7	0.00031	-0.000512	0.000146	0.003597
8	0.000474	-1.9e-05	-0.001334	0.001132
9	0.000146	-0.000183	-0.004785	0.000474
10	-0.000347	0.00031	-0.001334	-0.003306
11	-0.000347	0.000474	-0.002813	0.001132
12	-0.000512	0.000474	-0.000183	-0.000841
13	-0.000512	0.000146	-0.001991	0.002775
14	-0.000347	-0.000347	0.00031	0.00294
15	-1.9e-05	-0.000347	0.001132	0.00146
16	0.000146	-0.000347	-1.9e-05	0.001296
17	0.000146	-0.000512	-0.000512	0.000146
18	0.000146	-0.000347	0.000967	-0.000676
19	0.00031	0.000146	-0.001005	0.002118
20	0.000146	0.00031	0.001625	-0.000347
21	-0.000183	0.000146	-0.002155	-0.001169
22	-0.000512	0.00031	0.001132	0.000639
23	-0.000512	0.00031	0.003104	0.000474
24	-0.000347	0.000474	-0.000347	0.00409
25	-0.000183	-1.9e-05	0.000639	-0.000841
26	0.000146	-0.000347	-0.001005	0.001625
27	-1.9e-05	-0.000347	-1.9e-05	-0.000183
28	0.000146	-0.000676	0.000639	0.002118
29	0.00031	-0.000512	0.00294	-0.002813
30	0.00031	-1.9e-05	0.000967	-0.000183
31	0.000146	0.00031	-0.001005	0.000146
32	-0.000183	0.00031	-0.004621	0.001789
33	-0.000183	0.000474	-0.001169	-0.002813
34	-0.000512	0.000474	-0.000841	-0.000841
35	-0.000512	0.000146	-0.001334	-1.9e-05
36	-0.000183	-0.000183	-0.001991	0.000639
37	0.000146	-0.000347	-0.001005	-0.001334
38	0.00031	-0.000183	-0.000676	-0.002484
39	0.000146	-0.000676	-0.002813	0.004255
40	0.00031	-0.000183	0.002775	-0.001662
41	0.00031	0.000146	-0.002155	0.003104
42	0.000474	0.00031	0.002447	-0.000183
43	-0.000183	0.00031	0.001954	0.00031
44	-0.000183	0.00031	0.000146	-0.000512
45	-0.000512	0.000474	0.001789	-0.000183
46	-0.000676	0.00031	0.000967	0.000639
47	-0.000347	-1.9e-05	0.00146	-0.001334
48	-1.9e-05	-0.000347	-0.00232	-0.000676
49	0.00031	-0.000676	0.000803	-1.9e-05
